coin_symbol,cluster_id
AAVE,1
AB,1
ADA,1
ADS,3
AERGO,1
AION,0
ALGO,1
AMB,0
APPC,0
ATOM,1
AVAX,1
BAT,1
BEAM,1
BIX,0
BNB,1
BNT,2
BTC,1
CMT,0
COTI,1
CRO,1
CVC,1
DAI,3
DASH,3
DBC,0
DCR,3
DENT,0
DGB,1
DOT,1
DRGN,0
ELF,1
ENJ,1
ERG,1
ETC,1
ETH,1
ETN,3
EVX,0
FET,1
FIRO,1
FUN,3
GNO,1
GT,1
HBAR,1
HT,1
ICP,1
IOST,1
KCS,1
KDA,3
KEY,0
LEO,1
LINK,1
LPT,1
LRC,1
LTC,1
MANA,1
MED,0
NEAR,1
NEO,1
NMR,0
OKB,1
ONGAS,1
OST,3
POWR,1
QNT,1
QRL,3
REQ,1
RNDR,1
RVN,1
SALT,0
SC,1
SHIB,1
SNT,1
SNX,1
SOL,1
STEEM,1
STRAX,1
TEL,1
THETA,1
TRAC,1
TRB,1
TRX,1
UNI,1
USD,0
VET,3
VIBE,1
VOLUME,3
VSYS,1
WAVES,1
WAXP,1
WTC,3
XLM,1
XMR,1
XRP,1
ZEC,0
ZIL,1
ZRX,1
