coin_symbol,UMAP1,UMAP2
AAVE,5.344135,10.941726
AB,2.055657,8.915839
ADA,5.2656074,9.402501
ADS,1.1626742,7.8804493
AERGO,2.8584666,10.601014
AION,0.6544934,9.558146
ALGO,2.2781775,11.605029
AMB,1.1227647,9.729031
APPC,1.2166963,10.657688
ATOM,5.086699,10.990687
AVAX,5.36645,10.164218
BAT,4.184387,10.477695
BEAM,4.313867,11.3608885
BIX,0.67669,9.965714
BNB,5.44619,8.540967
BNT,0.55145913,8.084686
BTC,5.8254156,9.188335
CMT,1.5568668,9.479744
COTI,4.3670793,11.130823
CRO,5.3548937,9.7610855
CVC,2.1628041,10.996205
DAI,1.1401825,8.677858
DASH,1.3570629,8.132202
DBC,2.024197,11.3059635
DCR,0.5540854,7.833376
DENT,1.0159277,10.333411
DGB,2.6506407,10.324682
DOT,4.9382896,10.9108715
DRGN,1.1076288,9.394053
ELF,2.4722455,11.542518
ENJ,3.597193,9.38858
ERG,1.7496501,9.020489
ETC,3.3487258,8.967443
ETH,5.5219703,9.000295
ETN,0.6297415,8.21677
EVX,0.8639811,10.4041
FET,5.1463714,9.352727
FIRO,3.1079173,11.012926
FUN,0.6435156,9.251047
GNO,3.8177989,10.850414
GT,4.947558,8.354538
HBAR,5.0005827,9.055384
HT,4.1332703,10.896631
ICP,4.273485,11.69869
IOST,2.8060458,11.2652
KCS,4.7570176,9.841507
KDA,1.0192555,7.894967
KEY,0.8634715,9.690037
LEO,2.9384685,8.090673
LINK,5.092617,8.679379
LPT,2.981868,10.095202
LRC,3.0062006,9.615332
LTC,2.3497822,8.076368
MANA,2.251384,9.040196
MED,1.2537762,9.944711
NEAR,5.2073526,10.566585
NEO,4.309723,9.205033
NMR,1.8598533,11.115845
OKB,4.8186426,8.202206
ONGAS,1.5083252,8.483617
OST,0.38858026,8.377836
POWR,2.785178,10.850051
QNT,4.440799,8.231372
QRL,0.95776695,8.37987
REQ,2.4142132,9.967093
RNDR,1.8211242,8.178732
RVN,3.82001,10.517217
SALT,1.6557772,9.533899
SC,3.0018122,9.815071
SHIB,4.8804235,11.183018
SNT,2.6081207,10.278789
SNX,4.062781,9.173187
SOL,5.112148,8.831615
STEEM,2.4579062,10.630905
STRAX,3.4306,9.8147335
TEL,3.404413,10.738511
THETA,4.285017,9.523126
TRAC,2.7729843,9.092626
TRB,4.7161703,8.683193
TRX,4.3485007,8.780515
UNI,5.1495156,11.241816
USD,2.3286731,8.265788
VET,0.5909683,8.962352
VIBE,1.9663556,9.788009
VOLUME,0.8845753,7.963627
VSYS,4.0836663,11.50204
WAVES,4.688427,9.388982
WAXP,3.6720614,11.212353
WTC,0.92663866,8.3213415
XLM,2.298193,8.363885
XMR,5.322735,8.469738
XRP,2.6170073,8.141885
ZEC,1.8576692,11.548012
ZIL,3.5129735,8.747712
ZRX,2.996364,9.249912
