# Dataset Report: 0x Protocol (ZRX)
# Coin Name: 0x Protocol
# Symbol: ZRX
# Approx Row Count: 3110
# Date Range: 2017-08-11 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_ZRX, Volume_USD
# Note: Launched Aug 2017. Infrastructure protocol for decentralized exchange (DEX).
# --------------------------------------------------
Date,open,high,low,close,Volume_ZRX,Volume_USD
2017-08-11,0.0695,0.4444,0.06687,0.06687,39437.24,2994.43
2017-08-12,0.1425,0.2788,0.09679,0.1781,19155.15,3411.43
2017-08-13,0.1781,0.26,0.1381,0.2031,45722.95,9287.7
2017-08-14,0.197,0.359,0.1197,0.3201,37383.46,11966.49
2017-08-15,0.3201,1.576,0.3054,0.7736,36492.43,28230.69
2017-08-16,0.7736,2.416,0.01831,0.2145,10671369.23,2288924.89
2017-08-17,0.2145,2.703,0.02583,0.4805,2242000.06,1077236.19
2017-08-18,0.4805,0.6145,0.2418,0.2938,8361680.1,2456582.01
2017-08-19,0.2938,0.9681,0.2685,0.4765,32713474.43,15586351.9
2017-08-20,0.68,0.72,0.425,0.54,61683.9,30611.49
2017-08-21,0.4163,0.4834,0.3012,0.3544,10244361.64,3630159.72
2017-08-22,0.3544,0.3839,0.3125,0.3579,5710443.5,2043588.08
2017-08-23,0.3579,1.036,0.3625,0.3872,6441494.32,2494326.96
2017-08-24,0.3872,0.4638,0.3708,0.3877,5325636.94,2064929.24
2017-08-25,0.3877,1.023,0.3373,0.3693,5689340.08,2101284.59
2017-08-26,0.3693,0.3914,0.3097,0.3555,5959703.15,2118641.57
2017-08-27,0.3555,0.3774,0.3184,0.3555,2971718.98,1056545.23
2017-08-28,0.3555,0.3988,0.3136,0.3366,6492796.34,2185278.17
2017-08-29,0.3366,0.3869,0.3459,0.3618,4951204.93,1791407.81
2017-08-30,0.3618,0.38,0.3239,0.3332,4775418.15,1590940.56
2017-08-31,0.3332,0.3806,0.3225,0.3721,5724689.94,2130144.57
2017-09-01,0.3721,5.069,0.3484,0.3835,7073094.95,2712626.1
2017-09-02,0.3835,0.3577,0.3053,0.307,4826386.96,1481922.53
2017-09-03,0.307,0.3524,0.2784,0.2843,3208304.91,912189.79
2017-09-04,0.2843,0.2601,0.2121,0.2465,11522268.69,2840392.36
2017-09-05,0.2465,0.3002,0.2236,0.2447,6315015.61,1544999.07
2017-09-06,0.2447,0.2685,0.2408,0.2531,3983711.76,1008164.17
2017-09-07,0.2531,0.3259,0.2492,0.3095,8346581.65,2583375.3
2017-09-08,0.3095,0.287,0.2266,0.2555,5276216.4,1348223.3
2017-09-09,0.2555,0.2624,0.2387,0.2588,2678791.87,693349.24
2017-09-10,0.2588,0.2588,0.2413,0.2483,3076793.0,764104.0
2017-09-11,0.2483,15.07,0.2423,0.2758,6355911.21,1752849.21
2017-09-12,0.2758,0.289,0.2517,0.2552,3788699.09,966728.85
2017-09-13,0.2552,0.2467,0.2176,0.2274,4305460.11,978953.61
2017-09-14,0.2274,0.1899,0.1694,0.1762,5577922.46,983030.59
2017-09-15,0.1762,0.2221,0.1982,0.2099,4884735.92,1025502.51
2017-09-16,0.2099,0.2148,0.1984,0.2131,2467692.7,525952.61
2017-09-17,0.2131,0.2178,0.2004,0.2065,1463195.27,302093.64
