# Dataset Report: Ambrosus (AMB)
# Coin Name: Ambrosus
# Symbol: AMB
# Approx Row Count: 3085
# Date Range: 2017-09-05 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_AMB, Volume_USD
# Note: Launched 2017. Supply chain IoT protocol, now part of AirDAO ecosystem.
# --------------------------------------------------
Date,open,high,low,close,Volume_AMB,Volume_USD
2017-09-05,0.3037,0.3815,0.06041,0.3815,8268.0,3154.47
2017-09-06,0.4497,0.4757,0.2356,0.4526,558.0,252.57
2017-09-07,0.4033,0.4024,0.3991,0.4024,213.0,85.72
2017-09-08,0.4024,0.3681,0.2699,0.2699,5308.0,1432.7
2017-09-09,0.2699,0.3949,0.2582,0.3949,17653.0,6971.65
2017-09-10,0.3949,0.4458,0.389,0.392,6699.0,2625.77
2017-09-11,0.3979,0.3963,0.3546,0.3873,14440.0,5593.12
2017-09-12,0.3873,0.3823,0.2647,0.3235,3406.0,1101.88
2017-09-13,0.3235,0.3862,0.3034,0.3862,14138.0,5459.76
2017-09-14,0.2903,0.3405,0.2432,0.3243,8146.0,2641.81
2017-09-15,0.2432,0.3063,0.2336,0.3063,2936.0,899.28
2017-09-16,0.3677,0.3662,0.2515,0.2515,384.0,96.59
2017-09-17,0.2596,0.3075,0.2636,0.3075,457.0,140.53
2017-09-18,0.3075,0.357,0.3541,0.357,111.0,39.63
2017-09-19,0.2829,0.3791,0.2696,0.2736,48.0,13.13
2017-09-20,0.2736,0.3805,0.2718,0.3805,120.0,45.65
2017-09-21,0.3805,0.3617,0.3545,0.3617,3.0,1.085
2017-09-22,0.3093,0.3339,0.3103,0.3339,27.0,9.016
2017-09-23,0.3339,0.3634,0.2575,0.2575,4472.0,1151.66
2017-09-24,0.2575,0.308,0.2543,0.308,1324.0,407.84
2017-09-25,0.308,0.3509,0.2949,0.2949,140.0,41.28
2017-09-26,0.3894,0.3854,0.3854,0.3854,0.0,0.0
2017-09-27,0.3854,0.417,0.4128,0.4128,51.0,21.05
2017-09-28,0.4128,0.4112,0.4028,0.4112,488.0,200.65
2017-09-29,0.3633,0.3511,0.3511,0.3511,100.0,35.11
2017-09-30,0.4089,0.4273,0.2747,0.3794,403.0,152.89
2017-10-01,0.33,0.3313,0.3191,0.3191,83.0,26.49
2017-10-02,0.3831,0.3829,0.2773,0.2773,291.0,80.69
2017-10-03,0.3117,0.3122,0.2772,0.3122,235.0,73.38
2017-10-04,0.2804,0.2742,0.2742,0.2742,0.0,0.0
2017-10-05,0.2742,0.3716,0.2809,0.2982,974.0,290.43
2017-10-06,0.2979,0.3299,0.3114,0.3114,797.0,248.2
2017-10-07,0.3716,0.3859,0.3105,0.3859,904.0,348.87
2017-10-08,0.3268,0.325,0.2785,0.2785,2968.0,826.71
2017-10-09,0.3044,0.4013,0.2771,0.2771,821.0,227.49
2017-10-10,0.2771,0.3525,0.2763,0.2763,234.0,64.65
2017-10-11,0.2763,0.3473,0.2798,0.3473,136.0,47.24
2017-10-12,0.3089,0.318,0.3059,0.318,1005.0,319.62
2017-10-13,0.318,0.3537,0.3436,0.3436,9381.0,3223.0
2017-10-14,0.3551,0.367,0.367,0.367,0.0,0.0
2017-10-15,0.3456,0.3433,0.3433,0.3433,153.0,52.53
2017-10-16,0.35,0.4078,0.3476,0.3977,15103.0,6006.97
2017-10-17,0.4312,0.4078,0.4078,0.4078,1.0,0.4078
2017-10-18,0.2855,0.3569,0.2844,0.3569,9.0,3.212
2017-10-19,0.3569,0.3647,0.2906,0.2906,1.0,0.2906
2017-10-20,0.3013,0.3304,0.297,0.3304,729.0,240.83
2017-10-21,0.3304,0.3265,0.3265,0.3265,735.0,239.98
2017-10-22,0.3265,0.3205,0.3176,0.3176,1177.0,373.76
2017-10-23,0.3176,0.3395,0.2339,0.2995,16816.0,5036.96
2017-10-24,0.2995,0.6819,0.2876,0.6819,15162.0,10339.73
2017-10-25,0.3804,0.4128,0.2523,0.2523,8967.0,2262.34
2017-10-26,0.3289,0.4108,0.2571,0.3842,13921.0,5348.48
2017-10-27,0.365,0.3978,0.3516,0.3574,1669.0,596.51
2017-10-28,0.3912,0.3872,0.3168,0.3403,5590.0,1902.2
2017-10-29,0.3665,0.418,0.375,0.418,5971.0,2496.07
2017-10-30,0.3861,0.3896,0.2213,0.2417,382695.73,92496.43
2017-10-31,0.2417,30.35,0.2035,0.2035,298078.71,60649.83
2017-11-01,0.1974,0.275,0.1737,0.2033,441003.69,89638.26
2017-11-02,0.2317,0.2932,0.1439,0.2023,419244.01,84822.16
2017-11-03,0.1723,929242.72,0.1573,0.2044,399712.41,81720.41
2017-11-04,0.2041,0.2926,0.1861,0.2116,159937.21,33836.03
2017-11-05,0.2117,439057.29,0.1807,0.2042,232032.12,47378.95
2017-11-06,0.2093,0.377,0.1881,0.2389,786256.57,187868.22
2017-11-07,0.2389,0.2678,0.213,0.2639,295214.8,77901.79
2017-11-08,0.2213,15078778.48,0.2213,0.239,227622.12,54393.63
2017-11-09,0.2344,0.2852,0.2144,0.2397,451062.21,108139.91
2017-11-10,0.2404,15632772.28,0.2232,0.2454,1098135.53,269465.41
2017-11-11,0.2649,0.2957,0.2456,0.2488,89264.8,22212.54
2017-11-12,0.2637,0.2568,0.2062,0.2206,62901.37,13878.58
2017-11-13,0.2206,0.3797,0.2013,0.2226,83171.93,18517.6
2017-11-14,0.2318,2185.72,0.1662,0.2151,55646.78,11969.13
2017-11-15,0.2151,0.2476,0.1949,0.1987,99468.95,19766.47
2017-11-16,0.1987,0.2111,0.1793,0.1883,780092.46,146903.45
2017-11-17,0.1883,0.1981,0.1658,0.1712,670393.39,114749.57
2017-11-18,0.1712,0.1907,0.1734,0.1796,391325.13,70268.18
2017-11-19,0.1796,0.2134,0.1702,0.1739,829502.7,144247.07
2017-11-20,0.1739,0.2243,0.1769,0.1896,847584.78,160694.68
2017-11-21,0.1896,0.2044,0.1836,0.1991,496146.54,98772.43
2017-11-22,0.1991,0.2106,0.1904,0.1977,626924.09,123915.28
2017-11-23,0.1977,0.2232,0.1748,0.1793,881363.69,157990.36
2017-11-24,0.1792,0.2259,0.1849,0.1871,421277.09,78816.74
2017-11-25,0.1871,0.2003,0.1766,0.1868,238986.46,44636.27
2017-11-26,0.1867,0.2212,0.1815,0.1859,841221.93,156391.87
2017-11-27,0.1859,0.254,0.1818,0.2207,1229886.69,271437.78
2017-11-28,0.2207,0.2448,0.1967,0.2191,1539184.45,337307.5
2017-11-29,0.2191,0.2137,0.1761,0.1898,2057001.0,390454.22
2017-11-30,0.1898,0.2023,0.181,0.191,767734.0,146626.54
2017-12-01,0.1912,0.2253,0.2017,0.2063,323680.09,66783.7
2017-12-02,0.2063,0.2148,0.1814,0.205,508151.18,104185.57
2017-12-03,0.205,0.208,0.1967,0.201,489823.45,98431.05
2017-12-04,0.201,0.2219,0.1917,0.2013,747802.0,150527.7
2017-12-05,0.2013,0.2156,0.1879,0.2043,1349223.42,275622.06
2017-12-06,0.2043,0.2349,0.1796,0.224,2113773.59,473572.25
2017-12-07,0.224,0.3023,0.2022,0.2099,2431651.3,510406.43
2017-12-08,0.2097,0.2681,0.1971,0.2135,1294635.95,276453.32
2017-12-09,0.2136,0.2317,0.1891,0.2068,1014008.69,209726.37
2017-12-10,0.2066,0.2052,0.1797,0.1828,577357.8,105567.37
2017-12-11,0.1829,0.2255,0.1997,0.1999,737144.4,147336.83
2017-12-12,0.1999,0.2581,0.1749,0.1895,1856644.49,351781.54
2017-12-13,0.1895,0.3051,0.2018,0.2538,1680511.57,426580.35
2017-12-14,0.2503,0.2913,0.1851,0.2362,2073373.14,489656.07
2017-12-15,0.2362,0.2603,0.2328,0.2386,1215033.6,289913.03
2017-12-16,0.2385,0.4157,0.2357,0.3977,4021224.92,1599178.5
2017-12-17,0.3974,0.4591,0.3418,0.4242,2124764.12,901406.49
2017-12-18,0.4243,0.4649,0.3947,0.424,1206750.18,511617.43
2017-12-19,0.4241,0.4443,0.3397,0.3519,1480329.82,520918.81
2017-12-20,0.3642,0.3796,0.3091,0.3197,928731.27,296885.67
2017-12-21,0.3197,0.4054,0.3158,0.3907,1331065.0,520111.05
2017-12-22,0.3907,0.4079,0.264,0.3171,1065603.0,337875.07
2017-12-23,0.3171,0.4035,0.3054,0.3544,1429667.0,506706.35
2017-12-24,0.3544,0.3505,0.3002,0.3391,1148633.9,389506.4
2017-12-25,0.3392,0.3628,0.3174,0.3546,890923.91,315882.01
2017-12-26,0.3546,0.3963,0.3188,0.3732,957004.55,357114.88
2017-12-27,0.3743,0.8139,0.3653,0.5928,13766543.14,8160337.8
2017-12-28,0.5928,0.6228,0.4873,0.5496,2987512.46,1641811.05
2017-12-29,0.5496,0.5815,0.5178,0.5376,1373402.91,738362.34
2017-12-30,0.5376,0.51,0.4579,0.471,1103704.85,519796.43
2017-12-31,0.471,0.6448,0.4897,0.6343,2005972.1,1272454.64
2018-01-01,0.6343,0.7557,0.5484,0.7356,1560051.14,1147504.57
2018-01-02,0.7355,0.8617,0.6323,0.6781,1834775.55,1244182.95
2018-01-03,0.6781,0.8879,0.6682,0.7591,1815350.9,1378017.0
2018-01-04,0.759,0.9996,0.7621,0.8946,2875247.83,2572096.2
2018-01-05,0.8878,1.013,0.7737,0.9981,5616631.35,5605837.08
2018-01-06,0.9981,1.997,0.9584,1.571,11462097.85,18007024.61
2018-01-07,1.571,1.782,1.272,1.31,2442658.21,3199889.58
2018-01-08,1.31,1.538,1.191,1.427,1558392.8,2223755.09
2018-01-09,1.426,1.618,1.26,1.338,1171451.47,1567672.81
2018-01-10,1.338,1.305,0.9996,1.237,1658417.68,2051047.9
2018-01-11,1.237,1.128,0.8562,1.01,1873430.8,1891751.67
2018-01-12,1.018,1.134,0.9419,1.02,1385108.27,1412351.77
2018-01-13,1.02,1.551,1.014,1.04,2622090.69,2727367.68
2018-01-14,1.04,1.059,0.8905,0.9257,3002771.57,2779575.36
2018-01-15,0.9256,0.9208,0.78,0.8292,933118.49,773770.28
2018-01-16,0.8292,0.6818,0.5229,0.5773,1447697.94,835796.44
2018-01-17,0.5773,0.6452,0.5537,0.619,1070433.97,662614.93
2018-01-18,0.6196,0.7316,0.5883,0.6291,1054926.45,663606.09
2018-01-19,0.6291,1.037,0.5809,0.9161,2969590.39,2720419.83
2018-01-20,0.9161,1.415,0.9263,0.9485,8313844.4,7885450.29
2018-01-21,0.9499,0.9389,0.7868,0.8005,1595834.49,1277394.77
2018-01-22,0.7975,0.8273,0.6962,0.7765,1444033.94,1121321.74
2018-01-23,0.7858,1.143,0.7611,0.8713,5792974.04,5047163.1
2018-01-24,0.8712,0.972,0.8282,0.8388,1978928.13,1659937.18
2018-01-25,0.8387,1.015,0.8193,1.012,2133092.43,2158347.8
2018-01-26,1.01,1.211,0.9651,1.073,6430122.97,6897575.81
2018-01-27,1.069,1.181,0.9316,1.017,2082387.86,2116919.53
2018-01-28,1.017,1.148,0.9976,1.039,1520559.36,1579988.97
2018-01-29,1.039,1.076,0.9664,0.9894,1469112.8,1453591.88
2018-01-30,0.9894,0.9153,0.7808,0.8515,1308633.73,1114343.33
2018-01-31,0.8515,0.895,0.7905,0.8583,988387.38,848298.01
2018-02-01,0.8582,0.8253,0.6157,0.6917,952805.48,659009.87
2018-02-02,0.6917,0.7046,0.5505,0.6374,1140518.08,726927.91
2018-02-03,0.6374,0.7454,0.6324,0.6978,933798.89,651571.5
2018-02-04,0.6978,0.6921,0.5462,0.5813,1014007.41,589441.71
2018-02-05,0.5804,0.4952,0.3917,0.4131,1108022.72,457708.72
2018-02-06,0.4131,0.5462,0.4348,0.526,1020186.52,536573.94
2018-02-07,0.5261,0.5221,0.4714,0.5046,603534.28,304552.37
2018-02-08,0.5089,0.5849,0.5303,0.5577,22384.76,12483.51
2018-02-09,0.5467,0.6321,0.5532,0.5601,429814.55,240733.73
2018-02-10,0.5599,0.5898,0.5195,0.5388,730020.08,393320.2
2018-02-11,0.5389,0.5414,0.472,0.5309,1111845.53,590251.5
2018-02-12,0.5308,0.6401,0.4978,0.5301,2691466.87,1426650.78
2018-02-13,0.5301,0.5152,0.4798,0.4899,783338.94,383734.91
2018-02-14,0.4899,0.5626,0.5302,0.5569,708735.56,394659.8
2018-02-15,0.557,0.5674,0.5177,0.5582,1141398.8,637085.35
2018-02-16,0.5582,0.6567,0.5441,0.6182,1563007.0,966180.87
2018-02-17,0.6181,0.6721,0.6141,0.6321,1037774.45,656017.02
2018-02-18,0.6321,0.6388,0.558,0.6216,799993.44,497303.75
2018-02-19,0.6216,0.8235,0.6066,0.733,10058464.8,7373218.81
2018-02-20,0.733,0.7526,0.6114,0.6421,3196049.66,2052153.29
2018-02-21,0.6388,0.6319,0.5546,0.5585,1056322.31,589954.4
2018-02-22,0.5586,0.5616,0.5078,0.527,771659.5,406627.66
2018-02-23,0.5269,0.5936,0.5336,0.5435,590258.28,320807.58
2018-02-24,0.5435,0.5519,0.4885,0.5027,822963.46,413685.48
2018-02-25,0.5027,0.5136,0.484,0.5087,431250.54,219379.53
2018-02-26,0.5087,0.5299,0.4907,0.5032,611866.55,307903.24
2018-02-27,0.5032,0.5382,0.48,0.5071,794541.4,402900.22
2018-02-28,0.5071,0.5728,0.4775,0.5101,1410546.75,719567.36
2018-03-01,0.5101,0.5641,0.5144,0.5394,963614.98,519780.07
2018-03-02,0.5394,0.5863,0.5276,0.5649,643440.66,363458.47
2018-03-03,0.5649,0.6162,0.5566,0.5686,939304.49,534069.21
2018-03-04,0.5686,0.592,0.5512,0.5768,352320.95,203202.91
2018-03-05,0.5768,0.5725,0.5436,0.5463,412291.91,225254.43
2018-03-06,0.5464,0.5281,0.4733,0.5166,769478.33,397494.4
2018-03-07,0.5166,0.5437,0.3939,0.4736,2122360.0,1005123.09
2018-03-08,0.4736,0.4459,0.3763,0.4012,906907.15,363849.61
2018-03-09,0.4012,0.7233,0.3724,0.4009,1430065.46,573308.07
2018-03-10,0.4008,0.3824,0.3589,0.3659,271237.54,99250.56
2018-03-11,0.366,0.417,0.3793,0.3973,323566.27,128545.94
2018-03-12,0.3973,0.4108,0.3774,0.3869,425425.45,164603.83
2018-03-13,0.3869,0.3988,0.3722,0.3784,382726.63,144840.24
2018-03-14,0.3784,0.3391,0.3127,0.3228,429457.49,138638.96
2018-03-15,0.3228,0.3219,0.2907,0.2969,684095.25,203076.6
2018-03-16,0.2969,0.3085,0.291,0.301,260956.04,78544.02
2018-03-17,0.3012,0.2803,0.2638,0.2744,315143.44,86475.42
2018-03-18,0.2744,0.2946,0.2487,0.2864,574168.71,164424.58
2018-03-19,0.2864,0.3622,0.2867,0.3133,755025.02,236572.14
2018-03-20,0.3133,0.3414,0.3072,0.3387,477894.7,161847.65
2018-03-21,0.3387,0.3417,0.2998,0.3258,1069052.37,348249.84
2018-03-22,0.3258,0.332,0.3053,0.3106,466524.02,144901.76
2018-03-23,0.3106,0.3247,0.2855,0.3004,560702.55,168411.11
