# Dataset Report: Artificial Superintelligence Alliance (FET)
# Coin Name: Artificial Superintelligence Alliance
# Symbol: FET
# Approx Row Count: 2538
# Date Range: 2019-02-28 to 2026-02-08
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_FET, Volume_USD
# Note: Originally 'Fetch.ai'. Merged with AGIX/OCEAN in July 2024.
# --------------------------------------------------
Date,open,high,low,close,Volume_FET,Volume_USD
2019-02-28,0.34,0.379,0.3145,0.3537,31093407.03,10996226.93
2019-03-01,0.3537,0.4746,0.3486,0.4424,115024830.97,50888233.24
2019-03-02,0.4424,0.4434,0.3791,0.4003,48488829.87,19409921.01
2019-03-03,0.4003,0.4266,0.3517,0.3616,39487821.49,14277368.37
2019-03-04,0.3616,0.3768,0.3214,0.3299,64588526.93,21306135.8
2019-03-05,0.3299,0.3446,0.3041,0.314,58662955.92,18417545.92
2019-03-06,0.314,0.3286,0.3049,0.3089,29725027.33,9182703.6
2019-03-07,0.3089,0.3644,0.3061,0.346,69975106.23,24213891.86
2019-03-08,0.346,0.3482,0.2783,0.2861,44923990.34,12853428.39
2019-03-09,0.2861,0.294,0.2661,0.2663,36421016.16,9698231.52
2019-03-10,0.2663,0.2667,0.237,0.2547,40883988.65,10413154.36
2019-03-11,0.2547,0.2796,0.2159,0.2195,41169266.08,9035542.33
2019-03-12,0.2195,0.2438,0.2108,0.2224,33322177.1,7410918.83
2019-03-13,0.2224,0.2583,0.2202,0.2457,47817217.86,11748690.43
2019-03-14,0.2457,0.268,0.224,0.2295,55367162.2,12706763.72
2019-03-15,0.2295,0.2439,0.2318,0.2353,19100223.8,4494855.67
2019-03-16,0.2353,0.2384,0.2233,0.2306,16200863.35,3735643.67
2019-03-17,0.2306,0.2423,0.2293,0.2387,16212937.88,3869428.39
2019-03-18,0.2387,0.2416,0.2276,0.2301,28081963.33,6461041.96
2019-03-19,0.2301,0.2358,0.2128,0.2196,51125574.2,11225846.83
2019-03-20,0.2196,0.2255,0.2148,0.2222,36534073.82,8117871.2
2019-03-21,0.2222,0.2265,0.195,0.2022,63267069.91,12792601.54
2019-03-22,0.2022,0.2107,0.2016,0.2079,40007996.24,8315982.08
2019-03-23,0.2079,0.2084,0.1959,0.2023,38394358.55,7767178.73
2019-03-24,0.2023,0.2187,0.2014,0.2088,47473391.59,9912444.16
2019-03-25,0.2088,0.2159,0.1925,0.1997,48602831.17,9704867.52
2019-03-26,0.1997,0.203,0.1795,0.1835,44045274.32,8083056.61
2019-03-27,0.1835,0.1983,0.18,0.1942,61263797.64,11897429.5
2019-03-28,0.1942,0.2239,0.1881,0.2199,75116705.38,16518163.51
