# Dataset Report: Cosmos Hub (ATOM)
# Coin Name: Cosmos Hub
# Symbol: ATOM
# Approx Row Count: 2478
# Date Range: 2019-04-23 to 2026-02-02
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_ATOM, Volume_USD
# Note: Mainnet launched March 2019. Layer 0 for Inter-Blockchain Communication (IBC).
# --------------------------------------------------
Date,open,high,low,close,Volume_ATOM,Volume_USD
2019-04-23,0.02223,4.828,0.02223,4.111,333725.7,1371846.23
2019-04-24,4.111,4.171,3.03,3.666,1459617.93,5351397.22
2019-04-25,3.666,3.78,3.146,3.265,1591765.96,5197147.69
2019-04-26,3.265,3.817,3.15,3.648,1735305.15,6330257.83
2019-04-27,3.648,3.767,3.414,3.495,1184693.78,4140030.88
2019-04-28,3.474,5.118,3.33,4.45,5947119.69,26463606.19
2019-04-29,4.45,4.804,3.743,3.835,4013751.31,15393539.02
2019-04-30,3.835,4.162,3.815,3.988,1221495.8,4871569.55
2019-05-01,3.988,4.676,3.919,4.444,2765439.01,12289610.96
2019-05-02,4.444,4.707,4.232,4.656,1467901.05,6834694.08
2019-05-03,4.656,5.488,4.651,5.447,6221564.19,33887615.83
2019-05-04,5.447,5.717,4.767,5.292,10148123.35,53707928.02
2019-05-05,5.292,5.397,4.923,4.985,4234541.09,21110034.24
2019-05-06,4.985,4.957,4.6,4.865,3644135.54,17730177.06
2019-05-07,4.865,5.171,4.702,4.702,3281366.43,15429641.23
2019-05-08,4.702,4.676,4.313,4.404,3498420.84,15405646.01
2019-05-09,4.404,4.545,3.505,3.929,4720934.93,18548081.25
2019-05-10,3.929,4.15,3.66,3.84,2822965.2,10840186.37
2019-05-11,3.84,4.17,3.72,3.94,2866857.91,11295420.17
2019-05-12,3.94,4.06,3.66,3.78,1911455.2,7225300.66
2019-05-13,3.78,4.187,3.767,3.917,2466001.59,9658992.85
2019-05-14,3.917,4.097,3.808,3.997,2647369.62,10581981.13
2019-05-15,3.997,4.716,3.997,4.546,3714116.27,16885709.65
2019-05-16,4.546,4.777,3.998,4.257,3507300.1,14932133.77
2019-05-17,4.257,4.8,3.97,4.41,5793080.6,25547485.45
2019-05-18,4.41,4.97,4.34,4.7,3833507.0,18017482.9
2019-05-19,4.7,5.16,4.65,4.87,3570176.74,17386760.72
2019-05-20,4.87,4.919,4.495,4.707,2925740.86,13770291.93
2019-05-21,4.707,4.84,4.49,4.75,2311836.75,10981224.56
2019-05-22,4.75,4.81,4.31,4.31,2154601.24,9285402.71
2019-05-23,4.31,4.36,4.12,4.34,1819680.7,7897414.24
2019-05-24,4.34,4.77,4.26,4.45,3277392.37,14584396.05
2019-05-25,4.45,4.6,4.3,4.39,1102627.03,4840532.66
2019-05-26,4.39,4.585,4.282,4.525,1153454.95,5219152.96
2019-05-27,4.525,4.69,4.48,4.66,1551450.81,7229760.77
2019-05-28,4.66,4.87,4.49,4.78,1452494.47,6942923.57
2019-05-29,4.78,4.87,4.5,4.71,1800336.6,8479585.39
2019-05-30,4.71,6.58,4.66,5.9,12283961.06,72475370.25
2019-05-31,5.9,5.933,5.224,5.784,6712586.44,38823123.02
2019-06-01,5.784,6.31,5.62,5.77,4820196.83,27812535.71
2019-06-02,5.77,6.42,5.58,6.39,3177454.57,20303934.7
2019-06-03,6.39,7.231,5.982,6.522,9423539.45,61455716.18
2019-06-04,6.522,6.835,5.766,5.926,7155623.72,42403145.67
2019-06-05,5.926,6.26,5.64,6.14,4969859.9,30514939.79
2019-06-06,6.14,6.14,5.63,5.98,3882673.75,23218389.03
2019-06-07,5.98,6.56,5.88,6.29,4067917.99,25587204.16
2019-06-08,6.29,6.31,5.94,6.09,1778234.01,10829445.12
2019-06-09,6.09,6.18,5.7,5.84,1958842.59,11439640.73
2019-06-10,5.84,6.1,5.757,6.1,2681792.0,16359590.92
