# Dataset Report: Dash (DASH)
# Coin Name: Dash
# Symbol: DASH
# Approx Row Count: 4389
# Date Range: 2014-02-03 to 2026-02-08
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_DASH, Volume_USD
# Note: Launched Jan 2014. Previously XCoin and Darkcoin.
# --------------------------------------------------
Date,open,high,low,close,Volume_DASH,Volume_USD
2014-02-03,0.04767,0.04659,0.009317,0.0259,7006.4,181.48
2014-02-04,0.0259,0.03707,0.02317,0.02873,18662.13,536.09
2014-02-05,0.02873,0.08955,0.02714,0.08593,39019.62,3352.93
2014-02-06,0.08593,0.1658,0.05719,0.1649,38932.08,6421.66
2014-02-07,0.06631,0.2574,0.05565,0.128,50219.59,6428.09
2014-02-08,0.128,0.1557,0.09732,0.1045,109579.8,11446.0
2014-02-09,0.1045,0.2612,0.1049,0.1979,86094.63,17035.63
2014-02-10,0.1979,0.2564,0.1462,0.2039,38040.82,7757.3
2014-02-11,0.2039,0.3468,0.08684,0.26,51319.53,13340.67
2014-02-12,0.26,0.3176,0.2385,0.2496,38850.95,9698.41
2014-02-13,0.2496,0.2366,0.09164,0.09164,32248.66,2955.34
2014-02-14,0.09164,0.2416,0.08682,0.2344,47475.69,11126.81
2014-02-15,0.2344,0.2104,0.1265,0.1818,65879.69,11978.53
2014-02-16,0.1818,0.2246,0.1422,0.2159,87591.97,18907.25
2014-02-17,0.2159,0.6807,0.1797,0.6532,147540.84,96373.64
2014-02-18,0.6532,0.7052,0.3439,0.4409,87711.14,38674.03
2014-02-19,0.4409,0.5048,0.3494,0.4341,36678.18,15923.46
2014-02-20,0.4341,0.2238,0.1567,0.2182,52659.24,11492.56
2014-02-21,0.2182,0.2599,0.2065,0.2175,43734.24,9514.03
2014-02-22,0.2175,0.5871,0.2553,0.4141,40278.72,16677.64
2014-02-23,0.4141,0.6793,0.3102,0.5645,105476.42,59542.43
2014-02-24,0.5645,0.3459,0.174,0.268,42626.4,11422.17
2014-02-25,0.268,0.2357,0.1222,0.1222,13253.5,1619.6
2014-02-26,0.1222,0.8452,0.484,0.7052,8885.47,6266.42
2014-02-27,0.7052,0.8041,0.5368,0.6436,20790.24,13380.86
2014-02-28,0.6436,0.6824,0.4637,0.5625,13167.43,7406.17
2014-03-01,0.5625,1.07,0.5024,0.9476,32513.69,30808.77
2014-03-02,0.9476,1.021,0.6753,1.018,23235.74,23661.59
2014-03-03,1.018,1.298,0.9337,1.119,32754.86,36655.45
2014-03-04,1.119,1.208,0.9795,0.9928,9157.87,9091.7
2014-03-05,0.9928,1.152,0.9085,1.007,10874.53,10952.82
2014-03-06,1.007,1.024,0.9153,1.017,3548.67,3609.42
2014-03-07,1.017,1.018,0.8819,0.8881,16700.1,14831.21
