# Dataset Report: Dragonchain (DRGN)
# Coin Name: Dragonchain
# Symbol: DRGN
# Approx Row Count: 2996
# Date Range: 2017-12-03 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_DRGN, Volume_USD
# Note: Launched 2017. Originally developed at Disney. Hybrid enterprise blockchain.
# --------------------------------------------------
Date,open,high,low,close,Volume_DRGN,Volume_USD
2017-12-03,0.2747,0.4628,0.2314,0.2731,1374074.98,375202.03
2017-12-04,0.2717,93.39,0.2391,0.2405,1707573.72,410618.46
2017-12-05,0.2465,113036.04,0.2088,0.2406,1604961.71,386151.86
2017-12-06,0.2383,0.2957,0.2112,0.224,1146998.24,256877.88
2017-12-07,0.226,588767.7,0.06865,0.06865,1545015.49,106061.37
2017-12-08,0.3913,112935.0,0.0,0.4517,2787866.67,1259390.89
2017-12-09,0.4498,209949.84,0.1655,0.4421,1449640.37,640920.94
2017-12-10,0.4156,109122.5,0.3584,0.4055,972641.73,394405.45
2017-12-11,0.406,455801.52,0.05133,0.4106,1130711.98,464306.52
2017-12-12,0.384,1.97,0.05843,0.4793,1972578.48,945377.17
2017-12-13,0.4589,6990959476934.34,0.4127,0.4334,1277925.44,553898.64
2017-12-14,0.4334,0.867,0.3815,0.4335,934841.94,405242.3
2017-12-15,0.4335,6.35,0.3962,0.4225,1098139.92,464004.45
2017-12-16,0.4213,5542640.0,0.4157,0.4975,1204362.33,599112.38
2017-12-17,0.5188,7177100.0,0.4903,0.7177,2735064.17,1962982.91
2017-12-18,0.7177,9020807.23,0.7838,1.155,2522849.45,2914913.63
2017-12-19,1.179,739050.0,0.3343,0.9709,1968429.0,1911221.53
2017-12-20,0.9758,1981829.72,0.6349,0.9462,1475412.5,1396060.8
2017-12-21,0.9462,1.035,0.8762,1.01,25948.3,26198.18
2017-12-22,0.9146,0.9702,0.7789,0.8472,17378.62,14723.66
2017-12-23,0.8019,1.121,0.7088,0.8601,100528.78,86468.86
2017-12-24,0.8615,67584.24,0.7469,0.8584,552668.72,474413.98
2017-12-25,0.8383,1.229,0.7665,0.8678,381364.74,330936.12
2017-12-26,0.8678,3577519.9,0.8295,0.9094,659334.69,599568.51
2017-12-27,0.9109,0.9619,0.6312,0.7977,591241.82,471607.18
2017-12-28,0.8132,0.9675,0.328,0.8672,703832.36,610359.83
2017-12-29,0.8758,32453.65,0.651,0.8653,975922.03,844496.56
2017-12-30,0.8653,1.157,5.544e-05,0.8434,644883.55,543874.69
2017-12-31,0.8143,251932.32,0.0002372,1.353,1006037.82,1361474.38
2018-01-01,1.352,9113215.75,0.0261,2.118,637561.5,1350429.34
2018-01-02,2.086,1275396.67,1.25,2.445,873492.34,2135293.01
2018-01-03,2.597,27.79,1.991,2.934,356402.82,1045810.54
2018-01-04,2.736,351042.14,2.315,2.59,97669.57,252942.6
2018-01-05,3.036,5.053,2.803,3.171,392029.47,1242946.63
2018-01-06,3.482,4.343,3.487,3.746,1019925.19,3820494.95
2018-01-07,3.746,5.1,4.16,4.695,1068177.94,5014614.75
2018-01-08,4.584,4.539,3.594,4.178,785335.69,3281408.5
2018-01-09,4.431,6.059,4.756,5.157,779794.15,4021367.24
2018-01-10,5.157,5.396,3.872,4.684,703594.86,3295436.04
2018-01-11,4.76,4.373,3.572,3.793,985888.8,3739276.18
2018-01-12,3.793,4.408,3.945,4.371,673356.8,2943274.76
2018-01-13,3.936,4.432,4.155,4.224,571718.14,2415115.23
2018-01-14,4.224,4.146,3.535,3.671,428959.85,1574538.31
2018-01-15,3.67,3.698,3.197,3.452,507788.8,1753122.04
2018-01-16,3.259,3.069,2.359,2.792,1018336.2,2843618.58
2018-01-17,2.783,3.352,2.411,3.241,926523.21,3002427.93
2018-01-18,3.27,3.48,2.862,2.994,786391.16,2354393.64
2018-01-19,2.994,3.549,2.869,3.007,432577.9,1300839.33
2018-01-20,3.527,4.027,2.991,3.118,390950.39,1218926.63
2018-01-21,3.099,2.933,2.541,2.711,403655.92,1094217.78
2018-01-22,2.712,2.756,2.307,2.541,506990.51,1288471.87
2018-01-23,2.524,2.491,2.451,2.451,391148.79,958834.88
2018-01-24,2.451,3.079,2.495,2.654,378126.73,1003718.5
2018-01-25,2.654,2.616,2.093,2.197,501632.24,1102275.15
2018-01-26,2.197,2.716,1.682,2.303,439121.42,1011156.85
2018-01-27,2.303,3.05,2.436,3.05,567637.67,1731277.86
2018-01-28,3.05,3.387,2.834,2.834,406913.11,1153137.06
2018-01-29,2.834,2.925,2.515,2.515,545650.81,1372537.69
2018-01-30,2.515,2.596,2.181,2.596,448796.43,1164873.57
2018-01-31,2.596,2.712,2.209,2.209,364599.2,805503.28
2018-02-01,2.209,2.04,1.796,1.796,436511.9,783902.26
2018-02-02,1.796,2.239,1.468,1.651,770488.88,1272420.78
2018-02-03,1.651,2.854,1.748,1.845,399642.65,737202.01
2018-02-04,1.845,2.391,1.49,1.49,380609.84,566980.02
2018-02-05,1.487,2.008,1.112,2.008,644193.75,1293596.53
2018-02-06,2.008,2.268,1.256,1.571,786110.01,1234825.54
2018-02-07,1.571,1.579,1.428,1.579,535898.33,846076.82
2018-02-08,1.44,1.652,1.408,1.528,407935.3,623418.0
2018-02-09,1.528,1.694,1.536,1.582,356905.62,564608.05
2018-02-10,1.6,1.651,1.36,1.445,402150.4,581277.94
2018-02-11,1.446,1.399,1.257,1.38,328191.46,452877.71
2018-02-12,1.38,1.662,1.453,1.603,337958.32,541863.89
2018-02-13,1.603,1.598,1.429,1.547,239599.31,370756.74
2018-02-14,1.547,1.993,1.675,1.988,402326.12,799968.24
2018-02-15,1.992,2.028,1.858,1.944,342903.89,666624.11
2018-02-16,1.938,2.034,1.613,1.902,256880.07,488664.13
2018-02-17,1.906,2.108,1.942,2.009,256897.04,516002.11
2018-02-18,2.009,1.927,1.749,1.813,282030.85,511208.56
2018-02-19,1.814,1.92,1.775,1.842,227461.3,418981.08
2018-02-20,1.842,1.76,1.427,1.543,328853.27,507281.11
2018-02-21,1.544,1.557,1.379,1.418,264930.76,375695.34
2018-02-22,1.418,1.384,1.221,1.29,298328.04,384790.04
2018-02-23,1.29,1.515,1.296,1.462,225971.96,330459.52
2018-02-24,1.462,1.47,1.302,1.319,193436.38,255222.8
2018-02-25,1.319,1.433,1.265,1.371,207764.04,284914.51
2018-02-26,1.379,1.513,1.373,1.403,219578.02,308149.5
2018-02-27,1.411,1.476,1.306,1.31,233900.92,306406.64
2018-02-28,1.323,1.316,1.153,1.168,293254.32,342596.71
2018-03-01,1.173,1.487,1.195,1.426,224212.16,319663.07
2018-03-02,1.427,1.523,1.336,1.52,335004.38,509341.06
2018-03-03,1.52,1.565,1.464,1.479,222965.66,329668.82
2018-03-04,1.479,1.712,1.443,1.677,267042.86,447805.61
2018-03-05,1.677,1.738,1.571,1.703,275374.25,468986.33
2018-03-06,1.703,1.635,1.336,1.465,256379.25,375590.28
2018-03-07,1.47,1.386,1.202,1.261,433557.18,546684.01
2018-03-08,1.269,1.229,1.083,1.119,283435.32,317115.04
2018-03-09,1.119,1.204,1.024,1.178,513765.23,605388.74
2018-03-10,1.17,1.126,1.01,1.037,217896.64,225979.73
2018-03-11,1.038,1.21,1.095,1.126,184130.39,207384.42
2018-03-12,1.129,1.129,1.055,1.058,165844.75,175476.41
2018-03-13,1.058,1.107,1.0,1.045,161074.9,168258.75
2018-03-14,1.044,0.9436,0.8437,0.8602,259195.97,222973.19
2018-03-15,0.8658,0.903,0.7724,0.787,403742.04,317749.77
2018-03-16,0.7853,0.8389,0.7645,0.8281,191251.95,158381.64
2018-03-17,0.8281,0.7637,0.6092,0.6608,323021.44,213467.94
2018-03-18,0.6608,0.7969,0.5777,0.783,522278.4,408924.49
2018-03-19,0.783,0.9872,0.7339,0.9333,422424.48,394258.91
2018-03-20,0.9383,0.9568,0.8715,0.9406,215281.27,202498.0
2018-03-21,0.9406,0.9625,0.8774,0.9132,187682.63,171394.26
2018-03-22,0.9127,0.9043,0.8482,0.8984,171347.52,153934.66
2018-03-23,0.8984,0.9212,0.7994,0.8897,235259.9,209312.12
2018-03-24,0.8897,0.8931,0.8468,0.8671,163220.05,141529.2
2018-03-25,0.8671,0.8975,0.8373,0.8588,87513.9,75155.4
2018-03-26,0.8587,0.8203,0.7585,0.8023,172482.55,138384.91
2018-03-27,0.7978,0.7701,0.7023,0.7405,230281.93,170520.78
2018-03-28,0.7423,0.7429,0.7064,0.7416,105417.79,78175.89
2018-03-29,0.7318,0.6476,0.5735,0.6035,274987.06,165952.16
2018-03-30,0.6036,0.6841,0.5454,0.5907,366015.63,216216.41
2018-03-31,0.5837,0.6317,0.5836,0.6116,170725.29,104415.01
2018-04-01,0.6116,0.6103,0.5705,0.5728,196412.76,112509.39
2018-04-02,0.5728,0.6016,0.5659,0.5943,340412.66,202317.66
2018-04-03,0.5943,0.8443,0.6268,0.8181,887661.33,726226.19
2018-04-04,0.8186,0.827,0.6895,0.7815,1199485.95,937438.57
2018-04-05,0.7815,0.7875,0.6678,0.72,467432.61,336555.07
2018-04-06,0.7201,0.7237,0.6581,0.6922,229812.82,159072.79
2018-04-07,0.6922,0.7303,0.696,0.7084,202945.85,143759.37
2018-04-08,0.7084,0.7734,0.6836,0.7734,215401.59,166589.35
2018-04-09,0.7734,0.7853,0.6747,0.7178,326955.0,234700.39
2018-04-10,0.7178,0.7482,0.6987,0.707,167929.18,118729.4
2018-04-11,0.707,0.7429,0.7111,0.7274,228015.42,165860.65
2018-04-12,0.7278,0.8629,0.7938,0.8506,265199.64,225574.01
2018-04-13,0.8506,0.9132,0.7979,0.834,296402.03,247201.55
2018-04-14,0.834,0.9256,0.8291,0.8638,161969.61,139908.25
