# Dataset Report: FUNToken (FUN)
# Coin Name: FUNToken
# Symbol: FUN
# Approx Row Count: 3570
# Date Range: 2016-05-08 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_FUN, Volume_USD
# Note: Launched June 2017. Native token for the decentralized iGaming ecosystem.
# --------------------------------------------------
Date,open,high,low,close,Volume_FUN,Volume_USD
2016-05-08,3.999,5.01,3.999,5.01,29.75,139.16
2016-05-09,5.128,5.157,5.065,5.111,7.79,39.81
2016-05-10,5.11,5.111,5.11,5.111,6.922,35.38
2016-05-11,5.35,5.35,5.35,5.35,0.005371,0.02874
2016-05-12,5.201,5.201,5.201,5.201,4.444,23.11
2016-05-13,5.201,5.245,5.201,5.245,12.52,65.44
2016-05-14,5.146,5.199,4.519,4.519,6.337,28.64
2016-05-15,4.519,5.222,0.0519,4.581,31.75,145.45
2016-05-16,4.581,5.186,2.274,5.186,16.4,85.04
2016-05-17,5.186,5.167,3.626,3.626,8.252,29.92
2016-05-18,0.9065,0.9084,0.4542,0.7022,216.36,151.93
2016-05-19,1.771,1.726,0.8853,0.8853,28.21,24.97
2016-05-20,0.5312,1.101,0.3979,0.3979,330.75,131.62
2016-05-21,0.5747,0.8873,0.3549,0.8873,133.47,118.43
2016-05-22,0.7,1.2,0.7,1.2,90.38,69.45
2016-05-23,0.5275,0.7986,0.5324,0.5324,92.51,49.25
2016-05-24,0.5324,1.115,0.5353,0.9814,148.19,145.44
2016-05-25,5.245,9.999,2.5,3.51,545.38,2574.68
2016-05-26,2.924,4.08,1.302,2.267,427.79,969.59
2016-05-27,2.267,3.318,0.8201,0.9955,220.52,219.53
2016-05-28,1.896,2.097,1.048,1.048,91.28,95.7
2016-05-29,1.048,2.064,1.032,1.032,43.86,45.27
2016-05-30,1.032,1.176,1.011,1.176,41.09,48.33
2016-05-31,2.2,7.5,1.0,1.2,596.22,2078.57
2016-06-01,0.4231,1.021,0.3224,0.7792,105.42,82.15
2016-06-02,0.6986,1.611,0.4297,1.611,48.5,78.15
2016-06-03,2.041,2.552,2.053,2.098,2200.42,4616.51
2016-06-04,2.098,2.116,1.527,1.527,3.407,5.203
2016-06-05,1.418,1.426,1.426,1.426,0.04032,0.05749
2016-06-06,1.317,2.013,0.4609,2.013,250.77,504.89
2016-06-07,0.4377,0.4317,0.4317,0.4317,29.78,12.86
2016-06-08,0.4317,1.161,0.1742,0.18,189.49,34.1
2016-06-09,0.18,0.1782,0.1782,0.1782,308.43,54.95
2016-06-10,0.1782,0.4623,0.1667,0.4623,293.95,135.88
2016-06-11,0.5721,0.5857,0.05922,0.4141,1.27,0.5259
2016-06-12,0.05922,0.06672,0.06672,0.06672,1.0,0.06672
2016-06-13,0.4599,0.483,0.07008,0.35,17.62,6.168
2016-06-14,0.07008,0.06858,0.06858,0.06858,6.661,0.4568
2016-06-15,0.3357,0.3384,0.3384,0.3384,6.124,2.072
2016-06-16,0.549,0.6183,0.6183,0.6183,0.01162,0.007185
2016-06-17,0.0762,0.07454,0.07446,0.07454,591.92,44.12
2016-06-18,0.07446,0.07545,0.07545,0.07545,30.41,2.295
2016-06-19,0.07545,0.1826,0.0761,0.0761,104.29,7.937
2016-06-20,0.2664,0.3303,0.2569,0.2569,59.0,15.16
2016-06-21,0.03303,0.03003,0.03003,0.03003,34.78,1.045
2016-06-22,2.0,2.0,2.0,2.0,2.703,5.405
2016-06-23,0.2067,0.2793,0.02794,0.02794,371.02,10.37
2016-06-24,0.02882,0.2232,0.03049,0.2232,35.26,7.87
2016-06-25,0.2232,0.2389,0.03298,0.2389,517.22,123.55
2016-06-26,0.2255,0.2846,0.03752,0.2846,46.17,13.14
2016-06-27,0.04315,0.04448,0.04448,0.04448,5.223,0.2323
2016-06-28,0.04642,0.04643,0.04643,0.04643,34.9,1.62
2016-06-29,0.04675,0.04615,0.03196,0.03196,66.65,2.13
2016-06-30,0.03203,0.03484,0.03372,0.03484,83.02,2.893
2016-07-01,0.03571,0.0742,0.03595,0.0742,163.49,12.13
2016-07-02,0.0742,0.07679,0.04887,0.06981,20.6,1.438
2016-07-03,0.06981,0.06616,0.04631,0.04631,53.07,2.458
2016-07-04,0.04631,0.2289,0.04726,0.2289,58.16,13.31
2016-07-05,0.05638,0.05547,0.05542,0.05547,34.79,1.93
2016-07-06,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-07,0.05641,0.1904,0.05327,0.1904,78.97,15.03
2016-07-08,0.05336,0.1326,0.03074,0.03074,13751.94,422.73
2016-07-09,0.03075,0.08474,0.03023,0.03023,2099.57,63.47
2016-07-10,0.03031,0.03234,0.03002,0.03234,1213.67,39.25
2016-07-11,0.03234,0.0569,0.03232,0.0569,1.572,0.08944
2016-07-12,0.03232,0.05358,0.03018,0.05358,442.2,23.69
2016-07-13,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-14,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-15,0.02975,0.03007,0.03006,0.03006,488.45,14.68
2016-07-16,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-17,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-18,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-19,0.03031,0.03035,0.0302,0.0302,14.13,0.4267
2016-07-20,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-21,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-22,0.02991,0.0293,0.0293,0.0293,22.65,0.6636
2016-07-23,0.0293,0.02948,0.02948,0.02948,931.35,27.46
2016-07-24,0.008746,0.008802,0.008604,0.008604,32.88,0.2829
2016-07-25,0.008604,0.008548,0.008535,0.008548,35.6,0.3043
2016-07-26,0.008554,0.02551,0.008559,0.008559,61.59,0.5272
2016-07-27,0.008559,0.008561,0.008561,0.008561,6.056,0.05185
2016-07-28,0.008574,0.008569,0.008569,0.008569,20.53,0.1759
2016-07-29,0.008569,0.01639,0.008521,0.01311,3782.35,49.58
2016-07-30,1.999,1.999,1.999,1.999,0.0,0.0
2016-07-31,0.007857,0.007462,0.003874,0.003893,273.57,1.065
2016-08-01,0.003905,0.003812,0.003648,0.003648,6090.79,22.22
2016-08-02,1.999,1.999,1.999,1.999,0.0,0.0
2016-08-03,0.003096,0.003416,0.003416,0.003416,92.26,0.3151
2016-08-04,1.999,1.999,1.999,1.999,0.0,0.0
2016-08-05,0.003584,0.003574,0.003574,0.003574,829.3,2.964
2016-08-06,1.999,1.999,1.999,1.999,0.0,0.0
2016-08-07,0.2999,0.2999,0.2999,0.2999,0.38,0.114
2016-08-08,0.2999,0.2999,0.2999,0.2999,0.0,0.0
2016-08-09,0.2999,0.2999,0.2999,0.2999,0.0,0.0
2016-08-10,0.01139,0.05614,0.0115,0.05614,4345.43,243.95
2016-08-11,0.05318,0.08818,0.00408,0.00408,4681.59,19.1
2016-08-12,0.00408,0.05282,0.00357,0.004697,7004.01,32.9
2016-08-13,0.004697,0.005846,0.004677,0.004677,1231.64,5.76
2016-08-14,0.004677,0.00626,0.003488,0.00626,8529.7,53.39
2016-08-15,0.00626,0.006236,0.004366,0.006236,740.91,4.621
2016-08-16,0.006236,0.03423,0.003771,0.03417,5863.69,200.38
2016-08-17,0.008709,0.02283,0.004579,0.02283,1102.66,25.17
2016-08-18,0.01712,0.01715,0.01715,0.01715,60.28,1.034
2016-08-19,7.344,7.344,7.344,7.344,0.0,0.0
2016-08-20,7.344,7.344,7.344,7.344,0.0,0.0
2016-08-21,0.005844,0.02787,0.005824,0.02787,3535.06,98.51
2016-08-22,0.006457,0.02813,0.006533,0.02813,20.84,0.5862
2016-08-23,0.0796,0.0796,0.0796,0.0796,0.0,0.0
2016-08-24,0.02451,0.0266,0.01739,0.01739,67.48,1.173
2016-08-25,0.01739,0.01734,0.006953,0.006953,545.75,3.795
2016-08-26,0.006953,0.04345,0.003586,0.005794,9836.77,56.99
2016-08-27,0.004073,0.00401,0.00401,0.00401,58.99,0.2365
2016-08-28,0.004021,0.004054,0.004048,0.004054,117.4,0.4759
2016-08-29,0.00433,0.004324,0.004324,0.004324,77.07,0.3332
2016-08-30,0.004324,0.004347,0.004347,0.004347,65.69,0.2856
2016-08-31,0.0796,0.0796,0.0796,0.0796,0.0,0.0
2016-09-01,0.004425,0.00441,0.00441,0.00441,76.42,0.337
2016-09-02,0.0796,0.0796,0.0796,0.0796,0.0,0.0
2016-09-03,0.007513,0.02994,0.005994,0.01498,1112714.24,16665.11
2016-09-04,0.07906,6.07,0.05,0.05,895.37,72.18
2016-09-05,0.04267,0.04469,0.03258,0.0424,476.59,20.21
2016-09-06,0.0424,0.04498,0.04273,0.04498,26.64,1.198
2016-09-07,0.05,0.05,0.05,0.05,0.0,0.0
2016-09-08,0.05,0.05,0.05,0.05,0.0,0.0
2016-09-09,0.05,0.05,0.05,0.05,0.0,0.0
2016-09-10,0.04362,0.04372,0.04372,0.04372,10.16,0.4442
2016-09-11,0.04372,0.04437,0.01094,0.04239,131.74,5.585
2016-09-12,0.04239,0.04256,0.01551,0.03648,454.18,16.57
2016-09-13,0.05,0.05,0.05,0.05,0.0,0.0
2016-09-14,0.05,0.05,0.05,0.05,0.0,0.0
2016-09-15,0.03657,0.03649,0.01551,0.02128,388.32,8.265
2016-09-16,0.02128,0.04233,0.02127,0.03951,1209.81,47.79
2016-09-17,0.03951,0.0425,0.03946,0.0425,33.23,1.412
2016-09-18,0.0425,1.618,0.04275,0.1222,199.12,24.33
2016-09-19,0.1222,1.159,0.122,0.122,35.29,4.304
2016-09-20,0.122,0.5909,0.05483,0.05483,192.39,10.55
2016-09-21,0.05483,0.415,0.05374,0.415,32.67,13.56
2016-09-22,0.415,0.4139,0.05539,0.05539,25.85,1.432
2016-09-23,0.05539,0.1804,0.04829,0.04829,1486.45,71.79
2016-09-24,0.03026,0.04217,0.03024,0.03617,745.18,26.95
2016-09-25,0.03616,0.03609,0.0302,0.03022,1172.18,35.42
2016-09-26,0.03024,0.05391,0.03033,0.04852,5085.77,246.78
2016-09-27,0.02123,0.04841,0.01608,0.01608,3506.88,56.4
2016-09-28,0.01212,0.0121,0.007746,0.007794,404.29,3.151
2016-09-29,0.007818,0.007825,0.007819,0.007825,185.36,1.45
2016-09-30,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-01,0.007912,0.02411,0.00798,0.02411,374.74,9.036
2016-10-02,0.02441,0.1221,0.0243,0.1221,3236.52,395.3
2016-10-03,0.1221,0.7309,0.01563,0.01835,6865.57,125.97
2016-10-04,0.01605,0.06015,0.01599,0.04872,949.59,46.26
2016-10-05,0.04872,0.05467,0.02386,0.05467,206.33,11.28
2016-10-06,0.05464,0.05456,0.03666,0.03666,57.31,2.101
2016-10-07,0.0543,0.05475,0.03696,0.05475,447.17,24.48
2016-10-08,0.02465,0.02471,0.01203,0.01237,3311.13,40.96
2016-10-09,0.01267,0.0546,0.01263,0.05234,1118.07,58.52
2016-10-10,0.01856,0.02191,0.01861,0.02191,153.21,3.357
2016-10-11,0.02195,0.05047,0.02277,0.03202,238.49,7.637
2016-10-12,0.02434,0.0318,0.02417,0.02449,29.22,0.7155
2016-10-13,0.02449,0.04194,0.02415,0.03623,127.12,4.605
2016-10-14,0.03623,0.03636,0.02424,0.02424,234.63,5.688
2016-10-15,0.02424,0.02421,0.01975,0.01975,8.006,0.1581
2016-10-16,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-17,0.03553,0.04844,0.03537,0.04843,165.13,7.998
2016-10-18,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-19,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-20,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-21,0.02199,0.03682,0.02207,0.03682,264.69,9.745
2016-10-22,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-23,0.02295,0.02287,0.02025,0.02025,731.96,14.82
2016-10-24,0.02024,0.03246,0.02017,0.03246,273.7,8.884
2016-10-25,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-26,0.0511,0.0511,0.0511,0.0511,0.0,0.0
2016-10-27,0.03329,0.03367,0.03367,0.03367,3.0,0.101
2016-10-28,0.03281,0.033,0.0146,0.01519,638.54,9.697
2016-10-29,0.01519,0.01583,0.01583,0.01583,5.74,0.09086
2016-10-30,0.01584,0.01544,0.01544,0.01544,69.9,1.079
2016-10-31,0.01543,0.01607,0.01546,0.01607,36.85,0.5922
2016-11-01,0.01608,0.01674,0.01673,0.01674,80.25,1.343
2016-11-02,0.01675,0.01691,0.01689,0.01689,55.18,0.9321
2016-11-03,0.01689,0.01577,0.01577,0.01577,5.124,0.08082
2016-11-04,0.01583,0.01624,0.01623,0.01624,141.03,2.29
2016-11-05,0.01623,0.01623,0.01264,0.01334,8740.95,116.61
2016-11-06,0.01405,0.01421,0.007255,0.007255,3529.21,25.61
2016-11-07,0.00717,0.007132,0.007125,0.007132,536.09,3.823
2016-11-08,0.01312,0.01322,0.007137,0.008531,343.93,2.934
2016-11-09,0.01066,0.01082,0.007229,0.007229,32.51,0.235
2016-11-10,0.01,0.01,0.0007049,0.0007049,1949.14,19.49
2016-11-11,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-11-12,0.009766,0.03396,0.00962,0.03395,4674.61,158.72
2016-11-13,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-11-14,0.02106,0.02959,0.007785,0.008109,289.47,2.347
2016-11-15,0.008455,0.03129,0.008533,0.02987,425.16,12.7
2016-11-16,0.008533,0.03567,0.008883,0.01488,727364.84,10822.92
2016-11-17,0.01555,0.01991,0.01548,0.01991,140.41,2.796
2016-11-18,0.01991,0.03137,0.01867,0.01867,199.82,3.731
2016-11-19,0.01867,0.0187,0.008638,0.008638,5265.22,45.48
2016-11-20,0.008646,0.008422,0.007394,0.007394,993.85,7.349
2016-11-21,0.01739,0.01757,0.003799,0.007362,17624.48,129.75
2016-11-22,0.007362,0.007493,0.00562,0.00562,2514.99,14.13
2016-11-23,0.003747,0.003705,0.002668,0.002668,2536.29,6.766
2016-11-24,0.002712,0.002691,0.002485,0.002485,2376.59,5.907
2016-11-25,0.002397,0.002414,0.002369,0.002369,9538.58,22.6
2016-11-26,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
