# Dataset Report: Gnosis (GNO)
# Coin Name: Gnosis
# Symbol: GNO
# Approx Row Count: 3206
# Date Range: 2017-05-01 to 2026-02-08
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_GNO, Volume_USD
# Note: Launched May 2017. Infrastructure for Prediction Markets & Gnosis Chain.
# --------------------------------------------------
Date,open,high,low,close,Volume_GNO,Volume_USD
2017-05-01,398.11,443.08,41.95,79.93,17947.37,1434594.84
2017-05-02,75.66,111.57,72.37,89.32,229415.64,20490279.93
2017-05-03,89.32,95.74,74.31,78.66,75727.54,5956718.64
2017-05-04,78.66,89.53,77.46,86.44,41461.09,3583902.94
2017-05-05,86.44,86.08,75.74,83.68,32950.33,2757324.31
2017-05-06,83.68,114.68,85.13,112.03,49380.82,5532307.33
2017-05-07,112.03,116.13,99.19,101.72,22502.34,2289010.21
2017-05-08,101.72,131.08,99.52,112.65,27172.09,3060972.07
2017-05-09,112.65,119.83,85.44,96.66,16017.28,1548160.61
2017-05-10,96.66,114.02,96.45,112.5,7977.75,897483.33
2017-05-11,112.5,118.33,101.9,110.27,8034.52,885943.76
2017-05-12,110.27,110.88,96.71,105.28,5590.3,588554.21
2017-05-13,105.28,114.22,109.12,110.76,3760.54,416528.21
2017-05-14,110.76,117.63,107.42,110.75,3956.65,438194.73
2017-05-15,110.75,124.41,105.18,117.76,11500.27,1354291.08
2017-05-16,117.76,129.25,118.2,118.96,9259.77,1101554.26
2017-05-17,118.96,126.15,117.41,120.81,6294.85,760500.92
2017-05-18,120.81,140.43,125.24,135.51,8157.02,1105329.39
2017-05-19,135.51,186.27,138.05,166.08,21395.05,3553360.51
2017-05-20,166.08,187.19,159.68,178.39,8817.64,1573008.24
2017-05-21,178.39,220.16,175.68,216.68,11980.88,2596066.68
2017-05-22,216.68,245.37,195.45,222.43,19376.81,4309901.05
2017-05-23,222.43,243.85,213.03,231.12,10148.37,2345505.34
2017-05-24,231.12,299.3,244.14,263.85,12946.88,3415978.77
2017-05-25,263.85,262.1,217.82,222.65,10432.63,2322790.95
2017-05-26,222.62,232.35,195.53,205.65,8575.22,1763531.49
2017-05-27,205.72,209.96,150.26,192.07,6664.91,1280105.27
2017-05-28,192.07,217.96,202.86,213.95,4370.57,935104.49
2017-05-29,213.95,228.5,217.89,226.16,3290.24,744113.79
2017-05-30,226.16,261.79,215.37,260.26,6978.08,1816084.99
2017-05-31,260.26,277.32,250.83,261.66,7411.7,1939341.15
2017-06-01,261.66,277.7,244.4,253.09,7088.82,1794088.08
2017-06-02,253.09,268.45,254.49,255.49,4146.49,1059392.95
2017-06-03,255.49,266.76,257.09,260.91,4173.22,1088820.54
2017-06-04,260.91,269.32,256.95,264.02,1848.48,488029.55
2017-06-05,264.02,283.48,254.59,261.25,5036.09,1315653.52
2017-06-06,261.25,278.32,253.81,269.08,7508.05,2020271.12
