# Dataset Report: Ink (INK)
# Coin Name: Ink (Legacy 2017 Project)
# Symbol: INK
# Base Currency: BTC
# Date Range: 2017-12-01 to 2026-02-15
# Frequency: Daily
# Note: Creative industry project on Qtum. Not to be confused with Kraken's Ink L2.
# --------------------------------------------------
Date,open,high,low,close,Volume_INK,Volume_BTC
2017-12-01,1.891e-05,1.938e-05,1.8e-05,1.819e-05,2497925.99,47.17
2017-12-02,1.819e-05,2.089e-05,1.54e-05,1.918e-05,31210531.45,549.51
2017-12-03,1.92e-05,1.94e-05,1.798e-05,1.88e-05,725169.81,13.58
2017-12-04,1.88e-05,1.926e-05,1.752e-05,1.873e-05,3665570.36,69.9
2017-12-05,1.873e-05,1.926e-05,1.752e-05,1.845e-05,3276603.77,60.65
2017-12-06,1.845e-05,1.997e-05,1.672e-05,1.721e-05,12604118.58,247.94
2017-12-07,1.721e-05,1.999e-05,1.501e-05,1.56e-05,564328.79,9.662
2017-12-08,1.559e-05,1.75e-05,1.445e-05,1.627e-05,1259874.86,20.77
2017-12-09,1.627e-05,2.286e-05,1.559e-05,2.072e-05,1094206.76,21.29
2017-12-10,2.072e-05,2.41e-05,1.82e-05,1.966e-05,437044.4,8.955
2017-12-11,1.966e-05,1.966e-05,1.629e-05,1.858e-05,408149.05,7.264
2017-12-12,1.858e-05,1.858e-05,1.597e-05,1.766e-05,8168888.48,145.17
2017-12-13,1.767e-05,2.266e-05,1.675e-05,2.252e-05,5531843.81,113.31
2017-12-14,2.252e-05,2.999e-05,2.063e-05,2.9e-05,9071995.83,222.98
2017-12-15,2.9e-05,4.275e-05,1.82e-05,3.206e-05,7111697.68,213.63
2017-12-16,3.205e-05,3.663e-05,2.7e-05,2.922e-05,26969497.53,783.81
2017-12-17,2.922e-05,3.462e-05,2.803e-05,3.462e-05,54771542.26,1810.11
2017-12-18,3.462e-05,4.801e-05,3.031e-05,4.662e-05,5325752.15,197.96
2017-12-19,4.681e-05,5.798e-05,4.1e-05,5.15e-05,3588460.74,189.33
2017-12-20,5.15e-05,5.319e-05,4.513e-05,4.85e-05,9373041.74,466.66
2017-12-21,4.85e-05,5e-05,4.41e-05,4.858e-05,4224055.7,200.23
2017-12-22,4.858e-05,5.498e-05,3.8e-05,4.251e-05,3871443.12,171.28
2017-12-23,4.3e-05,4.428e-05,4.021e-05,4.312e-05,15991012.11,692.84
