# Dataset Report: KuCoin Token (KCS)
# Coin Name: KuCoin Token
# Symbol: KCS
# Approx Row Count: 2974
# Date Range: 2017-12-13 to 2026-02-02
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_KCS, Volume_USD
# Note: Launched ~Sep 2017. Native token of KuCoin Exchange.
# --------------------------------------------------
Date,open,high,low,close,Volume_KCS,Volume_USD
2017-12-13,0.476,0.5081,0.4319,0.508,489749.32,248785.76
2017-12-14,0.5016,0.5594,0.4776,0.55,396625.68,218155.31
2017-12-15,0.55,0.5959,0.5061,0.559,531796.88,297249.99
2017-12-16,0.5096,0.7095,0.5162,0.7095,146640.69,104035.4
2017-12-17,0.7089,0.7967,0.6854,0.778,89116.76,69332.63
2017-12-18,0.778,0.8599,0.709,0.8017,141825.8,113703.13
2017-12-19,0.8345,0.9489,0.7539,0.9286,800750.93,743561.99
2017-12-20,0.9285,0.8908,0.7433,0.8792,594923.99,523077.29
2017-12-21,0.8511,0.9694,0.8289,0.9196,251551.24,231336.42
2017-12-22,0.9218,0.8061,0.716,0.7856,471740.0,370598.53
2017-12-23,0.8045,0.8756,0.816,0.8566,406434.73,348167.48
2017-12-24,0.852,0.935,0.8001,0.9347,704372.13,658364.52
2017-12-25,0.9188,1.293,0.9162,1.286,255897.81,329203.85
2017-12-26,1.27,1.62,1.172,1.581,357846.67,565893.93
2017-12-27,1.575,2.442,1.47,2.427,649630.58,1576655.5
2017-12-28,2.423,2.995,1.762,2.806,939303.87,2635974.68
2017-12-29,2.754,3.683,2.441,3.106,575327.33,1787150.79
2017-12-30,3.166,2.907,2.257,2.838,425481.91,1207683.29
2017-12-31,2.84,3.615,2.974,3.615,528576.37,1910779.47
2018-01-01,3.615,3.751,3.246,3.736,487595.74,1821819.64
2018-01-02,3.736,7.798,3.969,7.266,893221.1,6490509.86
2018-01-03,7.266,8.336,6.442,7.957,821186.04,6534362.5
2018-01-04,7.957,7.985,5.77,6.527,569358.01,3716447.06
2018-01-05,6.497,8.443,6.256,7.436,568587.99,4228228.69
2018-01-06,7.436,15.42,7.367,13.36,1047080.21,13989043.33
2018-01-07,13.36,21.08,12.46,18.01,804073.66,14483985.97
2018-01-08,18.5,18.68,13.7,17.72,460364.78,8156194.93
2018-01-09,17.72,17.36,15.92,16.36,344053.94,5630055.15
2018-01-10,16.38,21.93,16.46,20.56,435874.64,8961171.66
2018-01-11,20.56,19.42,15.42,18.92,372349.14,7046357.96
2018-01-12,18.92,20.76,18.44,18.96,293107.96,5558039.26
2018-01-13,18.96,20.23,14.06,17.52,352118.35,6168774.61
2018-01-14,17.52,17.77,13.64,14.18,356750.04,5060205.07
2018-01-15,14.18,15.68,10.63,13.48,486501.65,6559028.97
2018-01-16,13.48,12.41,8.192,10.15,504400.79,5119530.82
2018-01-17,10.15,11.39,8.372,11.39,347325.5,3954632.17
2018-01-18,11.39,12.63,9.566,10.06,272812.36,2743937.99
2018-01-19,9.997,10.77,9.117,9.331,319372.9,2980219.73
2018-01-20,9.332,11.89,10.06,11.31,249266.79,2820151.34
2018-01-21,11.31,10.32,9.286,9.471,162270.01,1536849.95
2018-01-22,9.471,9.032,7.922,8.296,191144.1,1585696.72
2018-01-23,8.296,8.469,7.65,7.88,157510.33,1241152.66
2018-01-24,7.869,8.521,7.326,7.692,196158.89,1508801.31
2018-01-25,7.675,8.258,7.063,7.29,192988.82,1406892.36
2018-01-26,7.29,7.827,6.889,7.671,166161.64,1274589.61
2018-01-27,7.655,10.54,7.896,10.22,257349.86,2630940.97
2018-01-28,10.22,12.39,9.461,10.67,318694.14,3401530.97
2018-01-29,10.67,10.43,9.255,9.389,161512.62,1516496.16
2018-01-30,9.389,8.744,7.632,7.985,151796.65,1212056.08
2018-01-31,7.985,8.315,7.864,8.084,104697.66,846410.73
2018-02-01,8.084,7.557,6.735,7.219,125112.19,903167.16
2018-02-02,7.219,7.056,5.734,6.751,143484.02,968616.72
2018-02-03,6.752,7.947,6.855,7.678,119647.48,918608.96
2018-02-04,7.678,7.018,5.967,6.018,117888.75,709463.69
2018-02-05,6.018,5.233,4.239,4.587,166926.66,765658.75
2018-02-06,4.586,5.814,4.471,5.69,192503.25,1095430.82
2018-02-07,5.69,6.036,5.099,5.249,133522.69,700840.22
2018-02-08,5.25,6.084,5.638,5.854,76008.87,444982.6
2018-02-09,5.853,6.252,5.827,5.871,103254.08,606228.45
2018-02-10,5.871,6.169,5.142,5.668,93882.56,532100.85
2018-02-11,5.668,5.462,5.166,5.244,56472.8,296170.84
2018-02-12,5.216,5.954,5.57,5.773,100362.11,579362.43
2018-02-13,5.773,5.664,5.423,5.462,55670.54,304059.45
2018-02-14,5.462,6.152,5.686,5.733,84557.22,484776.76
2018-02-15,5.733,6.202,5.664,5.961,95709.93,570531.76
2018-02-16,5.961,6.107,5.772,5.853,69935.73,409363.58
2018-02-17,5.839,6.403,5.771,5.771,90216.66,520599.68
2018-02-18,5.771,5.667,5.261,5.466,67819.57,370696.38
2018-02-19,5.466,5.867,4.473,5.162,98118.32,506461.3
2018-02-20,5.2,5.256,4.358,4.391,141039.98,619325.36
2018-02-21,4.391,4.585,4.023,4.423,86214.47,381349.06
2018-02-22,4.423,4.224,3.88,4.21,64840.11,272977.05
2018-02-23,4.21,4.683,4.236,4.683,75745.34,354697.98
2018-02-24,4.683,4.55,4.276,4.295,57963.39,248940.33
2018-02-25,4.295,4.735,4.252,4.631,78640.71,364193.94
2018-02-26,4.631,4.99,4.622,4.637,63762.36,295640.46
2018-02-27,4.637,4.831,4.376,4.403,72112.29,317523.56
2018-02-28,4.403,4.333,4.083,4.202,56567.05,237693.8
2018-03-01,4.202,4.45,4.154,4.247,66227.22,281277.15
2018-03-02,4.268,4.332,4.122,4.15,46801.0,194224.36
2018-03-03,4.15,4.357,3.44,3.703,88537.17,327880.7
2018-03-04,3.703,4.215,3.522,3.859,102160.0,394192.78
2018-03-05,3.858,3.885,3.599,3.661,55402.05,202828.77
2018-03-06,3.661,3.544,3.174,3.263,72789.08,237474.61
2018-03-07,3.263,3.229,2.993,3.227,100460.9,324165.42
2018-03-08,3.227,3.152,2.946,3.08,57739.62,177844.24
2018-03-09,3.08,3.144,3.0,3.142,73469.4,230858.29
2018-03-10,3.142,3.214,2.932,3.09,50663.78,156575.45
2018-03-11,3.09,3.45,3.198,3.244,47646.68,154579.7
2018-03-12,3.244,3.398,3.082,3.365,42881.14,144304.7
2018-03-13,3.365,3.424,3.288,3.288,62283.14,204817.05
2018-03-14,3.288,2.982,2.72,2.776,112153.47,311331.2
2018-03-15,2.794,2.815,2.325,2.659,118510.06,315132.55
2018-03-16,2.659,2.664,2.287,2.393,118060.95,282522.82
2018-03-17,2.393,2.319,2.103,2.182,70411.96,153648.68
2018-03-18,2.182,2.312,2.045,2.301,102670.24,236257.93
2018-03-19,2.312,2.846,2.333,2.727,93008.65,253600.81
2018-03-20,2.727,3.174,2.801,3.104,68777.27,213451.29
