# Dataset Report: Litecoin (LTC)
# Coin Name: Litecoin
# Symbol: LTC
# Approx Row Count: 4500
# Date Range: 2013-09-29 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_LTC, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_LTC,Volume_USD
2013-09-29,2.565,2.59,2.59,2.59,5.0,12.95
2013-09-30,2.59,2.554,2.554,2.554,56.23,143.62
2013-10-01,2.554,2.666,2.525,2.666,1.0,2.666
2013-10-02,2.666,2.337,2.337,2.337,1.5,3.505
2013-10-03,2.337,2.502,2.489,2.502,92.74,232.03
2013-10-05,2.613,2.611,2.611,2.611,3.0,7.833
2013-10-06,2.611,2.632,2.632,2.632,2.0,5.264
2013-10-07,2.632,2.594,2.348,2.348,1.0,2.348
2013-10-08,2.348,2.36,2.29,2.29,150.0,343.55
2013-10-09,2.29,2.341,2.232,2.232,100.0,223.2
2013-10-10,2.232,2.682,2.247,2.682,10.0,26.82
2013-10-11,2.682,2.802,2.101,2.802,497.76,1394.72
2013-10-12,2.802,2.858,2.429,2.572,300.0,771.61
2013-10-14,2.656,2.876,2.725,2.876,5.0,14.38
2013-10-15,2.876,3.004,3.004,3.004,2.0,6.007
2013-10-16,3.004,2.904,2.139,2.751,108.0,297.08
2013-10-17,2.751,2.994,2.837,2.837,184.94,524.6
2013-10-20,3.297,3.35,3.164,3.164,1.0,3.164
2013-10-21,3.164,3.277,1.735,1.735,5.0,8.675
2013-10-22,1.735,1.827,1.827,1.827,5.0,9.135
2013-10-24,2.052,4.347,1.863,4.347,623.0,2707.92
2013-10-25,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-26,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-27,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-28,4.345,5.959,2.406,2.406,11.6,27.91
2013-10-29,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-30,2.512,2.479,2.419,2.454,10.36,25.43
2013-10-31,2.454,2.492,2.483,2.485,52.73,131.06
2013-11-01,2.485,2.595,2.512,2.595,26.58,68.98
2013-11-02,2.595,2.672,2.574,2.672,100.0,267.15
