# Dataset Report: Livepeer (LPT)
# Coin Name: Livepeer
# Symbol: LPT
# Approx Row Count: 2595
# Date Range: 2019-01-03 to 2026-02-09
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_LPT, Volume_USD
# Note: Launched May 2018. Decentralized Video Streaming Network.
# --------------------------------------------------
Date,open,high,low,close,Volume_LPT,Volume_USD
2019-01-03,3.229,4.219,3.107,3.452,2955.06,10201.68
2019-01-04,3.452,3.487,3.082,3.141,532.3,1672.0
2019-01-05,3.141,3.508,2.728,3.237,2336.06,7560.89
2019-01-06,3.237,3.444,3.077,3.2,142.61,456.38
2019-01-07,3.2,3.24,2.884,2.957,928.49,2745.35
2019-01-08,2.957,3.152,2.869,2.949,1013.03,2987.77
2019-01-09,2.949,3.074,2.432,3.074,1676.83,5155.09
2019-01-10,3.074,2.841,2.527,2.527,1934.17,4888.33
2019-01-11,2.527,2.679,2.33,2.407,2145.74,5164.79
2019-01-12,2.407,2.58,2.327,2.435,1934.87,4712.08
2019-01-13,2.435,2.45,2.306,2.446,478.13,1169.72
2019-01-14,2.446,2.552,2.352,2.398,683.76,1639.59
2019-01-15,2.398,2.379,2.3,2.31,265.76,614.0
2019-01-16,2.31,2.474,2.264,2.36,1770.87,4179.63
2019-01-17,2.36,2.901,2.387,2.653,2326.88,6174.18
2019-01-18,2.653,2.656,2.423,2.444,808.77,1976.79
2019-01-19,2.444,2.552,2.414,2.414,155.68,375.86
2019-01-20,2.414,2.409,2.064,2.107,1160.59,2445.07
2019-01-21,2.107,2.24,2.067,2.09,1627.89,3401.6
2019-01-22,2.09,2.187,2.084,2.125,237.66,504.99
2019-01-23,2.125,2.236,2.06,2.141,487.33,1043.42
2019-01-24,2.141,2.219,2.093,2.219,317.7,704.93
2019-01-25,2.219,2.209,2.084,2.125,333.15,707.95
2019-01-26,2.125,2.316,2.104,2.14,1765.55,3777.5
2019-01-27,2.14,2.253,2.06,2.239,872.04,1952.38
2019-01-28,2.239,2.24,2.042,2.042,309.55,632.21
2019-01-29,2.042,2.022,1.709,1.914,1867.92,3575.61
2019-01-30,1.914,2.167,1.838,2.04,1746.47,3563.59
2019-01-31,2.04,2.127,1.717,1.959,1536.81,3010.35
2019-02-01,1.959,4.327,1.975,3.301,6600.26,21785.24
2019-02-02,3.301,5.193,2.815,4.179,5247.12,21926.86
2019-02-03,4.179,4.829,3.57,4.464,1418.22,6330.66
2019-02-04,4.464,5.662,4.44,5.02,3450.04,17318.87
2019-02-05,5.02,5.758,4.778,5.103,1671.94,8531.14
2019-02-06,5.103,5.225,3.66,4.312,2082.95,8980.66
2019-02-07,4.312,5.036,3.645,4.408,1253.1,5523.89
2019-02-08,4.408,5.117,4.355,4.374,1088.43,4760.51
2019-02-09,4.374,4.931,4.35,4.653,501.78,2334.77
2019-02-10,4.653,4.809,4.385,4.415,969.22,4278.91
2019-02-11,4.415,4.897,4.178,4.409,2737.32,12070.07
2019-02-12,4.409,4.873,3.23,4.46,2756.34,12294.01
2019-02-13,4.46,6.022,4.421,5.232,1444.39,7557.22
2019-02-14,5.232,6.061,4.87,5.426,1005.0,5453.28
2019-02-15,5.426,5.886,5.07,5.52,796.5,4396.36
2019-02-16,5.52,5.856,5.064,5.209,626.22,3261.87
2019-02-17,5.209,6.039,4.897,5.69,962.2,5474.85
2019-02-18,5.69,6.064,5.431,5.669,522.89,2964.43
2019-02-19,5.669,6.016,5.415,5.592,721.87,4036.73
2019-02-20,5.592,5.961,4.999,5.421,2444.5,13250.67
2019-02-21,5.421,5.906,4.402,5.76,3667.18,21122.55
2019-02-22,5.76,5.975,5.565,5.772,865.35,4994.92
2019-02-23,5.772,6.41,5.809,5.896,492.3,2902.53
2019-02-24,5.896,5.903,5.326,5.416,1239.4,6712.65
2019-02-25,5.416,5.864,5.107,5.634,2606.31,14683.1
2019-02-26,5.634,5.899,5.345,5.899,2036.08,12010.07
2019-02-27,5.899,5.918,5.474,5.639,4679.21,26385.22
