# Dataset Report: MediBloc (MED)
# Coin Name: MediBloc
# Symbol: MED
# Approx Row Count: 2940
# Date Range: 2018-01-17 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MED, Volume_USD
# Note: Launched late 2017. Decentralized healthcare data management on Panacea blockchain.
# --------------------------------------------------
Date,open,high,low,close,Volume_MED,Volume_USD
2018-01-17,0.09557,0.1383,0.08915,0.123,5668126.41,696968.69
2018-01-18,0.124,0.16,0.1074,0.1327,10462070.42,1388307.02
2018-01-19,0.1368,0.1556,0.1317,0.139,7675545.71,1066948.75
2018-01-20,0.1411,0.1565,0.1058,0.13,15862598.66,2062240.93
2018-01-21,0.1289,0.1196,0.09442,0.09757,6577985.87,641783.63
2018-01-22,0.1007,0.103,0.08397,0.09397,8418394.96,791044.25
2018-01-23,0.09498,0.09451,0.07974,0.08959,7443681.36,666855.37
2018-01-24,0.08959,0.103,0.08919,0.09556,10877391.03,1039445.66
2018-01-25,0.09554,0.1402,0.0879,0.113,11287872.45,1275619.44
2018-01-26,0.1151,0.1258,0.08389,0.1049,12755779.26,1337545.5
2018-01-27,0.1049,0.1153,0.09871,0.102,4760325.05,485721.48
2018-01-28,0.1009,0.1145,0.0936,0.09853,6007207.12,591868.49
2018-01-29,0.09853,0.09594,0.08775,0.09126,3762835.8,343384.66
2018-01-30,0.0936,0.08723,0.07233,0.07872,6270656.63,493610.41
2018-01-31,0.07766,0.08224,0.07001,0.07557,4950438.73,374100.1
2018-02-01,0.07557,0.07183,0.05131,0.06157,5928046.15,364998.1
2018-02-02,0.06157,0.05964,0.03853,0.0578,11547525.95,667454.04
2018-02-03,0.0578,0.06116,0.05146,0.05728,4329847.05,248019.4
2018-02-04,0.05728,0.04966,0.04138,0.04303,4513847.85,194252.0
2018-02-05,0.04297,0.03684,0.0278,0.03197,6799743.34,217412.82
2018-02-06,0.03197,0.04239,0.03219,0.04082,8072696.63,329531.67
2018-02-07,0.04161,0.0421,0.03684,0.03759,5088388.94,191275.08
2018-02-08,0.03609,0.04475,0.03905,0.04393,2666331.43,117136.47
2018-02-09,0.04393,0.04916,0.04477,0.04828,2148880.59,103755.26
2018-02-10,0.04739,0.04764,0.04254,0.04254,2485223.98,105715.22
2018-02-11,0.0434,0.04137,0.03407,0.03813,4662839.62,177786.05
2018-02-12,0.03812,0.04153,0.03721,0.03894,2335763.15,90947.96
2018-02-13,0.03894,0.04037,0.03532,0.03784,1785986.48,67589.05
2018-02-14,0.03784,0.04417,0.0368,0.04233,4488964.96,189995.71
2018-02-15,0.04233,0.04361,0.03805,0.03805,1462236.47,55632.18
2018-02-16,0.0399,0.04127,0.0394,0.0394,232413.63,9156.36
2018-02-17,0.04033,0.04679,0.03997,0.04484,3583485.67,160681.42
2018-02-18,0.04484,0.04387,0.0393,0.04295,4087170.74,175557.47
2018-02-19,0.04295,0.04417,0.03947,0.04229,3172182.76,134153.35
2018-02-20,0.04323,0.04162,0.03631,0.03896,3646055.61,142060.83
2018-02-21,0.03896,0.03696,0.03192,0.03444,3354729.96,115550.65
2018-02-22,0.03361,0.0346,0.03138,0.0346,2684035.25,92865.18
2018-02-23,0.0346,0.03675,0.03419,0.03504,3101688.5,108691.54
2018-02-24,0.03504,0.03501,0.03167,0.03251,1347785.93,43811.28
2018-02-25,0.03167,0.03361,0.03109,0.03193,1883528.58,60142.27
2018-02-26,0.03193,0.03384,0.03123,0.03297,1340555.6,44197.53
2018-02-27,0.03297,0.03399,0.03051,0.03138,2595143.33,81427.5
2018-02-28,0.03138,0.03406,0.0281,0.03065,4307117.41,132030.38
2018-03-01,0.03065,0.03306,0.02958,0.03132,2732707.85,85575.62
2018-03-02,0.03131,0.03422,0.02823,0.03422,6336540.1,216861.75
2018-03-03,0.03422,0.03508,0.03166,0.03337,1682295.77,56138.8
2018-03-04,0.03337,0.03632,0.03286,0.03459,1841790.96,63713.44
2018-03-05,0.03546,0.03568,0.03058,0.03228,3507130.77,113203.03
2018-03-06,0.03228,0.031,0.02692,0.02773,3361110.78,93215.23
2018-03-07,0.02773,0.02629,0.02329,0.02404,2676727.02,64338.24
2018-03-08,0.02404,0.02376,0.01747,0.01957,3319440.99,64952.3
2018-03-09,0.01957,0.02472,0.01672,0.02181,4313045.52,94057.17
2018-03-10,0.02035,0.02388,0.0191,0.02047,2353507.91,48173.95
2018-03-11,0.02047,0.02377,0.02017,0.02233,1986654.52,44364.3
2018-03-12,0.02233,0.0223,0.02021,0.0223,2038732.99,45473.21
2018-03-13,0.0223,0.02208,0.02001,0.0207,950664.98,19677.62
2018-03-14,0.02208,0.02023,0.01901,0.01962,1306389.08,25632.4
2018-03-15,0.01962,0.01954,0.0171,0.01954,2534885.87,49526.4
2018-03-16,0.01954,0.01922,0.01802,0.01802,1231116.61,22179.67
2018-03-17,0.01802,0.01704,0.01374,0.01374,1781717.87,24489.27
2018-03-18,0.01539,0.01773,0.01343,0.01612,3612594.14,58240.08
2018-03-19,0.01558,0.01778,0.01556,0.01778,2367266.08,42084.31
2018-03-20,0.01778,0.02119,0.01728,0.02007,2240438.9,44971.25
2018-03-21,0.02007,0.02184,0.0196,0.02184,1879331.13,41038.0
2018-03-22,0.02184,0.02106,0.01836,0.02052,2410796.84,49459.47
2018-03-23,0.02052,0.02067,0.01795,0.02012,2977821.47,59918.86
2018-03-24,0.01958,0.02185,0.01873,0.02081,2944033.8,61254.74
2018-03-25,0.02081,0.02092,0.01935,0.01987,1267229.45,25185.4
2018-03-26,0.01987,0.01896,0.01702,0.01702,3585474.23,61020.29
2018-03-27,0.01701,0.01795,0.01571,0.01705,3074091.85,52424.46
2018-03-28,0.01705,0.01784,0.0165,0.01695,1167487.0,19783.46
2018-03-29,0.01784,0.01536,0.0142,0.01536,1971326.29,30271.69
2018-03-30,0.01497,0.01575,0.01418,0.01575,2974560.14,46857.65
2018-03-31,0.01575,0.01616,0.01497,0.01537,686426.73,10549.51
2018-04-01,0.01537,0.01553,0.01478,0.01515,1124109.06,17034.75
2018-04-02,0.01515,0.01616,0.015,0.015,1369432.68,20544.94
2018-04-03,0.015,0.01664,0.01581,0.01622,940278.87,15252.52
2018-04-04,0.01622,0.01515,0.01325,0.01477,2454098.57,36240.53
2018-04-05,0.01477,0.01487,0.01373,0.01411,1136085.5,16030.53
2018-04-06,0.01411,0.01481,0.01333,0.01407,1933014.61,27203.89
2018-04-07,0.01407,0.01501,0.01386,0.01501,1122963.13,16860.42
2018-04-08,0.01424,0.01563,0.01483,0.01483,638185.21,9462.14
2018-04-09,0.01483,0.01596,0.01476,0.01476,714245.16,10544.93
2018-04-10,0.01476,0.01663,0.01538,0.01579,1282697.69,20259.83
2018-04-11,0.01579,0.01679,0.01593,0.01593,1363050.77,21707.32
2018-04-12,0.01592,0.01926,0.01729,0.01778,3047535.91,54191.89
2018-04-13,0.01778,0.0193,0.01683,0.01881,2277069.61,42828.22
2018-04-14,0.01881,0.02162,0.0186,0.02061,3222925.84,66438.65
2018-04-15,0.02061,0.02243,0.0203,0.02083,931593.55,19406.82
2018-04-16,0.02083,0.01996,0.01842,0.01893,2373891.01,44942.01
2018-04-17,0.01893,0.01962,0.01861,0.01912,863222.73,16500.62
2018-04-18,0.01811,0.02051,0.01893,0.02051,1054638.25,21625.8
2018-04-19,0.02051,0.02553,0.02042,0.02099,6315277.03,132546.61
2018-04-20,0.02099,0.02654,0.02222,0.02654,9452917.36,250860.39
2018-04-21,0.02654,0.03692,0.02602,0.03692,13426005.23,495625.95
2018-04-22,0.03813,0.04474,0.03355,0.03417,8143039.75,278273.32
2018-05-03,0.03434,0.03888,0.03499,0.03499,2973082.78,104036.79
2018-05-04,0.035,0.03686,0.03215,0.03451,2693170.81,92928.51
2018-05-05,0.0345,0.03675,0.0343,0.0343,1027748.09,35248.02
2018-05-06,0.0343,0.03399,0.03162,0.03241,2102532.91,68134.66
2018-05-07,0.03241,0.03235,0.02934,0.0316,1789859.16,56560.98
2018-05-08,0.0316,0.03141,0.02767,0.02991,1559038.0,46633.32
2018-05-09,0.02991,0.03005,0.02629,0.0278,1877745.85,52195.68
2018-05-10,0.0278,0.0275,0.02388,0.02533,8107478.74,205332.84
2018-05-11,0.02533,0.02508,0.02033,0.02305,2790525.08,64308.21
2018-05-12,0.02305,0.02324,0.02051,0.02119,1822721.91,38628.65
2018-05-13,0.02119,0.02553,0.02188,0.02334,5671500.82,132366.48
2018-05-14,0.02334,0.02328,0.02037,0.02109,3468275.43,73162.89
2018-05-15,0.02109,0.02187,0.01976,0.02046,1618348.04,33117.16
2018-05-16,0.02046,0.0212,0.01908,0.01979,2535899.83,50180.79
2018-05-17,0.01979,0.02139,0.01805,0.02072,1729754.76,35840.14
2018-05-18,0.02072,0.02427,0.02081,0.02289,3423262.92,78350.99
2018-05-19,0.02289,0.02436,0.02158,0.02158,1858238.0,40096.22
2018-05-20,0.02158,0.02432,0.02217,0.02288,933344.05,21359.39
2018-05-21,0.02288,0.03623,0.0216,0.03205,16911346.04,542001.54
2018-05-22,0.03205,0.0314,0.02627,0.02756,5595677.6,154195.16
2018-05-23,0.02757,0.02481,0.0225,0.0225,1433166.29,32251.1
2018-05-24,0.0225,0.03013,0.0235,0.02772,3811848.25,105661.16
2018-05-25,0.02772,0.02924,0.02339,0.02748,9497755.17,261038.11
2018-05-26,0.02748,0.02753,0.02519,0.02636,3076073.7,81082.84
2018-05-27,0.02636,0.02563,0.02392,0.02449,626466.12,15344.99
2018-05-28,0.02449,0.02304,0.02099,0.02304,2686152.2,61892.57
2018-05-29,0.02304,0.02776,0.0255,0.02663,1638507.75,43633.02
2018-05-30,0.02663,0.02786,0.02507,0.02674,2989904.05,79955.3
2018-05-31,0.02674,0.0329,0.02713,0.0329,3436616.01,113071.92
2018-06-02,0.03242,0.03307,0.01299,0.01713,33646095.39,576201.83
2018-06-03,0.01713,0.01857,0.01486,0.0161,4229849.51,68079.6
2018-06-04,0.01609,0.01537,0.01301,0.01419,2614766.19,37107.3
2018-06-05,0.01419,0.0146,0.01338,0.01338,1737648.41,23251.58
2018-06-06,0.01338,0.01394,0.01213,0.01273,1875838.25,23883.74
2018-06-07,0.01273,0.0139,0.01209,0.01209,1694578.83,20485.42
2018-06-08,0.01209,0.01259,0.01079,0.01079,5781731.59,62395.87
2018-06-09,0.01079,0.01127,0.01009,0.01068,1738449.28,18568.1
2018-06-10,0.01068,0.00997,0.008396,0.008396,798822.11,6706.78
2018-06-11,0.008396,0.01009,0.007967,0.00903,1956948.09,17670.36
2018-06-12,0.00903,0.009891,0.007912,0.007912,2036709.83,16115.43
2018-06-13,0.007912,0.00905,0.007621,0.00905,2880140.85,26064.41
2018-06-14,0.00905,0.009877,0.008837,0.008837,3752998.12,33165.66
2018-06-15,0.008837,0.01073,0.008288,0.009263,5483644.78,50793.3
2018-06-16,0.009263,0.009944,0.008453,0.00895,5093589.65,45587.42
2018-06-17,0.00895,0.009935,0.008445,0.008445,4010568.51,33867.57
2018-06-18,0.008446,0.009835,0.008282,0.0088,7857077.34,69140.0
2018-06-19,0.0088,0.009154,0.008077,0.008615,8119296.44,69949.36
2018-06-20,0.008615,0.009115,0.006434,0.007506,12437435.94,93358.38
2018-06-21,0.007506,0.008938,0.006309,0.006835,4489332.14,30684.63
2018-06-22,0.006835,0.006932,0.004622,0.006008,3819519.16,22947.98
2018-06-23,0.006008,0.006164,0.00569,0.006164,1658716.38,10224.89
2018-06-24,0.006164,0.006829,0.005463,0.006373,4514263.56,28771.66
2018-06-25,0.006373,0.006882,0.005965,0.006423,3486121.15,22393.03
2018-06-26,0.006423,0.007303,0.005585,0.006014,2925194.8,17592.47
2018-06-27,0.006018,0.006626,0.005301,0.005743,2917212.16,16752.82
2018-06-28,0.005743,0.00589,0.004628,0.005469,1896597.81,10373.18
2018-06-29,0.005469,0.006093,0.004788,0.005223,583565.36,3047.96
2018-06-30,0.005223,0.005894,0.004988,0.005441,728684.57,3964.8
2018-07-01,0.005441,0.006327,0.00452,0.004971,2158174.09,10729.25
2018-07-02,0.004972,0.006196,0.004766,0.005242,1645838.04,8628.11
2018-07-03,0.005242,0.005543,0.00462,0.00462,2565454.42,11851.12
