# Dataset Report: Modum (MOD)
# Coin Name: Modum
# Symbol: MOD
# Base Currency: BTC
# Approx Row Count: 1693
# Date Range: 2021-06-29 to 2026-02-15
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MOD, Volume_BTC
# Note: Launched 2017. Swiss IoT/Supply chain project. Legacy data paired with BTC.
# --------------------------------------------------
Date,open,high,low,close,Volume_MOD,Volume_BTC
2021-06-29,4e-23,3.795e-05,4e-23,3.538e-05,14510.45,0.516
2021-06-30,3.538e-05,3.608e-05,3.338e-05,3.446e-05,8712.48,0.3021
2021-07-01,3.446e-05,3.523e-05,3.31e-05,3.31e-05,7877.94,0.2714
2021-07-02,3.31e-05,3.338e-05,3.141e-05,3.201e-05,4714.88,0.1531
2021-07-03,3.201e-05,3.638e-05,3.201e-05,3.602e-05,8579.17,0.2935
2021-07-04,3.602e-05,3.875e-05,3.59e-05,3.852e-05,6814.03,0.257
2021-07-05,3.852e-05,3.878e-05,3.26e-05,3.365e-05,14907.06,0.524
2021-07-06,3.365e-05,3.511e-05,3.31e-05,3.482e-05,5269.13,0.1801
2021-07-07,3.482e-05,3.505e-05,3.326e-05,3.392e-05,5125.58,0.175
2021-07-08,3.392e-05,3.475e-05,3.229e-05,3.248e-05,6716.36,0.2246
2021-07-09,3.248e-05,3.288e-05,3.047e-05,3.112e-05,7925.19,0.25
2021-07-10,3.112e-05,3.147e-05,3.011e-05,3.071e-05,5307.15,0.1632
2021-07-11,3.071e-05,3.071e-05,2.931e-05,2.986e-05,5196.16,0.155
2021-07-12,2.986e-05,3.098e-05,2.956e-05,3.021e-05,6639.42,0.2017
2021-07-13,3.021e-05,3.046e-05,2.926e-05,2.926e-05,4262.29,0.1278
2021-07-14,2.926e-05,2.981e-05,2.875e-05,2.876e-05,5914.11,0.1727
2021-07-15,2.876e-05,2.92e-05,2.567e-05,2.631e-05,16665.29,0.4514
2021-07-16,2.631e-05,2.661e-05,2.363e-05,2.374e-05,10494.9,0.2656
2021-07-17,2.374e-05,2.414e-05,2.287e-05,2.363e-05,7911.94,0.1857
2021-07-18,2.363e-05,2.616e-05,2.239e-05,2.544e-05,13862.32,0.3333
2021-07-19,2.544e-05,2.544e-05,2.115e-05,2.115e-05,16023.63,0.3679
2021-07-20,2.115e-05,2.145e-05,2.011e-05,2.063e-05,11503.64,0.2373
2021-07-21,2.063e-05,2.455e-05,2.063e-05,2.376e-05,19651.47,0.4401
2021-07-22,2.376e-05,2.415e-05,2.291e-05,2.335e-05,7824.46,0.1835
2021-07-23,2.335e-05,2.343e-05,2.148e-05,2.148e-05,10889.27,0.2441
2021-07-24,2.148e-05,2.759e-05,2.148e-05,2.643e-05,35874.71,0.8681
2021-07-25,2.643e-05,2.735e-05,2.396e-05,2.48e-05,41448.58,1.057
2021-07-26,2.48e-05,2.581e-05,2.356e-05,2.435e-05,37723.42,0.918
2021-07-27,2.435e-05,2.471e-05,2.315e-05,2.359e-05,11939.36,0.2847
2021-07-28,2.359e-05,2.423e-05,2.337e-05,2.379e-05,12411.29,0.2958
