# Dataset Report: Monero (XMR)
# Coin Name: Monero
# Symbol: XMR
# Approx Row Count: 4021
# Date Range: 2015-01-26 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_XMR, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_XMR,Volume_USD
2015-01-26,0.2949,0.3174,0.2692,0.3149,2049.5,645.47
2015-01-27,0.3149,0.3278,0.2896,0.3217,2170.38,698.25
2015-01-28,0.3217,0.2957,0.2756,0.2954,993.72,293.59
2015-01-29,0.3117,0.3187,0.2955,0.3159,52914.33,16714.92
2015-01-30,0.3159,0.3223,0.2928,0.3019,55556.77,16770.13
2015-01-31,0.3019,0.2928,0.2793,0.288,20317.64,5851.4
2015-02-01,0.288,0.3059,0.2886,0.303,12017.6,3641.51
2015-02-02,0.303,0.3213,0.2936,0.301,30560.92,9197.72
2015-02-03,0.301,0.2956,0.2772,0.2956,66019.68,19517.6
2015-02-04,0.2956,0.2973,0.2712,0.2912,12472.18,3631.34
2015-02-05,0.2912,0.2834,0.2678,0.2713,10048.48,2726.15
2015-02-06,0.2713,0.2814,0.2635,0.2684,6991.44,1876.81
2015-02-07,0.2684,0.2851,0.2687,0.2764,6891.62,1904.87
2015-02-08,0.2764,0.2787,0.2592,0.263,5742.4,1510.46
2015-02-09,0.263,0.2626,0.2499,0.2565,6307.06,1617.61
2015-02-10,0.2565,0.2564,0.2357,0.2434,9967.68,2426.08
2015-02-11,0.2434,0.251,0.23,0.2315,29077.0,6731.97
2015-02-12,0.2315,0.2617,0.2307,0.2466,36773.36,9069.43
2015-02-13,0.2466,0.2673,0.2534,0.2572,9199.28,2365.95
2015-02-14,0.2572,0.2855,0.2749,0.2804,20224.42,5670.23
2015-02-15,0.2804,0.2641,0.2424,0.2615,9289.44,2429.15
2015-02-16,0.2615,0.263,0.25,0.2516,3356.48,844.59
2015-02-17,0.2516,0.2644,0.2507,0.2534,10097.18,2558.77
2015-02-18,0.2534,0.2458,0.2277,0.2394,9965.88,2386.17
