# Dataset Report: Numeraire (NMR)
# Coin Name: Numeraire
# Symbol: NMR
# Approx Row Count: 3159
# Date Range: 2017-06-23 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_NMR, Volume_USD
# Note: Launched 2017. Native token of Numerai, an AI-driven crowdsourced hedge fund.
# --------------------------------------------------
Date,open,high,low,close,Volume_NMR,Volume_USD
2017-06-23,65.35,70.12,16.26,45.78,105981.39,4851631.89
2017-06-24,45.78,113.68,40.15,103.6,202375.45,20966501.37
2017-06-25,103.6,176.64,68.5,87.18,273933.26,23880834.85
2017-06-26,87.18,97.7,50.39,59.17,119646.92,7079502.21
2017-06-27,59.17,66.66,38.63,53.25,127701.91,6800265.58
2017-06-28,53.25,59.29,46.91,53.62,76131.64,4081949.53
2017-06-29,53.62,53.73,38.61,43.52,65898.33,2867755.2
2017-06-30,43.52,43.14,28.53,34.73,130692.11,4538746.17
2017-07-01,34.73,70.97,32.61,45.22,235067.05,10629491.41
2017-07-02,45.22,57.83,42.49,43.55,71268.54,3103817.48
2017-07-03,43.55,48.88,41.29,42.19,28433.25,1199556.4
2017-07-04,42.19,44.49,37.95,39.78,44071.7,1753316.08
2017-07-05,39.78,42.86,38.1,39.02,19869.98,775400.56
2017-07-06,39.02,39.5,32.94,36.34,38726.55,1407242.9
2017-07-07,36.34,35.62,21.49,29.19,39131.98,1142111.71
2017-07-08,29.19,31.65,23.91,27.7,27490.66,761504.7
2017-07-09,27.7,30.14,26.62,28.38,18536.63,526053.97
2017-07-10,28.38,29.63,21.39,24.05,25412.45,611160.41
2017-07-11,24.05,26.06,18.62,20.9,25356.17,529826.48
2017-07-12,20.9,33.64,19.71,31.0,50679.04,1571043.2
2017-07-13,31.0,30.71,25.99,27.05,14719.69,398166.7
2017-07-14,27.05,26.36,20.11,23.39,16443.68,384646.61
2017-07-15,23.39,22.18,18.26,18.78,11978.51,224897.85
2017-07-16,18.78,18.93,17.23,17.42,9676.9,168554.36
2017-07-17,17.42,22.96,20.32,22.78,10652.52,242670.56
2017-07-18,22.78,29.0,22.11,25.62,20012.48,512626.46
2017-07-19,25.62,36.11,23.85,28.3,60326.0,1707466.62
2017-07-20,28.3,42.99,33.53,36.28,25827.93,937135.79
2017-07-21,36.28,37.45,33.04,34.24,8368.02,286529.57
2017-07-22,34.24,42.55,35.74,36.87,22397.13,825891.71
2017-07-23,36.87,36.69,32.03,32.91,13314.66,438237.7
2017-07-24,32.91,36.2,31.81,33.77,15152.62,511688.71
2017-07-25,33.77,31.56,25.83,27.81,14515.2,403731.38
2017-07-26,27.81,29.69,23.57,27.43,11399.67,312746.88
2017-07-27,27.43,29.88,27.46,28.1,4669.21,131219.87
2017-07-28,28.1,30.34,23.94,25.54,7509.35,191799.5
2017-07-29,25.54,26.27,24.61,26.02,4158.3,108199.74
2017-07-30,26.02,28.14,25.18,26.82,4296.38,115233.73
