# Dataset Report: OriginTrail (TRAC)
# Coin Name: OriginTrail
# Symbol: TRAC
# Approx Row Count: 2917
# Date Range: 2018-01-24 to 2026-02-09
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_TRAC, Volume_USD
# Note: Launched Jan 2018. Decentralized Knowledge Graph (DKG) for AI/Supply Chain.
# --------------------------------------------------
Date,open,high,low,close,Volume_TRAC,Volume_USD
2018-01-24,0.1034,0.1274,0.09556,0.09768,905419.75,88444.81
2018-01-25,0.138,20927400.0,0.1047,0.2405,10600184.85,2548876.2
2018-01-26,0.2459,5242900.0,0.0,0.2924,6093830.27,1782134.34
2018-01-27,0.2738,3.192,0.2884,0.4059,5019686.42,2037607.58
2018-01-28,0.3937,1280843.2,0.399,0.4514,3558247.76,1606100.77
2018-01-29,0.4343,0.427,0.31,0.3627,2722072.05,987261.78
2018-01-30,0.3761,5318750.0,0.04255,0.3819,4659082.3,1779239.47
2018-01-31,0.3617,0.4223,0.3334,0.3812,2594054.62,988800.0
2018-02-01,0.3667,153928.5,0.2976,0.3335,1388850.02,463197.8
2018-02-02,0.3396,6110.35,0.2518,0.289,1359019.16,392760.68
2018-02-03,0.289,9038799.7,0.2816,0.294,1775694.42,522017.64
2018-02-04,0.301,0.3048,0.2196,0.2474,1926672.01,476753.85
2018-02-05,0.2471,0.2278,0.1289,0.1465,1636393.11,239769.01
2018-02-06,0.1465,2341582.78,0.1466,0.2236,1652924.7,369675.53
2018-02-07,0.2221,0.2324,0.02062,0.1974,559866.78,110531.87
2018-02-08,0.1955,0.2603,0.1887,0.2027,598454.41,121328.65
2018-03-01,0.1695,0.2109,0.1644,0.2005,45369.3,9096.77
2018-03-02,0.2005,0.2071,0.1642,0.2071,183887.42,38074.85
2018-03-03,0.2061,0.2656,0.2011,0.2122,151524.17,32153.61
2018-03-04,0.2214,0.4238,0.2041,0.2242,80978.07,18152.36
2018-03-05,0.2242,0.2378,0.2107,0.2107,104619.17,22038.67
2018-03-06,0.2107,0.2202,0.1931,0.1991,108603.25,21623.99
2018-03-07,0.1991,0.1953,0.1733,0.1789,141139.24,25252.52
2018-03-08,0.1903,0.2096,0.1541,0.1721,218574.86,37621.5
