# Dataset Report: Quant (QNT)
# Coin Name: Quant
# Symbol: QNT
# Approx Row Count: 2550
# Date Range: 2019-02-05 to 2026-02-02
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_QNT, Volume_USD
# Note: Launched ~Aug 2018. Enterprise interoperability (Overledger).
# --------------------------------------------------
Date,open,high,low,close,Volume_QNT,Volume_USD
2019-02-05,2.196,2.375,2.153,2.174,408.44,887.85
2019-02-06,2.174,2.817,2.14,2.817,1253.55,3531.78
2019-02-07,2.817,3.375,2.464,3.11,5841.28,18166.55
2019-02-08,3.11,4.392,2.958,3.748,5112.46,19160.84
2019-02-09,3.748,4.383,3.603,4.383,8475.21,37144.4
2019-02-10,4.383,5.421,4.006,4.61,5888.12,27144.88
2019-02-11,4.61,5.038,3.611,3.882,10693.63,41514.71
2019-02-12,3.882,4.504,3.798,4.341,3988.82,17315.04
2019-02-13,4.341,4.471,4.075,4.468,4320.0,19300.35
2019-02-14,4.468,5.95,3.887,4.001,47117.3,188536.24
2019-02-15,4.001,4.42,3.773,3.938,9215.32,36294.22
2019-02-16,3.938,4.192,3.69,3.726,5524.15,20581.64
2019-02-17,3.726,4.258,3.781,4.258,6556.67,27920.05
2019-02-18,4.258,4.812,4.226,4.304,12959.57,55775.75
2019-02-19,4.304,4.348,3.924,4.081,16351.36,66733.33
2019-02-20,4.081,4.451,4.073,4.451,5930.45,26396.05
2019-02-21,4.451,4.496,4.173,4.252,9196.36,39102.95
2019-02-22,4.252,4.533,4.067,4.25,3121.43,13267.41
2019-02-23,4.25,4.593,3.942,4.004,9299.25,37233.01
2019-02-24,4.004,3.824,3.538,3.77,2055.23,7748.45
2019-02-25,3.77,3.844,3.461,3.611,3230.12,11663.75
2019-02-26,3.611,5.341,3.585,4.085,25703.37,105001.65
2019-02-27,4.085,4.252,3.754,4.045,8221.06,33256.16
2019-03-01,4.037,4.513,3.989,4.513,1297.76,5857.42
2019-03-02,4.513,4.527,3.843,3.843,7079.01,27204.21
2019-03-03,3.843,3.919,3.709,3.896,9639.48,37557.16
2019-03-04,3.896,3.839,3.631,3.682,8835.79,32533.62
2019-03-05,3.682,4.254,3.649,4.099,11494.78,47115.75
2019-03-06,4.099,4.386,3.817,3.894,8611.94,33537.95
