# Dataset Report: Siacoin (SC)
# Coin Name: Siacoin
# Symbol: SC
# Approx Row Count: 3824
# Date Range: 2015-08-25 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SC, Volume_USD
# Note: Launched June 2015. Decentralized cloud storage network.
# --------------------------------------------------
Date,open,high,low,close,Volume_SC,Volume_USD
2015-08-25,0.0001057,0.01522,3.308e-05,5.072e-05,175062752.6,8878.71
2015-08-26,5.072e-05,7.424e-05,3.15e-05,4.274e-05,524602813.19,22423.78
2015-08-27,4.274e-05,5.346e-05,3.786e-05,4.009e-05,206168407.92,8265.58
2015-08-28,4.009e-05,4.864e-05,3.475e-05,3.938e-05,152929966.68,6022.2
2015-08-29,3.938e-05,4.113e-05,3.427e-05,3.427e-05,56379863.64,1932.42
2015-08-30,3.427e-05,3.883e-05,2.741e-05,2.969e-05,190068591.17,5643.52
2015-08-31,2.969e-05,3.442e-05,2.754e-05,2.983e-05,74997567.67,2237.26
2015-09-01,2.983e-05,3.181e-05,2.953e-05,2.953e-05,47057694.24,1389.77
2015-09-02,2.953e-05,3.201e-05,2.744e-05,2.744e-05,69904740.48,1917.88
2015-09-03,2.744e-05,2.714e-05,2.262e-05,2.488e-05,123898252.57,3082.84
2015-09-04,2.488e-05,2.533e-05,2.303e-05,2.533e-05,15456644.11,391.48
2015-09-05,2.533e-05,2.57e-05,2.337e-05,2.337e-05,47630258.98,1112.98
2015-09-06,2.337e-05,2.878e-05,2.399e-05,2.878e-05,58933677.65,1696.3
2015-09-07,2.878e-05,5.031e-05,2.635e-05,4.073e-05,318368110.09,12966.69
2015-09-08,4.073e-05,9.243e-05,3.892e-05,7.297e-05,1438653321.4,104981.41
2015-09-09,7.297e-05,7.597e-05,4.511e-05,4.748e-05,318983367.35,15145.97
2015-09-10,4.748e-05,5.476e-05,3.809e-05,4.524e-05,299735170.2,13558.58
2015-09-11,4.524e-05,4.798e-05,3.838e-05,4.078e-05,158892849.16,6480.13
2015-09-12,4.078e-05,4.476e-05,3.063e-05,3.298e-05,134132922.66,4424.24
2015-09-13,3.298e-05,3.913e-05,2.992e-05,3.683e-05,50936048.22,1876.0
2015-09-14,3.683e-05,3.908e-05,3.449e-05,3.449e-05,71557836.4,2467.78
2015-09-15,3.449e-05,3.672e-05,2.984e-05,3.443e-05,139832404.23,4814.36
2015-09-16,3.443e-05,3.429e-05,2.972e-05,2.972e-05,58384039.44,1735.06
2015-09-17,2.972e-05,3.258e-05,2.793e-05,3.025e-05,143908445.88,4353.75
2015-09-18,3.025e-05,3.251e-05,2.787e-05,3.019e-05,35885426.36,1083.28
2015-09-19,3.019e-05,3.004e-05,2.542e-05,2.773e-05,76474222.65,2120.87
2015-09-20,2.773e-05,3.235e-05,2.773e-05,2.773e-05,95335484.28,2643.73
2015-09-21,2.773e-05,3.169e-05,2.716e-05,2.942e-05,90894578.92,2674.38
2015-09-22,2.942e-05,3.22e-05,2.99e-05,2.99e-05,35274048.22,1054.74
2015-09-23,2.99e-05,3.448e-05,2.989e-05,2.989e-05,94982468.8,2838.62
2015-09-24,2.989e-05,3.506e-05,3.039e-05,3.273e-05,43145631.4,1412.0
2015-09-25,3.273e-05,3.29e-05,3.055e-05,3.055e-05,20845232.5,636.9
2015-09-26,3.055e-05,3.28e-05,2.812e-05,3.28e-05,13886578.88,455.51
2015-09-27,3.28e-05,3.255e-05,2.79e-05,3.022e-05,15603889.43,471.63
2015-09-28,3.022e-05,3.344e-05,2.866e-05,2.866e-05,34377310.15,985.4
2015-09-29,2.866e-05,3.077e-05,2.841e-05,2.841e-05,45282517.69,1286.26
2015-09-30,2.841e-05,3.067e-05,2.359e-05,2.831e-05,102915621.81,2913.71
2015-10-01,2.831e-05,3.082e-05,2.608e-05,2.845e-05,21630599.02,615.3
