# Dataset Report: Simple Token (OST)
# Coin Name: Simple Token
# Symbol: OST
# Approx Row Count: 2818
# Date Range: 2018-01-18 to 2026-02-15
# Frequency: Daily
# Note: Launched 2017. Tokenization infrastructure (OpenST). Now a legacy asset.
# --------------------------------------------------
Date,open,high,low,close,Volume_OST,Volume_USD
2018-01-18,0.5905,0.6339,0.5425,0.547,33814.42,18497.6
2018-01-19,0.547,0.6724,0.4282,0.6222,39427.85,24532.01
2018-01-20,0.6222,0.9177,0.612,0.7544,75285.4,56794.7
2018-01-21,0.6946,0.8616,0.5283,0.6072,55131.51,33476.51
2018-01-22,0.6072,0.6996,0.5079,0.5151,12358.62,6365.93
2018-01-23,0.5151,0.6252,0.4945,0.5813,22424.73,13034.49
2018-01-24,0.5813,0.6107,0.535,0.5353,16798.23,8992.09
2018-01-25,0.5693,0.7999,0.5408,0.714,82536.75,58931.24
2018-01-26,0.714,0.714,0.52,0.6041,54929.66,33183.01
2018-01-27,0.6041,0.6364,0.5629,0.5775,14218.92,8211.28
2018-01-28,0.5775,0.655,0.5154,0.5406,34133.86,18452.29
2018-01-29,0.5405,0.64,0.5458,0.5612,22768.83,12777.62
2018-01-30,0.5614,0.5788,0.4523,0.4918,20081.76,9876.72
2018-01-31,0.4918,0.505,0.4443,0.4444,7824.11,3477.02
2018-02-01,0.4444,0.4706,0.3142,0.4108,23681.32,9728.67
2018-02-02,0.3727,0.3765,0.2771,0.3234,47755.89,15444.32
2018-02-03,0.3234,0.3742,0.3011,0.3575,24930.42,8912.09
2018-02-04,0.3776,0.3776,0.2888,0.2961,8046.33,2382.86
2018-02-05,0.2961,0.2937,0.2114,0.2268,65616.44,14878.99
2018-02-06,0.2268,0.3021,0.1066,0.2776,35460.06,9843.71
2018-02-07,0.2776,0.3244,0.2185,0.2862,46817.86,13401.27
2018-02-08,0.2862,0.3113,0.2697,0.3107,5477.03,1701.65
2018-02-09,0.3108,0.3406,0.278,0.3066,58064.02,17802.43
2018-02-10,0.3066,0.349,0.2795,0.2797,41719.0,11668.8
2018-02-11,0.2797,0.3197,0.2465,0.2608,6647.72,1733.73
2018-02-12,0.2608,0.3029,0.255,0.2871,41158.27,11816.54
2018-02-13,0.2871,0.3133,0.2428,0.2681,37559.24,10067.9
2018-02-14,0.2681,0.3196,0.2626,0.2999,43030.55,12904.86
2018-02-15,0.2999,0.3461,0.2902,0.3461,73421.54,25411.19
2018-02-16,0.3461,0.3464,0.2897,0.3312,10248.52,3394.31
2018-02-17,0.3312,0.3654,0.3095,0.3556,79451.86,28254.75
2018-02-18,0.3552,0.3835,0.3137,0.3287,25912.15,8516.13
2018-02-19,0.3287,0.3723,0.3005,0.3333,16964.64,5654.31
2018-02-20,0.3333,0.3741,0.2875,0.2875,23079.97,6635.49
2018-02-21,0.2875,0.3314,0.2485,0.257,59257.89,15229.28
2018-02-22,0.257,0.2803,0.2212,0.2236,51690.82,11558.07
2018-02-23,0.2236,0.346,0.202,0.2918,81982.45,23922.48
2018-02-24,0.2918,0.3496,0.2573,0.2573,152530.6,39246.12
2018-02-25,0.2573,0.2725,0.2062,0.2409,59870.24,14422.74
2018-02-26,0.2409,0.2654,0.2306,0.2439,31798.08,7755.55
2018-02-27,0.2439,0.2843,0.2419,0.2604,44635.81,11623.16
2018-02-28,0.2604,0.2621,0.245,0.245,14869.5,3643.03
2018-03-01,0.245,0.2845,0.2306,0.2447,26084.69,6382.29
2018-03-02,0.2447,0.2851,0.2095,0.2701,36376.23,9825.22
2018-03-03,0.2701,0.3295,0.2701,0.2891,78904.78,22811.37
2018-03-04,0.2891,0.3264,0.2723,0.3075,47459.18,14595.12
2018-03-05,0.3024,0.3986,0.2876,0.341,109736.78,37420.24
2018-03-06,0.341,0.341,0.2726,0.2885,120378.44,34729.18
2018-03-07,0.2857,0.2951,0.2164,0.2328,95474.78,22226.53
2018-03-08,0.2334,0.2709,0.201,0.2036,63333.28,12894.66
2018-03-09,0.2115,0.2196,0.1777,0.2048,9869.2,2021.21
2018-03-10,0.2048,0.2211,0.1946,0.1946,10025.17,1950.9
2018-03-11,0.1946,0.2749,0.1834,0.2075,27749.68,5758.06
2018-03-12,0.2075,0.2525,0.1835,0.1926,10918.14,2102.83
2018-03-13,0.1926,0.2366,0.1829,0.1923,15244.62,2931.54
2018-03-14,0.1923,0.2266,0.1647,0.1673,23117.34,3867.53
2018-03-15,0.1673,0.1684,0.1457,0.1681,43957.83,7389.31
2018-03-16,0.1526,0.1974,0.1526,0.1708,13311.0,2273.52
2018-03-17,0.1708,0.1857,0.1485,0.1485,5042.46,748.81
2018-03-18,0.1485,0.1641,0.1282,0.1405,31040.17,4361.75
2018-03-19,0.141,0.1876,0.1151,0.1481,91593.86,13565.05
2018-03-20,0.19,0.19,0.1455,0.159,49692.65,7901.13
