# Dataset Report: Status (SNT)
# Coin Name: Status
# Symbol: SNT
# Approx Row Count: 3154
# Date Range: 2017-06-28 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SNT, Volume_USD
# Note: Launched June 2017. Secure messaging app, crypto wallet, and Web3 browser.
# --------------------------------------------------
Date,open,high,low,close,Volume_SNT,Volume_USD
2017-06-28,0.5196,0.5184,0.03923,0.05741,1246634.51,71564.64
2017-06-29,1e-05,0.08,1e-05,0.06,24929.01,1993.91
2017-06-30,0.06,0.06,0.05,0.05,56386.93,2819.35
2017-07-01,0.05,0.05,0.0395,0.0424,10462.67,447.68
2017-07-02,0.04061,0.04555,0.04038,0.04216,43468560.77,1832459.14
2017-07-03,0.0424,0.068,0.04,0.068,36898.56,1918.24
2017-07-04,0.068,0.068,0.057,0.057,5000.0,285.0
2017-07-05,0.057,0.07,0.057,0.069,3800.26,259.04
2017-07-06,0.04996,0.05469,0.04721,0.0497,28295947.63,1406215.29
2017-07-07,0.0497,0.04902,0.04163,0.04374,26753828.33,1170252.9
2017-07-08,0.04374,0.04473,0.03868,0.04194,23386709.15,980732.43
2017-07-09,0.04194,0.04392,0.03855,0.03923,10845055.09,425435.64
2017-07-10,0.03923,0.03689,0.02724,0.0293,21570084.24,632008.86
2017-07-11,0.04,0.04,0.0396,0.0396,2014.09,80.56
2017-07-12,0.02427,0.03114,0.0243,0.03054,28136649.51,859385.39
2017-07-13,0.03054,0.0305,0.02674,0.02795,22315559.98,623667.8
2017-07-14,0.02795,0.02647,0.02413,0.02545,16268882.09,413997.44
2017-07-15,0.02545,0.0236,0.02153,0.02307,9895580.51,228280.5
2017-07-16,0.02307,0.02387,0.02197,0.02329,24361562.85,567489.82
2017-07-17,0.02329,0.02917,0.02593,0.02651,24287864.01,643879.52
2017-07-18,0.02651,0.03244,0.02582,0.02917,23675161.91,690492.99
2017-07-19,0.02917,0.02956,0.02456,0.02655,22186474.59,588971.15
2017-07-20,0.02655,0.03511,0.02814,0.02978,18721556.52,557489.53
2017-07-21,0.02978,0.04184,0.02763,0.03793,52679746.83,1998281.58
2017-07-22,0.03793,0.08589,0.03974,0.08589,147247617.98,12647116.81
2017-07-23,0.08589,0.1017,0.07305,0.08598,139543163.87,11997735.07
2017-07-24,0.08598,0.0889,0.07276,0.07757,35421338.28,2747604.85
2017-07-25,0.07757,0.07337,0.05465,0.05855,28796008.79,1685922.48
2017-07-26,0.05855,0.06214,0.05298,0.05886,19994945.24,1176939.07
2017-07-27,0.05886,0.06318,0.05798,0.05893,8049724.87,474332.08
2017-07-28,0.05893,0.06144,0.05184,0.05336,12838461.33,685013.02
2017-07-29,0.05336,0.05404,0.04663,0.05273,10897040.69,574592.4
2017-07-30,0.05273,0.05458,0.05029,0.05115,6541693.93,334623.35
2017-07-31,0.05115,0.0587,0.04913,0.05265,6612922.23,348160.5
2017-08-01,0.05265,0.05763,0.04697,0.0553,11298868.5,624792.5
2017-08-02,0.0553,0.0571,0.05185,0.05452,12937428.1,705341.09
2017-08-03,0.05452,0.05716,0.0542,0.05668,7983403.51,452479.34
2017-08-04,0.05668,0.06301,0.05541,0.05619,14576130.27,819005.43
2017-08-05,0.05619,0.07328,0.05729,0.06529,30177823.95,1970268.72
2017-08-06,0.06529,0.06778,0.0607,0.06264,15559108.62,974571.86
2017-08-07,0.06264,0.07814,0.0645,0.07161,22186076.58,1588749.5
2017-08-08,0.07161,0.08097,0.06862,0.07455,17532340.68,1307118.77
2017-08-09,0.07455,0.07361,0.06503,0.06587,11721092.27,772076.54
2017-08-10,0.06587,0.07447,0.06372,0.06807,26095176.75,1776248.13
2017-08-11,0.06807,0.0945,0.06976,0.08058,82375354.14,6637712.01
2017-08-12,0.08058,0.08622,0.06717,0.06853,58175538.45,3986634.33
2017-08-13,0.06853,0.07288,0.06045,0.0637,43195830.5,2751642.13
2017-08-14,0.0637,0.07145,0.05639,0.06107,33397504.02,2039493.17
2017-08-15,0.06107,0.0655,0.05294,0.05997,33833100.8,2028954.84
2017-08-16,0.05997,0.06678,0.05796,0.06015,23920294.42,1438835.71
2017-08-17,0.06015,0.07741,0.05545,0.06085,84112775.82,5117946.35
2017-08-18,0.06085,0.05936,0.053,0.05423,49239128.92,2670333.37
2017-08-19,0.05423,0.05794,0.04906,0.05404,41151543.29,2223782.45
2017-08-20,0.05404,0.05588,0.05156,0.05539,24128999.73,1336435.13
2017-08-21,0.05539,0.05551,0.04886,0.05123,32588298.2,1669343.04
2017-08-22,0.05123,0.05247,0.04834,0.04936,22398100.96,1105630.27
2017-08-23,0.04936,0.05628,0.04903,0.05123,43341491.36,2220180.17
2017-08-24,0.05123,0.05812,0.05208,0.05333,39214551.58,2091375.66
2017-08-25,0.05333,0.05412,0.04984,0.05098,38508808.2,1963036.9
2017-08-26,0.05098,0.05327,0.05018,0.05127,30768898.11,1577524.3
2017-08-27,0.05127,0.05237,0.05019,0.05167,29816448.27,1540644.73
2017-08-28,0.05167,0.0522,0.04834,0.04974,43532275.22,2165391.68
2017-08-29,0.04974,0.056,0.0474,0.04965,61402485.5,3048691.61
2017-08-30,0.04965,0.05128,0.0467,0.04808,42230050.97,2030246.85
2017-08-31,0.04808,0.05232,0.04678,0.04901,59190522.86,2900832.14
2017-09-01,0.04901,0.05193,0.04848,0.04912,53317184.62,2618943.47
2017-09-02,0.04912,0.04565,0.04075,0.04144,44602583.54,1848269.87
2017-09-03,0.04144,0.04341,0.03949,0.04133,44625934.01,1844468.54
2017-09-04,0.04133,0.03862,0.02846,0.03273,109497408.61,3583997.07
2017-09-05,0.03273,0.03576,0.03113,0.03466,53910533.53,1868289.42
2017-09-06,0.03466,0.04512,0.03265,0.04217,164857596.58,6951850.69
2017-09-07,0.04217,0.04237,0.03583,0.0382,93397013.6,3567517.86
2017-09-08,0.0382,0.03582,0.03041,0.03184,85226052.05,2713825.22
2017-09-09,0.03184,0.03273,0.03009,0.03195,51341487.44,1640355.81
2017-09-10,0.03195,0.0321,0.02891,0.02993,49004821.89,1466887.04
2017-09-11,0.02993,0.02986,0.02868,0.02881,35117822.0,1011683.24
2017-09-12,0.02881,0.03028,0.02749,0.02841,63309764.8,1798340.69
2017-09-13,0.02841,0.02686,0.02469,0.02636,38931177.88,1026096.4
2017-09-14,0.02636,0.02264,0.01972,0.0203,40609754.5,824446.27
2017-09-15,0.0203,0.0244,0.02095,0.02232,58499875.89,1305699.54
2017-09-16,0.02232,0.0226,0.02082,0.02134,29690074.19,633668.38
2017-09-17,0.02134,0.02229,0.02044,0.02181,34183580.67,745393.32
2017-09-18,0.02181,0.03067,0.02399,0.03026,81299239.01,2460120.37
2017-09-19,0.03026,0.02888,0.02333,0.02442,70827968.74,1729955.43
2017-09-20,0.02442,0.02473,0.02337,0.02399,31344582.04,752011.34
2017-09-21,0.02399,0.02272,0.02062,0.02098,27519971.09,577373.56
2017-09-22,0.02098,0.02171,0.01988,0.02124,31248658.18,663874.52
2017-09-23,0.02124,0.02333,0.02205,0.02292,15105839.05,346188.38
2017-09-24,0.02292,0.02263,0.02168,0.02204,11966263.73,263757.93
2017-09-25,0.02204,0.02368,0.02218,0.02309,19724289.12,455349.26
2017-09-26,0.02309,0.02799,0.02281,0.02721,103012043.09,2802954.91
2017-09-27,0.02721,0.03433,0.0289,0.02915,157748605.76,4598123.25
2017-09-28,0.02915,0.0305,0.02736,0.02866,46237476.15,1324994.5
2017-09-29,0.02866,0.02946,0.02666,0.0275,26799920.56,736962.6
2017-09-30,0.0275,0.03118,0.02869,0.03083,19992652.53,616365.15
2017-10-01,0.03083,0.03377,0.03025,0.03135,41686861.23,1306883.13
2017-10-02,0.03135,0.03147,0.0287,0.02962,22845236.49,676696.09
2017-10-03,0.02962,0.03093,0.02597,0.02645,25651143.86,678368.19
2017-10-04,0.02645,0.02864,0.02586,0.02725,16279687.48,443662.89
2017-10-05,0.02725,0.02844,0.02692,0.02735,17526980.28,479445.55
2017-10-06,0.02735,0.02855,0.02737,0.02789,9263128.94,258376.24
2017-10-07,0.02789,0.02923,0.02693,0.02719,12384536.37,336754.31
2017-10-08,0.02719,0.02864,0.02287,0.0249,29723431.49,740207.96
2017-10-09,0.0249,0.02618,0.0215,0.02284,32377076.14,739375.93
2017-10-10,0.02284,0.02367,0.02158,0.02358,19146024.01,451437.05
2017-10-11,0.02358,0.02726,0.0232,0.02639,23599318.81,622747.65
2017-10-12,0.02639,0.0327,0.02548,0.02619,41963727.07,1098829.78
2017-10-13,0.02619,0.02779,0.02345,0.02469,21172313.55,522769.8
2017-10-14,0.02469,0.02813,0.02481,0.02639,16098697.34,424779.2
2017-10-15,0.02639,0.02981,0.02457,0.02941,26865861.91,790062.77
2017-10-16,0.02935,0.03052,0.02661,0.02885,24082367.39,694878.49
2017-10-17,0.02885,0.02872,0.02693,0.02693,16699014.72,449690.6
2017-10-18,0.02693,0.02894,0.0266,0.02844,13885818.72,394867.32
