# Dataset Report: Stellar (XLM)
# Coin Name: Stellar
# Symbol: XLM
# Approx Row Count: 4114
# Date Range: 2014-09-04 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_XLM, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_XLM,Volume_USD
2014-09-04,0.002059,0.002136,0.002106,0.002136,702281.0,1499.94
2014-09-05,0.002136,0.002133,0.002085,0.002085,28.0,0.05837
2014-09-06,0.002085,0.002088,0.002074,0.002074,85801.59,177.91
2014-09-07,0.002074,0.002132,0.00206,0.002132,1431687.57,3052.99
2014-09-08,0.002132,0.002202,0.002055,0.002122,1068725.07,2267.38
2014-09-09,0.002122,0.00228,0.002118,0.002251,936196.79,2107.4
2014-09-10,0.002251,0.002283,0.002226,0.002283,57495.96,131.28
2014-09-11,0.002283,0.002584,0.002187,0.00256,238919.15,611.61
2014-09-12,0.00256,0.004777,0.002513,0.003464,620017.49,2147.46
2014-09-14,0.003467,0.003464,0.002795,0.002795,858503.87,2399.33
2014-09-15,0.002795,0.002861,0.002795,0.002861,16723.43,47.85
2014-09-16,0.002861,0.003011,0.002796,0.003011,2068.35,6.227
2014-09-17,0.003011,0.002974,0.002951,0.002951,2061.94,6.085
2014-09-18,0.002951,0.003789,0.002715,0.003789,1213190.58,4596.34
2014-09-19,0.003789,0.003977,0.003213,0.003786,564466.59,2136.97
2014-09-20,0.003786,0.004572,0.003741,0.003741,345926.22,1294.04
2014-09-22,0.003651,0.004041,0.003673,0.004041,112577.7,454.92
2014-09-23,0.004041,0.004854,0.004163,0.004163,969282.18,4035.39
2014-09-24,0.004163,0.004238,0.003263,0.004238,31000.0,131.37
2014-09-25,0.004238,0.004123,0.003616,0.003616,55849.88,201.94
2014-09-26,0.003616,0.003547,0.00311,0.00311,110080.2,342.38
2014-09-28,0.003068,0.003298,0.002915,0.003298,1150.0,3.793
2014-10-05,0.002917,0.002809,0.002809,0.002809,5727.0,16.09
2014-10-07,0.002884,0.002885,0.001764,0.001764,146365.21,258.24
2014-10-09,0.001867,0.00227,0.00192,0.00227,2384.23,5.412
2014-10-12,0.002272,0.002347,0.002332,0.002332,24320.19,56.72
2014-10-13,0.002332,0.003199,0.002061,0.003199,120067.08,384.13
2014-10-14,0.003199,0.00328,0.002113,0.002113,129762.32,274.13
2014-10-16,0.002092,0.003137,0.00202,0.003137,156751.68,491.71
2014-10-17,0.003137,0.003143,0.002854,0.002854,53328.0,152.18
2014-10-19,0.002932,0.002905,0.002583,0.002583,3000.0,7.749
2014-10-24,0.002373,0.002369,0.001939,0.001939,96427.47,186.96
2014-10-25,0.001939,0.001928,0.001893,0.001928,90000.0,173.5
2014-10-26,0.001928,0.001939,0.001904,0.001904,19253.05,36.65
2014-10-27,0.001904,0.001925,0.001894,0.001925,114357.51,220.19
2014-10-28,0.001925,0.001934,0.001383,0.001671,1096424.17,1832.17
2014-10-29,0.001671,0.001914,0.001495,0.001914,714802.47,1367.8
2014-10-30,0.001914,0.001969,0.001724,0.001724,484412.33,835.27
2014-10-31,0.001724,0.001841,0.001649,0.001777,754053.81,1340.1
2014-11-02,0.001712,0.001697,0.001574,0.001574,357.28,0.5624
