# Dataset Report: Tether (USDT)
# Coin Name: Tether
# Symbol: USDT
# Approx Row Count: 4038
# Date Range: 2015-01-09 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_USDT, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_USDT,Volume_USD
2015-01-09,1.0,1.0,1.0,1.0,0.00024,0.00024
2015-01-10,1.0,1.0,0.99,0.99,0.2277,0.2256
2015-01-11,0.99,0.99,0.99,0.99,0.0,0.0
2015-01-12,0.99,0.99,0.99,0.99,0.0,0.0
2015-01-13,0.99,0.99,0.99,0.99,0.0,0.0
2015-01-14,0.99,0.99,0.99,0.99,0.0,0.0
2015-01-15,0.99,1.0,0.99,1.0,4.984,4.984
2015-01-16,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-17,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-18,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-19,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-20,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-21,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-22,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-23,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-24,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-25,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-26,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-27,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-28,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-29,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-30,1.0,1.0,1.0,1.0,0.0,0.0
2015-01-31,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-01,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-02,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-03,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-04,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-05,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-06,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-07,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-08,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-09,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-10,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-11,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-12,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-13,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-14,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-15,1.0,1.0,1.0,1.0,0.0,0.0
2015-02-16,1.0,1.0,1.0,1.0,0.0,0.0
