# Dataset Report: TrueUSD (TUSD)
# Coin Name: TrueUSD
# Symbol: TUSD
# Approx Row Count: 2854
# Date Range: 2018-04-18 to 2026-02-08
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_TUSD, Volume_USD
# Note: Launched Mar 2018. Asset-backed stablecoin (~$1.00).
# --------------------------------------------------
Date,open,high,low,close,Volume_TUSD,Volume_USD
2018-04-18,1.0,1.01,1.0,1.01,42763.28,42968.42
2018-04-19,1.01,1.01,0.9985,1.0,92234.3,92213.27
2018-04-20,1.0,1.0,0.993,0.995,139868.98,139725.32
2018-04-21,0.995,1.0,0.993,1.0,87289.0,87255.64
2018-04-22,1.0,1.0,0.993,0.9961,16665.81,16618.11
2018-04-23,0.9961,1.0,0.9931,0.9999,66852.6,66794.43
2018-04-24,0.9999,1.0,0.9931,0.9951,88487.72,88210.27
2018-04-25,0.9951,1.01,0.99,1.0,225127.63,224310.36
2018-04-26,1.0,1.01,0.995,1.0,143813.3,144684.73
2018-04-27,1.0,1.01,0.995,1.0,68934.41,68924.32
2018-04-28,1.0,1.01,0.998,1.01,52524.57,52547.85
2018-04-29,1.01,1.01,0.998,1.0,167224.51,167141.92
2018-04-30,1.0,1.0,0.9975,1.0,22695.28,22685.44
2018-05-01,1.0,1.0,0.9975,0.9985,32840.59,32869.03
2018-05-02,0.9985,1.0,0.9975,1.0,114004.32,113764.81
2018-05-03,1.0,1.0,0.9976,1.0,129392.14,129584.45
2018-05-04,1.0,1.0,0.9976,0.9976,20088.85,20078.47
2018-05-05,0.9976,1.0,0.993,1.0,206730.96,206379.1
2018-05-06,1.0,1.01,0.997,1.01,46299.09,46501.15
2018-05-07,1.01,1.01,0.9972,1.0,62245.38,62274.32
2018-05-08,1.0,1.0,0.9972,1.0,19602.37,19576.37
2018-05-09,1.0,1.0,0.995,1.0,28710.78,28685.7
2018-05-10,1.0,1.0,0.9956,0.9957,39237.12,39158.62
2018-05-11,0.9957,1.0,0.9957,0.9957,93167.18,92964.35
2018-05-12,0.9957,1.0,0.9957,0.9974,85625.36,85425.28
2018-05-13,0.9974,1.0,0.9957,0.997,74058.85,73848.91
2018-05-14,0.997,1.0,0.997,0.997,80600.57,80400.99
2018-05-15,0.997,1.0,0.997,0.9972,73100.84,73102.74
2018-05-16,0.9972,1.5,0.9972,1.01,1186211.09,1283552.62
2018-05-17,1.01,1.02,1.01,1.01,339848.06,343674.57
2018-05-18,1.01,1.03,1.01,1.01,416461.7,421329.19
2018-05-19,1.01,1.02,1.01,1.02,77131.68,77952.81
2018-05-20,1.02,1.02,1.01,1.02,259943.8,264547.69
2018-05-21,1.02,1.1,1.01,1.08,1354804.47,1399902.2
2018-05-22,1.08,1.24,0.9975,0.9985,1633071.64,1689031.74
2018-05-23,0.9985,1.07,0.9975,1.01,2014981.45,2035428.99
2018-05-24,1.01,1.01,0.9911,1.01,754218.49,755700.81
2018-05-25,1.01,1.02,1.0,1.02,303886.94,306552.83
2018-05-26,1.02,1.02,1.0,1.0,212519.79,214200.85
2018-05-27,1.0,1.02,1.0,1.02,67504.39,68453.38
2018-05-28,1.02,1.03,1.0,1.02,376130.85,382563.03
2018-05-29,1.02,1.02,1.0,1.0,768798.48,770925.83
2018-05-30,1.0,1.01,0.997,1.0,917096.92,919017.76
2018-05-31,1.0,1.01,0.999,1.0,382252.0,383103.92
2018-06-01,1.0,1.01,0.999,1.01,164982.38,165527.98
2018-06-02,1.01,1.01,0.999,1.0,165742.04,166347.31
2018-06-03,1.0,1.01,0.9991,1.0,216485.21,217279.6
2018-06-04,1.0,1.01,1.0,1.01,28152.11,28219.91
2018-06-05,1.01,1.01,1.0,1.0,94912.1,95120.43
2018-06-06,1.0,1.01,1.0,1.0,62799.05,62876.44
2018-06-07,1.0,1.0,0.9992,1.0,136912.66,137301.36
2018-06-08,1.0,1.0,0.9992,1.0,18089.72,18152.52
