# Dataset Report: USD Coin (USDC)
# Coin Name: USD Coin
# Symbol: USDC
# Approx Row Count: 2667
# Date Range: 2018-10-11 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_USDC, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_USDC,Volume_USD
2018-10-11,1.06,1.069,1.003,1.009,104258.49,105191.23
2018-10-12,1.009,1.015,0.9955,1.008,46195.91,46563.08
2018-10-13,1.008,1.014,1.008,1.012,21914.85,22184.76
2018-10-14,1.012,1.028,1.011,1.016,34130.1,34690.88
2018-10-15,1.016,1.123,0.9689,1.026,177320.05,181922.05
2018-10-16,1.026,1.042,1.015,1.02,49191.34,50198.66
2018-10-17,1.02,1.024,1.012,1.022,33538.55,34269.12
2018-10-18,1.022,1.035,1.008,1.015,50725.31,51498.9
2018-10-19,1.015,1.017,1.009,1.012,36599.64,37046.13
2018-10-20,1.012,1.037,0.9977,1.013,19543.75,19788.82
2018-10-21,1.013,1.023,1.01,1.016,16019.49,16270.35
2018-10-22,1.016,1.02,1.009,1.012,31239.03,31624.48
2018-10-23,1.013,1.016,1.007,1.011,34071.62,34461.6
2018-10-24,1.012,1.019,1.007,1.009,34111.66,34422.92
2018-10-25,1.009,1.017,1.007,1.011,35706.92,36111.29
2018-10-26,1.011,1.019,1.008,1.011,33284.54,33635.15
2018-10-27,1.011,1.012,1.007,1.01,19092.86,19291.83
2018-10-28,1.01,1.011,1.005,1.009,16806.73,16956.46
2018-10-29,1.009,1.034,1.002,1.007,53760.53,54130.98
2018-10-30,1.007,1.012,1.003,1.007,42701.22,43000.63
2018-10-31,1.007,1.012,0.9883,1.004,38823.41,38990.19
2018-11-01,1.004,1.01,0.9976,1.007,31397.71,31614.61
2018-11-02,1.007,1.012,1.004,1.008,27987.6,28207.27
2018-11-03,1.008,1.01,1.001,1.007,28808.38,29010.43
2018-11-04,1.007,1.01,0.987,1.005,27317.02,27451.03
2018-11-05,1.005,1.01,0.9995,1.004,24142.0,24231.71
2018-11-06,1.006,1.007,0.9525,1.005,497076.63,499373.8
2018-11-07,1.005,1.008,0.9944,1.003,55100.44,55240.2
2018-11-08,1.003,1.02,1.004,1.005,42073.45,42273.6
2018-11-09,1.005,1.02,1.003,1.007,37086.04,37351.68
2018-11-10,1.007,1.012,1.005,1.008,14658.42,14773.91
2018-11-11,1.008,1.007,0.9933,1.006,20337.03,20461.88
2018-11-12,1.006,1.015,1.001,1.005,28338.62,28483.07
2018-11-13,1.005,1.021,1.009,1.013,35761.27,36232.87
2018-11-14,1.011,1.134,0.9733,1.022,178422.8,182275.32
2018-11-15,1.021,1.038,0.9543,1.017,147895.07,150374.01
2018-11-16,1.017,1.031,0.9972,1.015,71050.83,72119.79
2018-11-17,1.015,1.02,1.006,1.014,29517.8,29917.82
2018-11-18,1.013,1.026,1.002,1.01,41702.04,42120.15
2018-11-19,1.01,1.181,1.0,1.011,207964.38,210339.08
2018-11-20,1.011,1.135,0.9548,1.017,315023.21,320509.33
2018-11-21,1.017,1.031,0.9488,1.01,152286.19,153780.12
2018-11-22,1.01,1.091,1.011,1.016,83715.43,85072.44
2018-11-23,1.016,1.032,0.9708,1.014,121719.16,123460.17
2018-11-24,1.014,1.176,0.9926,1.023,123090.79,125870.71
2018-11-25,1.023,1.061,0.9038,1.019,213926.98,218081.48
2018-11-26,1.019,1.106,0.9651,1.015,185985.76,188757.83
2018-11-27,1.015,1.03,0.9593,1.015,147999.31,150216.61
2018-11-28,1.015,1.044,0.9074,1.012,175435.76,177536.53
2018-11-29,1.012,1.054,0.9797,1.017,112103.36,113973.0
2018-11-30,1.017,1.089,0.9849,1.008,121993.57,123012.73
2018-12-01,1.008,1.039,0.9504,1.012,67774.58,68574.78
2018-12-02,1.012,1.053,0.9945,1.011,62748.83,63419.32
2018-12-03,1.011,1.085,0.9903,1.01,107400.61,108493.56
2018-12-04,1.01,1.046,0.9658,1.011,94655.27,95722.45
2018-12-05,1.011,1.075,1.009,1.014,83811.55,84962.71
2018-12-06,1.014,1.131,1.01,1.015,159523.77,161969.22
2018-12-07,1.015,1.06,0.9629,1.014,206088.47,208980.72
2018-12-08,1.014,1.061,0.9704,1.019,104091.14,106091.54
2018-12-09,1.019,1.05,0.9701,1.014,83347.79,84537.91
2018-12-10,1.014,1.071,1.004,1.018,81855.33,83360.66
2018-12-11,1.018,1.041,1.001,1.017,67519.71,68642.07
2018-12-12,1.017,1.034,0.9863,1.017,74415.95,75677.61
2018-12-13,1.017,1.071,1.003,1.013,84592.04,85676.9
2018-12-14,1.013,1.044,0.9966,1.014,89133.43,90355.77
2018-12-15,1.014,1.029,0.9965,1.016,51317.37,52151.63
2018-12-16,1.016,1.04,1.011,1.02,45102.51,45993.02
2018-12-17,1.02,1.04,0.9251,1.013,119831.24,121437.77
2018-12-18,1.013,1.017,0.95,1.014,91609.53,92885.38
2018-12-19,1.014,1.078,1.003,1.015,163016.15,165431.29
2018-12-20,1.015,1.036,0.9099,1.014,180025.9,182556.22
2018-12-21,1.014,1.108,0.9996,1.017,128508.13,130722.71
2018-12-22,1.017,1.02,0.9668,1.016,63672.55,64693.67
2018-12-23,1.016,1.043,1.006,1.015,58294.45,59189.91
2018-12-24,1.015,1.068,0.9942,1.013,109869.44,111284.64
2018-12-25,1.013,1.084,0.989,1.015,95683.55,97165.85
2018-12-26,1.015,1.03,0.9835,1.01,68965.06,69673.6
2018-12-27,1.01,1.083,1.009,1.016,81652.77,82941.22
2018-12-28,1.016,1.031,0.933,1.015,92882.41,94293.28
2018-12-29,1.015,1.076,1.014,1.02,54702.16,55793.02
2018-12-30,1.02,1.024,0.9815,1.017,49797.04,50633.83
2018-12-31,1.017,1.059,1.004,1.017,54221.49,55131.42
2019-01-01,1.017,1.031,0.9676,1.016,45104.29,45804.91
2019-01-02,1.016,1.025,0.9834,1.018,54034.73,55006.54
2019-01-03,1.018,1.046,0.9971,1.012,45585.19,46139.58
2019-01-04,1.012,1.019,0.9879,1.011,44398.9,44906.73
2019-01-05,1.017,1.06,1.003,1.013,956257.36,968218.32
2019-01-06,1.015,1.025,0.9467,1.014,58878.99,59728.44
2019-01-07,1.014,1.032,0.9991,1.011,51541.23,52124.19
2019-01-08,1.011,1.043,1.002,1.014,65973.5,66917.96
2019-01-09,1.014,1.021,1.001,1.01,55130.13,55698.77
2019-01-10,1.01,1.125,1.0,1.01,108277.01,109407.13
2019-01-11,1.01,1.027,0.9959,1.01,63070.18,63727.39
2019-01-12,1.01,1.019,0.9971,1.012,28343.28,28675.95
2019-01-13,1.012,1.047,1.005,1.011,45682.73,46204.73
2019-01-14,1.011,1.021,0.9656,1.009,56099.99,56607.08
2019-01-15,1.009,1.04,1.003,1.011,54154.65,54771.76
2019-01-16,1.011,1.026,1.001,1.01,53843.55,54368.74
2019-01-17,1.01,1.013,0.9834,1.01,46181.32,46660.93
2019-01-18,1.01,1.021,1.003,1.01,32418.99,32758.15
2019-01-19,1.01,1.031,0.9882,1.012,38341.35,38793.27
2019-01-20,1.012,1.062,0.9987,1.01,49198.37,49670.75
2019-01-21,1.01,1.02,1.002,1.012,36101.4,36537.36
2019-01-22,1.012,1.016,0.9711,1.007,53586.91,53959.77
2019-01-23,1.007,1.021,0.9969,1.005,37910.4,38092.33
2019-01-24,1.005,1.013,0.9936,1.008,31630.57,31888.35
2019-01-25,1.008,1.012,0.993,1.005,32679.69,32849.03
2019-01-26,1.005,1.034,1.006,1.011,29201.1,29531.93
2019-01-27,1.011,1.021,0.9939,1.009,26261.48,26500.61
2019-01-28,1.009,1.04,0.9924,1.007,59700.11,60130.18
2019-01-29,1.007,1.019,0.9918,1.006,46304.1,46592.38
2019-01-30,1.006,1.015,0.9877,1.008,42399.63,42758.87
2019-01-31,1.008,1.026,1.004,1.007,37365.7,37633.64
2019-02-01,1.007,1.013,0.99,1.008,41976.43,42322.8
2019-02-02,1.008,1.016,0.9932,1.013,27103.48,27446.42
2019-02-03,1.013,1.029,1.002,1.01,23044.88,23272.23
2019-02-04,1.01,1.017,1.005,1.005,23959.61,24085.96
2019-02-05,1.005,1.006,0.9967,1.006,24459.49,24607.16
2019-02-06,1.006,1.028,0.9987,1.008,44281.79,44655.09
2019-02-07,1.008,1.014,1.003,1.005,28811.35,28960.13
2019-02-08,1.005,1.031,0.9284,1.01,89444.22,90370.14
2019-02-09,1.01,1.013,0.9974,1.007,25880.75,26071.85
2019-02-10,1.007,1.011,0.99,1.01,30046.26,30353.41
2019-02-11,1.01,1.028,1.005,1.006,40461.58,40707.42
2019-02-12,1.006,1.017,0.996,1.008,45717.05,46084.2
2019-02-13,1.008,1.023,1.005,1.009,40664.15,41035.83
2019-02-14,1.009,1.017,1.002,1.008,32779.35,33046.67
2019-02-15,1.008,1.021,1.003,1.008,36251.38,36543.96
2019-02-16,1.008,1.016,1.003,1.01,24003.59,24241.9
2019-02-17,1.01,1.021,0.9944,1.012,36849.32,37280.01
2019-02-18,1.012,1.022,0.9466,1.012,98728.99,99872.56
2019-02-19,1.012,1.033,0.9997,1.01,74127.62,74900.05
2019-02-20,1.01,1.013,0.9895,1.009,53048.95,53501.43
2019-02-21,1.009,1.033,1.0,1.01,47433.87,47901.32
2019-02-22,1.01,1.015,0.9949,1.012,43006.55,43507.87
2019-02-23,1.012,1.022,0.9621,1.011,57002.5,57628.36
2019-02-24,1.011,1.134,1.008,1.013,80391.72,81415.56
2019-02-25,1.013,1.018,0.9885,1.008,48406.42,48787.79
2019-02-26,1.008,1.015,0.9994,1.006,33253.08,33461.15
2019-02-27,1.006,1.015,0.9746,1.009,46011.1,46432.8
2019-02-28,1.009,1.031,1.001,1.008,44353.45,44713.65
2019-03-01,1.008,1.016,1.004,1.007,26522.34,26695.06
2019-03-02,1.007,1.01,0.9949,1.009,19283.71,19450.43
2019-03-03,1.009,1.018,1.001,1.007,16769.86,16894.34
2019-03-04,1.007,1.035,1.001,1.008,39278.22,39610.28
2019-03-05,1.008,1.012,0.9673,1.007,43262.3,43574.75
2019-03-06,1.007,1.016,0.9965,1.006,33536.95,33728.88
2019-03-07,1.006,1.013,0.9982,1.006,37619.38,37840.03
2019-03-08,1.006,1.024,0.9912,1.008,39428.25,39728.37
2019-03-09,1.008,1.014,0.9844,1.007,27600.01,27782.92
2019-03-10,1.007,1.013,0.9998,1.008,17404.16,17543.44
2019-03-11,1.008,1.023,0.9989,1.006,32708.55,32889.68
2019-03-12,1.006,1.011,0.9913,1.007,33655.37,33898.24
2019-03-13,1.007,1.012,1.001,1.007,27922.69,28120.85
2019-03-14,1.007,1.018,0.9924,1.007,34554.38,34798.42
2019-03-15,1.007,1.009,0.9935,1.007,32133.02,32344.2
2019-03-16,1.007,1.02,0.984,1.01,41319.81,41716.88
2019-03-17,1.01,1.016,1.001,1.008,17033.6,17164.55
2019-03-18,1.008,1.017,0.9983,1.005,27416.92,27540.37
2019-03-19,1.005,1.008,0.993,1.006,29686.2,29861.85
2019-03-20,1.006,1.008,0.991,1.006,36862.09,37088.64
2019-03-21,1.006,1.028,0.9955,1.006,44251.52,44534.31
2019-03-22,1.006,1.009,1.0,1.005,22671.75,22776.16
2019-03-23,1.005,1.01,1.001,1.007,18486.22,18615.04
2019-03-24,1.007,1.009,0.9994,1.005,16111.98,16198.61
2019-03-25,1.005,1.025,0.9947,1.004,34191.84,34334.0
2019-03-26,1.004,1.005,0.995,1.005,23873.14,23996.4
2019-03-27,1.005,1.007,0.9767,1.005,37132.4,37309.45
2019-03-28,1.005,1.009,1.001,1.007,25343.13,25516.15
2019-03-29,1.007,1.007,0.9849,1.004,41843.31,42029.77
2019-03-30,1.004,1.013,0.9934,1.006,24906.26,25053.24
2019-03-31,1.006,1.009,1.002,1.005,13792.73,13862.37
2019-04-01,1.005,1.007,0.9872,1.004,36921.55,37065.39
2019-04-02,1.004,1.041,0.846,1.001,172473.31,172614.37
2019-04-03,1.001,1.073,0.9716,1.001,159843.43,159958.18
2019-04-04,1.001,1.033,0.978,1.001,74544.88,74628.88
2019-04-05,1.001,1.008,0.9725,1.002,56130.82,56253.64
2019-04-06,1.002,1.04,0.9799,1.004,54180.91,54371.42
2019-04-07,1.004,1.014,0.9712,1.001,47200.43,47264.5
2019-04-08,1.001,1.011,0.9723,1.001,69803.56,69885.54
2019-04-09,1.001,1.02,0.9943,1.002,48552.25,48668.84
2019-04-10,1.002,1.026,0.9734,0.9997,65813.81,65794.76
2019-04-11,0.9997,1.058,0.9877,0.9997,69622.86,69603.42
2019-04-12,0.9997,1.008,0.97,1.0,43762.94,43775.86
2019-04-13,1.0,1.011,0.9969,1.002,23342.24,23383.62
2019-04-14,1.002,1.005,0.9749,1.001,21193.03,21213.28
2019-04-15,1.001,1.032,0.9875,1.001,40402.46,40444.69
2019-04-16,1.001,1.005,0.9659,1.001,40370.0,40415.74
2019-04-17,1.001,1.008,0.9926,1.001,37225.68,37275.01
2019-04-18,1.001,1.006,0.9902,1.001,35511.12,35545.46
2019-04-19,1.001,1.013,0.9863,1.002,30109.97,30171.73
2019-04-20,1.002,1.008,0.9912,1.001,23214.49,23235.26
2019-04-21,1.001,1.009,0.9872,1.001,25466.81,25491.99
2019-04-22,1.001,1.011,0.9776,1.001,45346.65,45414.5
2019-04-23,1.001,1.015,0.9688,0.999,66448.85,66384.25
2019-04-24,0.999,1.036,0.9914,1.003,61651.16,61843.56
2019-04-25,1.003,1.076,0.9804,1.006,70755.72,71172.33
2019-04-26,1.006,1.041,0.9913,1.017,70191.21,71349.77
2019-04-27,1.017,1.023,1.006,1.013,21692.98,21976.56
2019-04-28,1.013,1.031,1.013,1.023,25294.87,25888.36
2019-04-29,1.023,1.031,1.005,1.019,31947.44,32558.65
2019-04-30,1.019,1.02,0.9917,1.016,32567.46,33075.4
2019-05-01,1.016,1.018,1.004,1.012,27410.57,27748.31
2019-05-02,1.012,1.026,0.9996,1.021,35089.37,35813.16
2019-05-03,1.021,1.041,0.9693,1.017,75434.86,76695.93
2019-05-04,1.017,1.023,0.9699,1.012,45628.34,46182.68
2019-05-05,1.012,1.024,0.9991,1.014,25481.48,25834.03
2019-05-06,1.014,1.025,0.9932,1.011,34979.71,35380.41
2019-05-07,1.011,1.05,1.0,1.013,59556.89,60318.81
2019-05-08,1.013,1.017,0.9697,1.011,40967.62,41423.24
2019-05-09,1.011,1.009,0.975,1.005,51005.27,51250.65
2019-05-10,1.005,1.018,0.969,1.005,68160.13,68471.35
2019-05-11,1.005,1.037,0.8912,1.008,135248.42,136356.7
2019-05-12,1.008,1.084,0.9761,1.003,142892.25,143261.2
2019-05-13,1.003,1.041,0.88,0.9994,149082.57,148991.53
2019-05-14,0.9994,1.04,0.9561,0.9998,122383.06,122358.99
2019-05-15,0.9998,1.006,0.956,0.9967,86162.62,85875.42
2019-05-16,0.9967,1.06,0.9749,0.9997,95341.68,95313.36
2019-05-17,0.9997,1.077,0.9056,1.001,141482.93,141640.1
2019-05-18,1.001,1.031,0.9932,1.0,41327.89,41343.42
2019-05-19,1.0,1.01,0.8852,0.9993,91218.12,91154.26
2019-05-20,0.9993,1.024,0.9489,0.9997,80672.83,80645.51
2019-05-21,0.9997,1.019,0.9821,0.9997,45005.01,44990.58
2019-05-22,0.9997,1.054,0.9886,1.001,54216.74,54263.27
2019-05-23,1.001,1.012,0.9495,1.0,50121.07,50120.31
2019-05-24,1.0,1.021,0.9752,0.9996,51604.15,51581.12
2019-05-25,0.9996,1.008,0.9846,0.9983,22294.65,22256.65
2019-05-26,0.9983,1.005,0.9041,0.9993,57648.95,57610.86
2019-05-27,0.9993,1.018,0.9882,1.002,57692.17,57779.05
2019-05-28,1.002,1.01,0.9806,0.9986,41445.13,41385.89
2019-05-29,0.9986,1.011,0.9749,1.0,44056.71,44072.07
2019-05-30,1.0,1.096,0.97,1.0,95189.06,95198.38
2019-05-31,1.0,1.001,0.9476,0.9984,60143.23,60045.76
2019-06-01,0.9984,1.007,0.9884,0.9997,26884.15,26875.2
2019-06-02,0.9997,1.009,0.9783,1.0,25506.14,25508.13
2019-06-03,1.0,1.078,0.9955,1.001,63486.15,63520.91
2019-06-04,1.001,1.058,0.9732,1.001,103552.9,103664.43
2019-06-05,1.001,1.016,0.9742,0.9998,49771.65,49762.07
2019-06-06,0.9998,1.009,0.9568,1.0,44397.47,44410.67
2019-06-07,1.0,1.016,0.9706,1.0,51105.14,51105.33
2019-06-08,1.0,1.017,0.9838,1.001,23469.94,23496.77
2019-06-09,1.001,1.042,0.9863,1.0,30301.73,30313.03
2019-06-10,1.0,1.006,0.94,1.001,43154.98,43190.46
2019-06-11,1.001,1.017,0.9756,1.0,35850.45,35849.91
2019-06-12,1.0,1.009,0.9587,1.0,49460.34,49471.05
2019-06-13,1.0,1.011,0.9775,0.9996,38536.25,38521.52
2019-06-14,0.9996,1.003,0.9408,0.9999,50383.98,50378.3
2019-06-15,0.9999,1.006,0.9737,0.9999,38140.15,38136.23
2019-06-16,0.9999,1.043,0.9789,0.9987,84289.2,84182.79
2019-06-17,0.9987,1.015,0.9626,1.001,65486.04,65555.2
2019-06-18,1.001,1.031,0.9854,1.001,51829.13,51872.08
2019-06-19,1.001,1.003,0.9743,0.9996,32012.68,32001.34
2019-06-20,0.9996,1.007,0.9667,1.0,45144.43,45143.91
2019-06-21,1.0,1.001,0.9327,0.9993,77828.7,77778.09
2019-06-22,0.9993,1.048,0.9435,0.9999,115793.98,115782.07
2019-06-23,0.9999,1.041,0.9698,1.001,57082.02,57157.94
2019-06-24,1.001,1.007,0.9574,1.001,52118.36,52165.91
2019-06-25,1.001,1.001,0.9345,0.9981,84123.73,83964.53
2019-06-26,0.9981,1.069,0.9026,0.998,211449.88,211017.17
2019-06-27,0.998,1.195,0.928,1.002,202428.68,202742.22
2019-06-28,1.002,1.004,0.8701,0.9979,120700.97,120448.18
2019-06-29,0.9979,1.042,0.9564,1.001,81875.16,81971.31
2019-06-30,1.001,1.137,0.9954,1.004,80893.36,81206.91
2019-07-01,1.004,1.06,0.9465,1.002,115739.97,115958.6
2019-07-02,1.002,1.008,0.893,1.001,120994.95,121068.97
2019-07-03,1.001,1.003,0.9052,1.0,115565.16,115602.69
2019-07-04,1.0,1.079,0.991,0.9989,71141.03,71065.99
2019-07-05,0.9989,1.042,0.9827,1.001,66066.75,66157.26
2019-07-06,1.001,1.041,0.9765,0.9999,48172.2,48168.82
2019-07-07,0.9999,1.011,0.9675,0.9992,36847.21,36818.94
2019-07-08,0.9992,1.008,0.9224,1.0,63847.27,63866.33
2019-07-09,1.0,1.019,0.9637,0.9994,79607.47,79561.06
2019-07-10,0.9994,1.09,0.9562,0.9999,124523.09,124513.93
2019-07-11,0.9999,1.067,0.9704,1.0,102929.11,102977.32
2019-07-12,1.0,1.011,0.94,0.9994,55994.89,55962.02
2019-07-13,0.9994,1.04,0.9515,0.9986,59187.84,59105.77
2019-07-14,0.9986,1.123,0.9927,1.001,76310.21,76397.21
2019-07-15,1.001,1.02,0.9098,0.9995,92742.77,92694.76
2019-07-16,0.9995,1.172,0.9954,1.001,113537.84,113694.57
2019-07-17,1.001,1.03,0.9371,1.0,101032.08,101034.48
2019-07-18,1.0,1.012,0.8727,0.9991,102443.07,102353.69
2019-07-19,0.9991,1.022,0.9625,1.0,62995.33,63013.82
2019-07-20,1.0,1.031,0.9649,1.0,56766.57,56778.23
2019-07-21,1.0,1.023,0.9754,0.9996,38379.41,38365.82
2019-07-22,0.9996,1.034,0.9757,1.0,50574.02,50589.89
2019-07-23,1.0,1.049,0.9971,1.0,52754.02,52778.5
2019-07-24,1.0,1.016,0.9762,1.0,54750.78,54772.75
2019-07-25,1.0,1.032,0.9871,1.001,40285.56,40326.08
2019-07-26,1.001,1.005,0.9824,1.001,31960.31,31979.99
2019-07-27,1.001,1.077,0.9824,1.0,53081.42,53085.17
2019-07-28,1.0,1.008,0.9598,1.001,28313.55,28354.18
2019-07-29,1.001,1.023,0.9882,1.001,31434.4,31460.84
2019-07-30,1.001,1.017,0.9795,1.001,28856.19,28878.88
2019-07-31,1.001,1.003,0.9491,0.9994,42030.01,42003.45
2019-08-01,0.9994,1.008,0.9509,1.001,43505.11,43541.33
2019-08-02,1.001,1.014,0.9832,1.001,44213.09,44261.64
2019-08-03,1.001,1.009,0.9711,0.9998,34102.93,34096.82
2019-08-04,0.9998,1.009,0.9634,1.0,39795.33,39815.06
2019-08-05,1.0,1.012,0.9301,1.0,74748.53,74776.77
2019-08-06,1.0,1.074,0.979,1.0,80694.71,80711.81
2019-08-07,1.0,1.015,0.9528,1.001,70893.9,70988.34
2019-08-08,1.001,1.003,0.9581,0.9985,49871.24,49795.11
2019-08-09,0.9985,1.014,0.9847,1.001,39230.82,39261.56
