# Dataset Report: WAX (WAXP)
# Coin Name: WAX
# Symbol: WAXP
# Approx Row Count: 2205
# Date Range: 2020-01-29 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_WAXP, Volume_USD
# Note: Launched late 2017. Native token of the Worldwide Asset eXchange (NFT & Gaming blockchain).
# --------------------------------------------------
Date,open,high,low,close,Volume_WAXP,Volume_USD
2020-01-29,0.02639,0.02684,0.02609,0.02684,12214.81,327.81
2020-01-31,0.02746,0.027,0.02494,0.02494,851.27,21.23
2020-02-03,0.02492,0.02508,0.0248,0.02508,452.84,11.36
2020-02-04,0.02508,0.0266,0.02476,0.02623,3046.62,79.92
2020-02-05,0.02623,0.02797,0.02749,0.02797,1459.65,40.83
2020-02-06,0.02797,0.02878,0.0279,0.02878,86237.71,2481.9
2020-02-07,0.02878,0.03217,0.02893,0.03168,4362.2,138.2
2020-02-08,0.03168,0.03197,0.03108,0.03128,3939.06,123.21
2020-02-10,0.0321,0.03115,0.02997,0.03115,4000.0,124.61
2020-02-11,0.03115,0.03594,0.03142,0.03142,127399.84,4003.47
2020-02-12,0.03142,0.03632,0.03166,0.03508,25883.82,907.99
2020-02-13,0.03044,0.03192,0.03044,0.03055,58521.0,1858.15
2020-02-14,0.03055,0.06625,0.02994,0.06304,649348.0,28474.41
2020-02-15,0.06304,0.09727,0.05859,0.06159,371311.0,27865.69
2020-02-16,0.06159,0.06956,0.05212,0.06,80888.0,4756.24
2020-02-17,0.06,0.06107,0.0588,0.0595,34984.0,2105.67
2020-02-18,0.0595,0.0595,0.05109,0.05109,15432.0,817.76
2020-02-19,0.05093,0.05045,0.04657,0.04838,88976.47,4304.74
2020-02-20,0.04988,0.04988,0.04411,0.04411,19495.0,889.22
2020-02-21,0.04536,0.05628,0.04568,0.05206,750699.71,39079.63
2020-02-22,0.05206,0.05299,0.04617,0.04669,844315.11,39422.07
2020-02-23,0.04669,0.0543,0.04769,0.05017,379256.36,19025.96
2020-02-24,0.05017,0.04836,0.04571,0.0465,343722.62,15984.65
2020-02-25,0.04656,0.04656,0.04009,0.04009,20001.0,821.45
2020-02-26,0.03949,0.04251,0.03289,0.03915,880338.11,34467.66
2020-02-27,0.03525,0.04785,0.03525,0.04776,40557.0,1937.8
2020-02-28,0.04776,0.05382,0.0408,0.04371,45736.0,2103.1
2020-02-29,0.04528,0.04332,0.03962,0.04158,235740.58,9801.36
2020-03-01,0.04158,0.04831,0.04014,0.0426,285487.02,12162.06
2020-03-02,0.04275,0.04553,0.03887,0.04553,36743.0,1522.22
2020-03-03,0.0427,0.04766,0.04117,0.04498,214730.05,9658.08
2020-03-04,0.04498,0.0492,0.04424,0.04622,613942.99,28374.4
2020-03-05,0.04622,0.0478,0.04508,0.04757,115419.44,5490.46
2020-03-06,0.04757,0.05456,0.04768,0.04869,294300.35,14328.03
2020-03-07,0.04869,0.04851,0.04518,0.04556,169265.3,7711.5
2020-03-08,0.04556,0.03994,0.03714,0.03814,117863.68,4495.19
2020-03-09,0.03814,0.04123,0.03737,0.03899,129781.64,5060.36
2020-03-10,0.03899,0.04233,0.03832,0.04113,230646.12,9485.81
2020-03-11,0.04113,0.04092,0.03741,0.03897,220187.81,8581.16
2020-03-12,0.03897,0.02218,0.01805,0.01897,1276347.2,24212.29
2020-03-13,0.019,0.02762,0.015,0.02362,112979.0,2641.39
2020-03-14,0.02362,0.03262,0.02362,0.02978,27931.0,826.09
2020-03-15,0.02978,0.03082,0.02703,0.02703,34483.0,997.69
2020-03-16,0.02703,0.034,0.02295,0.03376,93604.0,2520.57
2020-03-17,0.03376,0.04135,0.03346,0.0399,261917.0,9744.45
2020-03-18,0.0399,0.04241,0.03438,0.03438,40751.0,1548.72
2020-03-19,0.03438,0.08787,0.03244,0.03912,1058279.45,40257.15
2020-03-20,0.03912,0.05003,0.03201,0.03862,2239307.98,83702.13
2020-03-21,0.03862,0.04357,0.032,0.03647,2083006.87,74413.86
2020-03-22,0.03647,0.0378,0.0301,0.032,2544409.63,86024.79
2020-03-23,0.032,0.0335,0.02183,0.03223,2671220.81,82058.08
2020-03-24,0.03223,0.0335,0.0243,0.03309,2530199.08,79867.17
2020-03-25,0.03309,0.03349,0.0281,0.03149,2693092.98,84068.29
2020-03-26,0.03149,0.0335,0.02802,0.03131,2411356.85,74414.1
2020-03-27,0.03131,0.0334,0.02802,0.03139,2653075.35,81994.41
2020-03-28,0.03139,0.03139,0.026,0.02947,2677862.86,77281.3
2020-03-29,0.02947,0.0314,0.02702,0.028,2864406.23,83535.68
2020-03-30,0.028,0.03275,0.02703,0.03099,2563002.04,75160.62
2020-03-31,0.03099,0.0324,0.02815,0.02996,3198719.46,94260.9
2020-04-01,0.02996,0.03086,0.0271,0.03086,2439531.42,70764.52
2020-04-02,0.03086,0.0311,0.0254,0.03034,6344640.82,183454.57
2020-04-03,0.03034,0.0311,0.02852,0.03028,2434240.89,72601.06
2020-04-04,0.03028,0.0305,0.02875,0.03,2355083.96,69452.22
2020-04-05,0.03,0.03027,0.02855,0.03015,2255655.79,66256.48
2020-04-06,0.03015,0.0318,0.02905,0.0318,2856329.46,86284.86
2020-04-07,0.0318,0.033,0.02983,0.03107,3617373.17,111864.13
2020-04-08,0.03107,0.03161,0.03,0.03115,2445071.29,75145.52
2020-04-09,0.03115,0.03133,0.02985,0.0311,2171984.96,66497.78
2020-04-10,0.0311,0.03262,0.02799,0.02871,2712451.54,79357.81
2020-04-11,0.02871,0.031,0.02799,0.02905,2457826.46,70513.88
2020-04-12,0.02905,0.03037,0.02812,0.02963,2518595.7,72717.61
2020-04-13,0.02963,0.02976,0.02763,0.02857,2331967.64,65750.98
2020-04-14,0.02857,0.02916,0.02799,0.02912,448807.1,12833.99
2020-04-15,0.02912,0.0302,0.02772,0.02821,2700482.46,76927.92
2020-04-16,0.02821,0.02999,0.02638,0.02869,3551402.87,100115.56
2020-04-17,0.02869,0.02949,0.0274,0.0279,2646716.89,74359.39
2020-04-18,0.0279,0.0292,0.02745,0.02912,2209629.9,62701.23
2020-04-19,0.02912,0.0294,0.0276,0.02825,2533425.88,71603.79
2020-04-20,0.02825,0.0295,0.027,0.0276,2852725.0,79810.88
2020-04-21,0.0276,0.0288,0.02671,0.02739,2376447.2,65214.37
2020-04-22,0.02739,0.0283,0.02672,0.02801,2238006.49,61700.3
2020-04-23,0.02801,0.0294,0.02733,0.0288,2809982.93,79017.93
2020-04-24,0.0288,0.0335,0.02783,0.03016,2869066.76,83340.25
2020-04-25,0.03016,0.0312,0.02872,0.02938,2551011.79,75604.37
2020-04-26,0.02938,0.0308,0.0289,0.03069,2346128.24,69932.53
2020-04-27,0.03069,0.032,0.02951,0.03104,2754169.23,83535.07
2020-04-28,0.03104,0.03109,0.0297,0.03079,2475741.8,75554.49
2020-04-29,0.03079,0.0335,0.0299,0.03228,2639886.13,82250.31
2020-04-30,0.03228,0.03734,0.03021,0.03087,3034955.56,96694.35
2020-05-01,0.03087,0.03689,0.03046,0.0347,3344867.89,111771.6
2020-05-02,0.0347,0.03899,0.03374,0.03898,2897838.47,103038.05
2020-05-03,0.03898,0.03898,0.0334,0.035,3066426.24,109284.0
2020-05-04,0.035,0.0389,0.03168,0.03478,2972985.04,99200.09
2020-05-05,0.03478,0.03478,0.033,0.03389,2497147.42,84091.88
2020-05-06,0.03389,0.03419,0.0327,0.03415,2207714.41,74139.89
2020-05-07,0.03415,0.03419,0.03267,0.03395,2293174.64,76902.56
2020-05-08,0.03395,0.0343,0.0321,0.03423,2428355.92,81529.02
2020-05-09,0.03423,0.03688,0.03369,0.03637,2927393.71,103577.13
2020-05-10,0.03637,0.04035,0.03019,0.03249,2861183.17,91753.74
2020-05-11,0.03249,0.03249,0.02979,0.03105,2723258.29,84901.75
2020-05-12,0.03105,0.03372,0.03034,0.03319,2450683.5,79622.35
2020-05-13,0.03319,0.03328,0.0316,0.03255,3777712.71,122301.67
2020-05-14,0.03255,0.03255,0.03059,0.03227,4141463.34,130448.61
2020-05-15,0.03227,0.03273,0.02933,0.03029,3313984.25,102035.88
2020-05-16,0.03029,0.032,0.02957,0.0312,2450800.65,76143.23
2020-05-17,0.0312,0.03269,0.03065,0.0319,2418322.55,76866.1
2020-05-18,0.0319,0.0345,0.03124,0.03377,2546925.48,82189.85
2020-05-19,0.03377,0.03379,0.03162,0.0336,2782892.48,90981.15
2020-05-20,0.0336,0.043,0.03311,0.0409,3660232.18,136554.09
2020-05-21,0.0409,0.05334,0.03701,0.04638,3914425.71,168825.38
2020-05-22,0.04638,0.0474,0.04011,0.04615,3116362.4,136403.26
2020-05-23,0.04615,0.04699,0.0425,0.0445,2552379.38,113300.41
2020-05-24,0.0445,0.05513,0.04336,0.049,3080797.85,151353.38
2020-05-25,0.049,0.0534,0.0452,0.04891,2304148.5,110832.56
2020-05-26,0.04891,0.05276,0.04465,0.04815,2733270.75,128654.88
2020-05-27,0.04815,0.04815,0.04321,0.047,2622113.87,120008.32
2020-05-28,0.047,0.047,0.0438,0.04522,2553095.73,114968.2
2020-05-29,0.04522,0.04553,0.04337,0.04485,2521054.04,111936.5
2020-05-30,0.04485,0.05083,0.04485,0.04882,2117348.04,103270.54
2020-05-31,0.04882,0.05148,0.04609,0.0473,3500864.2,168025.61
2020-06-01,0.0473,0.04976,0.04602,0.04975,2819820.74,132681.8
2020-06-02,0.04975,0.04975,0.0435,0.04561,3258040.45,152800.6
