# Dataset Report: Zcash (ZEC)
# Coin Name: Zcash
# Symbol: ZEC
# Approx Row Count: 3380
# Date Range: 2016-10-28 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_ZEC, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_ZEC,Volume_USD
2016-10-28,1669171.9,2215882.68,1687.46,19077.47,61.98,1182421.71
2016-10-29,19077.47,22420.83,1971.83,1996.14,448.72,895708.12
2016-10-30,1996.14,2062.52,491.3,536.27,970.51,520455.74
2016-10-31,536.27,2540.36,450.01,1632.09,2671.42,4360006.2
2016-11-01,1632.09,2065.45,1165.72,1359.77,2596.89,3531167.82
2016-11-02,1359.77,1538.9,866.28,962.37,2896.44,2787432.83
2016-11-03,962.37,1047.85,832.8,864.99,2436.93,2107922.05
2016-11-04,864.99,912.7,601.68,604.28,2786.38,1683754.42
2016-11-05,604.28,646.71,498.64,502.01,2804.03,1407647.31
2016-11-06,502.01,512.27,334.3,334.72,4339.69,1452592.17
2016-11-07,334.72,345.5,235.46,237.58,5102.29,1212195.53
2016-11-08,237.58,290.9,176.59,269.15,7944.04,2138112.47
2016-11-09,269.15,416.4,216.07,256.46,10847.06,2781889.18
2016-11-10,256.46,257.96,223.8,225.66,3890.85,878013.9
2016-11-11,225.66,227.07,179.6,184.89,3989.48,737619.91
2016-11-12,184.89,191.28,143.04,143.53,5131.16,736476.55
2016-11-13,143.53,154.08,119.76,120.25,7703.86,926369.6
2016-11-14,120.25,121.82,95.26,103.5,9665.28,1000355.17
2016-11-15,103.5,132.69,96.57,108.94,12472.88,1358802.03
2016-11-16,108.94,122.44,94.68,94.98,9274.13,880837.61
2016-11-17,94.98,98.76,83.71,86.44,5264.73,455075.45
2016-11-18,86.44,89.26,68.18,69.0,7586.23,523481.47
2016-11-19,69.0,73.13,62.84,64.28,7407.99,476194.08
2016-11-20,64.28,66.49,59.87,60.54,5879.39,355933.46
2016-11-21,60.54,61.94,53.26,53.28,8309.42,442709.86
2016-11-22,53.28,74.49,54.1,56.4,15252.27,860156.78
2016-11-23,56.4,94.34,55.54,83.67,24698.68,2066459.59
2016-11-24,83.67,103.68,68.11,95.59,32931.54,3147935.79
2016-11-25,95.59,108.84,86.77,90.55,24535.54,2221685.71
2016-11-26,90.55,92.65,74.29,76.06,14017.53,1066129.93
2016-11-27,76.06,81.84,64.36,70.69,13042.32,921936.72
2016-11-28,70.69,76.48,65.27,73.4,11094.05,814340.21
2016-11-29,73.4,78.24,66.97,68.3,11021.28,752715.61
2016-11-30,68.3,75.29,65.24,67.36,11617.0,782505.93
2016-12-01,67.36,69.72,61.73,62.03,10019.29,621514.24
