date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2019-01-16,0.07387,0.07678,0.06924,0.07266,341595.32,24820.71,AERGO
2019-01-17,0.07266,0.07614,0.07028,0.07256,556094.84,40352.22,AERGO
2019-01-18,0.07256,0.07446,0.07179,0.07223,511178.84,36923.16,AERGO
2019-01-19,0.07223,0.07698,0.07381,0.0743,455994.04,33879.09,AERGO
2019-01-20,0.0743,0.07367,0.07078,0.07228,538252.72,38906.1,AERGO
2019-01-21,0.07228,0.07265,0.07055,0.07115,574969.65,40910.61,AERGO
2019-01-22,0.07115,0.07402,0.07107,0.07172,506468.45,36322.2,AERGO
2019-01-23,0.07172,0.07251,0.06737,0.0683,668847.92,45680.71,AERGO
2019-01-24,0.0683,0.07114,0.06765,0.0678,576927.12,39113.42,AERGO
2019-01-25,0.0678,0.06754,0.05804,0.06474,554796.55,35919.09,AERGO
2019-01-26,0.06474,0.06711,0.06161,0.06287,551866.15,34694.07,AERGO
2019-01-27,0.06287,0.06677,0.06011,0.06178,451649.7,27904.2,AERGO
2019-01-28,0.06178,0.06168,0.05664,0.05864,462638.06,27128.67,AERGO
2019-01-29,0.05864,0.05989,0.05548,0.0577,556416.53,32105.27,AERGO
2019-01-30,0.0577,0.05946,0.0569,0.05943,568320.83,33774.16,AERGO
2019-01-31,0.05943,0.05989,0.0557,0.05742,433787.96,24907.52,AERGO
2019-02-01,0.05742,0.05836,0.05549,0.05822,546852.03,31840.25,AERGO
2019-02-02,0.05822,0.06074,0.05782,0.06074,651083.31,39543.71,AERGO
2019-02-03,0.06074,0.06127,0.05761,0.05864,540180.05,31678.07,AERGO
2019-02-04,0.05864,0.06121,0.05734,0.05792,549455.7,31824.11,AERGO
2019-02-05,0.05792,0.06068,0.05751,0.05882,468368.04,27548.04,AERGO
2019-02-06,0.05882,0.0587,0.05622,0.0568,466828.46,26514.23,AERGO
2019-02-07,0.0568,0.05704,0.05519,0.05586,454828.59,25407.5,AERGO
2019-02-08,0.05586,0.06515,0.05984,0.0631,405774.94,25603.96,AERGO
2019-02-09,0.0631,0.06497,0.06088,0.06329,597994.45,37849.26,AERGO
2019-02-10,0.06329,0.06526,0.06154,0.06493,532146.32,34553.41,AERGO
2019-02-11,0.06493,0.06388,0.06096,0.06197,347064.91,21507.82,AERGO
2019-02-12,0.06197,0.0637,0.05929,0.06009,344211.92,20682.04,AERGO
2019-02-13,0.06009,0.06332,0.05921,0.06285,362832.49,22804.14,AERGO
2019-02-14,0.06285,0.06575,0.06208,0.06438,395961.6,25492.66,AERGO
2019-02-15,0.06438,0.06641,0.06332,0.06404,478396.41,30634.59,AERGO
2019-02-16,0.06404,0.06685,0.06388,0.06652,458433.62,30495.48,AERGO
2019-02-17,0.06652,0.0692,0.06534,0.06806,454355.83,30922.94,AERGO
2019-02-19,0.07254,0.08602,0.07276,0.07958,342987.27,27296.16,AERGO
2019-02-20,0.07958,0.09415,0.07749,0.08389,1685842.07,141428.99,AERGO
2019-02-21,0.08389,0.0861,0.08,0.0826,771568.82,63730.89,AERGO
2019-02-22,0.0826,0.09541,0.08095,0.09082,2140873.79,194443.76,AERGO
2019-02-23,0.09082,0.1017,0.08431,0.0885,3183441.45,281734.85,AERGO
2019-02-24,0.0885,0.08826,0.07747,0.07837,3853827.28,302040.88,AERGO
2019-02-25,0.07837,0.08483,0.07899,0.08249,3214075.25,265116.82,AERGO
2019-02-26,0.08249,0.08514,0.07903,0.08208,2763019.4,226800.84,AERGO
2019-02-27,0.08208,0.08255,0.0729,0.07374,1528870.78,112741.01,AERGO
2019-02-28,0.07374,0.07654,0.07268,0.07284,980069.46,71383.55,AERGO
2019-03-01,0.07284,0.07579,0.07284,0.07425,923371.55,68564.11,AERGO
2019-03-02,0.07425,0.0779,0.07309,0.0774,1023775.11,79236.93,AERGO
2019-03-03,0.0774,0.07747,0.07262,0.07693,1348510.11,103744.14,AERGO
2019-03-04,0.07693,0.07672,0.06597,0.07041,2075175.64,146111.57,AERGO
2019-03-05,0.07041,0.08426,0.0726,0.08109,2127857.08,172540.67,AERGO
2019-03-06,0.08109,0.09556,0.07545,0.0863,2651697.25,228830.35,AERGO
2019-03-07,0.0863,0.1087,0.08557,0.09707,2172320.33,210856.82,AERGO
2019-03-08,0.09707,0.1151,0.0943,0.113,1928212.9,217933.46,AERGO
2019-03-09,0.113,0.1469,0.1109,0.1459,2159275.54,315141.83,AERGO
2019-03-10,0.1459,0.1921,0.1338,0.1529,2256790.05,345085.93,AERGO
2019-03-11,0.1529,0.1627,0.09784,0.1039,4315031.84,448437.74,AERGO
2019-03-12,0.1039,0.1414,0.1029,0.1221,3224675.7,393861.84,AERGO
2019-03-13,0.1221,0.1235,0.1037,0.1157,3283500.26,380008.19,AERGO
2019-03-14,0.1157,0.1494,0.1087,0.1343,3376169.34,453281.15,AERGO
