date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-02-01,3.578,3.858,3.32,3.663,2785.02,10200.36,AION
2018-02-02,3.663,3.701,2.741,3.285,4909.78,16130.94,AION
2018-02-03,3.285,3.827,3.201,3.579,2247.41,8042.94,AION
2018-02-04,3.579,3.609,2.843,3.082,2656.27,8185.85,AION
2018-02-05,3.081,3.056,1.982,2.287,15280.99,34952.03,AION
2018-02-06,2.287,2.95,1.8,2.79,27111.96,75642.37,AION
2018-02-07,2.79,3.249,2.599,2.669,6846.48,18276.45,AION
2018-02-08,2.669,3.097,2.647,3.057,6392.06,19540.14,AION
2018-02-09,3.058,3.06,2.88,2.99,10723.54,32063.38,AION
2018-02-10,2.99,3.1,2.69,2.77,11116.76,30793.43,AION
2018-02-11,2.77,2.92,2.35,2.81,15511.04,43586.02,AION
2018-02-12,2.81,3.24,2.81,2.98,18123.7,54008.63,AION
2018-02-13,2.98,3.06,2.818,2.818,18335.08,51666.42,AION
2018-02-14,2.818,2.95,2.79,2.92,12854.79,37535.99,AION
2018-02-15,2.92,3.19,2.9,3.01,10698.14,32201.4,AION
2018-02-16,3.01,3.29,2.94,3.29,7571.18,24909.18,AION
2018-02-17,3.29,4.131,3.323,3.949,23997.19,94767.3,AION
2018-02-18,3.949,4.222,3.313,3.444,18909.41,65125.9,AION
2018-02-19,3.444,3.9,3.33,3.85,15064.04,57996.55,AION
2018-02-20,3.85,3.99,3.31,3.31,14435.55,47781.67,AION
2018-02-21,3.31,3.44,2.87,2.89,18950.61,54767.26,AION
2018-02-22,2.89,3.12,2.85,2.89,19547.86,56493.32,AION
2018-02-23,2.89,3.26,2.83,3.05,13991.33,42673.56,AION
2018-02-24,3.05,3.12,2.85,2.87,15578.52,44710.35,AION
2018-02-25,2.9,3.17,2.87,3.17,16587.33,52581.84,AION
2018-02-26,3.17,3.21,3.07,3.07,6777.49,20806.89,AION
2018-02-27,3.07,3.14,3.0,3.03,13512.44,40942.69,AION
2018-02-28,3.03,3.07,2.81,2.83,16212.77,45882.14,AION
2018-03-01,2.83,3.17,2.72,3.12,21160.97,66015.62,AION
2018-03-02,3.12,3.34,3.05,3.29,21391.97,70379.58,AION
2018-03-03,3.29,3.36,3.07,3.17,21217.75,67260.27,AION
2018-03-04,3.17,3.325,3.091,3.254,15435.93,50225.43,AION
2018-03-05,3.254,3.31,3.19,3.26,19107.04,62288.95,AION
2018-03-06,3.26,3.26,2.88,2.88,13890.3,40004.06,AION
2018-03-07,2.88,2.99,2.59,2.63,13922.37,36615.83,AION
2018-03-08,2.63,2.92,2.52,2.53,15204.56,38467.54,AION
2018-03-09,2.53,2.53,2.22,2.39,12733.02,30431.92,AION
2018-03-10,2.39,2.57,2.32,2.34,15746.19,36846.08,AION
2018-03-11,2.34,2.46,2.23,2.44,14111.08,34431.04,AION
2018-03-12,2.44,2.54,2.28,2.32,14902.86,34574.64,AION
2018-03-13,2.32,2.39,2.28,2.35,12473.41,29312.51,AION
2018-03-14,2.35,2.52,2.03,2.13,16872.44,35938.3,AION
2018-03-15,2.13,3.08,2.06,2.67,18155.19,48474.36,AION
2018-03-16,2.67,2.84,2.42,2.63,14968.66,39367.58,AION
2018-03-17,2.63,2.63,2.27,2.27,13272.05,30127.55,AION
2018-03-18,2.27,2.553,1.915,2.523,14536.74,36678.65,AION
2018-03-19,2.513,2.82,2.46,2.63,9485.51,24946.89,AION
2018-03-20,2.61,2.81,2.61,2.78,7885.88,21922.75,AION
2018-03-21,2.78,3.26,2.75,3.07,11905.99,36551.39,AION
2018-03-22,3.07,3.3,2.89,2.96,12332.24,36503.43,AION
2018-03-23,2.96,2.96,2.67,2.73,13350.73,36447.49,AION
2018-03-24,2.73,3.14,2.73,2.92,11610.81,33903.57,AION
2018-03-25,2.92,2.94,2.72,2.73,12919.49,35270.21,AION
2018-03-26,2.73,2.81,2.4,2.51,12971.77,32559.14,AION
2018-03-27,2.51,2.53,2.36,2.44,11812.05,28821.4,AION
2018-03-28,2.44,2.49,2.4,2.44,13285.7,32417.11,AION
2018-03-29,2.44,2.455,2.065,2.095,13167.38,27590.66,AION
2018-03-30,2.095,2.163,1.988,2.07,14460.96,29938.53,AION
2018-03-31,2.07,2.225,2.07,2.081,12888.22,26815.23,AION
2018-04-01,2.081,2.29,1.86,1.94,14972.43,29046.51,AION
2018-04-02,1.94,2.05,1.94,2.03,14252.43,28932.43,AION
2018-04-03,2.03,2.26,2.03,2.24,20687.44,46339.87,AION
2018-04-04,2.24,2.24,1.93,1.94,25382.51,49242.07,AION
2018-04-05,1.94,1.94,1.86,1.88,28170.19,52959.96,AION
2018-04-06,1.88,1.9,1.81,1.83,25552.85,46761.72,AION
2018-04-07,1.83,2.18,1.83,2.03,28644.99,58149.33,AION
2018-04-08,2.03,2.218,2.029,2.109,25654.84,54093.82,AION
2018-04-09,2.109,2.19,2.03,2.05,24610.91,50452.37,AION
2018-04-10,2.05,2.111,2.02,2.111,21066.0,44468.22,AION
2018-04-11,2.111,2.49,2.06,2.29,20464.39,46854.08,AION
2018-04-12,2.29,2.819,2.259,2.809,19775.15,55540.39,AION
2018-04-13,2.809,3.03,2.63,2.69,18599.1,50031.58,AION
2018-04-14,2.69,2.83,2.66,2.73,20472.53,55890.01,AION
2018-04-15,2.73,3.05,2.73,2.96,20174.33,59716.02,AION
2018-04-16,2.96,2.98,2.66,2.96,20461.7,60560.58,AION
2018-04-17,2.96,3.137,2.958,2.978,18040.73,53718.37,AION
2018-04-18,2.978,3.089,2.979,3.069,19794.42,60756.72,AION
2018-04-19,3.069,3.29,3.07,3.26,20965.03,68346.0,AION
2018-04-20,3.26,3.34,3.19,3.31,20023.53,66277.88,AION
2018-04-21,3.31,3.71,2.95,3.65,21430.09,78219.83,AION
2018-04-22,3.65,4.11,3.65,4.02,18364.59,73825.65,AION
2018-04-23,3.99,4.05,3.81,3.9,17225.42,67179.14,AION
2018-04-24,3.9,4.08,3.87,4.03,17301.99,69727.02,AION
2018-04-25,4.03,4.05,3.31,3.57,21092.71,75300.97,AION
2018-04-26,3.57,3.71,3.37,3.7,21524.62,79641.09,AION
2018-04-27,3.7,3.79,3.62,3.65,18869.14,68872.36,AION
2018-04-28,3.65,3.897,3.56,3.868,19372.21,74924.54,AION
2018-04-29,3.868,3.93,3.79,3.82,19478.44,74407.64,AION
2018-04-30,3.82,3.85,3.79,3.82,18103.99,69157.24,AION
2018-05-01,3.82,3.82,3.46,3.73,21782.4,81248.35,AION
2018-05-02,3.73,3.928,3.698,3.928,18489.87,72628.86,AION
2018-05-03,3.928,4.012,3.805,3.805,16777.44,63844.38,AION
2018-05-04,3.805,3.843,3.556,3.655,19934.51,72852.18,AION
2018-05-05,3.655,3.703,3.584,3.703,21656.51,80189.1,AION
2018-05-06,3.703,3.706,3.358,3.497,24826.93,86822.75,AION
2018-05-07,3.497,3.518,3.188,3.408,21989.68,74932.32,AION
2018-05-08,3.408,3.46,3.14,3.21,21855.96,70157.63,AION
2018-05-09,3.21,3.205,2.955,3.105,17716.18,55009.16,AION
2018-05-10,3.105,3.277,2.977,2.977,20570.19,61237.87,AION
2018-05-11,2.977,2.979,2.619,2.759,23649.73,65247.15,AION
2018-05-12,2.759,2.89,2.62,2.89,13461.98,38905.12,AION
2018-05-13,3.0,3.14,3.0,3.14,10792.55,33888.61,AION
2018-05-14,3.14,3.229,2.929,3.049,24196.36,73769.38,AION
2018-05-15,3.049,3.046,2.777,2.807,24205.32,67935.33,AION
2018-05-16,2.807,2.81,2.56,2.6,25008.0,65020.8,AION
2018-05-17,2.6,2.7,2.49,2.49,22849.02,56894.06,AION
2018-05-18,2.49,2.545,2.465,2.525,22258.12,56194.79,AION
2018-05-19,2.525,2.615,2.485,2.485,23553.82,58537.58,AION
2018-05-20,2.485,2.599,2.49,2.579,20075.59,51784.66,AION
2018-05-21,2.579,2.596,2.486,2.506,22821.77,57196.72,AION
