date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2019-06-21,3.117,3.423,3.013,3.16,1176209.68,3716337.99,ALGO
2019-06-22,3.16,3.184,1.865,2.185,14678008.18,32071447.87,ALGO
2019-06-23,2.185,2.223,1.796,1.897,7183537.26,13625861.34,ALGO
2019-06-24,1.897,2.012,1.312,1.409,16845832.08,23733814.86,ALGO
2019-06-25,1.409,1.895,1.317,1.53,47563126.82,72775555.56,ALGO
2019-06-26,1.53,1.848,1.459,1.575,37782082.99,59492181.71,ALGO
2019-06-27,1.575,1.578,1.358,1.405,22947409.85,32242905.33,ALGO
2019-06-28,1.405,1.572,1.378,1.439,20708173.31,29790098.9,ALGO
2019-06-29,1.439,1.521,1.41,1.506,16299097.51,24543089.76,ALGO
2019-06-30,1.506,1.57,1.384,1.438,17877041.56,25707697.05,ALGO
2019-07-01,1.438,1.466,1.251,1.352,15968124.52,21594509.16,ALGO
2019-07-02,1.352,1.359,1.037,1.139,28253167.67,32188099.34,ALGO
2019-07-03,1.139,1.185,1.07,1.112,19372083.21,21546018.39,ALGO
2019-07-04,1.112,1.137,0.9856,1.011,20778252.4,21007020.96,ALGO
2019-07-05,1.011,1.174,0.9804,1.127,30496967.58,34377706.7,ALGO
2019-07-06,1.127,1.131,1.027,1.034,19499087.26,20163869.64,ALGO
2019-07-07,1.034,1.104,1.024,1.066,16615046.14,17714779.43,ALGO
2019-07-08,1.066,1.07,1.028,1.051,13586756.64,14282235.54,ALGO
2019-07-09,1.051,1.084,1.02,1.044,21687571.89,22643646.81,ALGO
2019-07-10,1.044,1.112,0.9464,1.028,34596984.29,35550456.42,ALGO
2019-07-11,1.028,1.036,0.8431,0.8578,43803258.94,37574435.52,ALGO
2019-07-12,0.8578,0.9397,0.8016,0.8869,35766497.49,31720240.78,ALGO
2019-07-13,0.8869,1.031,0.8655,0.9374,36065366.72,33808446.56,ALGO
2019-07-14,0.9374,1.027,0.8181,0.8196,34295468.16,28108565.7,ALGO
2019-07-15,0.8196,0.8443,0.7369,0.8051,27579387.53,22203373.92,ALGO
2019-07-16,0.8051,0.8261,0.6305,0.6447,30750691.06,19824970.53,ALGO
2019-07-17,0.6447,0.7425,0.609,0.6745,37628257.57,25379273.87,ALGO
2019-07-18,0.6745,0.7051,0.641,0.6945,29421643.53,20432925.41,ALGO
2019-07-19,0.6945,0.6945,0.6524,0.6699,29810169.73,19970941.64,ALGO
