date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-01-11,2.916,2.884,2.507,2.704,1310018.0,3541773.0,APPC
2018-01-12,2.704,3.09,2.562,2.849,4601602.0,13108430.71,APPC
2018-01-13,2.847,3.144,2.285,2.547,3821393.0,9733285.84,APPC
2018-01-14,2.54,3.055,2.317,2.76,6078346.0,16774681.33,APPC
2018-01-15,2.753,2.799,2.199,2.199,4465237.0,9820604.71,APPC
2018-01-16,2.199,1.812,1.19,1.46,5958821.0,8699052.77,APPC
2018-01-17,1.46,1.64,1.276,1.464,4045466.0,5923703.09,APPC
2018-01-18,1.465,1.589,1.368,1.433,3993446.19,5724016.28,APPC
2018-01-19,1.433,1.607,1.349,1.599,2924209.6,4674558.89,APPC
2018-01-20,1.599,2.241,1.753,1.94,7682351.36,14901787.27,APPC
2018-01-21,1.94,1.862,1.46,1.564,3206742.02,5015964.03,APPC
2018-01-22,1.564,1.499,1.303,1.363,2219600.64,3024226.56,APPC
2018-01-23,1.363,1.432,1.264,1.339,2245746.89,3006783.8,APPC
2018-01-24,1.344,1.482,1.355,1.364,1863580.54,2542645.62,APPC
2018-01-25,1.364,1.468,1.325,1.391,2184491.04,3037809.45,APPC
2018-01-26,1.391,1.438,1.268,1.368,1907078.15,2609639.83,APPC
2018-01-27,1.368,1.466,1.367,1.39,996587.85,1384935.45,APPC
2018-01-28,1.389,1.547,1.371,1.403,1577808.42,2213301.72,APPC
2018-01-29,1.395,1.358,1.246,1.271,1480459.9,1881037.65,APPC
2018-01-30,1.271,1.196,1.017,1.061,1998658.5,2120332.58,APPC
2018-01-31,1.06,1.128,1.027,1.067,4358678.36,4652511.06,APPC
2018-02-01,1.068,0.9998,0.7423,0.8341,4794245.8,3998819.21,APPC
2018-02-02,0.8352,0.7826,0.629,0.7256,2900434.06,2104633.33,APPC
2018-02-03,0.7263,0.8628,0.7258,0.8182,2359756.87,1930869.26,APPC
2018-02-04,0.8187,0.7692,0.6511,0.6625,2582105.21,1710608.02,APPC
2018-02-05,0.6603,0.5602,0.4903,0.4939,2140671.4,1057179.86,APPC
