date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2019-03-12,0.6595,0.665,0.6538,0.6538,541.81,354.23,BEAM
2019-03-13,0.6538,0.7087,0.6232,0.6499,20771.42,13499.73,BEAM
2019-03-14,0.6499,0.7695,0.6358,0.6501,20872.73,13569.97,BEAM
2019-03-15,0.6501,0.7221,0.6581,0.7009,8053.04,5644.46,BEAM
2019-03-16,0.7009,0.7283,0.7091,0.7215,14698.42,10605.05,BEAM
2019-03-17,0.7215,0.7173,0.6771,0.6846,31631.19,21655.32,BEAM
2019-03-18,0.6846,0.7577,0.6855,0.7019,42222.37,29634.85,BEAM
2019-03-19,0.7019,0.7297,0.6944,0.6944,13895.2,9648.5,BEAM
2019-03-20,0.6944,0.7235,0.698,0.7017,26528.25,18613.99,BEAM
2019-03-21,0.7017,0.7127,0.6857,0.6857,16407.08,11249.78,BEAM
2019-03-22,0.6857,0.7273,0.675,0.7082,30672.13,21720.59,BEAM
2019-03-23,0.7082,0.7955,0.7089,0.7386,25107.78,18543.99,BEAM
2019-03-24,0.7386,0.9511,0.736,0.8761,60369.55,52887.59,BEAM
2019-03-25,0.8761,0.8742,0.8069,0.862,24936.82,21494.65,BEAM
2019-03-26,0.862,0.8757,0.7502,0.7656,26067.94,19957.5,BEAM
2019-03-27,0.7656,0.837,0.7796,0.8018,15521.69,12445.55,BEAM
2019-03-28,0.8018,0.836,0.7671,0.7792,23180.71,18062.48,BEAM
2019-03-29,0.7792,0.8297,0.7734,0.8297,32222.5,26733.56,BEAM
2019-03-30,0.8297,0.849,0.7948,0.8399,24557.67,20627.14,BEAM
2019-03-31,0.8399,0.9336,0.8393,0.9082,51050.81,46364.22,BEAM
2019-04-01,0.9082,0.9229,0.8371,0.8723,22938.98,20010.82,BEAM
2019-04-02,0.8723,1.025,0.8879,0.9297,39712.53,36919.4,BEAM
2019-04-03,0.9297,0.9797,0.8729,0.9446,30741.8,29038.99,BEAM
2019-04-04,0.9446,0.9358,0.8525,0.8653,22848.33,19769.93,BEAM
2019-04-05,0.8653,0.9002,0.8561,0.8757,14407.44,12616.07,BEAM
2019-04-06,0.8757,0.9068,0.817,0.8372,20770.1,17389.03,BEAM
2019-04-07,0.8372,0.8743,0.8112,0.8195,15302.78,12540.05,BEAM
2019-04-08,0.8195,0.8302,0.7564,0.7883,14606.46,11514.35,BEAM
2019-04-09,0.7883,0.7846,0.73,0.7558,28080.15,21222.77,BEAM
