date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-06-04,1.24,1.31,1.24,1.3,543302.01,685834.08,BIX
2018-06-05,1.3,1.36,1.15,1.24,11338907.22,14866709.62,BIX
2018-06-06,1.24,1.34,1.22,1.28,4496700.36,5784841.47,BIX
2018-06-07,1.28,1.48,1.28,1.44,7037568.78,9729689.84,BIX
2018-06-08,1.44,1.64,1.42,1.64,10443147.83,15611499.52,BIX
2018-06-09,1.64,1.8,1.52,1.7,9472772.09,16067751.44,BIX
2018-06-10,1.7,1.7,1.43,1.47,6806568.93,10618207.85,BIX
2018-06-11,1.47,1.62,1.46,1.59,742795.13,1139665.7,BIX
2018-06-12,1.59,1.72,1.56,1.59,891714.57,1469449.69,BIX
2018-06-13,1.58,1.64,1.29,1.4,1378330.83,1960669.75,BIX
2018-06-14,1.4,1.54,1.36,1.52,864569.63,1240127.5,BIX
2018-06-15,1.52,1.54,1.3,1.3,7358496.6,10166841.61,BIX
2018-06-16,1.3,1.35,1.16,1.26,6449515.6,7955582.14,BIX
2018-06-17,1.26,1.26,1.15,1.15,7989106.39,9636061.33,BIX
2018-06-18,1.15,1.28,1.06,1.2,7011574.99,8334937.5,BIX
2018-06-19,1.2,1.4,1.2,1.39,10237609.88,13445323.86,BIX
2018-06-20,1.39,1.39,1.27,1.39,6860853.35,9177114.07,BIX
2018-06-21,1.39,1.41,1.35,1.36,5737682.95,7920809.81,BIX
2018-06-22,1.36,1.36,1.09,1.13,7379013.8,8748294.78,BIX
2018-06-23,1.12,1.14,1.09,1.12,7129497.05,7969452.3,BIX
2018-06-24,1.12,1.13,0.9103,1.01,9604133.4,9690612.74,BIX
2018-06-25,1.01,1.13,1.01,1.1,10131532.73,10763615.6,BIX
2018-06-26,1.1,1.1,0.9812,0.9834,6667428.64,6914235.33,BIX
2018-06-27,0.9834,0.9894,0.8906,0.9551,8141724.73,7683174.37,BIX
2018-06-28,0.9548,0.9718,0.8275,0.8575,9545182.25,8484085.68,BIX
2018-06-29,0.8532,0.94,0.8437,0.92,7180899.61,6243372.92,BIX
2018-06-30,0.92,1.02,0.9141,0.9716,12956961.07,12540752.48,BIX
2018-07-01,0.9716,0.9799,0.9212,0.9465,7762923.89,7403792.1,BIX
2018-07-02,0.9463,0.9899,0.9181,0.9689,10156890.35,9662602.06,BIX
2018-07-03,0.9689,0.9881,0.8786,0.8987,6951947.59,6347822.28,BIX
2018-07-04,0.8987,0.9178,0.8412,0.904,8218159.5,7278862.35,BIX
2018-07-05,0.9042,0.97,0.899,0.9636,9636222.58,9025411.76,BIX
2018-07-06,0.9636,1.0,0.8801,0.9203,8491515.67,7919228.7,BIX
2018-07-07,0.9203,0.9386,0.885,0.9269,8913618.75,8024246.06,BIX
2018-07-08,0.9269,0.936,0.8854,0.8885,5158818.53,4655172.03,BIX
2018-07-09,0.8885,0.8912,0.8364,0.845,6484780.48,5527667.69,BIX
2018-07-10,0.845,0.849,0.71,0.7501,5359979.65,4235829.52,BIX
2018-07-11,0.7502,0.7787,0.65,0.7312,4259581.18,3052409.82,BIX
2018-07-12,0.7312,0.7344,0.6562,0.6771,5157785.81,3582311.98,BIX
2018-07-13,0.6771,0.73,0.6604,0.6699,4428754.56,2996983.06,BIX
2018-07-14,0.6699,0.71,0.665,0.6719,4130550.42,2789532.96,BIX
2018-07-15,0.6749,0.7172,0.6671,0.6922,3255269.17,2212115.59,BIX
2018-07-16,0.6922,0.7642,0.6791,0.76,6351946.18,4649528.0,BIX
2018-07-17,0.76,0.7915,0.7125,0.7645,10126424.7,7564323.7,BIX
2018-07-18,0.764,0.8,0.7351,0.7548,9495528.26,7316369.95,BIX
2018-07-19,0.7548,0.7793,0.7249,0.7469,12319217.32,9129969.76,BIX
2018-07-20,0.7469,0.778,0.7102,0.7431,8892417.99,6663504.84,BIX
2018-07-21,0.7432,0.783,0.7203,0.7746,6270221.74,4661369.92,BIX
2018-07-22,0.7724,0.7999,0.7631,0.7687,4289438.34,3356762.78,BIX
2018-07-23,0.7687,0.91,0.7654,0.8117,6195575.93,5079522.08,BIX
2018-07-24,0.8116,0.9,0.81,0.8856,15668556.85,13567114.66,BIX
2018-07-25,0.882,0.9185,0.8123,0.8217,17032485.61,14578297.21,BIX
2018-07-26,0.8217,1.06,0.8202,0.9895,8186400.61,7520478.47,BIX
2018-07-27,0.982,0.9894,0.88,0.939,10570543.98,9729787.09,BIX
2018-07-28,0.9357,0.982,0.9169,0.9745,9720985.25,9194029.83,BIX
2018-07-29,0.9819,1.03,0.9793,1.01,7424061.03,7402696.09,BIX
2018-07-30,1.01,1.01,0.916,0.9308,10162016.59,9871795.68,BIX
2018-07-31,0.9308,0.9341,0.79,0.7986,10651462.19,9073037.2,BIX
2018-08-01,0.7976,0.844,0.7513,0.7835,13045863.58,10207888.38,BIX
2018-08-02,0.7818,0.84,0.7818,0.8133,3592570.74,2939832.91,BIX
2018-08-03,0.8133,0.8399,0.772,0.7857,14885170.24,11733770.63,BIX
2018-08-04,0.7857,0.7974,0.706,0.7239,8367276.58,6244621.94,BIX
2018-08-05,0.7233,0.76,0.7039,0.7295,9750734.33,7136293.7,BIX
2018-08-06,0.7284,0.7397,0.696,0.701,9772428.59,7000432.03,BIX
2018-08-07,0.701,0.7323,0.67,0.671,8942274.14,6240034.74,BIX
2018-08-08,0.6729,0.7,0.5715,0.584,17463897.15,10858245.99,BIX
2018-08-09,0.5795,0.6486,0.5715,0.6268,14485742.31,8824562.07,BIX
2018-08-10,0.6268,0.6471,0.5769,0.5848,11680621.43,7323663.67,BIX
2018-08-11,0.5848,0.62,0.54,0.5649,18317124.48,10544778.06,BIX
2018-08-12,0.5649,0.5837,0.5333,0.5389,25705370.9,14407826.01,BIX
2018-08-13,0.54,0.5557,0.5004,0.5014,13597686.13,7188319.11,BIX
2018-08-14,0.5037,0.5049,0.4155,0.4648,22007332.92,9786049.57,BIX
2018-08-15,0.4655,0.5185,0.4519,0.4558,18008291.43,8585462.15,BIX
2018-08-16,0.4558,0.5167,0.453,0.5055,15018861.51,7453702.04,BIX
2018-08-17,0.5055,0.57,0.502,0.5698,20021533.76,10789681.01,BIX
2018-08-18,0.5669,0.6266,0.4938,0.5323,15812397.22,8696553.46,BIX
2018-08-19,0.5327,0.5543,0.5121,0.54,13689258.93,7293496.89,BIX
2018-08-20,0.54,0.549,0.5082,0.5111,11024430.38,5825663.61,BIX
2018-08-21,0.5138,0.53,0.5011,0.5183,15658613.02,8025319.3,BIX
2018-08-22,0.5183,0.543,0.4901,0.504,16176785.72,8366984.24,BIX
2018-08-23,0.505,0.5479,0.5039,0.5377,7650365.3,3930256.46,BIX
2018-08-24,0.5405,0.5471,0.51,0.529,26057088.99,13600987.36,BIX
2018-08-25,0.529,0.5389,0.5144,0.5232,16475067.42,8694652.86,BIX
2018-08-26,0.5232,0.5253,0.4847,0.4956,16476158.09,8227365.64,BIX
2018-08-27,0.4956,0.5145,0.4866,0.5144,22602433.87,11148767.67,BIX
2018-08-28,0.5145,0.5228,0.49,0.516,22320969.13,11300383.27,BIX
2018-08-29,0.5177,0.529,0.497,0.5149,22992379.8,11736625.84,BIX
2018-08-30,0.5149,0.5231,0.4924,0.5032,18240036.63,9183148.21,BIX
2018-08-31,0.5032,0.5046,0.4702,0.4827,19228393.56,9467177.58,BIX
2018-09-01,0.4827,0.5099,0.4811,0.501,16928076.32,8409703.54,BIX
2018-09-02,0.5026,0.5068,0.4907,0.5022,19084727.05,9549062.14,BIX
2018-09-03,0.5033,0.5048,0.4912,0.4982,16879632.16,8405517.57,BIX
2018-09-04,0.4987,0.5052,0.4937,0.499,19171761.72,9573285.26,BIX
2018-09-05,0.499,0.5182,0.4162,0.4222,22959133.56,10710875.55,BIX
2018-09-06,0.42,0.4381,0.3926,0.4288,26778425.77,11189710.71,BIX
2018-09-07,0.4288,0.435,0.4068,0.4196,21201063.73,8973000.64,BIX
2018-09-08,0.4213,0.4392,0.382,0.3926,30790145.21,12698294.89,BIX
2018-09-09,0.3932,0.4894,0.3881,0.4414,26290846.49,11660694.16,BIX
2018-09-10,0.4407,0.4871,0.423,0.4322,40228914.93,17682796.59,BIX
2018-09-11,0.4323,0.4429,0.4049,0.4069,49091555.58,20622015.96,BIX
2018-09-12,0.4072,0.4388,0.3976,0.4256,35930359.67,14716325.26,BIX
2018-09-13,0.4248,0.4696,0.4248,0.4588,46757008.41,20729519.13,BIX
2018-09-14,0.4589,0.4709,0.4152,0.4321,33378396.4,14899652.67,BIX
2018-09-15,0.4316,0.4398,0.4208,0.4351,33702192.59,14566162.45,BIX
2018-09-16,0.4353,0.4353,0.4188,0.4329,36166828.42,15477789.83,BIX
2018-09-17,0.4334,0.4398,0.406,0.414,35633341.39,15164193.97,BIX
2018-09-18,0.414,0.4248,0.4003,0.4204,23459173.7,9775427.75,BIX
2018-09-19,0.4208,0.4235,0.3905,0.4114,36983683.75,15228478.35,BIX
2018-09-20,0.4114,0.4249,0.4001,0.4216,10261513.84,4248520.25,BIX
2018-09-21,0.4215,0.4477,0.4153,0.4415,34738593.63,14897112.22,BIX
2018-09-22,0.4415,0.4475,0.4234,0.435,28238961.66,12293230.3,BIX
2018-09-23,0.4364,0.4585,0.4319,0.4485,21631451.11,9598237.82,BIX
2018-09-24,0.4492,0.4686,0.4249,0.4252,17208558.2,7543317.66,BIX
2018-09-25,0.4252,0.4298,0.393,0.4004,17009768.23,6948735.04,BIX
2018-09-26,0.4019,0.4248,0.3914,0.414,19240871.38,7832686.67,BIX
2018-09-27,0.4103,0.435,0.4051,0.4243,31765709.55,13238647.4,BIX
2018-09-28,0.4243,0.4485,0.4089,0.4152,16350974.06,7007507.1,BIX
2018-09-29,0.4153,0.4316,0.4017,0.4184,65142680.79,27409941.75,BIX
