date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-05-26,0.01118,0.01074,0.01023,0.01057,5574.45,58.94,CMT
2017-05-27,0.01037,0.009934,0.009601,0.009601,183.1,1.758,CMT
2017-05-28,0.0096,0.01051,0.01039,0.01051,52.12,0.5477,CMT
2017-05-29,0.01051,0.01106,0.01067,0.01095,180.62,1.978,CMT
2017-05-30,0.01095,0.01147,0.01073,0.01099,3136.15,34.48,CMT
2017-05-31,0.01099,0.01324,0.0109,0.01183,5747.0,67.96,CMT
2017-06-01,0.01183,0.01234,0.01158,0.01181,173.28,2.046,CMT
2017-06-02,0.01247,0.01314,0.01234,0.01265,321.92,4.074,CMT
2017-06-03,0.01265,0.0138,0.01262,0.0138,335.06,4.623,CMT
2017-06-04,0.0138,0.01406,0.01221,0.01221,716.43,8.746,CMT
2017-06-05,0.01221,0.02297,0.01288,0.01904,1778.62,33.87,CMT
2017-06-06,0.01904,0.02063,0.01648,0.01665,514.06,8.561,CMT
2017-06-07,0.01665,0.01862,0.01567,0.01584,341.01,5.4,CMT
2017-06-08,0.01584,0.0242,0.01593,0.01981,2479.62,49.12,CMT
2017-06-09,0.01981,0.0216,0.01665,0.01794,4763.46,85.47,CMT
2017-06-10,0.01794,0.02595,0.01774,0.02595,7877.96,204.44,CMT
2017-06-11,0.02595,0.02807,0.02292,0.02792,3149.88,87.95,CMT
2017-06-12,0.02792,0.02383,0.01532,0.0179,8748.06,156.6,CMT
2017-06-13,0.0179,0.02526,0.01618,0.01802,1000.77,18.03,CMT
2017-06-14,0.01802,0.02087,0.01453,0.0156,1445.91,22.56,CMT
2017-06-15,0.0156,0.02112,0.01581,0.01581,346.49,5.476,CMT
2017-06-16,0.01581,0.02149,0.0161,0.02149,287.64,6.182,CMT
2017-06-17,0.02149,0.02352,0.0168,0.01799,830.07,14.94,CMT
2017-06-18,0.01799,0.02368,0.01672,0.02368,829.72,19.64,CMT
2017-06-19,0.02368,0.02422,0.01657,0.0183,1109.86,20.31,CMT
2017-06-20,0.0183,0.02417,0.01449,0.01575,4114.04,64.8,CMT
2017-06-21,0.01575,0.01692,0.01552,0.01594,144.44,2.303,CMT
2017-06-22,0.01594,0.02539,0.01604,0.02539,4479.79,113.73,CMT
2017-06-23,0.02539,0.02557,0.01518,0.0253,831.86,21.04,CMT
2017-06-24,0.0253,0.04077,0.01433,0.02657,10575.03,280.94,CMT
2017-06-25,0.02657,0.03377,0.007804,0.01725,12133.55,209.32,CMT
2017-06-26,0.01725,0.03708,0.01658,0.01672,3227.96,53.98,CMT
2017-06-27,0.01672,0.02889,0.01731,0.02889,1930.81,55.77,CMT
2017-06-28,0.02889,0.03186,0.01915,0.03083,1988.76,61.31,CMT
2017-06-29,0.03083,0.03029,0.0175,0.02481,3802.84,94.34,CMT
2017-06-30,0.02481,0.02414,0.01908,0.01941,2216.65,43.03,CMT
2017-07-01,0.01941,0.02871,0.01772,0.01772,2449.56,43.4,CMT
2017-07-02,0.01772,0.03725,0.01409,0.01409,3289.6,46.36,CMT
2017-07-03,0.01409,0.03102,0.01454,0.03102,1034.73,32.09,CMT
2017-07-04,0.03102,0.0377,0.0247,0.0286,2365.22,67.65,CMT
2017-07-05,0.0286,0.04102,0.02738,0.04097,17847.17,731.24,CMT
2017-07-06,0.04097,0.04043,0.02844,0.03037,8013.09,243.38,CMT
2017-07-07,0.03037,0.03655,0.02938,0.03655,7145.31,261.17,CMT
2017-07-08,0.03655,0.03736,0.02004,0.03361,2727.94,91.68,CMT
2017-07-09,0.03361,0.0368,0.01951,0.02986,2703.68,80.72,CMT
2017-07-10,0.02986,0.02984,0.02155,0.02167,602.23,13.05,CMT
2017-07-11,0.02167,0.0277,0.02144,0.0277,636.05,17.62,CMT
2017-07-12,0.0277,0.03721,0.02306,0.02425,1490.34,36.14,CMT
2017-07-13,0.02425,0.03732,0.0213,0.0293,2395.65,70.19,CMT
2017-07-14,0.0293,0.07077,0.01999,0.03221,10111.93,325.74,CMT
2017-07-15,0.03221,0.05784,0.01692,0.01692,5127.97,86.75,CMT
2017-07-16,0.01692,0.0383,0.01644,0.02127,5259.93,111.87,CMT
2017-07-17,0.02127,0.04773,0.01651,0.03298,15961.01,526.36,CMT
2017-07-18,0.03298,0.04573,0.02403,0.04476,4809.6,215.27,CMT
2017-07-19,0.04476,0.04331,0.03134,0.03987,5541.15,220.91,CMT
2017-07-20,0.03987,0.0572,0.02984,0.05067,5716.75,289.67,CMT
2017-07-21,0.05067,0.05793,0.02347,0.04641,3883.24,180.21,CMT
2017-07-22,0.04641,0.04988,0.03979,0.04772,1910.7,91.18,CMT
2017-07-23,0.04772,0.04617,0.03058,0.03506,576.38,20.21,CMT
2017-07-24,0.03506,0.0359,0.02624,0.03139,3420.88,107.39,CMT
2017-07-25,0.03139,0.03232,0.02444,0.02834,3849.37,109.11,CMT
2017-07-26,0.02834,0.03118,0.02363,0.02707,11360.38,307.54,CMT
2017-07-27,0.02707,0.02964,0.02373,0.02394,5495.29,131.53,CMT
2017-07-28,0.02394,0.02965,0.0223,0.0245,3730.53,91.39,CMT
2017-07-29,0.0245,0.02575,0.02237,0.02237,706.88,15.81,CMT
2017-07-30,0.02237,0.03229,0.02229,0.02409,1607.78,38.73,CMT
2017-07-31,0.02409,0.0266,0.02388,0.0266,1694.26,45.07,CMT
