date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-06-17,0.12,0.146,0.0105,0.1459,39821.64,5204.9,CVC
2017-06-18,0.1459,0.146,0.11,0.125,18265.29,2514.42,CVC
2017-06-19,0.125,0.146,0.1202,0.146,38694.52,5380.29,CVC
2017-06-20,0.146,0.24,0.1213,0.24,81135.48,13150.57,CVC
2017-06-21,0.24,0.3998,0.155,0.2358,134020.47,38600.22,CVC
2017-06-22,0.2358,0.9599,0.2358,0.7,61941.14,33283.67,CVC
2017-06-23,0.7,1.7,0.5,1.19,71111.5,59887.5,CVC
2017-06-24,1.19,1.5,0.8,1.4,34305.31,42946.36,CVC
2017-06-25,1.4,1.5,0.7,1.2,11697.84,14348.07,CVC
2017-06-26,1.2,1.3,0.32,0.6999,54938.82,30123.3,CVC
2017-06-27,0.6999,0.88,0.5,0.6998,25306.42,17511.97,CVC
2017-06-28,0.6998,0.6998,0.4795,0.5306,22578.73,13786.31,CVC
2017-06-29,0.5306,0.65,0.418,0.5399,10005.51,5416.31,CVC
2017-06-30,0.5399,0.5399,0.26,0.35,3405.44,1306.86,CVC
2017-07-01,0.35,0.4494,0.2999,0.4399,10736.24,3853.79,CVC
2017-07-02,0.4399,0.4399,0.3008,0.408,7064.91,2748.9,CVC
2017-07-03,0.408,0.5499,0.3101,0.39,7688.68,2744.49,CVC
2017-07-04,0.39,0.4499,0.2811,0.3998,6449.03,2181.68,CVC
2017-07-05,0.3998,0.4,0.27,0.3971,11290.48,3532.48,CVC
2017-07-06,0.3971,0.5,0.3,0.4747,8564.66,3405.23,CVC
2017-07-07,0.4747,0.6998,0.47,0.6499,9237.56,5282.59,CVC
2017-07-08,0.6499,0.76,0.5,0.5021,4488.95,2743.72,CVC
2017-07-09,0.5021,0.7599,0.45,0.6179,3902.97,2277.91,CVC
2017-07-10,0.6179,0.6179,0.5151,0.5153,185.91,104.55,CVC
2017-07-11,0.5153,0.5153,0.5153,0.5153,0.0,0.0,CVC
2017-07-12,0.5,0.5501,0.43,0.54,1570.29,815.19,CVC
2017-07-13,0.54,0.54,0.48,0.5399,2312.56,1142.63,CVC
2017-07-14,0.5399,1.0,0.5399,1.0,4166.9,2771.51,CVC
2017-07-15,1.0,1.28,0.6201,0.64,3189.69,3202.57,CVC
2017-07-16,0.1691,0.3805,0.1088,0.1399,200668.05,28069.05,CVC
2017-07-17,0.1399,0.2454,0.1349,0.1757,6924066.53,1216449.48,CVC
2017-07-18,0.1757,0.2498,0.1567,0.1757,3668555.51,644563.49,CVC
2017-07-19,0.1757,0.1633,0.133,0.1417,1867864.22,264650.22,CVC
2017-07-20,0.1417,0.1821,0.1494,0.1523,1690797.65,257465.91,CVC
2017-07-21,0.1523,0.1569,0.142,0.1511,1477736.88,223359.59,CVC
2017-07-22,0.1511,0.2006,0.158,0.1888,1219069.34,230217.73,CVC
2017-07-23,0.1888,0.1936,0.175,0.1835,1415681.0,259713.93,CVC
2017-07-24,0.1835,0.2365,0.1795,0.2067,2419804.35,500112.99,CVC
2017-07-25,0.2067,0.1948,0.1636,0.1722,2070037.93,356368.84,CVC
2017-07-26,0.1722,0.1778,0.1634,0.17,612279.01,104058.39,CVC
2017-07-27,0.17,0.1757,0.1633,0.1633,927222.11,151450.94,CVC
2017-07-28,0.1633,0.1603,0.1466,0.1531,1126965.45,172583.59,CVC
2017-07-29,0.1531,0.1726,0.1631,0.1687,460048.18,77602.93,CVC
2017-07-30,0.1687,0.1739,0.1522,0.166,703254.37,116728.92,CVC
2017-07-31,0.166,0.1757,0.1641,0.165,562479.39,92803.44,CVC
2017-08-01,0.165,0.187,0.1676,0.172,1152765.4,198249.91,CVC
2017-08-02,0.172,0.1677,0.1584,0.1636,897818.95,146854.62,CVC
2017-08-03,0.1636,0.1756,0.1594,0.1726,1040583.25,179652.19,CVC
2017-08-04,0.1726,0.198,0.1669,0.1959,1468878.23,287710.27,CVC
2017-08-05,0.1959,0.2396,0.2087,0.2104,1907362.75,401248.87,CVC
2017-08-06,0.2104,0.2287,0.2047,0.2071,907844.12,188012.31,CVC
2017-08-07,0.2071,0.2159,0.1978,0.1998,833526.09,166501.5,CVC
