date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2015-02-01,0.0001027,0.0001284,6.759e-05,8.336e-05,2933984.0,244.57,DGB
2015-02-02,8.336e-05,0.0001075,8.36e-05,9.554e-05,494813.0,47.28,DGB
2015-02-03,9.554e-05,0.0001114,8.869e-05,0.0001114,9617141.87,1071.65,DGB
2015-02-04,0.0001114,0.0001133,9.516e-05,0.000102,11444271.79,1166.87,DGB
2015-02-05,0.000102,0.0001537,9.743e-05,0.0001494,35467854.94,5298.85,DGB
2015-02-06,0.0001494,0.0003344,0.000136,0.000194,58934405.05,11431.81,DGB
2015-02-07,0.000194,0.0002095,0.0001844,0.0002026,14070074.82,2851.09,DGB
2015-02-08,0.0002026,0.0002192,0.0001901,0.0001968,12372750.3,2435.32,DGB
2015-02-09,0.0001968,0.0002005,0.0001741,0.0001829,18293299.53,3345.52,DGB
2015-02-10,0.0001829,0.0001955,0.0001779,0.0001779,16577197.73,2949.63,DGB
2015-02-11,0.0001779,0.0001838,0.0001685,0.0001773,19922662.71,3531.34,DGB
2015-02-12,0.0001773,0.0001863,0.0001752,0.0001796,18094504.91,3250.68,DGB
2015-02-13,0.0001796,0.0001913,0.0001653,0.0001724,15394758.09,2654.12,DGB
2015-02-14,0.0001724,0.0002017,0.000119,0.0001862,27981918.43,5210.82,DGB
2015-02-15,0.0001862,0.000168,0.000133,0.000133,16531663.57,2198.11,DGB
2015-02-16,0.000133,0.0001674,0.0001203,0.0001509,36683985.97,5536.76,DGB
2015-02-17,0.0001509,0.0001581,0.0001192,0.0001216,22287298.79,2710.14,DGB
2015-02-18,0.0001216,0.0001317,9.408e-05,0.0001129,35802983.59,4042.01,DGB
2015-02-19,0.0001129,0.001067,0.000104,0.0001113,12763380.25,1420.35,DGB
2015-02-20,0.0001113,0.0001369,0.0001027,0.0001076,4287825.06,461.32,DGB
2015-02-21,0.0001076,0.0001173,0.0001002,0.0001075,9551648.84,1027.19,DGB
2015-02-22,0.0001075,0.0001485,0.0001014,0.0001485,8127724.56,1207.05,DGB
2015-02-23,0.0001485,0.0002006,0.000129,0.0001696,24631222.32,4176.52,DGB
2015-02-24,0.0001696,0.0001744,0.0001338,0.0001409,8862066.08,1249.06,DGB
2015-02-25,0.0001409,0.0001424,0.0001305,0.0001377,6892725.88,948.79,DGB
2015-02-26,0.0001377,0.0001466,0.0001325,0.0001372,7603525.03,1043.11,DGB
2015-02-27,0.0001372,0.0001546,0.0001419,0.0001419,1298398.71,184.3,DGB
2015-02-28,0.0001419,0.0001524,0.000127,0.0001321,11808931.1,1560.09,DGB
