date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-01-05,1.526,1.954,1.538,1.662,3105452.0,5162802.99,ELF
2018-01-06,1.658,2.315,1.717,1.92,5219363.0,10022378.87,ELF
2018-01-07,1.92,2.962,1.923,2.333,8224223.0,19185008.91,ELF
2018-01-08,2.31,2.612,2.054,2.157,7252573.07,15647229.78,ELF
2018-01-09,2.157,2.676,2.234,2.483,7248580.5,17998778.01,ELF
2018-01-10,2.437,2.392,1.736,2.085,7734899.23,16123894.88,ELF
2018-01-11,2.065,2.095,1.578,1.992,7204722.02,14348429.84,ELF
2018-01-12,1.992,2.322,1.88,1.938,6162605.59,11944381.32,ELF
2018-01-13,1.934,2.132,1.67,1.802,6831760.73,12310224.95,ELF
2018-01-14,1.801,1.849,1.494,1.653,3892845.76,6435371.08,ELF
2018-01-15,1.653,1.614,1.28,1.352,5451555.4,7368187.79,ELF
2018-01-16,1.352,1.295,1.005,1.082,7239076.51,7830999.87,ELF
2018-01-17,1.082,1.415,1.042,1.301,7424921.92,9662468.92,ELF
2018-01-18,1.302,1.418,1.216,1.362,11454212.9,15605731.09,ELF
2018-01-19,1.362,1.66,1.315,1.604,11475372.15,18403726.31,ELF
2018-01-20,1.62,2.107,1.68,1.955,4608904.72,9009023.75,ELF
2018-01-21,1.955,1.888,1.448,1.593,10891854.36,17345480.87,ELF
2018-01-22,1.593,1.526,1.376,1.437,13342040.93,19178947.95,ELF
2018-01-23,1.438,1.532,1.315,1.424,13578736.19,19329923.27,ELF
2018-01-24,1.424,2.166,1.493,1.818,18978411.06,34498336.17,ELF
2018-01-25,1.812,2.449,1.737,2.278,27112917.97,61761803.44,ELF
2018-01-26,2.288,2.293,1.908,2.08,16776875.96,34902322.84,ELF
2018-01-27,2.082,2.274,1.909,1.951,15128033.33,29512852.4,ELF
2018-01-28,1.958,2.41,1.995,1.998,14711715.92,29388458.56,ELF
2018-01-29,1.998,2.118,1.86,2.094,12938272.61,27095697.95,ELF
2018-01-30,2.094,2.021,1.702,1.747,14220850.83,24839240.18,ELF
2018-01-31,1.739,2.111,1.778,1.933,17189720.32,33220304.97,ELF
2018-02-01,1.933,2.009,1.621,1.689,16740446.76,28276434.93,ELF
2018-02-02,1.689,1.642,1.44,1.586,8738745.01,13862320.41,ELF
2018-02-03,1.586,1.699,1.58,1.636,11255710.48,18413396.3,ELF
2018-02-04,1.636,1.448,1.324,1.366,9706360.27,13262295.93,ELF
2018-02-05,1.364,1.152,1.045,1.067,9574534.52,10215528.54,ELF
2018-02-06,1.067,1.312,1.129,1.286,9458899.25,12162691.36,ELF
2018-02-07,1.286,1.239,1.15,1.18,11176241.71,13191784.14,ELF
2018-02-08,1.182,1.306,1.262,1.282,5135547.44,6584566.8,ELF
2018-02-09,1.283,1.407,1.215,1.349,6610916.95,8920120.55,ELF
2018-02-10,1.349,1.335,1.203,1.217,6646641.87,8091776.35,ELF
2018-02-11,1.216,1.232,1.124,1.132,6423152.73,7268952.2,ELF
2018-02-12,1.132,1.24,1.188,1.19,6081668.4,7235642.17,ELF
2018-02-13,1.19,1.172,1.14,1.149,3636390.29,4177407.64,ELF
2018-02-14,1.148,1.368,1.233,1.318,2857138.45,3764558.54,ELF
2018-02-15,1.315,1.462,1.298,1.43,2916526.61,4170548.33,ELF
2018-02-16,1.434,1.476,1.386,1.399,2100859.43,2938236.41,ELF
2018-02-17,1.4,1.554,1.434,1.491,2632499.73,3926105.1,ELF
2018-02-18,1.491,1.56,1.349,1.482,2833959.66,4200908.2,ELF
2018-02-19,1.478,1.578,1.459,1.576,2035831.06,3208526.41,ELF
2018-02-20,1.576,1.535,1.39,1.445,2778951.5,4016053.56,ELF
2018-02-21,1.444,1.44,1.279,1.3,2260495.51,2937818.4,ELF
2018-02-22,1.298,1.325,1.23,1.256,2131127.26,2676754.3,ELF
2018-02-23,1.256,1.357,1.248,1.321,2561918.3,3383042.58,ELF
2018-02-24,1.321,1.319,1.224,1.229,1809308.18,2222851.37,ELF
2018-02-25,1.228,1.25,1.176,1.181,1690478.11,1995767.3,ELF
2018-02-26,1.181,1.222,1.131,1.197,2338557.47,2799991.34,ELF
2018-02-27,1.196,1.342,1.163,1.172,3074062.41,3603646.82,ELF
2018-02-28,1.172,1.156,1.101,1.103,1784329.42,1967566.67,ELF
2018-03-01,1.104,1.162,1.086,1.158,2251782.32,2607106.75,ELF
2018-03-02,1.158,1.176,1.138,1.165,1959795.15,2283802.59,ELF
2018-03-03,1.165,1.281,1.136,1.26,1939631.38,2442998.31,ELF
2018-03-04,1.26,1.344,1.197,1.2,2496686.39,2994823.29,ELF
2018-03-05,1.2,1.221,1.173,1.195,1706369.35,2039339.92,ELF
2018-03-06,1.196,1.15,1.072,1.1,2844759.26,3127955.39,ELF
2018-03-07,1.099,1.035,0.8585,0.8999,2706259.53,2435237.76,ELF
2018-03-08,0.8999,0.8749,0.6962,0.7603,3995516.21,3037899.01,ELF
2018-03-09,0.7617,0.804,0.7378,0.7807,2229406.32,1740524.45,ELF
2018-03-10,0.7791,0.7464,0.7048,0.7328,1694198.41,1241491.99,ELF
2018-03-11,0.7314,0.8284,0.7384,0.8227,1637682.68,1347241.49,ELF
2018-03-12,0.8191,0.8106,0.7207,0.7347,11359111.37,8345074.31,ELF
2018-03-13,0.7346,0.7521,0.6989,0.7155,5475330.67,3917536.24,ELF
2018-03-14,0.7155,0.6456,0.6193,0.6205,6463974.21,4010946.42,ELF
2018-03-15,0.6211,0.624,0.5939,0.6112,8639361.6,5280123.47,ELF
2018-03-16,0.6113,0.6756,0.5994,0.6462,9201057.29,5945449.77,ELF
2018-03-17,0.6456,0.5993,0.5525,0.5635,9612344.02,5416889.88,ELF
2018-03-18,0.5635,0.5626,0.5088,0.5379,11636022.56,6259218.77,ELF
2018-03-19,0.5379,0.6167,0.5397,0.6067,9515090.48,5772430.5,ELF
2018-03-20,0.6067,0.6457,0.5871,0.6412,9058761.98,5808528.0,ELF
2018-03-21,0.6412,0.673,0.6198,0.6321,6635958.91,4194844.38,ELF
2018-03-22,0.6321,0.6824,0.6058,0.6549,5832822.94,3819837.41,ELF
2018-03-23,0.6533,0.6705,0.6189,0.6521,5303430.44,3458113.33,ELF
2018-03-24,0.6526,0.7683,0.6242,0.7241,6004493.2,4347629.68,ELF
2018-03-25,0.7236,0.7317,0.6925,0.7108,4840246.96,3440305.19,ELF
2018-03-26,0.7123,0.6628,0.5942,0.6195,4877449.82,3021494.81,ELF
2018-03-27,0.6193,0.6166,0.5596,0.5798,6081838.73,3526394.6,ELF
2018-03-28,0.5798,0.6644,0.5721,0.6247,8559146.25,5347308.9,ELF
2018-03-29,0.6256,0.5701,0.5114,0.5225,8025169.52,4193053.97,ELF
2018-03-30,0.5222,0.5435,0.5191,0.5265,7981525.48,4202571.2,ELF
2018-03-31,0.5266,0.5371,0.5107,0.5245,10240386.65,5371156.22,ELF
2018-04-01,0.5241,0.5311,0.5039,0.5213,10061891.05,5245239.66,ELF
2018-04-02,0.5232,0.5482,0.5043,0.522,10043507.82,5242819.15,ELF
2018-04-03,0.522,0.5898,0.5619,0.5748,9628224.99,5534450.65,ELF
2018-04-04,0.5761,0.5331,0.5169,0.5188,9512287.43,4934503.86,ELF
2018-04-05,0.518,0.561,0.5068,0.5293,10299806.18,5451972.51,ELF
2018-04-06,0.5294,0.5481,0.5118,0.5333,10368457.04,5529539.61,ELF
2018-04-07,0.5333,0.6371,0.5524,0.6152,11271201.98,6934021.37,ELF
2018-04-08,0.616,0.688,0.6187,0.6195,10511786.63,6512189.73,ELF
2018-04-09,0.6191,0.6297,0.5846,0.5898,9403021.24,5545446.45,ELF
2018-04-10,0.5898,0.9061,0.6131,0.8409,19822269.8,16667752.79,ELF
2018-04-11,0.8404,0.9482,0.8105,0.8979,14692474.97,13191728.57,ELF
2018-04-12,0.8978,1.465,1.018,1.048,20212312.61,21185775.99,ELF
2018-04-13,1.048,1.125,0.9761,0.9954,12778590.01,12719355.62,ELF
2018-04-14,0.9959,1.019,0.9583,0.9623,9204969.67,8858311.06,ELF
2018-04-15,0.9628,1.06,1.003,1.004,8919189.62,8951903.87,ELF
2018-04-16,1.004,1.037,0.9614,1.026,10784811.75,11064120.58,ELF
2018-04-17,1.026,1.054,0.9724,0.993,10428945.76,10355747.28,ELF
2018-04-18,0.993,1.067,1.024,1.067,9999605.53,10672912.97,ELF
