date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-01-30,1.177,1.084,1.084,1.084,0.666,0.7219,ERG
2018-05-16,0.7054,0.7065,0.5652,0.5652,0.1417,0.08009,ERG
2020-03-25,0.1381,0.1402,0.1341,0.1375,59994.43,8249.59,ERG
2020-03-26,0.1375,0.1508,0.1344,0.1464,118044.83,17284.71,ERG
2020-03-27,0.1464,0.1529,0.1369,0.1509,87683.84,13230.21,ERG
2020-03-28,0.1509,0.149,0.1419,0.1468,100922.41,14813.41,ERG
2020-03-29,0.1468,0.1384,0.1122,0.1122,124050.35,13920.15,ERG
2020-03-30,0.1122,0.1275,0.1218,0.1266,123960.16,15688.89,ERG
2020-03-31,0.1266,0.1282,0.1238,0.125,123376.07,15422.31,ERG
2020-04-01,0.125,0.132,0.1258,0.1294,122748.66,15877.77,ERG
2020-04-02,0.1294,0.1351,0.1291,0.1291,15603.99,2014.24,ERG
2020-04-03,0.1291,0.1347,0.127,0.127,618.66,78.55,ERG
2020-04-04,0.127,0.1371,0.1275,0.1298,659.43,85.6,ERG
2020-04-05,0.1298,0.1354,0.1254,0.1275,396.6,50.58,ERG
2020-04-06,0.1275,0.1469,0.1322,0.1322,66326.62,8771.26,ERG
2020-04-07,0.1322,0.144,0.1297,0.1405,10614.47,1491.77,ERG
2020-04-08,0.1405,0.1472,0.141,0.1432,5157.08,738.66,ERG
2020-04-09,0.1432,0.1418,0.1334,0.1416,599.84,84.92,ERG
2020-04-10,0.1416,0.1372,0.1294,0.1372,2255.18,309.48,ERG
2020-04-11,0.1372,0.1376,0.1303,0.1366,390.97,53.41,ERG
2020-04-12,0.1366,0.138,0.1327,0.1343,484.96,65.14,ERG
2020-04-13,0.1343,0.1368,0.1331,0.1368,1398.97,191.35,ERG
2020-04-14,0.1368,0.1373,0.1337,0.1349,10320.79,1391.96,ERG
2020-04-15,0.1349,0.1327,0.1278,0.1327,34062.81,4521.59,ERG
2020-04-16,0.1327,0.142,0.1315,0.1315,1717.88,225.9,ERG
2020-04-17,0.1315,0.1405,0.1273,0.1384,2044.86,282.92,ERG
2020-04-18,0.1384,0.146,0.1329,0.146,69659.74,10173.17,ERG
2020-04-19,0.146,0.3739,0.1305,0.1495,28933.95,4325.1,ERG
2020-04-20,0.1495,0.1707,0.1299,0.1571,12178.65,1913.79,ERG
2020-04-21,0.1571,0.1574,0.1505,0.1574,6432.86,1012.48,ERG
2020-04-22,0.1574,0.1639,0.1536,0.1536,4.985,0.7657,ERG
2020-04-23,0.1536,0.1613,0.1384,0.1384,5711.45,790.69,ERG
2020-04-24,0.1384,0.1622,0.1388,0.1548,3158.32,488.98,ERG
2020-04-25,0.1548,0.1556,0.1507,0.1508,183.09,27.61,ERG
2020-04-26,0.1508,0.1539,0.1539,0.1539,364.66,56.11,ERG
2020-04-27,0.1539,0.1555,0.1555,0.1555,8927.11,1387.91,ERG
2020-04-28,0.1555,0.1626,0.1468,0.1468,30117.04,4422.19,ERG
2020-04-29,0.1468,0.182,0.1664,0.1799,112271.19,20198.9,ERG
2020-04-30,0.1799,0.1769,0.1594,0.1594,1683.19,268.26,ERG
2020-05-01,0.1594,0.1764,0.163,0.1764,732.26,129.16,ERG
2020-05-02,0.1764,0.1794,0.1219,0.1633,192.92,31.5,ERG
2020-05-03,0.1633,0.1779,0.1619,0.1756,276.25,48.52,ERG
2020-05-04,0.1756,0.1752,0.1752,0.1752,62.45,10.94,ERG
2020-05-05,0.1752,0.1782,0.1669,0.1669,161.85,27.02,ERG
2020-05-06,0.1669,0.1828,0.1691,0.1828,192.26,35.15,ERG
2020-05-07,0.1828,0.1996,0.1466,0.1466,286.66,42.02,ERG
2020-05-08,0.1466,0.1961,0.144,0.1961,259.9,50.97,ERG
2020-05-09,0.1961,0.198,0.1908,0.1962,52880.15,10376.9,ERG
2020-05-10,0.1962,0.1797,0.1715,0.1715,138.16,23.69,ERG
2020-05-11,0.1715,0.1715,0.1682,0.1715,220.0,37.73,ERG
2020-05-12,0.1715,0.1762,0.1718,0.1762,38414.31,6770.38,ERG
2020-05-13,0.1762,0.1913,0.1792,0.1912,46423.52,8875.69,ERG
2020-05-14,0.1912,0.2105,0.1929,0.2056,80423.64,16537.64,ERG
2020-05-15,0.2056,0.1956,0.1863,0.1863,1775.35,330.8,ERG
2020-05-16,0.1863,0.1876,0.1876,0.1876,87.15,16.35,ERG
2020-05-17,0.1876,0.1935,0.1935,0.1935,587.83,113.77,ERG
2020-05-18,0.1935,0.2043,0.1945,0.1946,84365.71,16418.82,ERG
2020-05-19,0.1946,0.2052,0.1955,0.1955,74595.22,14580.99,ERG
2020-05-20,0.1955,0.428,0.1893,0.1902,50456.41,9594.38,ERG
2020-05-21,0.1902,0.1842,0.1804,0.1813,111424.45,20206.29,ERG
2020-05-22,0.1813,0.2109,0.1834,0.1939,23621.29,4579.11,ERG
2020-05-23,0.1939,0.194,0.1826,0.1826,48554.18,8867.25,ERG
2020-05-24,0.1826,0.1741,0.1736,0.1736,43000.0,7466.27,ERG
2020-05-25,0.1736,0.1979,0.1771,0.178,44726.13,7959.13,ERG
2020-05-26,0.178,0.1911,0.1759,0.1911,66340.89,12680.8,ERG
2020-05-27,0.1911,0.1989,0.1825,0.1825,21655.67,3952.45,ERG
2020-05-28,0.1825,0.1963,0.19,0.1915,10178.75,1949.4,ERG
2020-05-29,0.1915,0.1885,0.1753,0.1842,19504.77,3591.92,ERG
2020-05-30,0.1842,0.1987,0.1894,0.1939,27317.88,5296.74,ERG
2020-05-31,0.1939,0.1891,0.1891,0.1891,11846.66,2240.19,ERG
2020-06-01,0.1891,0.214,0.2039,0.2039,22292.4,4544.44,ERG
2020-06-02,0.2039,0.1993,0.1857,0.1905,20690.68,3941.4,ERG
2020-06-03,0.1905,0.2029,0.1933,0.1986,5030.96,999.15,ERG
