date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-10-27,0.02069,0.02206,2.964e-05,2.964e-05,5554105.59,164.6,ETN
2017-11-02,0.1065,0.139,0.05978,0.08338,21259347.85,1772699.98,ETN
2017-11-03,0.07727,0.08554,0.04506,0.05829,21183830.02,1234800.75,ETN
2017-11-04,0.05861,0.06046,0.0405,0.04124,16066575.13,662541.86,ETN
2017-11-05,0.04072,0.04153,0.02867,0.03178,18515299.64,588324.85,ETN
2017-11-06,0.03222,0.0556,0.02832,0.05108,25660161.56,1310740.25,ETN
2017-11-07,0.05115,0.06108,0.04404,0.04745,21943426.58,1041135.94,ETN
2017-11-08,0.04751,0.05248,0.04281,0.04467,17430106.25,778535.91,ETN
2017-11-09,0.04392,0.04485,0.03636,0.04028,17580594.72,708184.74,ETN
2017-11-10,0.04014,0.0371,0.03092,0.03152,12933642.99,407614.62,ETN
2017-11-11,0.03171,0.03271,0.02669,0.02853,16668460.35,475540.67,ETN
2017-11-12,0.02847,0.02651,0.02351,0.02551,14655566.34,373879.39,ETN
2017-11-13,0.02492,0.04272,0.02674,0.04063,34498553.5,1401844.01,ETN
2017-11-14,0.04077,0.04618,0.03628,0.03668,23108388.82,847607.7,ETN
2017-11-15,0.03694,0.0437,0.03569,0.03569,16881703.26,602470.48,ETN
2017-11-16,0.0362,0.0421,0.0355,0.03919,18083708.48,708698.06,ETN
2017-11-17,0.03888,0.03888,0.03311,0.03357,15515770.48,520892.06,ETN
2017-11-18,0.03357,0.03478,0.03159,0.03237,14206440.18,459842.38,ETN
2017-11-19,0.03245,0.03378,0.03225,0.03297,13435929.78,443047.42,ETN
2017-11-20,0.03273,0.03397,0.02902,0.03042,16052667.5,488368.8,ETN
2017-11-21,0.03043,0.03167,0.02705,0.029,16951678.16,491562.94,ETN
2017-11-22,0.029,0.0303,0.02783,0.02915,17598228.53,512993.76,ETN
2017-11-23,0.02915,0.02989,0.02821,0.02901,15861084.02,460106.96,ETN
2017-11-24,0.02893,0.02977,0.0278,0.02788,13210359.88,368340.77,ETN
2017-11-25,0.02789,0.03029,0.02731,0.0274,13932661.39,381785.29,ETN
2017-11-26,0.02766,0.03411,0.02469,0.03261,22126057.46,721629.64,ETN
2017-11-27,0.03345,0.03621,0.0291,0.03368,27984132.41,942418.05,ETN
2017-11-28,0.03367,0.03616,0.03408,0.03527,19884500.35,701236.89,ETN
2017-11-29,0.03527,0.05253,0.03473,0.04319,41923662.6,1810607.75,ETN
2017-11-30,0.04304,0.04576,0.03989,0.04357,18904053.43,823589.28,ETN
2017-12-01,0.04417,0.05376,0.04627,0.05344,22597427.25,1207571.09,ETN
2017-12-02,0.05344,0.0562,0.05042,0.05609,23929141.91,1342219.84,ETN
2017-12-03,0.05653,0.07524,0.05814,0.07108,46254968.23,3287620.31,ETN
2017-12-04,0.06971,0.1104,0.06451,0.08509,57410398.25,4884879.77,ETN
2017-12-05,0.08544,0.1161,0.08575,0.1079,58524407.8,6316009.83,ETN
2017-12-06,0.1082,0.1275,0.0825,0.08415,45485073.36,3827449.22,ETN
2017-12-07,0.08511,0.1195,0.08172,0.08897,40827180.11,3632379.39,ETN
2017-12-08,0.0894,0.1279,0.08184,0.1279,50793158.36,6496417.1,ETN
2017-12-09,0.1281,0.1217,0.1039,0.1045,32073088.47,3351563.23,ETN
2017-12-10,0.104,0.1143,0.1039,0.1044,17114940.28,1786166.99,ETN
2017-12-11,0.1047,0.118,0.1016,0.1051,20471985.98,2151194.48,ETN
2017-12-12,0.1051,0.1333,0.0984,0.1244,43833639.78,5451624.5,ETN
2017-12-13,0.1213,0.1246,0.04902,0.08078,290604476.53,23475793.09,ETN
2017-12-14,0.08143,0.08843,0.0611,0.06966,208339384.6,14512767.21,ETN
2017-12-15,0.07032,0.07605,0.06479,0.06972,134244218.27,9358863.33,ETN
2017-12-16,0.06967,0.07738,0.06036,0.06249,136138705.6,8506754.0,ETN
2017-12-17,0.0621,0.07169,0.05777,0.07131,115338393.36,8224291.27,ETN
2017-12-18,0.07073,0.1019,0.06773,0.09334,226400223.46,21133060.44,ETN
