date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-01-08,5.46,6.444,4.737,5.353,65.57,351.0,EVX
2018-01-09,5.353,5.747,5.05,5.363,2161.57,11592.72,EVX
2018-01-10,5.363,6.0,3.4,4.64,2353.14,10918.57,EVX
2018-01-11,4.686,5.365,3.92,4.413,3221.44,14215.57,EVX
2018-01-12,4.413,4.618,3.896,4.495,3671.59,16505.63,EVX
2018-01-13,4.495,6.6,4.235,5.698,3399.09,19368.01,EVX
2018-01-14,5.698,5.858,4.111,4.424,1552.61,6868.44,EVX
2018-01-15,4.424,4.56,4.07,4.1,1771.65,7263.77,EVX
2018-01-16,4.141,4.223,1.092,2.791,1790.34,4997.38,EVX
2018-01-17,2.791,3.091,2.04,2.897,3102.3,8986.74,EVX
2018-01-18,2.897,5.984,2.925,4.192,4905.22,20563.17,EVX
2018-01-19,4.192,5.875,3.968,4.009,2123.05,8510.46,EVX
2018-01-20,4.009,5.069,4.009,4.406,5391.73,23758.12,EVX
2018-01-21,4.406,4.545,3.424,3.565,829.17,2956.24,EVX
2018-01-22,3.565,4.545,3.252,3.414,1515.11,5172.28,EVX
2018-01-23,3.414,4.525,3.333,3.939,494.36,1947.28,EVX
2018-01-24,3.939,4.02,3.707,3.777,4037.49,15251.21,EVX
2018-01-25,3.777,3.89,3.56,3.56,723.94,2577.23,EVX
2018-01-26,3.56,3.75,3.49,3.63,748.85,2718.33,EVX
2018-01-27,3.63,4.838,3.614,3.733,3999.53,14930.75,EVX
2018-01-28,3.733,4.454,3.679,3.866,11499.12,44450.24,EVX
2018-01-29,3.865,3.966,3.47,3.698,1395.96,5162.67,EVX
2018-01-30,3.7,3.66,2.943,3.012,2269.35,6835.23,EVX
2018-01-31,3.012,3.076,2.642,3.056,6766.61,20678.62,EVX
2018-02-01,3.056,3.036,2.252,2.252,1540.31,3469.38,EVX
2018-02-02,2.253,2.326,2.029,2.177,1890.33,4115.48,EVX
2018-02-03,2.177,2.575,2.187,2.396,4023.38,9639.14,EVX
2018-02-04,2.396,2.465,2.078,2.078,326.82,679.02,EVX
2018-02-05,2.077,2.159,1.587,1.646,1131.5,1862.96,EVX
2018-02-06,1.646,1.93,1.35,1.78,1812.33,3225.95,EVX
2018-02-07,1.78,2.08,1.54,1.85,3483.67,6443.5,EVX
2018-02-08,1.85,1.878,1.708,1.778,696.82,1239.1,EVX
2018-02-09,1.779,1.97,1.7,1.89,3813.47,7207.46,EVX
2018-02-10,1.89,1.98,1.69,1.7,1226.19,2084.52,EVX
2018-02-11,1.7,1.77,1.68,1.76,609.66,1073.0,EVX
2018-02-12,1.76,1.8,1.7,1.78,1537.12,2736.07,EVX
2018-02-13,1.78,2.01,1.747,1.828,4453.54,8141.52,EVX
2018-02-14,1.828,2.01,1.73,2.0,2501.58,5003.16,EVX
2018-02-15,2.0,2.04,1.89,2.04,617.68,1260.07,EVX
2018-02-16,2.04,2.04,1.94,2.03,2086.11,4234.8,EVX
2018-02-17,2.03,2.121,2.01,2.01,131.62,264.54,EVX
2018-02-18,2.01,2.565,1.879,2.232,2269.77,5066.35,EVX
2018-02-19,2.232,2.89,2.21,2.75,4658.31,12810.35,EVX
2018-02-20,2.75,3.03,2.56,2.56,3401.28,8707.28,EVX
2018-02-21,2.56,2.73,2.22,2.22,48146.77,106885.83,EVX
2018-02-22,2.22,2.34,2.05,2.06,8328.82,17157.37,EVX
2018-02-23,2.06,2.23,1.99,2.13,1769.39,3768.8,EVX
2018-02-24,2.13,2.23,2.01,2.01,2156.27,4334.1,EVX
2018-02-25,2.01,2.48,2.01,2.28,880.06,2006.54,EVX
2018-02-26,2.28,2.92,2.28,2.4,1347.56,3234.14,EVX
2018-02-27,2.4,2.9,2.4,2.51,1876.3,4709.51,EVX
2018-02-28,2.62,2.62,2.27,2.37,714.04,1692.27,EVX
2018-03-01,2.37,2.42,2.14,2.25,2690.28,6052.52,EVX
2018-03-02,2.25,2.36,2.07,2.07,1319.64,2731.65,EVX
2018-03-03,2.07,2.26,2.07,2.26,85.61,193.48,EVX
2018-03-04,2.26,2.346,2.203,2.213,934.83,2069.15,EVX
2018-03-05,2.213,2.29,2.17,2.25,147.91,332.8,EVX
2018-03-06,2.25,2.25,1.9,2.1,1263.24,2652.8,EVX
2018-03-07,2.1,2.17,1.8,1.84,3203.18,5893.85,EVX
2018-03-08,1.84,2.3,1.67,1.67,1467.49,2450.71,EVX
2018-03-09,1.67,1.67,1.52,1.52,5271.06,8012.01,EVX
2018-03-10,1.52,1.74,1.52,1.64,702.69,1152.41,EVX
2018-03-11,1.64,1.71,1.53,1.67,603.71,1008.2,EVX
2018-03-12,1.67,1.77,1.67,1.74,193.12,336.03,EVX
2018-03-13,1.74,1.74,1.52,1.59,73.74,117.25,EVX
2018-03-14,1.59,1.59,1.46,1.46,394.76,576.35,EVX
2018-03-15,1.46,1.46,1.2,1.46,363.86,531.24,EVX
2018-03-16,1.46,1.46,1.46,1.46,11.78,17.2,EVX
2018-03-17,1.46,1.46,1.46,1.46,0.0,0.0,EVX
2018-03-18,1.46,1.456,1.177,1.177,132030.79,155375.68,EVX
2018-03-19,1.177,1.24,1.18,1.24,650.6,806.74,EVX
2018-03-20,1.24,1.45,1.16,1.31,152389.87,199630.73,EVX
2018-03-21,1.31,1.45,1.2,1.25,44312.71,55390.89,EVX
2018-03-22,1.25,1.35,0.9287,1.3,2665.84,3465.59,EVX
2018-03-23,1.3,1.3,1.2,1.21,577.06,698.24,EVX
2018-03-24,1.21,1.46,1.21,1.3,1362.16,1770.81,EVX
2018-03-25,1.3,1.46,1.25,1.46,551.79,805.61,EVX
2018-03-26,1.46,1.46,1.18,1.35,481.72,650.32,EVX
2018-03-27,1.35,1.35,1.18,1.22,1026.25,1252.02,EVX
2018-03-28,1.22,1.41,1.22,1.41,1449.38,2043.63,EVX
2018-03-29,1.41,1.407,0.9288,1.197,839.93,1005.7,EVX
2018-03-30,1.197,1.267,1.082,1.082,536.39,580.11,EVX
2018-03-31,1.082,1.082,1.051,1.051,196.96,206.93,EVX
2018-04-01,1.051,1.1,1.0,1.0,283.69,283.69,EVX
2018-04-02,1.0,1.05,1.0,1.05,164.56,172.79,EVX
2018-04-03,1.05,1.16,1.04,1.16,104.56,121.29,EVX
2018-04-04,1.16,1.16,0.9541,0.9541,542.76,517.85,EVX
2018-04-05,0.9541,1.1,0.9541,1.1,376.6,414.26,EVX
2018-04-06,1.1,1.1,1.0,1.0,31.95,31.95,EVX
2018-04-07,1.0,1.0,0.9541,0.9541,1735.8,1656.13,EVX
2018-04-08,0.9541,1.179,0.9534,1.009,387.15,390.75,EVX
2018-04-09,1.009,1.11,1.01,1.1,1749.94,1924.93,EVX
2018-04-10,1.1,1.283,0.9637,0.9696,954.56,925.54,EVX
2018-04-11,0.9696,0.9998,0.954,0.956,660.55,631.49,EVX
2018-04-12,0.956,1.229,0.9557,1.139,369.11,420.58,EVX
2018-04-13,1.139,1.42,1.14,1.2,870.84,1045.01,EVX
2018-04-14,1.2,1.34,1.17,1.19,623.89,742.43,EVX
2018-04-15,1.19,1.31,1.19,1.23,654.72,805.31,EVX
2018-04-16,1.23,1.23,1.22,1.22,19.58,23.89,EVX
2018-04-17,1.22,1.319,1.199,1.199,14.25,17.09,EVX
2018-04-18,1.199,1.46,1.2,1.33,2794.75,3716.27,EVX
2018-04-19,1.33,2.05,1.33,1.62,8746.59,14169.48,EVX
2018-04-20,1.62,1.95,1.38,1.52,33135.53,50366.01,EVX
2018-04-21,1.52,2.36,1.38,1.97,49793.46,98093.12,EVX
2018-04-22,1.97,2.29,1.65,1.79,12470.09,22321.46,EVX
2018-04-23,1.79,2.22,1.5,1.69,16651.12,28140.39,EVX
2018-04-24,1.69,2.1,1.69,1.76,6543.67,11516.86,EVX
2018-04-25,1.76,1.76,1.25,1.48,4134.01,6118.33,EVX
2018-04-26,1.48,1.65,1.48,1.52,2460.38,3739.78,EVX
2018-04-27,1.52,1.66,1.52,1.59,1968.07,3129.23,EVX
2018-04-28,1.59,1.884,1.577,1.676,2737.95,4588.73,EVX
2018-04-29,1.676,1.8,1.65,1.8,5482.93,9869.27,EVX
2018-04-30,1.8,1.9,1.72,1.84,13304.5,24480.28,EVX
2018-05-01,1.84,1.99,1.5,1.8,5530.47,9954.85,EVX
2018-05-02,1.8,2.359,1.729,1.809,27654.7,50029.98,EVX
2018-05-03,1.809,1.976,1.701,1.829,34354.38,62832.03,EVX
2018-05-04,1.829,1.842,1.783,1.783,6352.86,11325.37,EVX
2018-05-05,1.783,2.065,1.787,1.856,23924.06,44411.4,EVX
2018-05-06,1.856,1.888,1.669,1.888,25180.44,47531.86,EVX
