date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2020-12-22,3.38,3.602,3.495,3.526,141974.62,500581.41,FIRO
2020-12-23,3.526,3.444,2.819,2.865,386707.86,1108084.44,FIRO
2020-12-24,2.865,3.352,2.923,3.329,383446.42,1276303.43,FIRO
2020-12-25,3.329,3.597,3.15,3.222,219115.86,705973.9,FIRO
2020-12-26,3.222,3.48,3.131,3.314,190480.22,631184.06,FIRO
2020-12-27,3.314,3.657,3.079,3.557,380877.22,1354694.99,FIRO
2020-12-28,3.557,3.699,3.369,3.375,309363.72,1043955.1,FIRO
2020-12-29,3.375,3.486,3.215,3.24,215923.78,699488.62,FIRO
2020-12-30,3.24,3.423,3.198,3.207,164854.37,528646.21,FIRO
2020-12-31,3.207,3.474,3.132,3.375,180436.25,609023.7,FIRO
2021-01-01,3.375,3.462,3.036,3.065,244158.51,748410.89,FIRO
2021-01-02,3.065,3.372,2.904,3.039,380534.08,1156342.41,FIRO
2021-01-03,3.039,3.126,2.798,2.907,332049.46,965138.46,FIRO
2021-01-04,2.907,3.116,2.801,2.922,268157.08,783594.43,FIRO
2021-01-05,2.922,3.25,2.925,2.959,246799.05,730265.69,FIRO
2021-01-06,2.959,3.351,3.124,3.175,256817.12,815390.23,FIRO
2021-01-07,3.175,3.884,3.294,3.422,406516.89,1390970.9,FIRO
2021-01-08,3.422,3.999,3.385,3.819,494378.32,1888228.65,FIRO
2021-01-09,3.819,3.958,3.564,3.956,323125.86,1278177.99,FIRO
2021-01-10,3.956,4.336,3.583,4.114,755867.06,3109912.23,FIRO
2021-01-11,4.114,4.664,3.582,3.976,757168.59,3010165.65,FIRO
2021-01-12,3.976,4.09,3.716,3.808,524642.0,1997694.62,FIRO
2021-01-13,3.808,4.336,3.884,4.172,365586.58,1525118.58,FIRO
2021-01-14,4.172,4.871,3.89,4.006,338920.9,1357586.92,FIRO
2021-01-15,4.006,4.117,3.63,4.032,359645.08,1450161.84,FIRO
2021-01-16,4.032,4.586,3.844,4.568,391353.4,1787703.49,FIRO
2021-01-17,4.568,6.745,4.494,6.229,920046.51,5730884.0,FIRO
2021-01-18,6.229,9.332,5.845,6.306,971559.47,6127127.64,FIRO
2021-01-19,6.306,6.446,5.221,5.447,1184914.95,6454718.69,FIRO
2021-01-20,5.447,5.386,4.743,5.091,787805.22,4010635.93,FIRO
2021-01-21,5.091,4.518,4.219,4.244,393448.23,1669646.86,FIRO
2021-01-22,4.244,4.671,4.298,4.327,306013.67,1324228.69,FIRO
2021-01-23,4.327,4.521,4.196,4.344,291265.03,1265289.18,FIRO
2021-01-24,4.344,4.407,4.281,4.362,240390.83,1048470.01,FIRO
2021-01-25,4.362,5.396,4.131,4.744,111983.71,531302.76,FIRO
2021-01-26,4.744,5.303,4.539,4.565,51141.76,233478.47,FIRO
2021-01-27,4.565,4.49,3.824,3.9,63791.5,248801.84,FIRO
2021-01-28,3.9,5.736,4.281,5.495,63541.42,349149.16,FIRO
2021-01-29,5.495,5.734,4.073,4.723,120691.26,570068.49,FIRO
2021-01-30,4.723,5.24,4.393,4.575,56511.41,258515.14,FIRO
2021-01-31,4.575,4.58,4.063,4.362,51218.82,223398.45,FIRO
2021-02-01,4.362,4.444,3.86,3.904,97271.47,379707.3,FIRO
2021-02-02,3.904,4.259,4.007,4.224,111736.5,471958.74,FIRO
2021-02-03,4.224,4.514,4.197,4.242,118502.25,502742.06,FIRO
2021-02-04,4.242,4.397,3.92,4.105,135908.91,557927.77,FIRO
2021-02-05,4.105,4.885,4.153,4.704,349827.18,1645761.08,FIRO
2021-02-06,4.704,5.187,4.272,4.838,376362.72,1820728.29,FIRO
2021-02-07,4.838,5.127,4.513,4.563,257123.85,1173307.42,FIRO
2021-02-08,4.563,5.716,4.983,4.997,212442.68,1061504.97,FIRO
2021-02-09,4.997,5.697,4.744,5.204,415438.49,2162116.75,FIRO
2021-02-10,5.204,5.19,4.853,5.078,336670.42,1709471.11,FIRO
2021-02-11,5.078,6.294,5.377,5.967,418701.78,2498463.94,FIRO
2021-02-12,5.967,6.252,5.65,6.029,256715.56,1547752.78,FIRO
2021-02-13,6.029,8.198,6.002,7.508,627522.14,4711655.16,FIRO
2021-02-14,7.508,7.814,6.247,6.422,363054.08,2331598.23,FIRO
2021-02-15,6.422,6.567,5.58,6.121,251771.98,1541220.24,FIRO
2021-02-16,6.121,6.335,5.809,5.951,244407.97,1454554.98,FIRO
2021-02-17,5.951,7.13,5.867,6.744,269206.2,1815426.97,FIRO
2021-02-18,6.744,7.156,6.48,6.722,258360.17,1736796.99,FIRO
2021-02-19,6.722,7.288,6.544,6.829,303833.0,2075020.39,FIRO
2021-02-20,6.829,7.111,6.177,6.188,287136.17,1776862.65,FIRO
