date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-02-20,2.593,2.558,2.417,2.435,5402138.52,13155179.68,HT
2018-02-21,2.436,2.396,2.226,2.363,17301323.27,40886509.64,HT
2018-02-22,2.361,2.332,2.148,2.165,18458116.97,39966609.98,HT
2018-02-23,2.165,2.393,2.222,2.294,22031192.73,50539882.18,HT
2018-02-24,2.297,2.314,2.21,2.268,21582711.71,48947999.3,HT
2018-02-25,2.268,2.31,2.218,2.243,18106522.38,40607630.28,HT
2018-02-26,2.239,2.33,2.212,2.311,17584037.56,40642683.75,HT
2018-02-27,2.312,2.615,2.31,2.578,26562789.95,68482422.34,HT
2018-02-28,2.577,2.535,2.146,2.17,25071568.62,54395826.85,HT
2018-03-01,2.164,2.333,2.175,2.297,17685718.04,40629871.73,HT
2018-03-02,2.296,2.31,2.072,2.171,18353079.34,39838243.81,HT
2018-03-03,2.171,2.216,2.113,2.206,15503538.85,34198724.58,HT
2018-03-04,2.208,2.246,2.162,2.17,16253886.24,35268632.73,HT
2018-03-05,2.17,2.284,2.126,2.257,19069386.85,43037869.66,HT
2018-03-06,2.257,2.176,2.043,2.104,18591064.89,39124527.96,HT
2018-03-07,2.104,1.99,1.791,1.804,16470027.48,29715458.44,HT
2018-03-08,1.803,1.735,1.489,1.607,19881675.04,31942101.32,HT
2018-03-09,1.607,1.686,1.577,1.666,12888626.98,21473749.66,HT
2018-03-10,1.661,1.576,1.522,1.571,6828025.52,10729128.45,HT
2018-03-11,1.571,1.756,1.632,1.723,7109256.12,12249967.18,HT
2018-03-12,1.731,1.738,1.603,1.669,25490688.28,42535441.79,HT
2018-03-13,1.668,1.663,1.594,1.654,11763494.52,19454868.61,HT
2018-03-14,1.653,1.53,1.417,1.475,14810320.17,21839679.49,HT
2018-03-15,1.475,1.526,1.434,1.497,14137543.12,21165218.54,HT
2018-03-16,1.497,1.524,1.441,1.512,12405806.1,18759247.9,HT
2018-03-17,1.508,1.418,1.354,1.416,12265598.86,17371265.27,HT
2018-03-18,1.417,1.505,1.29,1.369,15294885.74,20942434.2,HT
2018-03-19,1.37,1.522,1.384,1.492,13004891.98,19398769.88,HT
2018-03-20,1.497,1.564,1.474,1.496,13294148.04,19887517.82,HT
2018-03-21,1.497,1.53,1.46,1.507,11761988.37,17721997.36,HT
2018-03-22,1.507,1.495,1.418,1.474,10829499.49,15961596.05,HT
2018-03-23,1.474,1.497,1.44,1.463,11176708.74,16356515.62,HT
2018-03-24,1.463,1.717,1.378,1.518,12804536.15,19435069.15,HT
2018-03-25,1.518,1.569,1.489,1.511,10413215.82,15739564.26,HT
2018-03-26,1.51,1.507,1.391,1.486,11225324.81,16686066.48,HT
2018-03-27,1.488,1.533,1.363,1.499,10391682.84,15581018.86,HT
2018-03-28,1.498,1.694,1.488,1.673,25965017.48,43442833.08,HT
2018-03-29,1.673,1.605,1.421,1.574,23332336.61,36733821.78,HT
2018-03-30,1.576,1.772,1.532,1.712,21328579.18,36513152.72,HT
2018-03-31,1.713,1.773,1.645,1.739,18277427.87,31777809.44,HT
2018-04-01,1.739,1.748,1.629,1.694,20043659.94,33950719.88,HT
2018-04-02,1.695,1.756,1.658,1.72,18749421.66,32247210.56,HT
2018-04-03,1.72,1.879,1.706,1.713,19070387.97,32663755.56,HT
2018-04-04,1.714,1.683,1.554,1.657,20352732.22,33716208.99,HT
2018-04-05,1.655,1.686,1.598,1.617,19282876.61,31187117.29,HT
2018-04-06,1.616,1.618,1.569,1.603,19334232.33,30997514.21,HT
2018-04-07,1.602,1.692,1.623,1.684,19396516.97,32661843.81,HT
2018-04-08,1.684,1.765,1.671,1.738,18442711.85,32052006.47,HT
2018-04-09,1.741,1.736,1.617,1.714,19571924.78,33542186.58,HT
2018-04-10,1.714,1.796,1.681,1.692,19427097.64,32872808.53,HT
2018-04-11,1.697,1.79,1.727,1.736,19289988.46,33493482.42,HT
2018-04-12,1.737,2.168,1.794,1.843,10449051.86,19256844.5,HT
2018-04-13,1.842,1.955,1.802,1.892,9357390.12,17706353.77,HT
2018-04-14,1.882,1.92,1.784,1.824,7630876.24,13915813.42,HT
2018-04-15,1.824,1.959,1.881,1.883,7541382.11,14199508.12,HT
2018-04-16,1.881,1.935,1.762,1.8,8975016.55,16155523.95,HT
2018-04-17,1.8,1.817,1.741,1.777,8529198.05,15158133.34,HT
2018-04-18,1.777,1.919,1.837,1.839,8025157.63,14755477.42,HT
2018-04-19,1.839,2.039,1.9,1.916,8290671.55,15881637.37,HT
2018-04-20,1.914,2.095,1.895,1.924,7524578.91,14479583.92,HT
2018-04-21,1.922,1.923,1.822,1.844,8133273.58,14997374.14,HT
