date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2021-05-10,630.0,630.0,250.32,426.98,502282.25,168759193.85,ICP
2021-05-11,426.98,491.0,336.1,363.82,1196979.41,491993262.08,ICP
2021-05-12,363.82,388.62,254.01,256.1,705325.13,225730982.6,ICP
2021-05-13,256.1,348.03,251.0,301.45,558020.99,166474224.87,ICP
2021-05-14,301.45,343.0,292.45,304.56,347363.08,110106510.91,ICP
2021-05-15,304.56,305.69,237.0,246.22,390174.99,105362022.85,ICP
2021-05-16,246.22,263.62,204.71,225.2,341717.08,80361812.26,ICP
2021-05-17,225.2,225.52,185.12,195.97,412200.15,84348871.41,ICP
2021-05-18,195.97,206.0,160.5,163.87,562156.6,101715364.26,ICP
2021-05-19,163.87,179.95,88.14,122.86,1337049.8,179737416.76,ICP
2021-05-20,122.86,223.0,103.55,164.51,1947167.47,331100686.09,ICP
2021-05-21,164.51,186.55,124.81,146.11,462672.2,77628077.19,ICP
2021-05-22,146.08,167.17,132.34,146.18,255860.0,37401450.67,ICP
2021-05-23,146.18,154.49,128.56,144.49,252875.7,36538386.19,ICP
2021-05-24,144.0,164.0,135.63,148.0,777164.87,113922893.83,ICP
2021-05-25,148.0,157.14,123.62,134.2,683350.51,94281378.43,ICP
2021-05-26,134.2,152.58,131.79,142.89,659287.94,92864014.46,ICP
2021-05-27,142.84,145.95,129.89,132.16,471223.67,63829596.11,ICP
2021-05-28,132.16,133.0,110.0,115.82,583422.81,70006685.55,ICP
2021-05-29,115.82,120.0,105.72,110.81,430853.37,48381622.44,ICP
2021-05-30,110.81,118.84,104.46,112.0,365132.14,40733441.29,ICP
2021-05-31,112.0,115.52,105.01,114.82,368513.94,40699974.69,ICP
2021-06-01,114.82,117.0,106.0,107.53,345411.01,38136034.71,ICP
2021-06-02,107.53,113.0,102.04,107.84,481179.2,51486600.53,ICP
2021-06-03,107.84,137.35,105.15,124.6,724551.23,87629247.52,ICP
2021-06-04,124.6,124.98,105.15,108.8,561770.13,63802933.62,ICP
2021-06-05,108.8,116.1,100.0,104.66,322262.86,34815779.66,ICP
2021-06-06,104.66,110.0,102.61,104.41,294365.08,30988168.13,ICP
2021-06-07,104.41,106.75,88.88,91.38,512330.34,50968107.88,ICP
2021-06-08,91.38,94.8,77.0,81.43,998097.71,84434065.53,ICP
2021-06-09,81.43,88.96,77.13,81.52,851591.36,69580857.24,ICP
2021-06-10,81.52,84.0,65.66,66.48,1256124.53,90430756.87,ICP
2021-06-11,66.48,72.5,56.1,58.45,1395067.53,89867061.72,ICP
2021-06-12,58.45,67.75,53.01,61.15,1250800.0,73506087.05,ICP
2021-06-13,61.15,66.45,57.06,64.37,817524.97,50513225.86,ICP
2021-06-14,64.37,70.8,61.86,66.74,796367.62,52678164.29,ICP
