date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2020-04-02,0.08372,0.0838,0.08082,0.08128,258622.69,21264.4,KDA
2020-04-03,0.08128,0.08921,0.07781,0.0785,642644.56,51151.16,KDA
2020-04-04,0.0785,0.08065,0.07801,0.07876,648741.59,51117.29,KDA
2020-04-05,0.07876,0.07895,0.07589,0.07611,646411.46,49965.81,KDA
2020-04-06,0.07611,0.08023,0.07597,0.07909,644325.17,50570.39,KDA
2020-04-07,0.07909,0.08093,0.07551,0.0762,642585.43,49250.9,KDA
2020-04-08,0.0762,0.07622,0.07372,0.07564,620295.23,46291.48,KDA
2020-04-09,0.07564,0.0813,0.07523,0.07933,552589.3,43362.68,KDA
2020-04-10,0.07933,0.0823,0.07394,0.08182,572398.7,45223.45,KDA
2020-04-11,0.08182,0.08683,0.08131,0.08426,643933.99,54007.48,KDA
2020-04-12,0.08426,0.09135,0.08115,0.08283,644737.31,54854.17,KDA
2020-04-13,0.08283,0.08283,0.07447,0.0781,636139.7,50346.02,KDA
2020-04-14,0.0781,0.08931,0.07729,0.07769,643565.53,51993.23,KDA
2020-04-15,0.07769,0.08444,0.07729,0.08431,646963.87,52102.7,KDA
2020-04-16,0.08431,0.0857,0.08411,0.08483,637168.94,53990.67,KDA
2020-04-17,0.08483,0.09216,0.0821,0.08276,649507.58,54647.69,KDA
2020-04-18,0.08276,0.08725,0.08267,0.08692,647002.41,54893.77,KDA
2020-04-19,0.08692,0.1361,0.08569,0.09961,659568.88,63660.91,KDA
2020-04-20,0.09961,0.1193,0.0846,0.0846,94200.86,9504.34,KDA
2020-04-21,0.0846,0.09336,0.0846,0.09195,559927.18,50797.88,KDA
2020-04-22,0.09195,0.1137,0.09061,0.09677,638895.78,61629.48,KDA
2020-04-23,0.09677,0.1209,0.0965,0.12,95168.7,9914.52,KDA
2020-04-24,0.12,0.1308,0.1166,0.1296,79988.09,9889.27,KDA
2020-04-25,0.1296,0.1323,0.114,0.1181,111500.48,13653.88,KDA
2020-04-26,0.1181,0.1181,0.112,0.1136,82061.93,9380.96,KDA
2020-04-27,0.1136,0.1153,0.1128,0.1139,69888.96,7960.9,KDA
2020-04-28,0.1139,0.1175,0.1108,0.1165,92735.21,10576.37,KDA
2020-04-29,0.1165,0.1395,0.1165,0.1353,90283.79,11321.26,KDA
2020-04-30,0.1353,0.1364,0.1336,0.1339,89008.99,12033.63,KDA
2020-05-01,0.1339,0.1346,0.1171,0.1271,97276.98,12336.84,KDA
2020-05-02,0.1271,0.1356,0.1182,0.1264,92947.17,11781.9,KDA
2020-05-03,0.1264,0.1309,0.122,0.1244,91880.73,11444.3,KDA
2020-05-04,0.1244,0.1248,0.1183,0.1197,92570.36,11093.37,KDA
2020-05-05,0.1197,0.1495,0.1106,0.1493,86765.92,10300.92,KDA
