date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2019-05-28,0.05135,1.47,0.05135,1.45,84335.22,122811.43,LEO
2019-05-29,1.45,1.53,1.41,1.53,2503451.38,3752404.48,LEO
2019-05-30,1.53,1.54,1.4,1.4,1785941.65,2652049.06,LEO
2019-05-31,1.4,1.51,1.4,1.49,736717.58,1077940.33,LEO
2019-06-01,1.49,1.5,1.4,1.41,496903.35,726089.36,LEO
2019-06-02,1.41,1.48,1.41,1.42,564593.42,813565.79,LEO
2019-06-03,1.42,1.44,1.4,1.41,212872.95,302717.98,LEO
2019-06-04,1.41,1.5,1.35,1.47,1109414.38,1586463.37,LEO
2019-06-05,1.47,1.51,1.44,1.48,628248.96,922213.77,LEO
2019-06-06,1.48,1.65,1.48,1.65,1459319.94,2291613.31,LEO
2019-06-07,1.65,1.7,1.62,1.69,1294927.77,2166050.99,LEO
2019-06-08,1.69,1.73,1.64,1.72,1284847.11,2175264.9,LEO
2019-06-09,1.72,1.77,1.7,1.75,2008124.4,3484179.36,LEO
2019-06-10,1.75,1.93,1.75,1.913,3956480.39,7302009.4,LEO
2019-06-11,1.913,1.95,1.864,1.91,1533604.95,2937456.49,LEO
2019-06-12,1.91,1.975,1.89,1.97,2283240.91,4438657.11,LEO
2019-06-13,1.97,1.971,1.851,1.944,1709341.98,3289202.64,LEO
2019-06-14,1.944,1.957,1.835,1.928,2536564.41,4815424.61,LEO
2019-06-15,1.928,1.935,1.897,1.909,634786.98,1218431.37,LEO
2019-06-16,1.909,1.915,1.87,1.879,1033629.56,1953602.87,LEO
2019-06-17,1.879,1.94,1.866,1.91,1100276.29,2096189.51,LEO
2019-06-18,1.91,1.923,1.85,1.87,1369201.74,2590927.43,LEO
2019-06-19,1.87,1.881,1.813,1.855,640443.16,1178215.48,LEO
2019-06-20,1.855,1.915,1.85,1.893,2035565.34,3851540.36,LEO
2019-06-21,1.893,1.91,1.8,1.835,1862340.54,3460927.39,LEO
2019-06-22,1.835,1.867,1.72,1.845,1789592.56,3221270.83,LEO
2019-06-23,1.845,1.939,1.83,1.885,1968883.47,3724085.88,LEO
2019-06-24,1.885,1.902,1.838,1.899,915689.68,1717791.63,LEO
2019-06-25,1.899,1.916,1.86,1.916,1798916.12,3410029.13,LEO
2019-06-26,1.916,2.0,1.853,1.872,2980037.59,5802098.55,LEO
2019-06-27,1.872,1.938,1.71,1.767,1832361.98,3278130.6,LEO
2019-06-28,1.767,1.905,1.72,1.823,976940.34,1764576.03,LEO
2019-06-29,1.823,1.92,1.791,1.905,824926.23,1536145.94,LEO
2019-06-30,1.905,1.92,1.75,1.76,760642.24,1384857.12,LEO
2019-07-01,1.76,1.806,1.744,1.75,535791.71,945482.86,LEO
2019-07-02,1.75,1.76,1.66,1.729,2076637.93,3542111.52,LEO
2019-07-03,1.729,1.757,1.66,1.7,651216.62,1102952.42,LEO
2019-07-04,1.7,1.806,1.69,1.79,758254.23,1324512.99,LEO
2019-07-05,1.786,1.815,1.683,1.759,1359368.48,2390463.07,LEO
2019-07-06,1.759,1.765,1.705,1.709,909065.94,1553695.51,LEO
2019-07-07,1.712,1.73,1.688,1.702,120900.71,206025.15,LEO
2019-07-08,1.702,1.704,1.6,1.609,723739.06,1193726.28,LEO
2019-07-09,1.609,1.619,1.45,1.587,2329920.72,3590622.1,LEO
2019-07-10,1.587,1.59,1.49,1.504,1336058.33,2026320.81,LEO
2019-07-11,1.504,1.57,1.46,1.51,1387883.25,2074120.08,LEO
2019-07-12,1.51,1.527,1.423,1.491,889665.77,1295940.56,LEO
2019-07-13,1.491,1.5,1.42,1.428,317240.88,458985.08,LEO
