date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-09-21,0.2098,513993.38,2.6e-07,0.1727,4536995.08,783565.82,LINK
2017-09-22,0.1727,226391.34,0.1315,0.1578,5018237.01,791697.14,LINK
2017-09-23,0.1578,1877078.4,0.1145,0.1335,4385344.11,585249.15,LINK
2017-09-24,0.1335,1469520.0,0.02049,0.1696,4322593.68,732938.98,LINK
2017-09-25,0.1696,5131086.0,0.1495,0.1784,3249027.2,579653.91,LINK
2017-09-26,0.1784,4362504.96,0.1714,0.1951,2753378.54,537161.51,LINK
2017-09-27,0.1951,0.403,0.1882,0.1922,3186047.44,612299.06,LINK
2017-09-28,0.1922,4451230.68,0.1817,0.2433,8011125.14,1949397.14,LINK
2017-09-29,0.2433,4063011.65,0.2191,0.3183,12475645.45,3971335.29,LINK
2017-09-30,0.3183,0.4493,0.3049,0.4493,17586146.99,7901643.66,LINK
2017-10-01,0.4493,22464.94,0.3845,0.4365,7488670.87,3268596.65,LINK
2017-10-02,0.4365,64.35,0.3532,0.3574,6770357.64,2419449.86,LINK
2017-10-03,0.3574,0.3688,0.2798,0.3455,9685754.39,3346457.59,LINK
2017-10-04,0.3455,11002.17,0.3354,0.392,6931612.9,2717316.47,LINK
2017-10-05,0.392,14720.0,0.3864,0.405,4943710.71,2002307.99,LINK
2017-10-06,0.405,64172.72,0.4002,0.468,8785985.79,4112236.19,LINK
2017-10-07,0.468,4644.0,0.4227,0.4635,4859495.38,2252211.57,LINK
2017-10-08,0.4635,0.4757,0.3522,0.3974,6188306.04,2459140.99,LINK
2017-10-09,0.3974,0.4309,0.3531,0.3786,5599746.97,2120127.2,LINK
2017-10-10,0.3786,0.4307,0.3561,0.411,4886847.04,2008393.56,LINK
2017-10-11,0.411,29577.31,0.4089,0.4491,4730944.94,2124863.14,LINK
2017-10-12,0.4491,38609.39,0.4162,0.4416,7241708.82,3198037.25,LINK
2017-10-13,0.4416,636.61,0.4096,0.4335,6733225.15,2918854.52,LINK
2017-10-14,0.4335,0.4537,0.3896,0.3896,3645106.18,1420248.19,LINK
2017-10-15,0.3896,0.4312,0.3531,0.4137,4043066.9,1672442.2,LINK
2017-10-16,0.4137,0.5157,0.3713,0.4245,9998092.43,4243911.29,LINK
2017-10-17,0.4245,3.636,0.355,0.4028,5110419.29,2058284.53,LINK
2017-10-18,0.4028,0.4139,0.3339,0.3662,5622326.68,2058978.79,LINK
2017-10-19,0.3662,25518.1,0.2929,0.2998,8161335.86,2446907.01,LINK
2017-10-20,0.2998,120025.74,0.2153,0.2245,11716296.35,2629852.16,LINK
2017-10-21,0.2245,37.38,0.196,0.2512,7663713.98,1924915.54,LINK
2017-10-22,0.2533,19.84,0.2394,0.2646,4693027.45,1241901.78,LINK
2017-10-23,0.2646,73174.61,0.2306,0.2414,4403795.01,1063056.18,LINK
2017-10-24,0.2414,15.76,0.25,0.2541,3938157.71,1000571.08,LINK
2017-10-25,0.2541,0.2583,0.234,0.2527,3217602.0,813080.45,LINK
2017-10-26,0.2525,0.2535,0.2255,0.227,2580921.13,585956.4,LINK
2017-10-27,0.227,0.2356,0.2193,0.227,2568719.02,583053.3,LINK
2017-10-28,0.227,0.2251,0.1966,0.2053,2529715.73,519464.48,LINK
2017-10-29,0.2053,0.2197,0.1861,0.1981,3884374.7,769306.84,LINK
2017-10-30,0.1981,0.2128,0.1887,0.2086,2284639.11,476630.55,LINK
2017-10-31,0.2086,0.2234,0.1822,0.1904,3351381.52,638145.42,LINK
2017-11-01,0.1904,0.2591,0.1482,0.1595,5235154.89,835003.86,LINK
2017-11-02,0.1595,886.1,0.1372,0.164,6956988.8,1141144.05,LINK
2017-11-03,0.164,0.1948,0.1631,0.1682,4376566.83,736188.1,LINK
2017-11-04,0.1682,0.1863,0.1609,0.1761,3483989.17,613612.3,LINK
2017-11-05,0.1761,0.1813,0.1689,0.1747,1477430.75,258131.46,LINK
2017-11-06,0.1747,0.1759,0.1558,0.1677,2678825.67,449247.9,LINK
2017-11-07,0.1677,0.178,0.1597,0.1776,2312843.56,410860.49,LINK
2017-11-08,0.1776,0.2894,0.1749,0.2185,8749722.71,1911502.75,LINK
2017-11-09,0.2185,0.2445,0.2021,0.2222,4552506.5,1011401.69,LINK
2017-11-10,0.2222,0.2137,0.1795,0.1856,3682586.96,683367.3,LINK
2017-11-11,0.1856,0.2028,0.1662,0.1813,3963629.57,718773.04,LINK
2017-11-12,0.1813,0.1975,0.1503,0.1683,13041666.57,2195055.94,LINK
2017-11-13,0.1683,0.2108,0.173,0.1837,5275326.0,969050.69,LINK
2017-11-14,0.1837,0.2092,0.1741,0.188,4346069.57,817114.21,LINK
2017-11-15,0.188,0.1896,0.1727,0.1828,2676721.7,489187.38,LINK
2017-11-16,0.1828,0.1882,0.161,0.1685,3943182.55,664411.4,LINK
2017-11-17,0.1685,0.1724,0.1526,0.1561,5722352.9,893301.82,LINK
2017-11-18,0.1561,0.1796,0.1594,0.1727,4349524.17,751318.08,LINK
2017-11-19,0.1727,0.1771,0.1464,0.1591,3138125.91,499192.86,LINK
2017-11-20,0.1591,0.1691,0.1548,0.1612,4356445.92,702116.6,LINK
2017-11-21,0.1612,0.1636,0.1467,0.1576,4441495.42,700065.59,LINK
2017-11-22,0.1576,0.1772,0.1525,0.1695,6019157.98,1020089.58,LINK
2017-11-23,0.1687,22426.4,0.159,0.1645,7568125.53,1244635.5,LINK
2017-11-24,0.1644,0.205,0.1759,0.1932,6715736.05,1297517.82,LINK
2017-11-25,0.1932,0.1923,0.1701,0.1807,4448543.98,803999.99,LINK
2017-11-26,0.1807,0.191,0.1779,0.1806,3139979.28,567206.82,LINK
2017-11-27,0.1806,0.1873,0.1679,0.186,3384998.2,629479.04,LINK
2017-11-28,0.1859,0.1905,0.1749,0.1772,3689275.45,653675.42,LINK
2017-11-29,0.1772,0.1687,0.1314,0.1495,7121549.89,1064449.33,LINK
2017-11-30,0.1494,0.1707,0.1455,0.1679,6435214.95,1080164.34,LINK
2017-12-01,0.168,0.1841,0.1664,0.1778,6013542.44,1069489.12,LINK
2017-12-02,0.1778,0.2235,0.1667,0.2076,9630588.97,1999245.44,LINK
2017-12-03,0.2076,0.2499,0.1927,0.2336,10374022.47,2423166.32,LINK
2017-12-04,0.2336,0.2568,0.2101,0.2284,8261034.73,1887003.36,LINK
2017-12-05,0.2284,0.3178,0.213,0.3169,9895813.3,3135627.78,LINK
2017-12-06,0.3169,0.3376,0.2512,0.2863,14632495.1,4188880.19,LINK
2017-12-07,0.2862,0.3028,0.2321,0.2585,8409883.5,2173616.43,LINK
2017-12-08,0.2582,0.2812,0.2123,0.243,6445187.3,1566413.31,LINK
2017-12-09,0.2431,0.2728,0.2227,0.2431,5632621.13,1369275.14,LINK
2017-12-10,0.2428,0.2584,0.21,0.2549,4863388.76,1239514.92,LINK
2017-12-11,0.2549,0.3304,0.2494,0.2515,5914900.07,1487668.94,LINK
2017-12-12,0.2515,0.349,0.2035,0.2285,8235423.56,1881538.66,LINK
2017-12-13,0.2304,0.2928,0.233,0.2604,7414353.9,1930779.5,LINK
2017-12-14,0.2629,0.3815,0.2384,0.321,10096846.79,3240974.98,LINK
2017-12-15,0.321,0.3534,0.2737,0.3219,7552070.78,2430865.13,LINK
2017-12-16,0.3218,0.3568,0.2841,0.3404,6504363.69,2214003.31,LINK
2017-12-17,0.3401,0.4378,0.3483,0.4138,9159649.65,3789894.94,LINK
2017-12-18,0.4138,0.488,0.3812,0.4846,8599563.26,4167028.75,LINK
2017-12-19,0.4847,0.53,0.3998,0.4258,7445480.41,3170518.23,LINK
2017-12-20,0.4299,0.4228,0.3436,0.3782,8113486.65,3068254.89,LINK
2017-12-21,0.3747,0.4736,0.3552,0.4295,8645780.59,3713424.14,LINK
2017-12-22,0.4295,0.4684,0.3401,0.44,10940346.8,4813998.61,LINK
2017-12-23,0.44,0.6794,0.456,0.5895,12883700.39,7594816.46,LINK
2017-12-24,0.5895,0.6482,0.4595,0.5425,9712212.73,5268733.28,LINK
2017-12-25,0.5426,0.606,0.4891,0.5014,4704270.88,2358500.14,LINK
2017-12-26,0.5014,0.565,0.437,0.5137,5755593.1,2956898.31,LINK
2017-12-27,0.5138,0.555,0.4447,0.5027,3613981.31,1816803.47,LINK
2017-12-28,0.5027,0.516,0.4387,0.5053,2548813.27,1287829.83,LINK
2017-12-29,0.5053,0.5243,0.4659,0.4898,2718474.31,1331408.46,LINK
