date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-07-18,0.076,0.2,0.02023,0.04399,11359.53,734.34,MANA
2017-07-19,0.04399,0.044,0.03006,0.04396,5367.72,204.46,MANA
2017-07-20,0.04396,0.044,0.02504,0.044,2511.83,82.74,MANA
2017-07-21,0.044,0.044,0.0255,0.0255,0.75,0.02596,MANA
2017-07-22,0.04389,0.044,0.04389,0.044,835.65,36.75,MANA
2017-07-23,0.0255,0.044,0.0255,0.04399,113.94,4.996,MANA
2017-07-24,0.04399,0.044,0.035,0.0355,322.22,14.11,MANA
2017-07-25,0.0355,0.0381,0.0355,0.0355,149.92,5.378,MANA
2017-07-26,0.0355,0.0394,0.03007,0.039,1403.18,52.16,MANA
2017-07-27,0.039,0.0394,0.039,0.0394,437.39,17.23,MANA
2017-07-28,0.0394,0.04587,0.03122,0.03123,22.26,0.9757,MANA
2017-07-29,0.03123,0.04587,0.02504,0.04584,1693.49,52.07,MANA
2017-07-30,0.04584,0.04584,0.02505,0.04548,573.84,14.55,MANA
2017-07-31,0.04548,0.04548,0.02504,0.0315,2460.98,61.74,MANA
2017-08-01,0.0315,0.044,0.02505,0.04399,75.88,2.667,MANA
2017-08-02,0.04399,0.04399,0.02505,0.02512,270.58,7.558,MANA
2017-08-03,0.02512,0.03999,0.02024,0.02025,1122.73,32.47,MANA
2017-08-04,0.02025,0.0357,0.02025,0.0203,1055.49,27.99,MANA
2017-08-05,0.0203,0.03,0.0203,0.02999,916.65,19.44,MANA
2017-08-06,0.02999,0.02999,0.02161,0.029,121.9,3.251,MANA
2017-08-07,0.029,0.02999,0.02422,0.02425,250.79,6.448,MANA
2017-08-08,0.02425,0.05832,0.02425,0.05831,4663.18,229.1,MANA
2017-08-09,0.05831,0.05875,0.03001,0.05807,2506.85,127.08,MANA
2017-08-10,0.05807,0.06599,0.05071,0.0536,7225.62,436.74,MANA
2017-08-11,0.0536,0.06382,0.0251,0.0251,2979.57,116.01,MANA
2017-08-12,0.0251,0.04898,0.0251,0.048,4080.29,139.01,MANA
2017-08-13,0.048,0.048,0.03001,0.0475,86.65,4.117,MANA
2017-08-14,0.0475,0.0475,0.0475,0.0475,1.57,0.07458,MANA
2017-08-15,0.0475,0.04913,0.03109,0.04913,1567.59,75.73,MANA
2017-08-16,0.04913,0.04913,0.02701,0.049,4456.95,177.17,MANA
2017-08-17,0.049,0.2747,0.04,0.2047,183736.95,20409.95,MANA
2017-08-18,0.2047,0.5251,0.16,0.3041,45643.4,9801.85,MANA
2017-08-19,0.3041,0.45,0.16,0.32,14259.29,3369.44,MANA
2017-08-20,0.2,0.3498,0.19,0.212,3728.87,831.19,MANA
2017-08-21,0.212,0.24,0.16,0.1601,8882.48,1487.53,MANA
2017-08-22,0.1601,0.2237,0.16,0.18,4549.34,763.15,MANA
2017-08-23,0.18,0.2198,0.15,0.17,8619.91,1373.16,MANA
2017-08-24,0.17,0.21,0.16,0.205,2828.37,577.2,MANA
2017-08-25,0.205,0.205,0.15,0.204,5050.91,761.49,MANA
2017-08-26,0.204,0.204,0.14,0.195,3986.86,590.27,MANA
2017-08-27,0.195,0.195,0.14,0.14,2059.42,381.9,MANA
2017-08-28,0.14,0.191,0.14,0.19,979.84,143.33,MANA
2017-08-29,0.19,0.19,0.15,0.15,434.96,76.94,MANA
2017-08-30,0.15,0.19,0.15,0.19,225.51,39.23,MANA
2017-08-31,0.19,0.19,0.14,0.14,1560.35,243.95,MANA
2017-09-01,0.14,0.177,0.14,0.177,1123.63,158.22,MANA
2017-09-02,0.177,0.177,0.14,0.14,2100.03,294.07,MANA
2017-09-03,0.14,0.1769,0.14,0.14,20.94,2.932,MANA
2017-09-04,0.14,0.14,0.14,0.14,1707.52,239.05,MANA
2017-09-05,0.155,0.155,0.14,0.14,145.0,21.4,MANA
2017-09-06,0.14,0.14,0.14,0.14,30.0,4.2,MANA
2017-09-07,0.14,0.145,0.14,0.141,1567.36,219.6,MANA
2017-09-08,0.143,0.143,0.143,0.143,318.66,45.57,MANA
2017-09-09,0.143,0.1532,0.14,0.14,6718.2,951.56,MANA
2017-09-10,0.1138,0.1138,0.105,0.105,51.91,5.707,MANA
2017-09-11,0.135,0.135,0.105,0.135,190.21,25.24,MANA
2017-09-12,0.135,0.1769,0.123,0.123,1027.32,163.03,MANA
2017-09-13,0.123,0.1769,0.123,0.1262,126.98,22.44,MANA
2017-09-14,0.1262,0.1769,0.1217,0.1217,203.83,25.44,MANA
2017-09-15,0.1217,0.1749,0.096,0.1749,1145.61,124.08,MANA
2017-09-16,0.02344,36392070.0,0.01781,0.02647,24548003.13,649711.02,MANA
2017-09-17,0.02647,2.7115940584189005e+18,0.01809,0.02481,19574659.58,485576.84,MANA
2017-09-18,0.02481,10711080.0,0.0238,0.0241,12289404.16,296173.78,MANA
2017-09-19,0.1,0.1,0.00222,0.0226,150934.42,3652.66,MANA
2017-09-20,0.0226,0.0239,0.01873,0.02369,315150.67,7223.92,MANA
2017-09-21,0.02369,0.025,0.019,0.02315,219296.12,4814.86,MANA
2017-09-22,0.02315,0.02319,0.01701,0.02305,4807.81,94.39,MANA
