date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2016-09-07,0.1868,1.472,0.1876,0.6132,33387.62,20473.62,NEO
2016-09-08,0.6132,0.6256,0.5812,0.5812,107.64,62.56,NEO
2016-09-09,0.5812,0.5789,0.2493,0.5608,2822.47,1582.97,NEO
2016-09-10,0.5608,0.5621,0.3747,0.3997,1849.95,739.41,NEO
2016-09-11,0.3997,0.393,0.3876,0.393,2000.0,785.96,NEO
2016-09-12,0.393,0.3945,0.383,0.383,2700.0,1034.17,NEO
2016-09-13,0.383,0.3944,0.3834,0.3894,1552.0,604.43,NEO
2016-09-14,0.3894,0.3901,0.3048,0.3901,609.8,237.89,NEO
2016-09-15,0.3901,0.3892,0.3041,0.3041,379.68,115.44,NEO
2016-09-16,0.3041,0.3944,0.3039,0.3944,900.0,355.0,NEO
2016-09-17,0.3944,0.394,0.394,0.394,1709.75,673.63,NEO
2016-09-18,0.394,0.3963,0.3963,0.3963,470.58,186.51,NEO
2016-09-19,0.3963,0.3964,0.3049,0.3049,1399.74,426.82,NEO
2016-09-20,0.3049,0.396,0.3046,0.3838,39.0,14.97,NEO
2016-09-21,0.3838,0.3762,0.3762,0.3762,100.39,37.77,NEO
2016-09-25,0.3796,0.391,0.3789,0.391,100.0,39.1,NEO
2016-09-26,0.391,0.3943,0.3943,0.3943,1.0,0.3943,NEO
2016-09-29,0.393,0.3931,0.381,0.381,4.994,1.903,NEO
2016-09-30,0.381,0.3831,0.3831,0.3831,9.804,3.756,NEO
2016-10-01,0.3831,0.3987,0.3864,0.3987,200.0,79.74,NEO
2016-10-02,0.3987,0.3969,0.3847,0.3847,9.804,3.772,NEO
2016-10-05,0.3836,0.3977,0.3854,0.3977,2310.77,918.95,NEO
2016-10-09,0.4015,0.4003,0.4003,0.4003,245.32,98.19,NEO
2016-10-18,0.4143,0.413,0.3749,0.3749,6764.79,2535.79,NEO
2016-10-20,0.3711,0.3707,0.1885,0.1885,10.0,1.885,NEO
2016-10-21,0.1885,0.1891,0.09898,0.1828,116.0,21.21,NEO
2016-10-22,0.1828,0.1901,0.09963,0.09963,2304.99,229.65,NEO
2016-10-23,0.09963,0.3722,0.09926,0.111,357.55,39.69,NEO
2016-10-24,0.111,0.3187,0.09887,0.09887,580.28,57.37,NEO
2016-10-25,0.09887,0.319,0.09895,0.09908,2120.94,210.15,NEO
2016-10-26,0.09908,0.1844,0.1425,0.1654,41921.38,6932.19,NEO
2016-10-27,0.1654,0.1814,0.1249,0.1288,254213.83,32730.03,NEO
2016-10-28,0.1288,0.1716,0.1215,0.1578,191472.97,30221.17,NEO
2016-10-29,0.1578,0.1759,0.1501,0.1614,195050.3,31488.08,NEO
2016-10-30,0.1614,0.1904,0.1534,0.1813,140957.14,25554.15,NEO
2016-10-31,0.1813,0.2612,0.1793,0.2468,338118.27,83461.15,NEO
2016-11-01,0.2468,0.2565,0.1826,0.2065,220426.22,45527.98,NEO
2016-11-02,0.2065,0.2193,0.1907,0.1919,50010.14,9596.26,NEO
2016-11-03,0.1919,0.1851,0.1486,0.1746,92361.04,16130.1,NEO
2016-11-04,0.1746,0.1886,0.1644,0.1712,19148.44,3277.58,NEO
2016-11-05,0.1712,0.1963,0.1643,0.1868,25218.99,4711.7,NEO
2016-11-06,0.1868,0.1977,0.1704,0.1704,11350.91,1933.95,NEO
2016-11-07,0.1704,0.189,0.1481,0.1834,109959.01,20166.92,NEO
2016-11-08,0.1834,0.1848,0.1493,0.1654,79154.78,13094.29,NEO
2016-11-09,0.1654,0.1718,0.1443,0.1585,28090.56,4452.24,NEO
2016-11-10,0.1585,0.1744,0.1501,0.1694,38177.34,6465.45,NEO
2016-11-11,0.1694,0.1973,0.1624,0.1685,168115.65,28330.59,NEO
2016-11-12,0.1685,0.1831,0.166,0.1775,48702.53,8646.96,NEO
2016-11-13,0.1775,0.179,0.1657,0.1722,53717.35,9249.76,NEO
2016-11-14,0.1722,0.1902,0.1683,0.1832,138107.66,25299.33,NEO
2016-11-15,0.1832,0.192,0.1707,0.1773,52596.49,9324.16,NEO
2016-11-16,0.1773,0.1843,0.1259,0.1628,136191.54,22170.29,NEO
2016-11-17,0.1628,0.1758,0.1604,0.1735,54848.98,9518.54,NEO
2016-11-18,0.1735,0.1805,0.1531,0.1653,78563.07,12986.65,NEO
2016-11-19,0.1653,0.1691,0.1603,0.1624,5479.37,890.08,NEO
2016-11-20,0.1624,0.1712,0.1563,0.1684,30436.67,5124.28,NEO
2016-11-21,0.1684,0.1715,0.1671,0.1701,12701.58,2160.03,NEO
2016-11-22,0.1701,0.1745,0.1574,0.158,36396.09,5749.16,NEO
2016-11-23,0.158,0.167,0.1572,0.1593,29416.13,4686.87,NEO
2016-11-24,0.1593,0.1749,0.1515,0.1658,33813.0,5606.61,NEO
2016-11-25,0.1658,0.1786,0.1629,0.1695,105052.44,17811.57,NEO
2016-11-26,0.1695,0.1818,0.1673,0.1673,38024.96,6361.98,NEO
2016-11-27,0.1673,0.1761,0.1662,0.167,38356.24,6406.92,NEO
2016-11-28,0.167,0.1709,0.1628,0.1656,30143.45,4991.13,NEO
2016-11-29,0.1656,0.1654,0.1355,0.1459,85791.7,12519.24,NEO
2016-11-30,0.1459,0.1485,0.1385,0.1426,42971.1,6125.88,NEO
2016-12-01,0.1426,0.1445,0.133,0.1355,106418.3,14424.86,NEO
2016-12-02,0.1355,0.1387,0.1326,0.1354,128796.48,17436.09,NEO
2016-12-03,0.1354,0.1445,0.1336,0.1418,70666.64,10018.16,NEO
2016-12-04,0.1418,0.1483,0.1412,0.1438,38930.32,5597.2,NEO
2016-12-05,0.1438,0.1415,0.1373,0.1377,37211.07,5122.74,NEO
2016-12-06,0.1377,0.1391,0.1327,0.1339,63292.99,8474.92,NEO
2016-12-07,0.1339,0.14,0.1344,0.1373,26706.26,3667.88,NEO
2016-12-08,0.1373,0.1383,0.1366,0.1366,13591.49,1857.11,NEO
2016-12-09,0.1366,0.1375,0.1293,0.1313,63148.33,8290.73,NEO
2016-12-10,0.1313,0.1299,0.1264,0.1284,41496.46,5328.42,NEO
2016-12-11,0.1284,0.1254,0.1219,0.1224,20319.88,2487.25,NEO
2016-12-12,0.1224,0.13,0.1255,0.1281,42719.55,5470.59,NEO
2016-12-13,0.1281,0.1411,0.1214,0.1214,39142.14,4752.07,NEO
2016-12-14,0.1214,0.1254,0.1182,0.1191,61750.52,7355.42,NEO
2016-12-15,0.1191,0.1385,0.1102,0.136,20011.13,2722.5,NEO
2016-12-16,0.136,0.1172,0.1103,0.1103,45547.7,5022.5,NEO
2016-12-17,0.1103,0.1135,0.0991,0.1023,6480.74,663.19,NEO
2016-12-18,0.1023,0.1152,0.1001,0.1105,22654.34,2502.43,NEO
2016-12-19,0.1105,0.1174,0.09912,0.109,23554.06,2567.18,NEO
2016-12-20,0.109,0.1195,0.1079,0.1195,51366.9,6140.67,NEO
2016-12-21,0.1195,0.1629,0.124,0.1629,43023.09,7006.6,NEO
2016-12-22,0.1629,0.1935,0.1462,0.1463,34659.42,5071.07,NEO
2016-12-23,0.1463,0.1619,0.1114,0.1114,47356.26,5277.2,NEO
2016-12-24,0.1114,0.1373,0.1081,0.1295,5963.24,772.08,NEO
2016-12-25,0.1295,0.1514,0.1292,0.136,5456.68,741.98,NEO
2016-12-26,0.136,0.1707,0.1375,0.1623,16191.77,2628.53,NEO
2016-12-27,0.1623,0.1673,0.1481,0.1637,6143.95,1005.63,NEO
2016-12-28,0.1637,0.1719,0.1379,0.1458,7521.78,1096.87,NEO
2016-12-29,0.1458,0.1577,0.136,0.1382,30425.08,4204.28,NEO
2016-12-30,0.1382,0.1449,0.1344,0.1449,6676.19,967.45,NEO
2016-12-31,0.1449,0.1438,0.1351,0.1351,1053.25,142.26,NEO
2017-01-01,0.1351,0.1645,0.1367,0.1381,158.21,21.84,NEO
2017-01-02,0.1381,0.1829,0.1424,0.1508,17502.08,2639.81,NEO
2017-01-03,0.1508,0.1532,0.1385,0.1385,40860.45,5657.63,NEO
2017-01-04,0.1385,0.1521,0.1215,0.1267,40982.7,5192.99,NEO
2017-01-05,0.1267,0.1435,0.1095,0.1432,42786.51,6125.27,NEO
2017-01-06,0.1432,0.1418,0.1152,0.1394,61057.44,8510.98,NEO
2017-01-07,0.1394,0.1537,0.1247,0.1247,22586.99,2816.79,NEO
2017-01-08,0.1247,0.1465,0.1285,0.1312,44133.93,5788.84,NEO
2017-01-09,0.1312,0.1462,0.1215,0.1216,61608.42,7489.14,NEO
2017-01-10,0.1216,0.1373,0.124,0.1259,22979.09,2892.8,NEO
2017-01-11,0.1259,0.1219,0.09441,0.1133,81253.48,9209.07,NEO
2017-01-12,0.1133,0.1348,0.1167,0.1272,35751.64,4547.15,NEO
2017-01-13,0.1272,0.1317,0.1228,0.1317,8516.02,1121.78,NEO
2017-01-14,0.1317,0.1295,0.118,0.1253,55982.72,7015.83,NEO
2017-01-15,0.1253,0.1337,0.1176,0.1247,28845.17,3598.02,NEO
2017-01-16,0.1247,0.1258,0.1185,0.1187,36888.4,4379.51,NEO
2017-01-17,0.1187,0.1435,0.1152,0.1152,41352.77,4762.04,NEO
2017-01-18,0.1152,0.1245,0.1132,0.1189,9309.57,1106.51,NEO
2017-01-19,0.1189,0.1271,0.1168,0.1192,42566.02,5071.85,NEO
2017-01-20,0.1192,0.1302,0.1136,0.1302,77812.38,10130.1,NEO
2017-01-21,0.1302,0.1341,0.115,0.1208,122894.87,14842.63,NEO
2017-01-22,0.1208,0.1206,0.1112,0.1149,43780.02,5028.35,NEO
2017-01-23,0.1149,0.1318,0.1124,0.1198,48967.77,5865.84,NEO
2017-01-24,0.1198,0.1274,0.11,0.1205,51505.18,6205.22,NEO
2017-01-25,0.1205,0.1297,0.1145,0.1238,51764.25,6407.71,NEO
2017-01-26,0.1238,0.1419,0.1247,0.1323,34100.57,4511.45,NEO
2017-01-27,0.1323,0.1368,0.1278,0.1315,29824.26,3920.67,NEO
2017-01-28,0.1315,0.1398,0.1279,0.1341,42180.16,5656.46,NEO
2017-01-29,0.1341,0.1418,0.1299,0.1381,38968.36,5381.42,NEO
2017-01-30,0.1381,0.1519,0.1363,0.1517,48624.29,7378.07,NEO
2017-01-31,0.1517,0.1637,0.1448,0.1458,83612.67,12189.81,NEO
2017-02-01,0.1458,0.1508,0.1405,0.1462,29786.45,4354.35,NEO
2017-02-02,0.1462,0.1473,0.1367,0.146,20100.75,2934.25,NEO
2017-02-03,0.146,0.1473,0.1323,0.1323,46245.42,6118.29,NEO
2017-02-04,0.1323,0.1491,0.1349,0.1444,63435.93,9157.35,NEO
2017-02-05,0.1444,0.1422,0.1275,0.1302,24771.39,3224.34,NEO
2017-02-06,0.1302,0.1374,0.1222,0.1329,63001.53,8372.88,NEO
2017-02-07,0.1329,0.1361,0.1272,0.1322,37446.42,4952.09,NEO
2017-02-08,0.1322,0.133,0.1243,0.1267,37911.66,4801.85,NEO
2017-02-09,0.1267,0.1322,0.1127,0.1246,72919.67,9087.37,NEO
2017-02-10,0.1246,0.1338,0.1199,0.1271,17627.13,2240.33,NEO
2017-02-11,0.1271,0.1282,0.1219,0.1265,2214.25,280.2,NEO
2017-02-12,0.1265,0.1369,0.1168,0.1213,27395.61,3322.44,NEO
2017-02-13,0.1213,0.1303,0.1175,0.1175,28168.38,3308.45,NEO
2017-02-14,0.1175,0.125,0.113,0.1171,41461.02,4853.77,NEO
2017-02-15,0.1171,0.1225,0.1109,0.1126,38856.54,4375.82,NEO
2017-02-16,0.1126,0.127,0.1146,0.127,61363.94,7795.1,NEO
2017-02-17,0.127,0.1312,0.1154,0.1229,227076.75,27904.53,NEO
2017-02-18,0.1229,0.131,0.1187,0.1231,82988.97,10217.33,NEO
2017-02-19,0.1231,0.123,0.1183,0.123,35553.69,4374.34,NEO
2017-02-20,0.123,0.1298,0.1185,0.1213,84015.37,10193.86,NEO
2017-02-21,0.1213,0.1309,0.1164,0.127,87762.58,11146.72,NEO
2017-02-22,0.127,0.1272,0.116,0.121,41038.29,4966.03,NEO
