date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-05-11,3.248,3.457,2.906,3.251,9337509.38,30353710.66,OKB
2018-05-12,3.257,4.016,3.261,3.567,16801653.35,59923934.74,OKB
2018-05-13,3.56,3.987,3.574,3.795,13394830.98,50830115.5,OKB
2018-05-14,3.798,4.037,3.71,3.895,14971438.8,58317954.36,OKB
2018-05-15,3.894,4.937,3.741,4.882,17980847.58,87775620.57,OKB
2018-05-16,4.863,5.47,4.539,5.383,17923844.82,96485602.42,OKB
2018-05-17,5.356,5.773,4.745,5.62,19878349.1,111711134.49,OKB
2018-05-18,5.623,6.456,5.429,6.302,18974026.34,119583242.98,OKB
2018-05-19,6.289,6.578,4.285,4.605,17196887.74,79192816.79,OKB
2018-05-20,4.609,5.114,3.753,5.084,3828629.73,19464758.72,OKB
2018-05-21,5.085,5.453,3.854,3.863,1099940.87,4249476.19,OKB
2018-05-22,3.871,3.923,3.397,3.646,1322302.94,4821618.47,OKB
2018-05-23,3.636,3.573,3.197,3.534,763571.36,2698162.81,OKB
2018-05-24,3.537,4.098,3.641,3.973,1029417.21,4090367.11,OKB
2018-05-25,3.976,3.909,3.634,3.801,905644.72,3442360.11,OKB
2018-05-26,3.801,3.829,3.649,3.744,271552.49,1016740.84,OKB
2018-05-27,3.74,3.876,3.605,3.8,297538.69,1130667.39,OKB
2018-05-28,3.8,3.596,3.39,3.543,498978.04,1768002.74,OKB
2018-05-29,3.543,3.938,3.473,3.709,472522.83,1752806.77,OKB
2018-05-30,3.695,3.788,3.581,3.719,499094.81,1856021.8,OKB
2018-05-31,3.719,4.233,3.746,4.097,937812.17,3842383.9,OKB
2018-06-01,4.11,4.489,4.027,4.4,692124.73,3045678.26,OKB
2018-06-02,4.4,4.676,4.379,4.496,681533.33,3063972.72,OKB
2018-06-03,4.496,5.014,4.404,4.906,769075.96,3773003.6,OKB
2018-06-04,4.89,4.869,4.553,4.762,612524.11,2916729.21,OKB
2018-06-05,4.762,5.109,4.745,4.844,853014.19,4131952.73,OKB
2018-06-06,4.844,4.873,4.759,4.787,466856.52,2234720.08,OKB
2018-06-07,4.787,4.784,4.654,4.733,438312.67,2074430.95,OKB
2018-06-08,4.733,5.066,4.642,4.997,625319.78,3124878.8,OKB
2018-06-09,5.006,5.222,4.789,5.148,751840.48,3870598.75,OKB
2018-06-10,5.157,4.645,3.962,4.211,632725.93,2664101.23,OKB
2018-06-11,4.206,4.515,4.153,4.34,670277.72,2909023.17,OKB
2018-06-12,4.346,4.129,3.787,4.062,922148.37,3745830.69,OKB
2018-06-13,4.056,4.126,3.86,3.965,744416.6,2951404.28,OKB
2018-06-14,3.97,4.477,4.071,4.232,1884826.13,7976463.61,OKB
2018-06-15,4.224,4.017,3.818,3.996,1003777.37,4011214.29,OKB
2018-06-16,3.958,4.039,3.891,4.027,667482.09,2688272.1,OKB
2018-06-17,4.027,4.024,3.878,3.95,680005.63,2685736.46,OKB
2018-06-18,3.95,4.161,4.017,4.02,769859.69,3095168.69,OKB
2018-06-19,4.02,5.519,4.119,5.296,1810162.48,9586972.03,OKB
2018-06-20,5.294,5.294,4.879,4.948,714665.42,3535939.01,OKB
2018-06-21,4.948,4.906,4.554,4.685,637356.27,2985766.0,OKB
2018-06-22,4.696,4.351,4.067,4.191,1098379.61,4602916.8,OKB
2018-06-23,4.173,4.332,3.861,3.967,765437.27,3036118.95,OKB
2018-06-24,3.967,3.87,3.61,3.756,963668.23,3619357.18,OKB
2018-06-25,3.756,4.036,3.754,3.866,728442.35,2816504.97,OKB
2018-06-26,3.866,3.716,3.566,3.677,810949.99,2981680.83,OKB
2018-06-27,3.685,3.905,3.723,3.843,2473745.07,9507158.9,OKB
2018-06-28,3.834,4.354,3.618,3.654,722098.16,2638816.68,OKB
2018-06-29,3.653,3.849,3.722,3.787,474483.25,1796713.86,OKB
2018-06-30,3.777,3.951,3.764,3.81,540247.8,2058146.84,OKB
2018-07-01,3.818,3.878,3.673,3.778,737503.33,2786510.31,OKB
2018-07-02,3.78,4.495,3.935,4.037,1658666.61,6695427.71,OKB
