date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-10-04,1.266,1.382,1.184,1.209,67302.8,81349.39,ONGAS
2018-10-05,1.209,1.348,1.075,1.173,14061.45,16499.07,ONGAS
2018-10-06,1.173,1.303,1.081,1.088,17254.39,18772.76,ONGAS
2018-10-07,1.088,1.307,1.043,1.254,5038.1,6318.88,ONGAS
2018-10-08,1.254,1.264,1.004,1.064,30197.4,32130.37,ONGAS
2018-10-09,1.064,1.074,0.9981,1.048,3880.23,4065.79,ONGAS
2018-10-10,1.048,1.057,0.9549,0.9582,2017.01,1932.71,ONGAS
2018-10-11,0.9582,0.996,0.8072,0.824,2799.13,2306.47,ONGAS
2018-10-12,0.824,0.8332,0.8295,0.8295,214.11,177.6,ONGAS
2018-10-13,0.8297,0.9244,0.8317,0.9244,345.06,318.98,ONGAS
2018-10-14,0.9244,1.168,0.9216,1.067,26143.93,27901.17,ONGAS
2018-10-15,1.067,1.124,0.9436,1.058,5122.46,5419.45,ONGAS
2018-10-16,1.058,1.172,0.9499,0.9776,4614.07,4510.64,ONGAS
2018-10-17,0.9776,1.103,0.9763,0.977,61.63,60.21,ONGAS
2018-10-18,0.9773,1.09,0.9441,0.9499,11944.04,11346.22,ONGAS
2018-10-19,0.95,1.001,0.9465,0.9484,13567.9,12867.75,ONGAS
2018-10-20,0.9484,1.005,0.9515,1.004,3470.95,3485.14,ONGAS
2018-10-21,1.004,1.007,0.9504,0.9524,15771.74,15020.91,ONGAS
2018-10-22,0.9524,1.002,0.9478,0.9478,8475.84,8033.81,ONGAS
2018-10-23,0.948,0.9958,0.9459,0.9673,1191.4,1152.44,ONGAS
2018-10-24,0.9674,0.9695,0.9468,0.9468,1473.12,1394.79,ONGAS
2018-10-25,0.9469,0.9746,0.9067,0.9106,13493.47,12287.21,ONGAS
2018-10-26,0.9106,0.9098,0.873,0.8898,22124.82,19686.74,ONGAS
2018-10-27,0.8898,0.9129,0.8916,0.9013,43707.17,39393.04,ONGAS
2018-10-28,0.9013,0.9014,0.8735,0.8994,5307.91,4774.11,ONGAS
2018-10-29,0.8994,0.8776,0.8208,0.8208,5113.08,4196.86,ONGAS
2018-10-30,0.8209,0.8713,0.776,0.776,12187.59,9457.82,ONGAS
2018-10-31,0.776,0.9495,0.7801,0.8277,685.34,567.26,ONGAS
2018-11-01,0.8277,0.9349,0.8328,0.9349,19855.98,18562.57,ONGAS
2018-11-02,0.9349,0.9368,0.8339,0.8339,50057.84,41741.41,ONGAS
2018-11-03,0.8339,0.8697,0.8315,0.8359,32977.26,27566.86,ONGAS
2018-11-04,0.836,0.8834,0.8161,0.8834,25296.55,22346.95,ONGAS
