date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-11-02,0.1009,0.172,0.06884,0.1194,281593.81,33628.43,POWR
2017-11-03,0.1229,0.1359,0.07867,0.1055,313925.01,33117.13,POWR
2017-11-04,0.1045,0.1471,0.09956,0.1384,149802.31,20738.55,POWR
2017-11-05,0.1473,0.1752,0.1279,0.1496,624745.23,93485.87,POWR
2017-11-06,0.1478,0.2784,0.1253,0.2282,1038427.58,236962.06,POWR
2017-11-07,0.2282,0.2379,0.1669,0.184,888597.37,163467.46,POWR
2017-11-08,0.1836,0.2082,0.1529,0.1812,23714866.58,4297032.38,POWR
2017-11-09,0.1812,0.2032,0.1688,0.1887,18000013.99,3396967.09,POWR
2017-11-10,0.1887,0.1957,0.1614,0.1693,21143311.85,3578850.67,POWR
2017-11-11,0.1693,0.174,0.1561,0.1632,15038377.9,2454082.76,POWR
2017-11-12,0.1646,0.1598,0.1288,0.1499,28181838.27,4224240.98,POWR
2017-11-13,0.1479,0.1843,0.16,0.1738,16564571.52,2879308.36,POWR
2017-11-14,0.1738,0.3169,0.173,0.2755,176927042.97,48742201.76,POWR
2017-11-15,0.2765,0.3106,0.2311,0.2503,62452331.57,15628785.86,POWR
2017-11-16,0.2502,0.2968,0.2413,0.2453,55287045.83,13560277.31,POWR
2017-11-17,0.2452,0.2885,0.2271,0.2596,63338515.17,16440481.61,POWR
2017-11-18,0.263,0.3078,0.2596,0.3057,41108823.3,12567458.69,POWR
2017-11-19,0.3058,0.4563,0.3052,0.4158,140584166.0,58455527.16,POWR
2017-11-20,0.4157,0.7736,0.4097,0.5603,298828304.01,167436227.76,POWR
2017-11-21,0.5643,0.6465,0.4591,0.6333,132092712.51,83648457.13,POWR
2017-11-22,0.6333,0.9667,0.6277,0.858,215258083.46,184700069.61,POWR
2017-11-23,0.858,0.8598,0.7029,0.7467,100664449.95,75165092.21,POWR
2017-11-24,0.7444,0.8586,0.7277,0.7893,50366935.33,39755981.96,POWR
2017-11-25,0.7937,0.868,0.7884,0.7905,35774815.58,28281727.04,POWR
2017-11-26,0.7933,0.8562,0.6856,0.7691,49759722.74,38272311.91,POWR
2017-11-27,0.769,0.8102,0.6636,0.6724,54817090.78,36857337.51,POWR
2017-11-28,0.6723,0.7781,0.6182,0.6278,61223993.58,38439166.94,POWR
2017-11-29,0.6287,0.643,0.498,0.5357,68512586.07,36700238.17,POWR
2017-11-30,0.5317,0.7397,0.5057,0.6541,106139364.67,69425645.67,POWR
2017-12-01,0.6541,0.826,0.6779,0.6996,67729596.19,47382764.16,POWR
2017-12-02,0.6958,0.7402,0.6674,0.7026,31634922.57,22225480.47,POWR
2017-12-03,0.7025,0.7836,0.6992,0.7131,29153693.99,20790145.7,POWR
2017-12-04,0.713,0.7611,0.712,0.7385,24028949.62,17744586.39,POWR
2017-12-05,0.7371,0.7406,0.6768,0.692,24984888.67,17288980.31,POWR
2017-12-06,0.6888,0.8206,0.5736,0.6075,58792328.55,35713752.88,POWR
2017-12-07,0.61,0.7665,0.4878,0.4903,71926079.16,35268522.87,POWR
2017-12-08,0.492,0.6162,0.419,0.5508,83328396.91,45893445.85,POWR
2017-12-09,0.5509,0.6767,0.5013,0.5845,74081508.1,43303151.34,POWR
2017-12-10,0.5835,0.6095,0.4613,0.4974,59173294.99,29433896.84,POWR
2017-12-11,0.4971,0.5835,0.506,0.5448,63356512.78,34517212.51,POWR
2017-12-12,0.5417,0.5923,0.5265,0.5745,57079209.35,32793807.02,POWR
2017-12-13,0.5745,0.677,0.5248,0.6249,68617512.61,42880818.51,POWR
2017-12-14,0.6274,0.8064,0.6199,0.7198,94036886.03,67688911.55,POWR
2017-12-15,0.7196,0.7959,0.5704,0.6676,60212859.34,40196654.49,POWR
