date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-06-10,2811.43,2900.25,0.435,0.7033,3674940.53,2584624.72,QRL
2017-06-11,0.7033,0.7612,0.5828,0.6717,1632564.31,1096597.29,QRL
2017-06-12,0.6717,0.7875,0.4384,0.7088,1835926.06,1301352.56,QRL
2017-06-13,0.7088,1.492,0.6782,1.379,2942403.52,4057612.17,QRL
2017-06-14,1.379,1.791,1.004,1.683,3059148.35,5147562.06,QRL
2017-06-15,1.683,2.402,1.103,1.746,6137897.24,10715973.16,QRL
2017-06-16,1.746,1.855,1.397,1.527,1628473.91,2486226.6,QRL
2017-06-17,1.527,1.645,1.146,1.294,2430358.19,3143825.61,QRL
2017-06-18,1.294,1.319,1.043,1.092,1724742.48,1882999.41,QRL
2017-06-19,1.092,1.138,0.7856,0.8683,2332789.39,2025469.76,QRL
2017-06-20,0.8683,1.051,0.8439,0.9296,877928.47,816125.16,QRL
2017-06-21,0.9296,0.9348,0.8298,0.8692,798485.29,694007.84,QRL
2017-06-22,0.8692,1.348,0.8642,1.211,3324455.64,4024501.77,QRL
2017-06-23,1.211,1.287,1.101,1.236,1162540.51,1437132.3,QRL
2017-06-24,1.236,1.229,1.01,1.012,701999.14,710375.77,QRL
2017-06-25,1.012,1.046,0.7882,0.9414,726844.84,684263.4,QRL
2017-06-26,0.9414,0.9814,0.7644,0.8823,510629.34,450523.28,QRL
2017-06-27,0.8823,0.933,0.8291,0.8898,533585.06,474807.2,QRL
2017-06-28,0.8898,1.038,0.8612,0.9081,716869.0,651015.84,QRL
2017-06-29,0.9081,0.9174,0.8084,0.8312,566653.98,471010.96,QRL
2017-06-30,0.8312,0.8161,0.6839,0.7583,645506.04,489501.74,QRL
2017-07-01,0.7583,0.7504,0.6263,0.6474,504531.73,326619.14,QRL
2017-07-02,0.6474,0.8477,0.6493,0.7483,499221.9,373545.63,QRL
2017-07-03,0.7483,0.7939,0.7013,0.7877,337516.95,265858.83,QRL
2017-07-04,0.7877,0.8035,0.6795,0.7226,301026.31,217534.27,QRL
2017-07-05,0.7226,0.7552,0.5377,0.6068,678731.78,411836.03,QRL
2017-07-06,0.6068,0.6507,0.549,0.5508,497158.22,273844.87,QRL
2017-07-07,0.5508,0.5606,0.4638,0.5272,618806.71,326210.54,QRL
2017-07-08,0.5272,0.5491,0.4817,0.5337,284450.77,151824.85,QRL
2017-07-09,0.5337,0.5442,0.4691,0.4807,308760.59,148417.42,QRL
2017-07-10,0.4807,0.4597,0.3631,0.368,360032.61,132496.01,QRL
