date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-10-20,0.06394,104829916.56,0.04516,0.05998,25417539.56,1524532.13,REQ
2017-10-21,0.05998,299.55,0.0,0.05377,21124091.92,1135826.05,REQ
2017-10-22,0.05308,1699.49,0.0242,0.0529,18982582.17,1004102.61,REQ
2017-10-23,0.0529,135702499.68,0.04804,0.05135,12664148.15,650286.28,REQ
2017-10-24,0.05132,46.46,0.01985,0.04362,19773508.93,862424.56,REQ
2017-10-25,0.04362,305.24,0.01517,0.04759,16320951.59,776776.27,REQ
2017-10-26,0.04759,1672.76,0.03682,0.04551,9370857.77,426497.35,REQ
2017-10-27,0.04551,0.05334,0.04161,0.05011,12551085.23,628991.06,REQ
2017-10-28,0.05012,2.11,0.04377,0.04623,3581487.89,165579.2,REQ
2017-10-29,0.04687,30009441.21,0.004737,0.04469,3103543.22,138709.39,REQ
2017-10-30,0.04469,205272200.8,0.04326,0.04495,2406771.62,108175.24,REQ
2017-10-31,0.04409,0.05007,0.0001609,0.04066,3793983.34,154253.48,REQ
2017-11-01,0.04093,0.0393,0.03285,0.0356,3195296.89,113748.29,REQ
2017-11-02,0.03531,0.03787,0.03137,0.03505,1824622.9,63944.2,REQ
2017-11-03,0.03505,0.08672,0.03563,0.04562,2787592.96,127157.72,REQ
2017-11-04,0.04562,154.82,0.01596,0.0433,983464.34,42579.85,REQ
2017-11-05,0.04329,0.05181,0.0402,0.04337,627958.33,27233.34,REQ
2017-11-06,0.04337,0.05479,0.04102,0.04895,1261803.84,61759.77,REQ
2017-11-07,0.04886,13244405.45,0.0431,0.05393,4989861.2,269113.35,REQ
2017-11-08,0.05393,12887.19,0.05105,0.05532,12231172.26,676665.14,REQ
2017-11-09,0.05532,0.07266,0.05709,0.06873,22532185.72,1548567.27,REQ
2017-11-10,0.06879,0.06472,0.05198,0.05729,17988347.24,1030624.01,REQ
2017-11-11,0.05729,0.06244,0.05307,0.056,9973120.75,558452.74,REQ
2017-11-12,0.056,0.05539,0.03991,0.04847,31788533.39,1540903.63,REQ
2017-11-13,0.04847,0.0599,0.04565,0.05757,13656074.43,786204.79,REQ
2017-11-14,0.05757,0.06326,0.05392,0.05586,11954447.61,667832.44,REQ
2017-11-15,0.05586,0.0573,0.05369,0.05624,9944553.5,559259.41,REQ
2017-11-16,0.05624,0.05642,0.04938,0.05249,15098977.37,792512.83,REQ
2017-11-17,0.05249,0.05271,0.04498,0.04548,13068067.01,594320.16,REQ
2017-11-18,0.04548,0.05373,0.04548,0.0468,8441562.56,395046.13,REQ
2017-11-19,0.0468,0.05521,0.0461,0.05191,8603625.43,446643.79,REQ
2017-11-20,0.05192,0.05589,0.04854,0.04971,10444223.18,519228.21,REQ
2017-11-21,0.04971,0.05047,0.04589,0.04589,10105957.1,463804.78,REQ
2017-11-22,0.04589,0.05941,0.04837,0.0553,14598175.6,807249.45,REQ
2017-11-23,0.0556,0.0768,0.05749,0.07176,40460216.59,2903409.16,REQ
2017-11-24,0.07195,0.08463,0.06619,0.07146,28230902.59,2017332.79,REQ
2017-11-25,0.07145,0.07104,0.06244,0.06579,11457617.46,753782.63,REQ
2017-11-26,0.06578,0.06856,0.06258,0.06446,8615072.24,555361.84,REQ
2017-11-27,0.06408,0.07461,0.06449,0.06843,16034399.54,1097307.08,REQ
2017-11-28,0.06843,0.07591,0.06588,0.07092,12722847.68,902300.12,REQ
2017-11-29,0.07092,0.06813,0.05988,0.06027,16266905.98,980344.93,REQ
2017-11-30,0.06025,0.0661,0.06001,0.06305,10616634.01,669413.28,REQ
2017-12-01,0.06312,0.06901,0.06264,0.06453,7960786.12,513700.64,REQ
2017-12-02,0.06453,0.0675,0.06237,0.0675,7032112.16,474690.8,REQ
2017-12-03,0.0675,0.07812,0.06618,0.07812,16196136.26,1265279.87,REQ
2017-12-04,0.07814,0.0988,0.07774,0.09745,28975084.86,2823572.5,REQ
2017-12-05,0.09745,0.1216,0.09256,0.107,47555850.52,5088398.58,REQ
2017-12-06,0.107,0.109,0.0834,0.1031,28324391.34,2921019.93,REQ
2017-12-07,0.1031,0.1262,0.09686,0.1212,34686589.1,4205717.19,REQ
2017-12-08,0.1211,0.1484,0.09487,0.1114,28131609.22,3135106.32,REQ
2017-12-09,0.1116,0.1345,0.1092,0.1272,13262250.23,1686949.48,REQ
2017-12-10,0.1271,0.1735,0.1072,0.1614,38873387.76,6274709.09,REQ
2017-12-11,0.1614,0.2268,0.181,0.1955,36247123.59,7084892.93,REQ
2017-12-12,0.1955,0.2566,0.1648,0.1766,27651003.88,4883274.57,REQ
2017-12-13,0.1766,0.2743,0.1797,0.2541,28512075.38,7245466.21,REQ
2017-12-14,0.2551,0.2738,0.2218,0.2631,21704172.41,5709822.86,REQ
2017-12-15,0.2631,0.2701,0.2298,0.2552,11234105.26,2867311.13,REQ
2017-12-16,0.2552,0.2658,0.2356,0.2617,10510113.55,2750306.39,REQ
2017-12-17,0.2598,0.2978,0.2569,0.2839,13146434.3,3732615.5,REQ
2017-12-18,0.2839,0.4082,0.2988,0.3537,30112801.13,10650762.25,REQ
2017-12-19,0.3538,0.3738,0.2888,0.2996,17718418.14,5307884.37,REQ
2017-12-20,0.2996,0.3197,0.2487,0.3014,16625573.67,5011728.04,REQ
2017-12-21,0.3015,0.3158,0.2727,0.2948,11262153.2,3319612.3,REQ
2017-12-22,0.2948,0.2602,0.2256,0.2552,13316251.02,3398813.81,REQ
2017-12-23,0.2552,0.3144,0.2574,0.2882,13254584.75,3819454.61,REQ
2017-12-24,0.2882,0.2927,0.2589,0.285,6567654.96,1871542.97,REQ
2017-12-25,0.2869,0.3809,0.2735,0.3254,12785344.79,4160517.4,REQ
2017-12-26,0.3254,0.3752,0.2966,0.3338,10160768.2,3391984.9,REQ
2017-12-27,0.3338,0.3366,0.296,0.3182,8219922.29,2615367.2,REQ
2017-12-28,0.3165,0.3103,0.2867,0.3024,8431176.07,2549347.45,REQ
2017-12-29,0.3024,0.3662,0.2995,0.3614,12772542.76,4615595.38,REQ
2017-12-30,0.3614,0.4011,0.3106,0.3942,18393825.64,7250344.14,REQ
2017-12-31,0.3942,0.6559,0.3928,0.6045,30520164.52,18450652.35,REQ
2018-01-01,0.6032,0.9059,0.5361,0.8091,38581471.91,31217580.69,REQ
2018-01-02,0.8091,0.949,0.6483,0.7778,21743506.15,16911132.17,REQ
2018-01-03,0.7778,0.8623,0.7343,0.7604,13974000.5,10625952.95,REQ
2018-01-04,0.757,0.8881,0.7101,0.7613,12021947.74,9152837.95,REQ
2018-01-05,0.7613,0.8008,0.6742,0.7141,14615816.25,10437575.2,REQ
2018-01-06,0.7141,1.237,0.7355,0.9814,26774045.41,26274719.93,REQ
2018-01-07,0.9814,1.12,0.9293,0.934,9169999.67,8564705.41,REQ
2018-01-08,0.9335,0.9659,0.8542,0.9224,9775440.26,9016941.45,REQ
2018-01-09,0.921,1.052,0.8394,0.8655,9005187.22,7793690.67,REQ
2018-01-10,0.8655,0.8673,0.7019,0.8431,9623756.31,8113483.39,REQ
2018-01-11,0.843,0.8521,0.6837,0.7417,11044400.65,8191602.36,REQ
2018-01-12,0.7417,0.8434,0.7579,0.7719,5215532.63,4025746.88,REQ
2018-01-13,0.7732,0.8679,0.6773,0.7667,8606105.15,6598705.93,REQ
2018-01-14,0.7647,0.8035,0.6811,0.7477,7488260.33,5599077.08,REQ
2018-01-15,0.7477,0.7401,0.5883,0.6434,6319328.81,4066088.76,REQ
2018-01-16,0.6434,0.5776,0.4097,0.5238,14913539.94,7811185.21,REQ
2018-01-17,0.5238,0.5702,0.4406,0.5636,12072307.32,6803704.92,REQ
2018-01-18,0.5637,0.647,0.5441,0.6017,17134036.47,10309621.36,REQ
2018-01-19,0.5997,0.6432,0.5594,0.5729,16021819.85,9179444.18,REQ
2018-01-20,0.5732,0.637,0.5461,0.5878,10764529.25,6327287.49,REQ
2018-01-21,0.5876,0.5402,0.4941,0.4991,10802344.55,5390932.87,REQ
2018-01-22,0.4962,0.5298,0.4438,0.4734,19434835.83,9201024.69,REQ
2018-01-23,0.4735,0.5021,0.4579,0.4858,18169421.87,8827358.24,REQ
2018-01-24,0.4858,0.5245,0.4691,0.4742,17716708.94,8401103.01,REQ
2018-01-25,0.4741,0.4738,0.4478,0.4565,17719660.25,8089578.31,REQ
2018-01-26,0.4572,0.479,0.4363,0.4435,16982215.86,7532450.64,REQ
2018-01-27,0.4435,0.4991,0.4671,0.4924,16893998.38,8319137.3,REQ
2018-01-28,0.4924,0.5542,0.4815,0.4815,18159151.54,8744499.11,REQ
2018-01-29,0.4815,0.4672,0.4449,0.4525,16389839.05,7417066.42,REQ
2018-01-30,0.4525,0.4167,0.3625,0.3989,16965111.62,6767489.06,REQ
2018-01-31,0.3989,0.4668,0.3801,0.4245,23806985.74,10106551.59,REQ
2018-02-01,0.4245,0.3937,0.3285,0.3495,15347367.64,5364216.76,REQ
2018-02-02,0.3525,0.3395,0.2853,0.3202,12958431.61,4149251.31,REQ
2018-02-03,0.3202,0.359,0.3252,0.3456,17346420.32,5995438.4,REQ
2018-02-04,0.3456,0.2993,0.2603,0.2806,19285230.88,5412125.6,REQ
2018-02-05,0.2802,0.2363,0.188,0.2033,20953921.33,4260160.6,REQ
2018-02-06,0.2033,0.3087,0.2055,0.2839,22329945.26,6338569.69,REQ
2018-02-07,0.2827,0.2782,0.2519,0.2548,22104726.42,5632028.08,REQ
2018-02-08,0.2523,0.3096,0.2704,0.2851,6018475.32,1715674.24,REQ
2018-02-09,0.283,0.3289,0.2976,0.3093,5974333.88,1847724.8,REQ
2018-02-10,0.3091,0.3073,0.2714,0.2776,5659256.08,1571007.93,REQ
2018-02-11,0.2777,0.2686,0.24,0.2559,4333508.24,1108793.5,REQ
2018-02-12,0.2557,0.3111,0.2636,0.2955,5249617.53,1551207.94,REQ
2018-02-13,0.2955,0.2948,0.2664,0.2742,5197353.17,1424903.64,REQ
2018-02-14,0.2742,0.3242,0.2967,0.3137,5193764.17,1629104.63,REQ
2018-02-15,0.3136,0.3599,0.3162,0.3448,8524949.62,2939626.15,REQ
2018-02-16,0.3448,0.3539,0.3254,0.3338,5484779.62,1831046.06,REQ
2018-02-17,0.334,0.3648,0.3463,0.3476,4225128.77,1468667.36,REQ
2018-02-18,0.3476,0.3335,0.31,0.3114,4274195.34,1330837.95,REQ
2018-02-19,0.3114,0.3354,0.3147,0.3214,4011597.95,1289360.4,REQ
2018-02-20,0.3213,0.3082,0.284,0.2941,5546890.61,1631236.2,REQ
2018-02-21,0.2941,0.284,0.2614,0.2712,3932333.21,1066386.95,REQ
2018-02-22,0.2715,0.3568,0.2539,0.2904,14513366.74,4214550.6,REQ
2018-02-23,0.2891,0.3493,0.2927,0.3032,12622683.22,3826719.03,REQ
2018-02-24,0.3032,0.3126,0.2806,0.2948,4666953.69,1375843.21,REQ
2018-02-25,0.2949,0.3024,0.2896,0.2978,2918255.26,869042.5,REQ
2018-02-26,0.2978,0.3115,0.2935,0.3,3488745.16,1046703.78,REQ
2018-02-27,0.3,0.3141,0.2969,0.3048,3840947.19,1170688.16,REQ
2018-02-28,0.3039,0.2983,0.2731,0.2737,4492649.39,1229512.79,REQ
2018-03-01,0.2734,0.3043,0.2772,0.2929,4141418.81,1212960.4,REQ
2018-03-02,0.2926,0.3028,0.2874,0.3012,4216528.07,1269896.82,REQ
2018-03-03,0.3011,0.3021,0.2825,0.2911,3725334.89,1084415.67,REQ
2018-03-04,0.2912,0.3025,0.2853,0.2984,3822875.56,1140617.43,REQ
2018-03-05,0.2985,0.2969,0.2863,0.2944,3953348.96,1163901.4,REQ
2018-03-06,0.2945,0.283,0.2623,0.2692,3780730.31,1017688.29,REQ
2018-03-07,0.2697,0.2495,0.2211,0.2386,4857843.48,1159246.63,REQ
2018-03-08,0.2388,0.227,0.2079,0.2112,3840355.15,811030.88,REQ
2018-03-09,0.2113,0.2274,0.202,0.2125,4458819.7,947404.28,REQ
2018-03-10,0.2124,0.2071,0.1919,0.1944,2886013.6,561004.3,REQ
2018-03-11,0.1944,0.2214,0.2011,0.2196,3114583.83,684080.23,REQ
2018-03-12,0.2201,0.2185,0.2015,0.204,10360372.64,2113699.96,REQ
2018-03-13,0.204,0.2091,0.1995,0.2069,3372418.73,697817.52,REQ
2018-03-14,0.2068,0.2009,0.1812,0.1844,8854054.42,1632459.24,REQ
2018-03-15,0.1843,0.184,0.1644,0.1724,9452301.16,1629208.91,REQ
2018-03-16,0.1724,0.1853,0.1695,0.1781,8975689.82,1598185.7,REQ
2018-03-17,0.1781,0.1724,0.1555,0.1621,8604197.35,1394551.89,REQ
2018-03-18,0.1625,0.1616,0.148,0.1609,9978883.71,1606054.53,REQ
2018-03-19,0.1613,0.2056,0.1618,0.1811,11763143.87,2130414.75,REQ
2018-03-20,0.1811,0.2176,0.1794,0.2161,9409258.04,2033473.63,REQ
2018-03-21,0.2161,0.248,0.2053,0.239,11922713.8,2849166.0,REQ
2018-03-22,0.2391,0.2461,0.2165,0.2252,8973828.51,2020799.56,REQ
2018-03-23,0.225,0.23,0.2046,0.2126,9089119.08,1932687.83,REQ
2018-03-24,0.2125,0.2373,0.2014,0.2279,7798291.38,1777496.62,REQ
2018-03-25,0.2281,0.2478,0.2267,0.2463,6736986.82,1659221.55,REQ
2018-03-26,0.2462,0.267,0.2093,0.2253,14301551.74,3222543.63,REQ
2018-03-27,0.2251,0.2287,0.2028,0.2196,6855967.69,1505488.6,REQ
2018-03-28,0.2202,0.2225,0.2096,0.2181,8161824.45,1779765.56,REQ
2018-03-29,0.2174,0.1882,0.1739,0.1789,10564542.7,1890374.79,REQ
2018-03-30,0.1796,0.1951,0.1631,0.1656,12233648.04,2026389.93,REQ
2018-03-31,0.1656,0.1663,0.1583,0.1594,7747933.36,1234725.44,REQ
2018-04-01,0.1592,0.154,0.1437,0.1509,8246749.62,1244401.16,REQ
2018-04-02,0.1509,0.1563,0.146,0.1513,7857741.72,1189136.51,REQ
2018-04-03,0.1513,0.172,0.1595,0.1712,8670601.34,1484379.1,REQ
2018-04-04,0.1711,0.1574,0.1437,0.1459,8375387.3,1222234.59,REQ
2018-04-05,0.146,0.1517,0.1427,0.145,8219662.7,1192107.61,REQ
2018-04-06,0.1451,0.1476,0.1387,0.1418,8133462.65,1153080.84,REQ
2018-04-07,0.1418,0.1722,0.1464,0.1526,11831930.31,1806079.91,REQ
2018-04-08,0.1528,0.1752,0.1581,0.1687,8897748.45,1500721.37,REQ
2018-04-09,0.1687,0.1681,0.1536,0.1573,8245497.11,1296635.61,REQ
2018-04-10,0.1572,0.1656,0.1587,0.1589,7918101.34,1258539.13,REQ
2018-04-11,0.1587,0.1751,0.1635,0.1687,9130183.31,1540093.91,REQ
2018-04-12,0.1681,0.1935,0.1816,0.1829,9835062.97,1798928.27,REQ
2018-04-13,0.1829,0.2018,0.1785,0.1882,11945420.91,2247934.6,REQ
2018-04-14,0.1881,0.2152,0.1893,0.2084,7833492.65,1632156.57,REQ
2018-04-15,0.2079,0.2214,0.2122,0.2176,6251048.46,1359973.7,REQ
2018-04-16,0.217,0.2122,0.1989,0.2107,7573099.19,1595695.21,REQ
2018-04-17,0.2107,0.2101,0.2002,0.2046,6591833.91,1348904.14,REQ
2018-04-18,0.2044,0.2239,0.2098,0.2201,7196950.6,1584366.11,REQ
2018-04-19,0.2201,0.2393,0.2277,0.2285,6660075.49,1521749.33,REQ
2018-04-20,0.2285,0.2525,0.2333,0.235,6966783.97,1637295.45,REQ
2018-04-21,0.235,0.2363,0.2139,0.2206,7122471.5,1571106.57,REQ
2018-04-22,0.2206,0.2395,0.2232,0.2276,6479549.97,1474701.38,REQ
2018-04-23,0.2277,0.262,0.2356,0.2519,7274035.93,1832469.63,REQ
2018-04-24,0.252,0.2837,0.2647,0.2705,8355704.3,2260288.28,REQ
2018-04-25,0.2705,0.2407,0.219,0.223,10516235.53,2345126.1,REQ
2018-04-26,0.223,0.2492,0.2324,0.243,5884331.27,1429990.94,REQ
2018-04-27,0.2412,0.2578,0.233,0.2549,9140134.2,2329704.55,REQ
2018-04-28,0.2548,0.2711,0.2564,0.2645,3970039.37,1049937.83,REQ
2018-04-29,0.2645,0.2741,0.2357,0.2687,3673828.6,987132.17,REQ
2018-04-30,0.2687,0.288,0.2499,0.2758,6490010.38,1789869.99,REQ
2018-05-01,0.2758,0.2874,0.2683,0.2756,3923551.61,1081471.4,REQ
2018-05-02,0.2757,0.2943,0.275,0.2915,3752482.85,1093928.04,REQ
2018-05-03,0.2915,0.3331,0.2898,0.2911,5085912.75,1480321.87,REQ
2018-05-04,0.2912,0.2956,0.2733,0.2895,3628454.36,1050263.05,REQ
2018-05-05,0.2894,0.3162,0.2851,0.2941,3178673.98,934950.1,REQ
2018-05-06,0.2935,0.2851,0.2671,0.2683,2077778.5,557545.69,REQ
2018-05-07,0.2683,0.2709,0.2548,0.2605,2242398.31,584101.89,REQ
2018-05-08,0.2606,0.2661,0.251,0.2552,2614004.35,667148.09,REQ
2018-05-09,0.2552,0.2576,0.2432,0.2461,2366674.2,582476.51,REQ
2018-05-10,0.245,0.2585,0.2249,0.2249,75556.6,17983.43,REQ
2018-05-11,0.2249,0.236,0.1907,0.2061,115574.68,24043.94,REQ
2018-05-12,0.2061,0.213,0.1868,0.2049,73719.56,14913.97,REQ
2018-05-13,0.2049,0.2238,0.193,0.2203,90953.76,19048.09,REQ
2018-05-14,0.2201,0.2254,0.208,0.2145,2863276.41,614210.61,REQ
2018-05-15,0.2218,0.2218,0.1985,0.2189,83470.84,18019.29,REQ
2018-05-16,0.2189,0.2189,0.1823,0.187,57661.71,11085.51,REQ
2018-05-17,0.187,0.2021,0.1852,0.1852,35473.06,7099.95,REQ
2018-05-18,0.1847,0.1917,0.1773,0.1858,2168073.42,402844.09,REQ
2018-05-19,0.185,0.1895,0.1814,0.1874,1083632.36,203047.41,REQ
2018-05-20,0.187,0.1982,0.1771,0.1895,105792.99,20090.44,REQ
2018-05-21,0.1895,0.1955,0.1779,0.1795,52474.41,9675.04,REQ
2018-05-22,0.1829,0.1764,0.1673,0.1686,2021573.88,340847.47,REQ
2018-05-23,0.1701,0.1701,0.1404,0.1567,82324.3,12842.97,REQ
2018-05-24,0.1503,0.165,0.1519,0.1642,1943511.63,319135.83,REQ
2018-05-25,0.1642,0.1631,0.1503,0.1523,2594465.46,395221.63,REQ
2018-05-26,0.1523,0.1665,0.1504,0.1548,2660293.32,411856.95,REQ
2018-05-27,0.1588,0.1588,0.15,0.1503,41121.22,6271.14,REQ
2018-05-28,0.1488,0.1412,0.1295,0.131,3129689.93,410078.51,REQ
2018-05-29,0.1312,0.1519,0.1365,0.1448,5721433.49,828580.31,REQ
2018-05-30,0.1448,0.1435,0.1376,0.1406,2111253.12,296760.64,REQ
2018-05-31,0.14,0.15,0.14,0.1449,33113.06,4824.62,REQ
2018-06-01,0.1445,0.1469,0.1401,0.1439,1994601.27,286991.18,REQ
2018-06-02,0.1406,0.1492,0.1406,0.148,49027.75,7281.37,REQ
2018-06-03,0.1473,0.1548,0.1465,0.1501,1251233.25,187754.18,REQ
2018-06-04,0.1501,0.1477,0.1385,0.1398,1290227.28,180431.6,REQ
2018-06-05,0.1398,0.1472,0.1395,0.1447,1057352.72,152996.74,REQ
2018-06-06,0.1447,0.1442,0.1329,0.1355,3572037.55,484039.84,REQ
2018-06-07,0.1355,0.1383,0.1307,0.1323,2397649.02,317092.61,REQ
2018-06-08,0.1397,0.1397,0.1219,0.1387,28257.88,3606.81,REQ
2018-06-09,0.1387,0.1387,0.1206,0.1206,88031.55,10922.75,REQ
2018-06-10,0.1206,0.1247,0.09413,0.1,167707.39,17844.53,REQ
2018-06-11,0.1,0.1051,0.09502,0.0967,42854.59,4276.91,REQ
2018-06-12,0.0967,0.1037,0.08782,0.08821,24841.64,2276.96,REQ
2018-06-13,0.08821,0.0895,0.08115,0.0836,68414.29,5755.65,REQ
2018-06-14,0.08469,0.1045,0.09159,0.0956,2413339.94,230707.42,REQ
2018-06-15,0.0956,0.09404,0.088,0.09112,2040239.77,185897.71,REQ
2018-06-16,0.08747,0.09912,0.08747,0.09912,27810.24,2652.26,REQ
2018-06-17,0.09912,0.1181,0.09912,0.1045,124777.79,13583.62,REQ
2018-06-18,0.1031,0.1042,0.09495,0.09727,44287.43,4398.08,REQ
2018-06-19,0.105,0.1108,0.09805,0.09924,2045503.66,202988.29,REQ
2018-06-20,0.09821,0.0983,0.08892,0.0917,43114.54,4057.44,REQ
2018-06-21,0.0917,0.09472,0.09134,0.0929,14686.29,1373.88,REQ
2018-06-22,0.0929,0.09375,0.07541,0.07541,37275.36,3106.83,REQ
2018-06-23,0.07541,0.09244,0.07541,0.08103,22209.68,1712.08,REQ
2018-06-24,0.08103,0.08103,0.075,0.07503,29537.97,2281.3,REQ
2018-06-25,0.07443,0.07997,0.0747,0.07795,922830.86,71937.91,REQ
2018-06-26,0.07795,0.07479,0.07122,0.07354,711715.28,52342.46,REQ
2018-06-27,0.0736,0.07607,0.07072,0.07214,1097113.38,79143.32,REQ
2018-06-28,0.07214,0.07363,0.06816,0.06841,1317546.48,90132.13,REQ
2018-06-29,0.06836,0.07182,0.06577,0.06973,2087550.18,145558.72,REQ
2018-06-30,0.06969,0.07595,0.07046,0.07119,2265363.69,161264.31,REQ
