date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-04-17,0.03555,0.03486,0.03089,0.03248,5536.22,179.81,RVN
2018-04-18,0.03248,0.03481,0.02866,0.0344,13952.2,479.93,RVN
2018-04-19,0.0344,0.04151,0.03121,0.04151,10028.87,416.29,RVN
2018-04-20,0.04151,0.04439,0.0364,0.0364,8181.74,297.78,RVN
2018-04-21,0.0364,0.03753,0.03128,0.0353,19803.24,698.98,RVN
2018-04-22,0.0353,0.03618,0.03265,0.033,4277.15,141.14,RVN
2018-04-23,0.033,0.03856,0.03318,0.03372,9169.26,309.19,RVN
2018-04-24,0.03372,0.03959,0.03428,0.03476,17987.61,625.26,RVN
2018-04-25,0.03477,0.03195,0.02706,0.03061,33651.38,1030.2,RVN
2018-04-26,0.03061,0.03202,0.0297,0.03156,4785.85,151.04,RVN
2018-04-27,0.03158,0.03441,0.03039,0.03307,12591.94,416.44,RVN
2018-04-28,0.03307,0.05143,0.03105,0.05143,15206.75,782.13,RVN
2018-04-29,0.05142,0.05174,0.02869,0.02916,21173.82,617.47,RVN
2018-04-30,0.02916,0.03514,0.02867,0.03237,8569.52,277.39,RVN
2018-05-01,0.03237,0.03404,0.02905,0.03268,7920.13,258.82,RVN
2018-05-02,0.03268,0.0637,0.03324,0.04136,24128.51,997.96,RVN
2018-05-03,0.04136,0.05555,0.04366,0.05165,26916.87,1390.22,RVN
2018-05-04,0.05166,0.05781,0.04365,0.05393,21335.8,1150.64,RVN
2018-05-05,0.05393,0.05474,0.04687,0.04972,48599.01,2416.43,RVN
2018-05-06,0.04972,0.05363,0.0463,0.04919,27178.0,1336.86,RVN
2018-05-07,0.04918,0.05214,0.04595,0.04755,10810.65,514.0,RVN
2018-05-08,0.04754,0.05104,0.04653,0.04828,13976.27,674.77,RVN
2018-05-09,0.04828,0.05173,0.04474,0.04567,61820.55,2823.57,RVN
2018-05-10,0.04568,0.05329,0.04426,0.04877,15122.07,737.56,RVN
2018-05-11,0.04877,0.0485,0.04303,0.04354,9539.33,415.31,RVN
2018-05-12,0.04354,0.0471,0.04235,0.04328,13569.91,587.33,RVN
2018-05-13,0.04329,0.04703,0.04355,0.04703,11626.91,546.83,RVN
2018-05-14,0.04703,0.04987,0.04336,0.0451,19591.78,883.57,RVN
2018-05-15,0.0451,0.04664,0.0424,0.04325,14666.77,634.32,RVN
2018-05-16,0.04325,0.04339,0.03755,0.04031,8736.19,352.11,RVN
2018-05-17,0.0403,0.0427,0.03245,0.04036,11547.69,466.01,RVN
2018-05-18,0.04036,0.04536,0.03514,0.03753,42998.23,1613.64,RVN
2018-05-19,0.03753,0.03877,0.03316,0.03663,17394.76,637.11,RVN
2018-05-20,0.03663,0.04181,0.03789,0.04181,15212.36,636.05,RVN
2018-05-21,0.04181,0.04126,0.03738,0.03797,15326.75,582.0,RVN
2018-05-22,0.03797,0.03813,0.03557,0.03597,30015.24,1079.57,RVN
2018-05-23,0.03597,0.03558,0.03227,0.03535,30636.58,1083.07,RVN
2018-05-24,0.03535,0.03792,0.03368,0.03512,21739.51,763.43,RVN
2018-05-25,0.03512,0.03663,0.03461,0.03484,13162.65,458.52,RVN
2018-05-26,0.03484,0.03516,0.03369,0.03369,18627.46,627.49,RVN
2018-05-27,0.03369,0.03519,0.02945,0.03387,19361.96,655.72,RVN
2018-05-28,0.03387,0.03275,0.02492,0.03203,13443.69,430.67,RVN
2018-05-29,0.03203,0.03737,0.0299,0.03737,29549.29,1104.37,RVN
2018-05-30,0.03737,0.03697,0.02661,0.02661,13785.69,366.9,RVN
2018-05-31,0.02661,0.03226,0.02633,0.02926,7699.58,225.28,RVN
2018-06-01,0.02926,0.03359,0.02877,0.02929,7152.49,209.52,RVN
2018-06-02,0.02929,0.03287,0.02973,0.03057,10253.74,313.49,RVN
2018-06-03,0.03057,0.03319,0.02964,0.03242,10569.38,342.69,RVN
2018-06-04,0.03242,0.03151,0.02874,0.03129,4369.38,136.71,RVN
2018-06-05,0.03129,0.03181,0.02831,0.02914,2720.75,79.29,RVN
2018-06-06,0.02914,0.03065,0.02689,0.03057,10466.09,319.95,RVN
2018-06-07,0.03057,0.03072,0.02888,0.02926,4024.29,117.75,RVN
2018-06-08,0.02926,0.02898,0.02441,0.02822,6683.01,188.61,RVN
2018-06-09,0.02822,0.02855,0.02329,0.02637,18328.46,483.38,RVN
2018-06-10,0.02637,0.02547,0.021,0.021,2738.78,57.51,RVN
2018-06-11,0.021,0.02479,0.02135,0.02342,10269.7,240.49,RVN
2018-06-12,0.02342,0.02229,0.02033,0.02223,24314.96,540.47,RVN
2018-06-13,0.02223,0.02139,0.01956,0.01969,53230.64,1048.03,RVN
2018-06-14,0.01969,0.02392,0.01661,0.02392,14179.09,339.1,RVN
2018-06-15,0.02392,0.02437,0.01925,0.02437,31744.1,773.65,RVN
2018-06-16,0.02437,0.02478,0.02114,0.02114,3709.76,78.41,RVN
2018-06-17,0.02114,0.0226,0.02041,0.02112,7177.76,151.57,RVN
2018-06-18,0.02112,0.02249,0.02041,0.02249,11914.42,268.01,RVN
2018-06-19,0.02249,0.02292,0.02049,0.02137,9087.09,194.19,RVN
2018-06-20,0.02137,0.02434,0.01961,0.02028,27510.95,558.03,RVN
2018-06-21,0.02028,0.02352,0.02016,0.02097,6038.85,126.63,RVN
2018-06-22,0.02097,0.02057,0.01821,0.01821,16296.13,296.83,RVN
2018-06-23,0.01821,0.0206,0.01856,0.01887,23180.89,437.41,RVN
2018-06-24,0.01887,0.0202,0.0186,0.01884,3019.58,56.9,RVN
2018-06-25,0.01884,0.02053,0.01784,0.01847,11985.93,221.36,RVN
2018-06-26,0.01847,0.01802,0.0168,0.01735,9885.7,171.54,RVN
2018-06-27,0.01736,0.01842,0.01554,0.01554,8363.15,129.95,RVN
2018-06-28,0.01554,0.0182,0.01485,0.01662,4060.68,67.47,RVN
2018-06-29,0.01661,0.01768,0.01241,0.01241,2454.19,30.45,RVN
2018-06-30,0.01241,0.02082,0.01277,0.01354,4856.81,65.75,RVN
2018-07-01,0.01354,0.01426,0.01274,0.01274,4840.77,61.68,RVN
2018-07-02,0.01275,0.01773,0.0133,0.01449,9928.96,143.85,RVN
2018-07-03,0.01449,0.01497,0.01426,0.01445,8739.54,126.3,RVN
2018-07-04,0.01445,0.01648,0.01351,0.01351,10043.43,135.68,RVN
2018-07-05,0.01351,0.01503,0.009802,0.009802,10950.49,107.34,RVN
2018-07-06,0.009802,0.01651,0.009903,0.01334,14566.15,194.26,RVN
2018-07-07,0.01334,0.01811,0.01365,0.01811,6804.86,123.25,RVN
2018-07-08,0.01811,0.02146,0.01375,0.01744,10890.08,189.91,RVN
2018-07-09,0.01744,0.01734,0.01334,0.01334,141329.82,1885.01,RVN
2018-07-10,0.01334,0.01633,0.01261,0.01451,13576.57,196.94,RVN
2018-07-11,0.01451,0.01477,0.01356,0.01356,4738.19,64.23,RVN
2018-07-12,0.01356,0.01501,0.01326,0.01376,3263.17,44.89,RVN
2018-07-13,0.01376,0.01744,0.01371,0.01389,21719.92,301.74,RVN
2018-07-14,0.01389,0.01611,0.01335,0.01342,7885.29,105.78,RVN
2018-07-15,0.01341,0.01464,0.01356,0.01356,3542.42,48.02,RVN
2018-07-16,0.01356,0.01449,0.01247,0.01314,9189.12,120.78,RVN
2018-07-17,0.01314,0.01575,0.01429,0.01539,2910.87,44.79,RVN
2018-07-18,0.01539,0.01624,0.01381,0.01624,9233.03,149.98,RVN
2018-07-19,0.01624,0.01795,0.0151,0.0154,10670.05,164.36,RVN
2018-07-20,0.0154,0.01833,0.01511,0.0154,25459.66,392.11,RVN
2018-07-21,0.0154,0.0177,0.01555,0.01681,29693.21,499.15,RVN
2018-07-22,0.01681,0.02627,0.01613,0.01679,45522.52,764.55,RVN
2018-07-23,0.01679,0.02778,0.01628,0.01628,51530.27,839.17,RVN
2018-07-24,0.01628,0.0199,0.01704,0.01889,11304.86,213.56,RVN
2018-07-25,0.01889,0.01912,0.01691,0.01691,8240.26,139.36,RVN
2018-07-26,0.01691,0.01984,0.01643,0.01984,9812.53,194.71,RVN
2018-07-27,0.01984,0.02046,0.01645,0.0171,3970.84,67.91,RVN
2018-07-28,0.0171,0.02206,0.0172,0.02206,5288.11,116.65,RVN
2018-07-29,0.02206,0.02202,0.01767,0.01791,4886.77,87.53,RVN
2018-07-30,0.01791,0.02445,0.01782,0.02044,17058.99,348.69,RVN
2018-07-31,0.02044,0.02553,0.01934,0.02174,20813.05,452.4,RVN
2018-08-01,0.02174,0.03029,0.02139,0.02588,42810.36,1107.81,RVN
2018-08-02,0.02588,0.02579,0.02263,0.02489,13090.79,325.83,RVN
2018-08-03,0.02489,0.0267,0.01943,0.02225,9764.6,217.29,RVN
2018-08-04,0.02225,0.0214,0.02105,0.0214,4261.14,91.21,RVN
2018-08-05,0.0214,0.02451,0.0212,0.02451,19249.65,471.76,RVN
2018-08-06,0.02451,0.02494,0.02091,0.02091,16138.19,337.4,RVN
2018-08-07,0.02091,0.02279,0.02024,0.02279,2570.97,58.6,RVN
2018-08-08,0.02279,0.02131,0.01647,0.01886,12825.35,241.82,RVN
2018-08-09,0.01886,0.02094,0.01832,0.02094,21924.59,459.07,RVN
2018-08-10,0.02094,0.02074,0.01969,0.02074,525.14,10.89,RVN
2018-08-11,0.02074,0.02104,0.01829,0.02097,1459.14,30.61,RVN
2018-08-12,0.02097,0.02125,0.01935,0.01935,540.91,10.47,RVN
2018-08-13,0.01935,0.02349,0.01917,0.02349,35562.44,835.26,RVN
2018-08-14,0.02349,0.02474,0.01736,0.01736,24424.29,423.98,RVN
2018-08-15,0.01736,0.01813,0.01757,0.01813,1137.64,20.63,RVN
2018-08-16,0.01813,0.02277,0.01828,0.02277,886.06,20.17,RVN
2018-08-17,0.02277,0.02373,0.01911,0.01911,2717.03,51.93,RVN
2018-08-18,0.01911,0.01979,0.01858,0.01858,3.022,0.05614,RVN
2018-08-19,0.01858,0.01951,0.01886,0.01886,717.3,13.53,RVN
2018-08-20,0.01892,0.01825,0.01756,0.01756,4756.26,83.5,RVN
2018-08-21,0.01756,0.01863,0.01473,0.01727,15809028.36,272964.26,RVN
2018-08-22,0.01727,0.01878,0.01674,0.01776,10861719.18,192920.45,RVN
2018-08-23,0.01776,0.01864,0.01681,0.01759,7912547.56,139179.94,RVN
2018-08-24,0.01759,0.01805,0.0161,0.01724,11918706.98,205502.67,RVN
2018-08-25,0.01724,0.01849,0.016,0.01782,6769651.39,120627.32,RVN
2018-08-26,0.01782,0.01976,0.01754,0.01841,11851357.05,218236.15,RVN
2018-08-27,0.01828,0.02192,0.01874,0.02054,32557853.6,668729.13,RVN
2018-08-28,0.02054,0.02425,0.02057,0.02319,26124584.14,605798.09,RVN
2018-08-29,0.02319,0.02412,0.02116,0.02313,24245031.01,560801.14,RVN
2018-08-30,0.02313,0.02555,0.02296,0.02457,28897491.32,709885.59,RVN
2018-08-31,0.0245,0.02502,0.02263,0.02319,16181348.08,375228.76,RVN
2018-09-01,0.02305,0.02413,0.02305,0.02392,11612425.33,277716.81,RVN
2018-09-02,0.02392,0.02453,0.02212,0.02249,9559441.28,214971.58,RVN
2018-09-03,0.02249,0.02363,0.0205,0.02305,14894624.79,343262.39,RVN
2018-09-04,0.02305,0.02462,0.02159,0.02248,16263832.14,365579.61,RVN
2018-09-05,0.02248,0.02092,0.01918,0.01971,8221592.77,162070.52,RVN
2018-09-06,0.01971,0.0202,0.01792,0.01863,11540649.38,215049.63,RVN
2018-09-07,0.01876,0.01904,0.01789,0.01789,5945402.06,106356.5,RVN
2018-09-08,0.01789,0.01761,0.01649,0.01649,7573120.75,124899.13,RVN
2018-09-09,0.01649,0.01737,0.01656,0.01675,5407234.75,90557.71,RVN
2018-09-10,0.01675,0.01777,0.01676,0.01682,6445774.53,108437.16,RVN
2018-09-11,0.01682,0.01725,0.01574,0.01668,11476732.07,191468.4,RVN
2018-09-12,0.01668,0.01692,0.01445,0.01527,18303396.5,279537.44,RVN
2018-09-13,0.01439,0.01655,0.01474,0.01584,14217215.47,225207.52,RVN
2018-09-14,0.01584,0.01589,0.01446,0.0157,11264643.82,176811.47,RVN
2018-09-15,0.01569,0.01591,0.01467,0.0152,10651802.33,161869.54,RVN
2018-09-16,0.0152,0.01541,0.01463,0.01509,7837419.71,118232.66,RVN
2018-09-17,0.01509,0.01565,0.01446,0.01547,16469562.79,254715.88,RVN
2018-09-18,0.01547,0.01644,0.01472,0.01555,10473422.66,162848.92,RVN
2018-09-19,0.01555,0.01593,0.01504,0.01536,6666059.78,102371.48,RVN
2018-09-20,0.01536,0.01613,0.01496,0.01522,12466164.53,189782.47,RVN
2018-09-21,0.01522,0.01623,0.01494,0.01569,14328346.68,224782.8,RVN
2018-09-22,0.01569,0.01572,0.01491,0.01491,4608215.39,68712.42,RVN
2018-09-23,0.01491,0.01535,0.01454,0.01488,9003640.37,133974.11,RVN
2018-09-24,0.01488,0.01508,0.01363,0.01415,11607920.84,164305.35,RVN
2018-09-25,0.01415,0.01436,0.01345,0.01397,9977130.85,139379.48,RVN
2018-09-26,0.01397,0.01461,0.01364,0.01402,9831024.4,137868.73,RVN
2018-09-27,0.01402,0.01524,0.01444,0.01498,8931263.57,133762.92,RVN
2018-09-28,0.01498,0.015,0.01427,0.01427,5788442.43,82578.31,RVN
2018-09-29,0.01427,0.01459,0.01413,0.0144,3997884.43,57554.24,RVN
2018-09-30,0.0144,0.01523,0.01424,0.01477,8870398.08,131023.53,RVN
2018-10-01,0.01477,0.01642,0.01451,0.01576,19667046.1,309992.02,RVN
2018-10-02,0.01576,0.0171,0.01403,0.01494,34246832.66,511761.6,RVN
2018-10-03,0.01494,0.01617,0.01461,0.01545,11310429.41,174763.99,RVN
2018-10-04,0.01545,0.01665,0.01527,0.01619,11677001.49,189007.26,RVN
2018-10-05,0.01619,0.01638,0.01579,0.01599,9785607.4,156425.05,RVN
2018-10-06,0.01599,0.01641,0.01575,0.01634,7338239.76,119929.23,RVN
2018-10-07,0.01634,0.0165,0.01531,0.01545,8200993.04,126678.21,RVN
2018-10-08,0.01545,0.01596,0.0153,0.01556,7758002.37,120723.55,RVN
2018-10-09,0.01556,0.01598,0.01505,0.01532,9098127.91,139378.18,RVN
2018-10-10,0.01532,0.01579,0.01468,0.01507,8232233.17,124065.11,RVN
2018-10-11,0.01507,0.02465,0.01366,0.01919,204278070.68,3919536.92,RVN
2018-10-12,0.01913,0.02288,0.01663,0.01963,132848237.07,2607501.22,RVN
2018-10-13,0.01963,0.02068,0.01843,0.0193,40138159.27,774794.58,RVN
2018-10-14,0.01905,0.01996,0.01733,0.01783,19847465.16,353855.56,RVN
2018-10-15,0.01783,0.0199,0.01739,0.01838,17418518.32,320193.49,RVN
2018-10-16,0.01838,0.02271,0.0183,0.02271,210020409.51,4769883.26,RVN
2018-10-17,0.02278,0.0311,0.02235,0.02781,1100004694.26,30591372.11,RVN
2018-10-18,0.02788,0.03426,0.02712,0.02978,1202732063.18,35821239.41,RVN
2018-10-19,0.02979,0.03196,0.02762,0.02801,363092414.52,10170938.33,RVN
2018-10-20,0.02801,0.0318,0.027,0.03083,256316349.03,7902274.05,RVN
2018-10-21,0.03083,0.04648,0.03092,0.04186,1166185289.72,48814725.08,RVN
2018-10-22,0.04186,0.06749,0.04123,0.05874,2705378757.87,158908710.08,RVN
2018-10-23,0.05875,0.06095,0.04542,0.046,1199527740.99,55182191.58,RVN
2018-10-24,0.04614,0.05855,0.04307,0.05071,1605395611.05,81408066.24,RVN
2018-10-25,0.05065,0.05655,0.05009,0.05293,889498959.99,47081256.72,RVN
2018-10-26,0.05293,0.05553,0.05192,0.05295,373171296.99,19759092.53,RVN
2018-10-27,0.05295,0.05448,0.04542,0.05131,591291239.77,30338235.89,RVN
2018-10-28,0.05131,0.05261,0.04756,0.04963,337319300.73,16741351.12,RVN
2018-10-29,0.04963,0.04862,0.04445,0.04641,174877471.87,8115580.55,RVN
2018-10-30,0.04641,0.04694,0.03867,0.04145,317485109.07,13160028.49,RVN
2018-10-31,0.04139,0.04605,0.03926,0.04104,325933282.83,13375222.01,RVN
2018-11-01,0.04091,0.04888,0.04014,0.04799,326285465.94,15657583.34,RVN
2018-11-02,0.04792,0.05212,0.04527,0.04783,618735871.7,29595409.36,RVN
2018-11-03,0.0477,0.04948,0.04578,0.04897,173068257.84,8475176.4,RVN
