date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2021-06-22,6.26e-06,6.54e-06,5.6e-06,6.31e-06,114146100000.0,704659.27,SHIB
2021-06-23,6.31e-06,7.1e-06,6.09e-06,6.83e-06,127781300000.0,857871.55,SHIB
2021-06-24,6.83e-06,7.44e-06,6.57e-06,7.21e-06,60397800000.0,419908.8,SHIB
2021-06-25,7.21e-06,8.5e-06,6.72e-06,7.07e-06,319595000000.0,2357089.45,SHIB
2021-06-26,7.07e-06,7.54e-06,6.91e-06,7.48e-06,103518900000.0,744041.68,SHIB
2021-06-27,7.48e-06,7.88e-06,7.27e-06,7.86e-06,44338100000.0,331197.72,SHIB
2021-06-28,7.86e-06,8.2e-06,7.6e-06,8.08e-06,54752100000.0,434137.83,SHIB
2021-06-29,8.08e-06,9.62e-06,8.04e-06,8.88e-06,140469200000.0,1269887.52,SHIB
2021-06-30,8.88e-06,9.22e-06,8.01e-06,8.82e-06,85569400000.0,742391.94,SHIB
2021-07-01,8.82e-06,8.82e-06,8.15e-06,8.35e-06,34761100000.0,291508.84,SHIB
2021-07-02,8.35e-06,8.43e-06,8.06e-06,8.36e-06,11985100000.0,98895.77,SHIB
2021-07-03,8.36e-06,8.79e-06,8.31e-06,8.65e-06,20646500000.0,177622.83,SHIB
2021-07-04,8.65e-06,8.95e-06,8.46e-06,8.73e-06,15210400000.0,132666.37,SHIB
2021-07-05,8.73e-06,8.73e-06,8.15e-06,8.35e-06,22449600000.0,189304.28,SHIB
2021-07-06,8.35e-06,9.32e-06,8.32e-06,8.75e-06,59141100000.0,522790.45,SHIB
2021-07-07,8.75e-06,8.95e-06,8.52e-06,8.57e-06,20922600000.0,182754.22,SHIB
2021-07-08,8.57e-06,8.57e-06,7.8e-06,8.02e-06,47515200000.0,384713.7,SHIB
2021-07-09,8.02e-06,8.1e-06,7.69e-06,7.91e-06,31461000000.0,248974.69,SHIB
2021-07-10,7.91e-06,8.09e-06,7.52e-06,7.67e-06,29231300000.0,226897.44,SHIB
2021-07-11,7.67e-06,7.97e-06,7.57e-06,7.86e-06,35393300000.0,274627.18,SHIB
2021-07-12,7.86e-06,7.99e-06,7.31e-06,7.58e-06,50698000000.0,386163.55,SHIB
2021-07-13,7.58e-06,7.59e-06,7.04e-06,7.11e-06,26995800000.0,197878.34,SHIB
2021-07-14,7.11e-06,7.56e-06,6.69e-06,7.24e-06,48056900000.0,337818.52,SHIB
2021-07-15,7.24e-06,7.36e-06,6.79e-06,6.9e-06,44681400000.0,313124.53,SHIB
2021-07-16,6.9e-06,6.99e-06,6.55e-06,6.63e-06,28469800000.0,192425.76,SHIB
2021-07-17,6.63e-06,7.05e-06,6.57e-06,6.81e-06,33312000000.0,224213.83,SHIB
2021-07-18,6.81e-06,7.01e-06,6.61e-06,6.66e-06,14729000000.0,99789.28,SHIB
2021-07-19,6.66e-06,6.67e-06,6.08e-06,6.18e-06,26702800000.0,169907.16,SHIB
2021-07-20,6.18e-06,6.23e-06,5.7e-06,5.88e-06,62137823336.0,364951.44,SHIB
2021-07-21,5.88e-06,6.96e-06,5.78e-06,6.53e-06,106062636432.0,679045.54,SHIB
2021-07-22,6.53e-06,6.65e-06,6.35e-06,6.46e-06,79327212522.0,514278.55,SHIB
2021-07-23,6.46e-06,6.7e-06,6.12e-06,6.47e-06,70010585398.0,448624.72,SHIB
2021-07-24,6.47e-06,6.66e-06,6.31e-06,6.43e-06,63892036022.0,413153.33,SHIB
2021-07-25,6.43e-06,6.54e-06,6.16e-06,6.36e-06,64160979240.0,406219.23,SHIB
2021-07-26,6.36e-06,6.9e-06,6.25e-06,6.31e-06,78845032064.0,521251.4,SHIB
2021-07-27,6.31e-06,6.42e-06,6.04e-06,6.32e-06,67113713840.0,418762.3,SHIB
2021-07-28,6.32e-06,6.35e-06,6.14e-06,6.18e-06,68505763182.0,428091.18,SHIB
2021-07-29,6.18e-06,6.5e-06,6.08e-06,6.3e-06,63152743430.0,393482.47,SHIB
2021-07-30,6.3e-06,6.42e-06,6.1e-06,6.29e-06,68368126146.0,426945.71,SHIB
2021-07-31,6.29e-06,6.31e-06,6.19e-06,6.24e-06,62037537472.0,388083.84,SHIB
2021-08-01,6.24e-06,6.71e-06,6.21e-06,6.3e-06,75187736796.0,483233.29,SHIB
2021-08-02,6.3e-06,6.44e-06,6.21e-06,6.35e-06,74115897278.0,466498.06,SHIB
2021-08-03,6.35e-06,6.41e-06,6.15e-06,6.19e-06,85071260602.0,531358.44,SHIB
2021-08-04,6.19e-06,6.33e-06,6.1e-06,6.24e-06,88434008590.0,549993.0,SHIB
2021-08-05,6.24e-06,6.25e-06,6.12e-06,6.21e-06,86179535593.0,533251.84,SHIB
2021-08-06,6.21e-06,6.42e-06,6.13e-06,6.31e-06,101498699996.0,634648.0,SHIB
2021-08-07,6.31e-06,7.9e-06,6.29e-06,7.8e-06,200520262074.0,1396690.52,SHIB
2021-08-08,7.8e-06,8.87e-06,7.25e-06,7.28e-06,214606718290.0,1708308.67,SHIB
