date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2016-04-17,0.3655,0.503,0.2984,0.4049,8772.77,3552.51,STEEM
2016-04-18,0.4049,1.065,0.2997,0.834,41523.55,34630.45,STEEM
2016-04-19,0.834,0.9655,0.6959,0.7568,34336.55,25984.56,STEEM
2016-04-20,0.7568,0.9706,0.7059,0.8325,34943.16,29089.09,STEEM
2016-04-21,0.8325,0.8479,0.6268,0.6718,52036.9,34956.48,STEEM
2016-04-22,0.6718,0.7258,0.3474,0.4493,68177.82,30631.44,STEEM
2016-04-23,0.4493,0.6526,0.4186,0.5766,27384.68,15788.71,STEEM
2016-04-24,0.5766,0.6635,0.5033,0.5587,17361.89,9699.75,STEEM
2016-04-25,0.5587,0.5638,0.3352,0.3676,27796.42,10218.78,STEEM
2016-04-26,0.3676,0.466,0.333,0.3729,29804.24,11113.8,STEEM
2016-04-27,0.3729,0.5811,0.3353,0.4134,23619.41,9765.2,STEEM
2016-04-28,0.4134,0.4951,0.4126,0.4479,15220.41,6817.18,STEEM
2016-04-29,0.4479,0.4732,0.3913,0.4412,17678.6,7799.69,STEEM
2016-04-30,0.4412,0.4508,0.3969,0.4169,5603.87,2336.05,STEEM
2016-05-01,0.4169,0.4975,0.4002,0.4975,11288.31,5615.53,STEEM
2016-05-02,0.4975,0.5774,0.3909,0.3998,40964.28,16375.96,STEEM
2016-05-03,0.3998,0.5403,0.4052,0.4435,29197.15,12949.4,STEEM
2016-05-04,0.4435,0.4503,0.4165,0.4485,7655.35,3433.23,STEEM
2016-05-05,0.4485,0.4508,0.3585,0.3585,19133.91,6859.68,STEEM
2016-05-06,0.3585,0.4366,0.3217,0.3676,29176.06,10726.52,STEEM
2016-05-07,0.3676,0.3719,0.2994,0.3247,13734.43,4459.94,STEEM
2016-05-08,0.3247,0.334,0.2983,0.2983,9495.88,2832.64,STEEM
2016-05-09,0.2983,0.3103,0.2302,0.2401,11361.82,2727.67,STEEM
2016-05-10,0.2401,0.2522,0.2242,0.2471,13128.77,3244.75,STEEM
2016-05-11,0.2471,0.2489,0.2263,0.2483,3658.19,908.28,STEEM
2016-05-12,0.2483,0.2727,0.2283,0.2655,9401.23,2496.25,STEEM
2016-05-13,0.2655,0.4873,0.2661,0.3208,46219.4,14826.76,STEEM
2016-05-14,0.3208,0.3854,0.3104,0.3854,6536.29,2518.91,STEEM
2016-05-15,0.3854,0.3868,0.3312,0.3614,420.85,152.12,STEEM
2016-05-16,0.3614,0.3856,0.3371,0.3387,2099.99,711.16,STEEM
2016-05-17,0.3387,0.3824,0.3364,0.3364,1262.2,424.55,STEEM
2016-05-18,0.3364,0.3599,0.3099,0.3361,4599.27,1545.92,STEEM
2016-05-19,0.3361,0.3508,0.2744,0.3496,7058.9,2467.57,STEEM
2016-05-20,0.3496,0.4421,0.3314,0.42,9105.18,3824.22,STEEM
2016-05-21,0.42,0.4614,0.3661,0.4215,9240.0,3894.27,STEEM
2016-05-22,0.4215,0.5188,0.4176,0.4181,16491.74,6895.57,STEEM
2016-05-23,0.4181,0.4858,0.422,0.4437,6336.21,2811.31,STEEM
2016-05-24,0.4437,0.5353,0.4314,0.5309,28425.9,15090.48,STEEM
2016-05-25,0.5309,0.5843,0.4516,0.5703,8291.44,4728.78,STEEM
2016-05-26,0.5703,0.7615,0.4986,0.7207,25281.67,18221.69,STEEM
2016-05-27,0.7207,0.7537,0.2844,0.4647,29899.45,13893.19,STEEM
2016-05-28,0.4647,0.5803,0.4718,0.5083,7190.08,3654.6,STEEM
2016-05-29,0.5083,0.5004,0.4386,0.4386,5191.58,2277.25,STEEM
2016-05-30,0.4386,0.495,0.4524,0.4774,4721.0,2253.98,STEEM
2016-05-31,0.4774,0.4967,0.3702,0.4284,21544.77,9230.32,STEEM
2016-06-01,0.4284,0.428,0.3869,0.3977,5732.2,2279.87,STEEM
2016-06-02,0.3977,0.4189,0.3867,0.4082,3376.49,1378.27,STEEM
2016-06-03,0.4082,0.4366,0.3615,0.3615,9452.13,3416.77,STEEM
2016-06-04,0.3615,0.4308,0.3646,0.4286,11354.42,4866.72,STEEM
2016-06-05,0.4286,0.3966,0.3363,0.3676,13753.9,5055.9,STEEM
2016-06-06,0.3676,0.3669,0.3414,0.3415,3204.99,1094.35,STEEM
2016-06-07,0.3415,0.3569,0.2935,0.3409,7775.5,2650.79,STEEM
2016-06-08,0.3409,0.5225,0.2908,0.3658,18789.08,6872.66,STEEM
2016-06-09,0.3658,0.4023,0.3161,0.3908,18019.07,7041.66,STEEM
2016-06-10,0.3908,0.4161,0.3641,0.3698,14478.98,5355.04,STEEM
2016-06-11,0.3698,0.4138,0.3727,0.3747,6730.92,2522.21,STEEM
2016-06-12,0.3747,0.4398,0.3754,0.3754,13328.72,5003.61,STEEM
2016-06-13,0.3754,0.4634,0.3854,0.3854,11479.56,4424.09,STEEM
2016-06-14,0.3854,0.4111,0.3837,0.3837,2333.91,895.47,STEEM
2016-06-15,0.3837,0.4145,0.3868,0.3876,4123.94,1598.4,STEEM
2016-06-16,0.3876,0.461,0.3958,0.3965,8374.19,3320.49,STEEM
2016-06-17,0.3965,0.434,0.2777,0.3086,32290.22,9966.19,STEEM
2016-06-18,0.3086,0.318,0.2834,0.3015,2500.16,753.82,STEEM
2016-06-19,0.3015,0.3322,0.284,0.3322,10372.83,3445.79,STEEM
2016-06-20,0.3322,0.3204,0.2348,0.3009,11134.63,3350.72,STEEM
2016-06-21,0.3009,0.2736,0.2002,0.2002,5547.2,1110.63,STEEM
2016-06-22,0.2002,0.2214,0.1595,0.1793,5520.22,989.74,STEEM
2016-06-23,0.1793,0.2853,0.188,0.2794,17405.48,4862.71,STEEM
2016-06-24,0.2794,0.3018,0.2335,0.2538,13021.05,3304.18,STEEM
2016-06-25,0.2538,0.2852,0.1991,0.2256,20688.48,4667.25,STEEM
2016-06-26,0.2256,0.2502,0.1881,0.2001,15431.36,3088.3,STEEM
2016-06-27,0.2001,0.2435,0.1941,0.2031,9622.99,1954.12,STEEM
2016-06-28,0.2031,0.2644,0.2031,0.2336,13998.28,3270.61,STEEM
2016-06-29,0.2336,0.2737,0.213,0.2188,5563.53,1217.18,STEEM
2016-06-30,0.2188,0.2814,0.2303,0.268,14518.3,3891.02,STEEM
2016-07-01,0.268,0.2833,0.2091,0.2361,24127.7,5696.54,STEEM
2016-07-02,0.2361,0.2443,0.2017,0.2129,19924.27,4242.04,STEEM
2016-07-03,0.2129,0.2779,0.1827,0.2514,35891.66,9021.62,STEEM
2016-07-04,0.2514,0.3623,0.2298,0.2298,68371.37,15713.41,STEEM
2016-07-05,0.2298,0.2501,0.2157,0.2225,49169.82,10938.43,STEEM
