date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2016-08-11,0.02299,0.02287,0.00823,0.01269,6790623.87,86143.05,STRAX
2016-08-12,0.01269,0.0139,0.009206,0.01128,4286141.99,48368.39,STRAX
2016-08-13,0.01128,0.01634,0.008178,0.01518,13745997.67,208608.66,STRAX
2016-08-14,0.01518,0.03357,0.01255,0.02618,24442339.98,639960.36,STRAX
2016-08-15,0.02618,0.02693,0.01928,0.02519,9790157.0,246610.03,STRAX
2016-08-16,0.02519,0.0319,0.02321,0.02843,7736688.45,219948.71,STRAX
2016-08-17,0.02843,0.03033,0.02357,0.02652,5653262.02,149904.79,STRAX
2016-08-18,0.02652,0.02792,0.02064,0.02257,4903472.43,110664.66,STRAX
2016-08-19,0.02257,0.02496,0.01917,0.02068,3271324.14,67664.59,STRAX
2016-08-20,0.02068,0.02272,0.01953,0.02009,1712317.38,34407.68,STRAX
2016-08-21,0.02009,0.02124,0.01967,0.02119,850119.62,18012.58,STRAX
2016-08-22,0.02119,0.02348,0.02027,0.02202,1826214.03,40210.27,STRAX
2016-08-23,0.02202,0.02327,0.01984,0.02225,5423010.05,120668.17,STRAX
2016-08-24,0.02225,0.0221,0.02029,0.02031,1248637.35,25361.43,STRAX
2016-08-25,0.02031,0.02097,0.01665,0.0181,1921517.27,34771.64,STRAX
2016-08-26,0.0181,0.02433,0.01812,0.0227,2260397.38,51310.38,STRAX
2016-08-27,0.0227,0.02689,0.02082,0.02378,3271498.89,77808.0,STRAX
2016-08-28,0.02378,0.02558,0.02021,0.02122,2313791.09,49091.15,STRAX
2016-08-29,0.02122,0.0241,0.0201,0.0211,1765398.49,37244.98,STRAX
2016-08-30,0.0211,0.02155,0.02021,0.0207,568166.71,11759.3,STRAX
2016-08-31,0.0207,0.02264,0.02009,0.0211,1170649.96,24702.55,STRAX
2016-09-01,0.0211,0.02267,0.02059,0.0225,700545.96,15763.75,STRAX
2016-09-02,0.0225,0.02494,0.02198,0.02301,951367.48,21892.49,STRAX
2016-09-03,0.02301,0.02417,0.02216,0.02354,1403192.7,33031.72,STRAX
2016-09-04,0.02354,0.0246,0.02135,0.02215,1151066.54,25497.33,STRAX
2016-09-05,0.02215,0.02362,0.02187,0.02235,493826.1,11038.27,STRAX
2016-09-06,0.02235,0.02563,0.0221,0.02458,1390939.14,34184.16,STRAX
2016-09-07,0.02458,0.02821,0.02468,0.02759,1674952.85,46219.4,STRAX
2016-09-08,0.02759,0.02877,0.02503,0.02621,926156.46,24275.84,STRAX
2016-09-09,0.02621,0.03106,0.02592,0.03045,1384632.49,42167.36,STRAX
2016-09-10,0.03045,0.04371,0.02993,0.04367,5413476.74,236421.06,STRAX
2016-09-11,0.04367,0.04844,0.03555,0.03634,6721738.41,244245.12,STRAX
2016-09-12,0.03634,0.03881,0.03203,0.03478,3933090.81,136778.96,STRAX
2016-09-13,0.03478,0.03804,0.0324,0.03692,2061445.98,76117.59,STRAX
2016-09-14,0.03692,0.0384,0.03487,0.03751,1998874.57,74979.97,STRAX
2016-09-15,0.03751,0.04053,0.03527,0.03891,2557965.63,99538.01,STRAX
2016-09-16,0.03891,0.0389,0.03397,0.03397,1606502.82,54580.78,STRAX
2016-09-17,0.03397,0.03466,0.03048,0.03361,1851068.37,62210.61,STRAX
2016-09-18,0.03361,0.03756,0.0335,0.03655,1091852.16,39907.63,STRAX
2016-09-19,0.03655,0.03708,0.03415,0.03415,830016.97,28346.41,STRAX
2016-09-20,0.03415,0.03838,0.03404,0.03643,1340169.14,48817.62,STRAX
2016-09-21,0.03643,0.03643,0.03419,0.03496,751182.8,26259.66,STRAX
2016-09-22,0.03496,0.03562,0.03396,0.0344,194507.27,6690.59,STRAX
2016-09-23,0.0344,0.03731,0.03455,0.03554,667652.53,23725.77,STRAX
2016-09-24,0.03554,0.04006,0.03497,0.03767,1166490.89,43946.29,STRAX
2016-09-25,0.03767,0.03997,0.03611,0.03642,1025718.29,37356.89,STRAX
2016-09-26,0.03642,0.03821,0.03518,0.03518,970664.99,34147.33,STRAX
2016-09-27,0.03518,0.03596,0.0333,0.03478,862735.48,30004.38,STRAX
2016-09-28,0.03478,0.03474,0.03084,0.03207,783646.33,25132.87,STRAX
2016-09-29,0.03207,0.03325,0.02857,0.02857,1501491.99,42900.74,STRAX
2016-09-30,0.02857,0.031,0.02858,0.02956,1482619.06,43828.72,STRAX
2016-10-01,0.02956,0.03434,0.02892,0.03076,863988.05,26578.44,STRAX
2016-10-02,0.03076,0.03406,0.03063,0.03193,503739.85,16085.91,STRAX
2016-10-03,0.03193,0.03241,0.02813,0.03186,1376091.69,43848.28,STRAX
2016-10-04,0.03186,0.03227,0.02784,0.02784,1220225.26,33965.66,STRAX
2016-10-05,0.02784,0.03029,0.02754,0.02806,730333.37,20491.74,STRAX
2016-10-06,0.02806,0.02951,0.02752,0.02883,521648.65,15040.0,STRAX
2016-10-07,0.02883,0.03265,0.02775,0.03059,610548.54,18674.17,STRAX
