date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2020-09-17,0.004457,4.31,0.004457,4.225,1911062.59,7028906.06,UNI
2020-09-18,4.225,8.67,3.293,6.97,32939144.34,198698386.23,UNI
2020-09-19,6.97,7.486,5.237,5.73,12374762.95,79068719.49,UNI
2020-09-20,5.73,6.092,4.705,5.208,8075605.45,42465324.28,UNI
2020-09-21,5.208,5.637,4.085,4.252,5039065.5,23415737.78,UNI
2020-09-22,4.252,4.549,3.701,3.913,5949666.42,24246304.86,UNI
2020-09-23,3.913,5.393,3.906,4.368,12504708.85,57577581.33,UNI
2020-09-24,4.368,5.3,4.265,5.158,7783742.47,38141496.1,UNI
2020-09-25,5.158,5.561,4.775,4.922,6149008.06,31652007.64,UNI
2020-09-26,4.922,4.99,4.588,4.865,3242473.99,15687908.51,UNI
2020-09-27,4.865,5.211,4.701,4.856,2481807.82,12259850.47,UNI
2020-09-28,4.856,4.946,4.16,4.25,3783085.15,17112717.53,UNI
2020-09-29,4.25,4.452,4.122,4.386,3336847.31,14224669.27,UNI
2020-09-30,4.386,4.389,3.95,4.157,2291855.16,9445277.52,UNI
2020-10-01,4.157,4.518,3.94,4.242,4032650.28,16883019.21,UNI
2020-10-02,4.242,4.242,3.578,3.893,4118920.84,15958872.74,UNI
2020-10-03,3.893,4.131,3.831,3.905,1773708.19,6997372.0,UNI
2020-10-04,3.905,3.943,3.607,3.722,2903910.53,10868773.34,UNI
2020-10-05,3.722,3.796,3.187,3.323,4572496.53,15565579.78,UNI
2020-10-06,3.323,3.353,2.628,2.715,7335497.79,21922934.74,UNI
2020-10-07,2.715,3.009,2.479,2.965,8214252.51,22302249.79,UNI
2020-10-08,2.965,3.468,2.654,3.354,7082588.02,22030669.78,UNI
2020-10-09,3.354,3.6,3.175,3.387,4299636.96,14468052.02,UNI
2020-10-10,3.387,3.657,3.273,3.296,2658740.74,9120481.7,UNI
2020-10-11,3.296,3.451,3.183,3.363,1828870.04,6073776.43,UNI
2020-10-12,3.363,3.617,3.286,3.457,1704463.51,5886616.97,UNI
2020-10-13,3.457,3.499,3.294,3.351,929065.59,3148438.02,UNI
2020-10-14,3.351,3.437,2.973,3.111,2117257.78,6700110.49,UNI
2020-10-15,3.111,3.182,2.921,3.084,2410050.56,7407071.75,UNI
2020-10-16,3.084,3.38,2.898,3.043,3808170.59,12053613.31,UNI
2020-10-17,3.043,3.119,2.981,3.062,1208823.1,3677211.14,UNI
2020-10-18,3.062,3.29,3.046,3.285,1412258.22,4487959.08,UNI
2020-10-19,3.285,3.289,3.11,3.173,1101336.19,3521528.98,UNI
2020-10-20,3.173,3.192,2.823,2.861,2632313.26,7814777.79,UNI
2020-10-21,2.861,3.088,2.843,2.943,2497721.37,7434873.74,UNI
2020-10-22,2.943,3.153,2.926,3.046,1824598.12,5582765.39,UNI
2020-10-23,3.046,3.125,2.969,3.017,1275555.7,3864053.22,UNI
2020-10-24,3.017,3.085,2.931,2.945,1395632.17,4188765.2,UNI
2020-10-25,2.945,2.969,2.717,2.779,1813553.68,5183233.19,UNI
2020-10-26,2.779,2.875,2.534,2.713,2942785.13,7938784.35,UNI
2020-10-27,2.713,2.913,2.706,2.821,1609177.12,4546112.51,UNI
2020-10-28,2.821,2.854,2.597,2.665,745052.87,2013866.29,UNI
2020-10-29,2.665,2.739,2.493,2.541,1038835.09,2688274.77,UNI
2020-10-30,2.541,2.564,2.244,2.417,4055050.29,9538746.08,UNI
2020-10-31,2.417,2.417,2.244,2.269,1833467.55,4292649.08,UNI
2020-11-01,2.269,2.449,2.219,2.379,2328763.93,5395924.86,UNI
2020-11-02,2.379,2.454,2.227,2.256,1576445.62,3670427.47,UNI
2020-11-03,2.256,2.286,2.057,2.137,1674621.96,3597578.99,UNI
2020-11-04,2.137,2.166,1.88,1.928,1414317.37,2835162.8,UNI
2020-11-05,1.928,2.415,1.761,2.195,3365434.27,7050993.31,UNI
2020-11-06,2.195,2.687,2.179,2.569,3463544.87,8630330.21,UNI
2020-11-07,2.569,3.019,2.437,2.477,4454463.56,12224878.91,UNI
2020-11-08,2.477,2.92,2.441,2.866,1886624.07,5138238.55,UNI
2020-11-09,2.866,2.88,2.583,2.678,1793529.08,4857896.06,UNI
2020-11-10,2.678,3.176,2.629,3.074,2834312.65,8374081.61,UNI
2020-11-11,3.074,3.22,2.888,2.935,3405236.33,10488115.64,UNI
2020-11-12,2.935,3.137,2.844,2.961,2888843.67,8640996.12,UNI
2020-11-13,2.961,3.997,2.94,3.862,7190459.61,25262760.12,UNI
2020-11-14,3.862,3.972,3.513,3.811,5748123.29,21621677.42,UNI
2020-11-15,3.811,4.248,3.62,3.85,7646225.06,30412501.35,UNI
2020-11-16,3.85,3.939,3.45,3.568,6231094.88,22880869.55,UNI
2020-11-17,3.568,3.864,3.482,3.818,6107505.74,22489691.35,UNI
2020-11-18,3.818,3.851,3.279,3.463,4771900.89,16707837.68,UNI
2020-11-19,3.463,3.911,3.232,3.75,5902797.63,21311421.68,UNI
2020-11-20,3.75,4.089,3.681,3.861,5869640.79,22870069.58,UNI
2020-11-21,3.861,3.939,3.591,3.834,4752988.66,17918166.13,UNI
2020-11-22,3.834,3.951,3.442,3.692,4776536.03,17750304.48,UNI
2020-11-23,3.692,4.229,3.634,4.187,5666582.06,22290253.01,UNI
2020-11-24,4.187,4.484,3.94,4.065,5702941.01,23816408.24,UNI
2020-11-25,4.065,4.204,3.528,3.678,4668496.7,18280261.55,UNI
2020-11-26,3.678,3.768,3.101,3.437,7104612.5,23812685.48,UNI
2020-11-27,3.437,3.535,3.162,3.311,3105576.52,10393048.62,UNI
2020-11-28,3.311,3.532,3.259,3.464,2171982.12,7433779.47,UNI
2020-11-29,3.464,3.575,3.365,3.555,1182618.12,4099914.64,UNI
2020-11-30,3.555,3.806,3.538,3.766,2155045.74,7948497.73,UNI
2020-12-01,3.766,3.983,3.416,3.555,3621609.86,13292698.58,UNI
2020-12-02,3.555,4.173,3.5,3.946,3399709.14,13258026.26,UNI
2020-12-03,3.946,4.025,3.803,3.889,2028764.11,7941411.38,UNI
2020-12-04,3.889,3.919,3.501,3.523,1714646.85,6379291.73,UNI
2020-12-05,3.523,3.697,3.451,3.684,1400700.28,5024431.26,UNI
2020-12-06,3.684,3.794,3.511,3.649,1173330.44,4266458.15,UNI
2020-12-07,3.649,3.877,3.565,3.759,1767018.04,6599174.09,UNI
2020-12-08,3.759,3.762,3.278,3.296,2452136.44,8529640.17,UNI
2020-12-09,3.296,3.398,3.12,3.356,2672181.85,8769049.67,UNI
2020-12-10,3.356,3.371,3.191,3.24,865854.66,2818137.85,UNI
2020-12-11,3.24,3.247,2.912,2.959,3024768.74,9064913.94,UNI
2020-12-12,2.959,3.185,2.959,3.123,1971612.87,6084297.42,UNI
2020-12-13,3.123,3.363,3.073,3.342,1038813.25,3390420.06,UNI
2020-12-14,3.342,3.547,3.237,3.481,1854916.02,6270488.4,UNI
2020-12-15,3.481,3.517,3.31,3.33,1404005.34,4794438.55,UNI
2020-12-16,3.33,3.543,3.244,3.542,2215422.93,7600377.27,UNI
2020-12-17,3.542,3.998,3.439,3.698,3961581.77,14909393.15,UNI
2020-12-18,3.698,3.855,3.549,3.766,2869747.99,10673647.06,UNI
2020-12-19,3.766,4.248,3.71,3.968,5714432.65,23149713.79,UNI
2020-12-20,3.968,4.023,3.711,3.764,2469332.98,9590442.39,UNI
2020-12-21,3.764,3.922,3.408,3.514,2803854.01,10104515.78,UNI
2020-12-22,3.514,3.772,3.284,3.734,2815019.24,9988688.42,UNI
2020-12-23,3.734,3.774,3.02,3.323,4039414.27,13933433.93,UNI
2020-12-24,3.323,3.525,3.162,3.524,2678835.5,8866310.99,UNI
2020-12-25,3.524,3.645,3.374,3.503,1529694.34,5341024.64,UNI
2020-12-26,3.503,3.597,3.358,3.413,1272478.3,4418155.33,UNI
2020-12-27,3.413,3.792,3.353,3.593,3126493.65,11242450.13,UNI
2020-12-28,3.593,3.939,3.567,3.723,2943019.29,11116554.65,UNI
2020-12-29,3.723,3.833,3.495,3.671,2802585.33,10161352.91,UNI
2020-12-30,3.671,4.38,3.632,4.15,6753061.19,27336726.22,UNI
2020-12-31,4.15,5.308,3.943,5.162,12754961.56,60043229.36,UNI
2021-01-01,5.162,5.279,4.624,4.753,7249792.19,35837010.14,UNI
2021-01-02,4.753,5.187,4.495,4.862,8306781.02,39914920.46,UNI
2021-01-03,4.862,5.648,4.681,5.508,8665252.16,44750449.91,UNI
2021-01-04,5.508,6.234,4.884,5.433,9835787.31,54027189.9,UNI
2021-01-05,5.433,6.58,5.202,6.276,7506796.47,44843335.71,UNI
2021-01-06,6.276,6.614,6.024,6.425,4899683.33,30758474.46,UNI
2021-01-07,6.425,6.83,6.025,6.265,4613860.9,29295451.14,UNI
2021-01-08,6.265,6.37,5.488,5.882,4799864.69,28376859.05,UNI
2021-01-09,5.882,6.367,5.673,6.246,3227477.27,19595411.41,UNI
2021-01-10,6.246,6.591,5.518,5.981,4150330.69,25219315.64,UNI
2021-01-11,5.981,5.996,4.37,5.24,7966005.74,40658500.8,UNI
2021-01-12,5.24,5.809,4.963,5.581,3321185.79,18006132.82,UNI
2021-01-13,5.581,6.384,5.264,6.34,2994823.45,17636007.23,UNI
2021-01-14,6.34,7.127,6.183,6.945,4999777.22,32922690.49,UNI
2021-01-15,6.945,7.468,6.377,7.372,6185116.01,43528418.78,UNI
2021-01-16,7.372,9.352,7.197,8.404,8411661.83,69768923.66,UNI
2021-01-17,8.404,9.169,8.073,8.686,6389039.95,54999422.04,UNI
2021-01-18,8.686,9.863,8.307,9.194,4431313.25,40482456.6,UNI
2021-01-19,9.194,9.671,8.468,8.594,3955557.65,35912035.38,UNI
2021-01-20,8.594,9.048,7.64,8.985,4501970.33,37641756.39,UNI
2021-01-21,8.985,9.04,7.324,7.581,5837741.1,47125606.67,UNI
2021-01-22,7.581,9.019,7.042,8.707,5666776.38,46531190.75,UNI
2021-01-23,8.707,9.53,8.506,9.328,3317380.9,30219555.54,UNI
2021-01-24,9.328,12.3,9.18,12.03,7935610.23,85825367.72,UNI
2021-01-25,12.03,12.95,10.88,11.31,8767376.82,104014435.61,UNI
2021-01-26,11.31,14.28,11.18,13.92,10126350.12,130633803.85,UNI
2021-01-27,13.92,16.41,13.02,14.77,10370008.25,148331168.38,UNI
2021-01-28,14.77,15.43,13.55,14.14,7480768.96,108434977.41,UNI
2021-01-29,14.14,15.79,14.11,15.67,7411760.17,110573179.96,UNI
2021-01-30,15.67,19.67,15.11,19.63,10324044.12,178605661.34,UNI
2021-01-31,19.63,20.54,17.44,17.73,9772644.59,184601681.45,UNI
2021-02-01,17.73,20.74,16.7,20.51,8391918.66,158501084.31,UNI
2021-02-02,20.51,20.57,18.08,18.99,6127087.73,116745767.12,UNI
2021-02-03,18.99,20.51,18.73,19.73,4758586.28,93613482.34,UNI
2021-02-04,19.73,21.59,19.24,20.14,7208705.45,148875708.74,UNI
2021-02-05,20.14,22.43,19.57,21.16,5825617.95,121121085.67,UNI
2021-02-06,21.16,21.68,19.23,19.24,3882315.39,77670880.67,UNI
2021-02-07,19.24,19.67,17.11,18.72,3889316.42,71279577.06,UNI
2021-02-08,18.72,20.22,18.14,19.35,3656990.61,70148519.09,UNI
2021-02-09,19.35,19.93,18.91,19.53,2876058.83,55584747.43,UNI
2021-02-10,19.53,22.42,19.53,20.7,5328244.24,110675348.57,UNI
2021-02-11,20.7,22.0,20.17,21.47,3580178.69,74644308.18,UNI
2021-02-12,21.47,23.84,21.24,22.7,4879429.0,110056375.68,UNI
2021-02-13,22.7,23.57,21.22,21.8,3003961.65,66880617.52,UNI
2021-02-14,21.8,22.63,20.69,20.86,2164930.35,47048205.53,UNI
2021-02-15,20.86,21.53,17.19,20.1,4750391.19,93083335.09,UNI
2021-02-16,20.1,21.3,19.4,20.49,2688939.17,55197289.53,UNI
2021-02-17,20.49,21.83,19.18,21.54,2465001.44,50384103.6,UNI
2021-02-18,21.54,22.27,20.63,21.18,2182680.11,46696016.26,UNI
2021-02-19,21.18,21.53,19.36,20.07,2784158.6,56685368.63,UNI
2021-02-20,20.07,32.97,19.53,28.74,15440009.23,420087350.05,UNI
2021-02-21,28.74,32.09,27.86,28.81,6414782.66,192202220.12,UNI
2021-02-22,28.81,29.12,22.07,27.69,7175846.17,190094377.65,UNI
2021-02-23,27.69,27.74,18.24,24.86,9910174.07,223747850.56,UNI
2021-02-24,24.86,27.35,23.13,25.25,5298766.15,135964144.48,UNI
