date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2018-10-11,1.06,1.069,1.003,1.009,105191.23,104258.49,USD
2018-10-12,1.009,1.015,0.9955,1.008,46563.08,46195.91,USD
2018-10-13,1.008,1.014,1.008,1.012,22184.76,21914.85,USD
2018-10-14,1.012,1.028,1.011,1.016,34690.88,34130.1,USD
2018-10-15,1.016,1.123,0.9689,1.026,181922.05,177320.05,USD
2018-10-16,1.026,1.042,1.015,1.02,50198.66,49191.34,USD
2018-10-17,1.02,1.024,1.012,1.022,34269.12,33538.55,USD
2018-10-18,1.022,1.035,1.008,1.015,51498.9,50725.31,USD
2018-10-19,1.015,1.017,1.009,1.012,37046.13,36599.64,USD
2018-10-20,1.012,1.037,0.9977,1.013,19788.82,19543.75,USD
2018-10-21,1.013,1.023,1.01,1.016,16270.35,16019.49,USD
2018-10-22,1.016,1.02,1.009,1.012,31624.48,31239.03,USD
2018-10-23,1.013,1.016,1.007,1.011,34461.6,34071.62,USD
2018-10-24,1.012,1.019,1.007,1.009,34422.92,34111.66,USD
2018-10-25,1.009,1.017,1.007,1.011,36111.29,35706.92,USD
2018-10-26,1.011,1.019,1.008,1.011,33635.15,33284.54,USD
2018-10-27,1.011,1.012,1.007,1.01,19291.83,19092.86,USD
2018-10-28,1.01,1.011,1.005,1.009,16956.46,16806.73,USD
2018-10-29,1.009,1.034,1.002,1.007,54130.98,53760.53,USD
2018-10-30,1.007,1.012,1.003,1.007,43000.63,42701.22,USD
2018-10-31,1.007,1.012,0.9883,1.004,38990.19,38823.41,USD
2018-11-01,1.004,1.01,0.9976,1.007,31614.61,31397.71,USD
2018-11-02,1.007,1.012,1.004,1.008,28207.27,27987.6,USD
2018-11-03,1.008,1.01,1.001,1.007,29010.43,28808.38,USD
2018-11-04,1.007,1.01,0.987,1.005,27451.03,27317.02,USD
2018-11-05,1.005,1.01,0.9995,1.004,24231.71,24142.0,USD
2018-11-06,1.006,1.007,0.9525,1.005,499373.8,497076.63,USD
2018-11-07,1.005,1.008,0.9944,1.003,55240.2,55100.44,USD
2018-11-08,1.003,1.02,1.004,1.005,42273.6,42073.45,USD
2018-11-09,1.005,1.02,1.003,1.007,37351.68,37086.04,USD
2018-11-10,1.007,1.012,1.005,1.008,14773.91,14658.42,USD
2018-11-11,1.008,1.007,0.9933,1.006,20461.88,20337.03,USD
2018-11-12,1.006,1.015,1.001,1.005,28483.07,28338.62,USD
2018-11-13,1.005,1.021,1.009,1.013,36232.87,35761.27,USD
2018-11-14,1.011,1.134,0.9733,1.022,182275.32,178422.8,USD
2018-11-15,1.021,1.038,0.9543,1.017,150374.01,147895.07,USD
2018-11-16,1.017,1.031,0.9972,1.015,72119.79,71050.83,USD
2018-11-17,1.015,1.02,1.006,1.014,29917.82,29517.8,USD
2018-11-18,1.013,1.026,1.002,1.01,42120.15,41702.04,USD
2018-11-19,1.01,1.181,1.0,1.011,210339.08,207964.38,USD
2018-11-20,1.011,1.135,0.9548,1.017,320509.33,315023.21,USD
2018-11-21,1.017,1.031,0.9488,1.01,153780.12,152286.19,USD
2018-11-22,1.01,1.091,1.011,1.016,85072.44,83715.43,USD
2018-11-23,1.016,1.032,0.9708,1.014,123460.17,121719.16,USD
2018-11-24,1.014,1.176,0.9926,1.023,125870.71,123090.79,USD
2018-11-25,1.023,1.061,0.9038,1.019,218081.48,213926.98,USD
2018-11-26,1.019,1.106,0.9651,1.015,188757.83,185985.76,USD
2018-11-27,1.015,1.03,0.9593,1.015,150216.61,147999.31,USD
2018-11-28,1.015,1.044,0.9074,1.012,177536.53,175435.76,USD
2018-11-29,1.012,1.054,0.9797,1.017,113973.0,112103.36,USD
2018-11-30,1.017,1.089,0.9849,1.008,123012.73,121993.57,USD
2018-12-01,1.008,1.039,0.9504,1.012,68574.78,67774.58,USD
2018-12-02,1.012,1.053,0.9945,1.011,63419.32,62748.83,USD
2018-12-03,1.011,1.085,0.9903,1.01,108493.56,107400.61,USD
2018-12-04,1.01,1.046,0.9658,1.011,95722.45,94655.27,USD
2018-12-05,1.011,1.075,1.009,1.014,84962.71,83811.55,USD
2018-12-06,1.014,1.131,1.01,1.015,161969.22,159523.77,USD
2018-12-07,1.015,1.06,0.9629,1.014,208980.72,206088.47,USD
2018-12-08,1.014,1.061,0.9704,1.019,106091.54,104091.14,USD
2018-12-09,1.019,1.05,0.9701,1.014,84537.91,83347.79,USD
2018-12-10,1.014,1.071,1.004,1.018,83360.66,81855.33,USD
2018-12-11,1.018,1.041,1.001,1.017,68642.07,67519.71,USD
2018-12-12,1.017,1.034,0.9863,1.017,75677.61,74415.95,USD
2018-12-13,1.017,1.071,1.003,1.013,85676.9,84592.04,USD
2018-12-14,1.013,1.044,0.9966,1.014,90355.77,89133.43,USD
2018-12-15,1.014,1.029,0.9965,1.016,52151.63,51317.37,USD
2018-12-16,1.016,1.04,1.011,1.02,45993.02,45102.51,USD
2018-12-17,1.02,1.04,0.9251,1.013,121437.77,119831.24,USD
2018-12-18,1.013,1.017,0.95,1.014,92885.38,91609.53,USD
2018-12-19,1.014,1.078,1.003,1.015,165431.29,163016.15,USD
2018-12-20,1.015,1.036,0.9099,1.014,182556.22,180025.9,USD
2018-12-21,1.014,1.108,0.9996,1.017,130722.71,128508.13,USD
2018-12-22,1.017,1.02,0.9668,1.016,64693.67,63672.55,USD
2018-12-23,1.016,1.043,1.006,1.015,59189.91,58294.45,USD
2018-12-24,1.015,1.068,0.9942,1.013,111284.64,109869.44,USD
2018-12-25,1.013,1.084,0.989,1.015,97165.85,95683.55,USD
2018-12-26,1.015,1.03,0.9835,1.01,69673.6,68965.06,USD
2018-12-27,1.01,1.083,1.009,1.016,82941.22,81652.77,USD
2018-12-28,1.016,1.031,0.933,1.015,94293.28,92882.41,USD
2018-12-29,1.015,1.076,1.014,1.02,55793.02,54702.16,USD
2018-12-30,1.02,1.024,0.9815,1.017,50633.83,49797.04,USD
2018-12-31,1.017,1.059,1.004,1.017,55131.42,54221.49,USD
2019-01-01,1.017,1.031,0.9676,1.016,45804.91,45104.29,USD
2019-01-02,1.016,1.025,0.9834,1.018,55006.54,54034.73,USD
2019-01-03,1.018,1.046,0.9971,1.012,46139.58,45585.19,USD
2019-01-04,1.012,1.019,0.9879,1.011,44906.73,44398.9,USD
2019-01-05,1.017,1.06,1.003,1.013,968218.32,956257.36,USD
2019-01-06,1.015,1.025,0.9467,1.014,59728.44,58878.99,USD
2019-01-07,1.014,1.032,0.9991,1.011,52124.19,51541.23,USD
2019-01-08,1.011,1.043,1.002,1.014,66917.96,65973.5,USD
2019-01-09,1.014,1.021,1.001,1.01,55698.77,55130.13,USD
2019-01-10,1.01,1.125,1.0,1.01,109407.13,108277.01,USD
2019-01-11,1.01,1.027,0.9959,1.01,63727.39,63070.18,USD
2019-01-12,1.01,1.019,0.9971,1.012,28675.95,28343.28,USD
2019-01-13,1.012,1.047,1.005,1.011,46204.73,45682.73,USD
2019-01-14,1.011,1.021,0.9656,1.009,56607.08,56099.99,USD
2019-01-15,1.009,1.04,1.003,1.011,54771.76,54154.65,USD
2019-01-16,1.011,1.026,1.001,1.01,54368.74,53843.55,USD
2019-01-17,1.01,1.013,0.9834,1.01,46660.93,46181.32,USD
2019-01-18,1.01,1.021,1.003,1.01,32758.15,32418.99,USD
2019-01-19,1.01,1.031,0.9882,1.012,38793.27,38341.35,USD
2019-01-20,1.012,1.062,0.9987,1.01,49670.75,49198.37,USD
2019-01-21,1.01,1.02,1.002,1.012,36537.36,36101.4,USD
2019-01-22,1.012,1.016,0.9711,1.007,53959.77,53586.91,USD
2019-01-23,1.007,1.021,0.9969,1.005,38092.33,37910.4,USD
2019-01-24,1.005,1.013,0.9936,1.008,31888.35,31630.57,USD
2019-01-25,1.008,1.012,0.993,1.005,32849.03,32679.69,USD
2019-01-26,1.005,1.034,1.006,1.011,29531.93,29201.1,USD
2019-01-27,1.011,1.021,0.9939,1.009,26500.61,26261.48,USD
2019-01-28,1.009,1.04,0.9924,1.007,60130.18,59700.11,USD
2019-01-29,1.007,1.019,0.9918,1.006,46592.38,46304.1,USD
2019-01-30,1.006,1.015,0.9877,1.008,42758.87,42399.63,USD
2019-01-31,1.008,1.026,1.004,1.007,37633.64,37365.7,USD
