date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-09-14,0.0007724,0.0006694,0.0004686,0.0005221,46823416.4,24448.73,VET
2017-09-15,0.0005221,0.0007424,0.0006074,0.0006489,10711890.8,6951.21,VET
2017-09-16,0.0006489,0.0006998,0.0005853,0.0006973,13413000.91,9352.92,VET
2017-09-17,0.0006973,0.000708,0.000584,0.0006589,12233196.26,8060.7,VET
2017-09-18,0.0006589,0.0008123,0.0003808,0.0006724,3770766.03,2535.53,VET
2017-09-19,0.0006724,0.0007047,0.0005377,0.000566,1296974.09,734.09,VET
2017-09-20,0.000566,0.0007032,0.0005274,0.0006862,28863018.73,19806.24,VET
2017-09-21,0.0006862,0.0006702,0.0006109,0.0006418,79397242.01,50960.91,VET
2017-09-22,0.0006418,0.0006574,0.0006232,0.0006521,68542938.69,44696.25,VET
2017-09-23,0.0006521,0.0007525,0.0006839,0.0007096,149608748.13,106166.44,VET
2017-09-24,0.0007096,0.0008676,0.0006726,0.0008648,104018631.92,89950.74,VET
2017-09-25,0.0008648,0.001247,0.0008404,0.0009761,97567737.71,95234.49,VET
2017-09-26,0.0009761,0.00101,0.0009439,0.0009756,97243165.64,94870.74,VET
2017-09-27,0.0009756,0.00155,0.001023,0.001485,108841957.47,161603.78,VET
2017-09-28,0.001485,0.001453,0.001211,0.001362,96822306.36,131917.0,VET
2017-09-29,0.001362,0.00153,0.001118,0.001518,112044050.79,170137.79,VET
2017-09-30,0.001518,0.001677,0.001511,0.001614,96223103.24,155281.39,VET
2017-10-01,0.001614,0.001824,0.001559,0.001757,130613595.77,229466.01,VET
2017-10-02,0.001757,0.003384,0.001698,0.002995,340306467.56,1019154.2,VET
2017-10-03,0.002995,0.003957,0.002524,0.003808,337177114.55,1284011.08,VET
2017-10-04,0.003808,0.003882,0.002917,0.003025,129585309.04,391959.48,VET
2017-10-05,0.003025,0.003481,0.002655,0.003313,107993240.31,357753.28,VET
2017-10-06,0.003313,0.003478,0.003006,0.003074,58976245.77,181295.93,VET
2017-10-07,0.003074,0.003424,0.002733,0.003047,106352769.65,324081.92,VET
2017-10-08,0.003047,0.003098,0.002522,0.002553,82161725.94,209782.92,VET
2017-10-09,0.002553,0.003103,0.002236,0.002768,118731658.47,328598.65,VET
2017-10-10,0.002768,0.002782,0.002388,0.002641,108845880.72,287502.35,VET
2017-10-11,0.373,0.373,0.202,0.284,2148.8,503.1,VET
2017-10-12,0.002335,0.002438,0.002032,0.002205,131315385.11,289555.57,VET
2017-10-13,0.259,0.5,0.154,0.198,2215.9,544.54,VET
2017-10-14,0.198,0.403,0.193,0.244,9610.4,2547.55,VET
2017-10-15,0.002351,0.002359,0.002019,0.002235,71892714.87,160672.4,VET
2017-10-16,0.002235,0.0023,0.002019,0.002263,72090549.12,163121.96,VET
2017-10-17,0.231,0.25,0.209,0.224,6434.6,1550.76,VET
2017-10-18,0.248,0.436,0.176,0.278,8403.7,2597.69,VET
2017-10-19,0.278,0.365,0.234,0.251,5174.0,1541.46,VET
2017-10-20,0.251,0.388,0.211,0.226,1755.2,436.35,VET
