date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2016-06-20,0.274,0.3083,0.2554,0.2896,1876094.1,543225.23,WAVES
2016-06-21,0.2896,0.267,0.2069,0.2342,2426561.59,568261.03,WAVES
2016-06-22,0.2342,0.2102,0.1537,0.1861,4465529.83,830970.15,WAVES
2016-06-23,0.1861,0.2165,0.1879,0.1944,2476820.04,481456.67,WAVES
2016-06-24,0.1944,0.2098,0.1781,0.191,3260802.69,622890.31,WAVES
2016-06-25,0.191,0.1976,0.1667,0.1725,1157082.85,199614.38,WAVES
2016-06-26,0.1725,0.1749,0.132,0.1625,1871453.21,304193.6,WAVES
2016-06-27,0.1625,0.1766,0.1573,0.1587,753666.04,119569.74,WAVES
2016-06-28,0.1587,0.167,0.1454,0.1454,1311600.66,190736.5,WAVES
2016-06-29,0.1454,0.1591,0.1373,0.1439,1331582.67,191558.87,WAVES
2016-06-30,0.1439,0.1675,0.1414,0.1434,1752436.73,251271.88,WAVES
2016-07-01,0.1434,0.1474,0.1295,0.1396,1479337.68,206568.78,WAVES
2016-07-02,0.1396,0.1885,0.1403,0.1714,1315969.45,225522.59,WAVES
2016-07-03,0.1714,0.2123,0.1528,0.1981,1544647.81,305987.03,WAVES
2016-07-04,0.1981,0.2228,0.1894,0.2228,1090987.08,243074.98,WAVES
2016-07-05,0.2228,0.219,0.1991,0.2124,931027.4,197726.39,WAVES
2016-07-06,0.2124,0.222,0.2085,0.2218,675762.19,149876.75,WAVES
2016-07-07,0.2218,0.2343,0.2065,0.2277,977061.54,222513.19,WAVES
2016-07-08,0.2277,0.2379,0.1756,0.1972,944900.25,186312.64,WAVES
2016-07-09,0.1972,0.2327,0.189,0.2218,497385.0,110296.4,WAVES
2016-07-10,0.2218,0.2248,0.1967,0.2181,371992.74,81122.71,WAVES
2016-07-11,0.2181,0.2186,0.2071,0.2166,386250.9,83680.43,WAVES
2016-07-12,0.2166,0.2246,0.1965,0.2046,618250.02,126486.45,WAVES
2016-07-13,0.2046,0.2102,0.1937,0.1981,509863.85,100994.11,WAVES
2016-07-14,0.1981,0.2037,0.1807,0.1962,774921.25,152031.12,WAVES
2016-07-15,0.1962,0.1993,0.1831,0.1908,400483.14,76395.46,WAVES
2016-07-16,0.1908,0.1959,0.1898,0.1923,172315.62,33129.54,WAVES
2016-07-17,0.1923,0.2001,0.193,0.1988,296776.08,58991.19,WAVES
2016-07-18,0.1988,0.2273,0.1936,0.2126,586611.98,124700.51,WAVES
2016-07-19,0.2126,0.2291,0.2013,0.208,800925.86,166625.42,WAVES
2016-07-20,0.208,0.2191,0.206,0.21,288431.79,60556.37,WAVES
2016-07-21,0.21,0.2193,0.1996,0.2082,436359.38,90832.13,WAVES
2016-07-22,0.2082,0.2097,0.1889,0.1908,476594.69,90922.46,WAVES
2016-07-23,0.1908,0.208,0.1912,0.2012,227145.0,45701.49,WAVES
2016-07-24,0.2012,0.207,0.1926,0.2013,667212.7,134297.4,WAVES
2016-07-25,0.2013,0.2127,0.1931,0.2076,547126.04,113607.99,WAVES
2016-07-26,0.2076,0.2078,0.1708,0.1798,1039301.57,186822.96,WAVES
2016-07-27,0.1798,0.2029,0.1604,0.18,1150161.81,207027.4,WAVES
2016-07-28,0.18,0.1955,0.1701,0.176,439555.06,77344.53,WAVES
2016-07-29,0.176,0.1947,0.174,0.1943,265603.23,51616.0,WAVES
2016-07-30,0.1943,0.1941,0.1833,0.1866,155138.65,28949.01,WAVES
2016-07-31,0.1866,0.1803,0.1668,0.1695,380413.85,64488.43,WAVES
2016-08-01,0.1695,0.1715,0.1596,0.1596,439399.12,70146.11,WAVES
2016-08-02,0.1596,0.1458,0.1078,0.1245,1294018.82,161047.67,WAVES
2016-08-03,0.1245,0.1626,0.1282,0.1422,703971.4,100088.15,WAVES
2016-08-04,0.1422,0.1613,0.1441,0.1503,440488.94,66195.87,WAVES
2016-08-05,0.1503,0.173,0.1498,0.1632,546633.43,89212.46,WAVES
2016-08-06,0.1632,0.1742,0.1619,0.1724,293668.23,50615.97,WAVES
2016-08-07,0.1724,0.1737,0.1578,0.1602,320239.94,51295.85,WAVES
2016-08-08,0.1602,0.1811,0.1564,0.1798,475492.1,85482.6,WAVES
2016-08-09,0.1798,0.1798,0.1659,0.171,228792.63,39125.84,WAVES
2016-08-10,0.171,0.1938,0.1727,0.1891,557432.63,105410.96,WAVES
2016-08-11,0.1891,0.1947,0.1764,0.1869,572760.58,107067.92,WAVES
