date,open,high,low,close,volume_coin,volume_usd,coin_symbol
2017-09-04,17.41,14.74,1.769,1.769,368.0,650.92,WTC
2017-09-05,1.769,3.043,1.185,1.377,2326.77,3204.54,WTC
2017-09-06,1.377,2.049,1.195,1.195,1565.64,1870.95,WTC
2017-09-07,1.195,1.607,1.004,1.6,244043.04,390424.5,WTC
2017-09-08,1.6,1.818,1.122,1.252,1272015.24,1593136.15,WTC
2017-09-09,1.252,1.629,1.193,1.57,422442.77,663415.35,WTC
2017-09-10,1.57,1.766,1.354,1.563,545857.35,853319.14,WTC
2017-09-11,1.563,3262.92,1.55,2.13,630289.06,1342682.9,WTC
2017-09-12,2.13,2.47,1.435,1.824,1055305.12,1925354.13,WTC
2017-09-13,1.824,2.014,1.593,1.899,234095.91,444492.8,WTC
2017-09-14,1.899,1.697,1.427,1.545,388874.34,600790.91,WTC
2017-09-15,1.545,1.827,1.322,1.693,316186.75,535394.88,WTC
2017-09-16,1.693,1.823,1.563,1.7,167814.9,285362.02,WTC
2017-09-17,1.7,2291.93,1.624,1.677,82215.19,137858.12,WTC
2017-09-18,1.677,4144.89,1.769,1.788,177572.33,317544.93,WTC
2017-09-19,1.788,30177.87,1.385,1.529,321373.5,491394.89,WTC
2017-09-20,1.529,1302.4,1.152,1.286,320748.0,412350.39,WTC
2017-09-21,1.286,1.31,1.101,1.261,332854.92,419873.73,WTC
2017-09-22,1.261,1.584,1.235,1.506,328135.49,494256.69,WTC
2017-09-23,1.506,95.61,1.588,1.776,314547.05,558598.03,WTC
2017-09-24,1.776,1.884,1.587,1.809,273771.93,495249.76,WTC
2017-09-25,1.809,16.28,1.857,2.197,307816.96,676250.5,WTC
2017-09-26,2.197,3.318,2.093,3.053,715875.54,2185542.82,WTC
2017-09-27,3.053,172.75,2.94,4.004,582128.19,2330787.37,WTC
2017-09-28,4.004,378.23,3.71,6.291,731365.38,4600755.0,WTC
2017-09-29,6.291,6.44,4.405,5.379,467184.89,2512841.76,WTC
2017-09-30,5.379,5.748,4.452,5.383,274788.64,1479117.73,WTC
2017-10-01,5.383,7.599,5.376,7.426,448562.59,3330895.49,WTC
2017-10-02,7.426,8.917,7.129,8.367,347102.23,2904211.47,WTC
